t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.0,(1.0000000000000284+2.409183963436593e-14j),(-3.8510861166685167e-16-1.283695372222839e-16j),(-4.690692279041293e-15+2.0591167659844728e-15j),(1.776356839400253e-15+3.552713678800506e-15j),(1.2490009027033028e-16-3.1086244689504423e-15j),(-2.4077961846558114e-14-2.4175106361212815e-14j),(-1.1102230246251581e-15-1.1102230246251581e-15j),(-1.219727444046194e-18+5.709002064493992e-19j),(-2.4980018054066057e-16-4.440892098500632e-16j),(3.469446951953619e-18+5.421010862427529e-18j),(1.9428902930940264e-16-4.307728706046332e-17j),0j,(-1.1076092402978952-0.23457273598854306j),(0.20273991902615773+0.681765986441965j),(-0.13509811149395362-0.9268240418377068j),(0.05224904728432116+0.713226742249066j),(0.5168021672767371-0.014769631602742684j),(-0.15496402820453636-1.1228760743629502j),(-0.8723249861986151+1.5846176287676093j),(-0.5324694578801741-0.7480754069402493j),(0.9880701967636187-1.1671145599701744j),(-0.032696290882269115-1.3446690790186524j),0.0
0.01,(0.999120472065922-0.04072869560325689j),(-8.088874044888077e-05-4.179978910985351e-05j),(5.99973068351411e-05+0.0014136289484139842j),(0.008056885946222702-0.005643897124632014j),(-0.0012173592463350664-0.0006949556039632396j),(-0.001126748844587606-0.0013750078074011764j),(-0.004493890165247405+0.0032920406584134652j),(-8.682605786048317e-07-3.030004650571795e-07j),(-0.0024450753390736074-0.00039323447329341467j),(7.350564471673433e-06+1.6108589903896336e-05j),(-1.4984495652627283e-05-0.0007775279190965299j),(0.002917025726968772+0.01638315365551063j),(-1.1075938924215134-0.2345777219931135j),(0.20284676856117922+0.6817846499322374j),(-0.134971887705675-0.9265416452999816j),(0.05230625989436288+0.7132882879356707j),(0.5165854802439862-0.014929078277771174j),(-0.15498527967431194-1.1231358438697925j),(-0.8723257491343223+1.5846261264015309j),(-0.5324880211442001-0.7479563225045059j),(0.9880758988199987-1.1670756604742423j),(-0.03262213306242558-1.3447574929740433j),0.0
0.02,(0.9945589790560906-0.08108042608062942j),(-0.0001718593874930992-7.51076473752341e-05j),(0.0002016344846930092+0.0030600229232731584j),(0.01563454170062638-0.011934812270096367j),(-0.002691271075619693-0.0014109779124694152j),(-0.0022843620195827216-0.00293516806907122j),(-0.008718970657909386+0.006943173260022422j),(-1.857803721456052e-06-5.488639128268333e-07j),(-0.004967109371276967-0.0005246865275005694j),(1.587424635579708e-05+3.2615731338819215e-05j),(-9.216344971891752e-05-0.0015734811196326617j),(0.005806359081150842+0.0329500361300314j),(-1.1075484872458219-0.2345932460363596j),(0.20320115809722528+0.681823498887474j),(-0.13456258983129882-0.9257145557248582j),(0.05249809079476844+0.713475999455694j),(0.5158663320206381-0.015352766153245176j),(-0.1550755654315548-1.1239133800796133j),(-0.8723267842765227+1.5846531100227579j),(-0.5325366219538401-0.7475979290154391j),(0.9880998161912043-1.1669571852034586j),(-0.03240697766495398-1.3450333212574146j),0.0
0.03,(0.9864609464849723-0.12065367923393519j),(-0.0002739050531289643-9.827352370221933e-05j),(0.00044403285780879017+0.004987393775243293j),(0.02266931635822126-0.018858401525545097j),(-0.00447548019128913-0.0021435831043408213j),(-0.003486496094425362-0.00472893031360803j),(-0.012606435695976435+0.010892691872809444j),(-2.9898737594055036e-06-7.20160609723229e-07j),(-0.007571620792341889-0.0003832729618386926j),(2.5896360834688234e-05+4.962016438063702e-05j),(-0.00024193533550535465-0.002387509242774722j),(0.008739192037710775+0.04973364196555756j),(-1.1074743973704817-0.23462194367130826j),(0.2038652761003039+0.6818508861852759j),(-0.1338138926463042-0.9243943462451731j),(0.052853181067096945+0.7138001201890823j),(0.5145341284761311-0.015930247469416726j),(-0.15527933280417192-1.1251863945754015j),(-0.8723263623296685+1.5847012968332297j),(-0.532603806133669-0.7470009381638263j),(0.988152792393286-1.1667573755760403j),(-0.032065561113971255-1.3455116268847773j),0.0
0.04,(0.9750400229468795-0.1590869185812816j),(-0.000387511464747056-0.00010926482466000173j),(0.0007972683234068847+0.007246324898644793j),(0.02908840982016497-0.02636952791544961j),(-0.006621219804439536-0.0028859557641293717j),(-0.004749634244317983-0.006806476329096844j),(-0.016100780252171522+0.015062768766515713j),(-4.282153775812917e-06-7.94069088549796e-07j),(-0.010253703448162486+4.358093621075333e-05j),(3.773354254621356e-05+6.712885295462507e-05j),(-0.00047340420757946547-0.0032145861620760004j),(0.01177894173703988+0.0667708193546845j),(-1.1073731309283141-0.23466883179801198j),(0.20491225581273623+0.6818304149270612j),(-0.1326771255989554-0.9226511696331305j),(0.05339916015296311+0.7142744449581566j),(0.5124985557207485-0.016534802133491587j),(-0.15563523156045467-1.1269107208006583j),(-0.8723235006350294+1.584773807964125j),(-0.5326750094343939-0.7461720735354018j),(0.9882438800753903-1.1664766463630467j),(-0.031616344043994646-1.3461990603482865j),0.0
0.05,(0.9605634068046305-0.19606947712302783j),(-0.000512134860072917-0.00010587376399847475j),(0.0012469669715144793+0.009883299989582563j),(0.03481675501949891-0.03439349240398792j),(-0.009164867238114298-0.0036320244659629403j),(-0.00609294286685855-0.00921621882781372j),(-0.019163445890765875+0.019370447168771142j),(-5.7425510020761345e-06-7.437143197919433e-07j),(-0.012993798407196094+0.0007661404109922968j),(5.1606736160352824e-05+8.503746547347268e-05j),(-0.0007921697962287328-0.00404543379834339j),(0.014972013784534733+0.08410052430886587j),(-1.107245940535036-0.23474097197535237j),(0.2064240260729739+0.6817219921424265j),(-0.13111939647746146-0.9205688170055905j),(0.054163817058707646+0.7149140370827389j),(0.5097009789261587-0.017031961186247488j),(-0.1561720266162964-1.129022987939842j),(-0.8723181006580656+1.5848740150266254j),(-0.5327320549367136-0.7451240541467945j),(0.9883795216106513-1.1661178548474727j),(-0.03108096028725477-1.3470914906508895j),0.0
0.06,(0.9433518461895487-0.2313415573417847j),(-0.0006462019871670534-8.571736264823283e-05j),(0.0017543050849615485+0.012940703045946012j),(0.03977701792114824-0.0428260338950446j),(-0.01212794392730402-0.00437646177354536j),(-0.007538271582040536-0.01200480144622555j),(-0.02177282076757904+0.023727641265094385j),(-7.369196817631111e-06-5.381677116170608e-07j),(-0.01575769396046328+0.001792361238676457j),(6.764119637919891e-05+0.00010313037483728323j),(-0.0012003275074605956-0.004866522119637388j),(0.018347802250597185+0.10176382065841345j),(-1.107093823289261-0.23484747042104032j),(0.20849131131559875+0.6814818287891475j),(-0.12912359140997598-0.91824471782407j),(0.055175100355397314+0.715735228380153j),(0.5061144423254149-0.017279506802034134j),(-0.15690859803519233-1.1314406209183687j),(-0.8723109479884281+1.5850055401119159j),(-0.5327531530513179-0.7438755944455279j),(0.9885635490961903-1.1656863008242484j),(-0.030484216873695593-1.3481740053063251j),0.0
0.07,(0.9237796390014633-0.2646942312024152j),(-0.0007871101044249348-4.623744872057113e-05j),(0.0022560091393808547+0.01645681836740907j),(0.0438895975219219-0.0515333292322109j),(-0.01551711541894656-0.0051146842401564255j),(-0.009110153232252931-0.015217098744990068j),(-0.02392423962997884+0.02804113619889286j),(-9.150446749951922e-06-1.4244710987451748e-07j),(-0.018496525621547865+0.0031278897272597464j),(8.586648793695785e-05+0.00012108065843357416j),(-0.0016964684230024512-0.005660069141272105j),(0.02191868967063439+0.11980388005249748j),(-1.1069175207724986-0.2349994780116159j),(0.2112136315713232+0.681062439753179j),(-0.12668837486459725-0.9157899398947423j),(0.05646111817882486+0.7167556191652243j),(0.5017436692129547-0.017127472288773184j),(-0.15785394102823963-1.134061840402613j),(-0.8723037123399584+1.5851722557911845j),(-0.5327129015188884-0.7424514043100199j),(0.9887971843531161-1.16518972660024j),(-0.02985409403097445-1.3494209103391248j),0.0
0.08,(0.9022664135904255-0.2959674446767282j),(-0.000931292830052941+1.5243804320100678e-05j),(0.0026763118844499757+0.020462443584253334j),(0.047060640289657354-0.06035568414228394j),(-0.019325515110837122-0.005837193150355576j),(-0.010841199394944875-0.018895360087174885j),(-0.02562078583803353+0.032212235327597406j),(-1.1065731564888164e-05+4.822584982349325e-07j),(-0.02114628612891769+0.004775917559939738j),(0.00010626033147072988+0.0001384232632400374j),(-0.0022769951269166746-0.006402475493763055j),(0.025689884549166958+0.13825977291195046j),(-1.1067177669068597-0.23520890858283328j),(0.21469456627240968+0.6804197769308483j),(-0.12382401288063734-0.9133288369669353j),(0.058040738257815146+0.7180004745474486j),(0.4966252575332799-0.01642572598708547j),(-0.1590132905921668-1.136757096203896j),(-0.8722985809094469+1.5853782666586578j),(-0.5325824095385184-0.7408787779534434j),(0.9890789940530457-1.1646383321011975j),(-0.029224843814793188-1.3507916727755442j),0.0
0.09,(0.8792320194868023-0.3250578639905441j),(-0.001073813241126313+0.00010002521244639254j),(0.0029034194038502566+0.02495817691050495j),(0.049194508226263256-0.06910912584139114j),(-0.023513076254114293-0.006534049493578191j),(-0.01276954996956935-0.023051590534231888j),(-0.02686081030950251+0.03615799763080704j),(-1.3076165176888414e-05+1.3692048955433526e-06j),(-0.023630396962555804+0.0067201320651812165j),(0.00012869659798754032+0.00015455384015887713j),(-0.002932367667642961-0.007066150155449433j),(0.029641230255684985+0.1571533904335575j),(-1.1064968610330375-0.23548627420847174j),(0.2190063511656865+0.6795251525297776j),(-0.12056593574310732-0.9109799579160388j),(0.05991834330675508+0.7194854938262505j),(0.4908590192909037-0.015058373791248792j),(-0.1603881967618126-1.1393723517759726j),(-0.8722979330878197+1.5856268649852119j),(-0.5323287134693355-0.7391905560151706j),(0.9894024545904504-1.1640469113782477j),(-0.02863878300516176-1.3522243464820753j),0.0
