t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.0,(0.004115226337447621-8.800870877997712e-16j),(1.3236403146860437e-13-7.324107199086125e-15j),(3.3099824954177894e-19+2.818971735698098e-19j),(-2.95658159759014e-14+1.464159762078956e-14j),(-2.8525708951328526e-17+2.5568561741126397e-16j),(-9.093134695508197e-15-1.4943137745764894e-16j),(-1.2342166760070208e-14-9.626367428707892e-15j),(9.052965966017662e-19-8.6063775890548035e-19j),(-9.483790146001787e-16-3.8811695375098385e-16j),(2.242011246657429e-17+1.1095913750762729e-17j),(1.0673314512731228e-15-5.55777973172686e-15j),(1+1j),(0.5986147785096626-0.21294175010524685j),(2.3385668365976526+2.692122657048367j),(0.7509091088585935+0.17795773100270018j),(1.7107348548421775-0.23239367988183313j),(-0.006349874867969785+0.6936404407834544j),(0.6504197599643465-0.5286909141264484j),(-1.0921427162146+2.6898638233932437j),(-0.7878186739932762+0.5772778180335876j),(-0.8802037587454368-0.7261712977477446j),(-0.295838554280462-0.26037857070586434j),0.0
0.01,(0.004007238827753209+0.0002431599161255051j),(0.0007295327524305568+0.0023115026635362797j),(3.3704867621976317e-08-3.0434339237941725e-08j),(-0.0018789388934281654-0.001626933223097087j),(7.646807008310242e-07+2.0969335741571767e-05j),(0.0005107344386370155-0.00014891904660636104j),(-0.0001528545952106803-0.0005043667552128269j),(-7.837964812894566e-08-1.9266067451887333e-08j),(3.58787950412187e-05+2.9885876547102842e-05j),(-7.4451557016565535e-06-2.696159643859664e-06j),(0.0002709708179871764+5.3206199697800795e-05j),(1.0003538203235671+1.000179512656815j),(0.5986143769856258-0.21294935517028282j),(2.338566217187724+2.6921218479178743j),(0.7509209077395986+0.17797510253866206j),(1.7107381589979236-0.23239042410575772j),(-0.006349443820912761+0.6936462815722656j),(0.6504226701333754-0.528701418319498j),(-1.0921420366496792+2.6898641322189243j),(-0.787819330067038+0.577279858101077j),(-0.8802052918470146-0.7261713528713478j),(-0.2958420731814132-0.2603779522669277j),0.0
0.02,(0.003883077225392626+0.00047653874588452524j),(0.001124221097330872+0.004589141673049539j),(6.92223283917146e-08-5.8963652146077336e-08j),(-0.003385156352157953-0.003398447791857781j),(-1.4627565641125476e-06+4.1869989656110874e-05j),(0.0009973505822406497-0.00024187512331129928j),(-0.00023624419130154967-0.0010052943434268418j),(-1.5242649929220967e-07-4.325978935894409e-08j),(6.720939810585342e-05+6.129900794863015e-05j),(-1.4301824628655998e-05-6.013576302859227e-06j),(0.0005223692405950345+0.0001317205973743143j),(1.0006652349526912+1.000370945716472j),(0.598614840214161-0.21297058290295623j),(2.3385646860416633+2.6921193707151865j),(0.7509504325599284+0.1780251867008919j),(1.710746982970793-0.23238053622525695j),(-0.006349556861887151+0.6936624500640934j),(0.6504328457249751-0.5287304127421951j),(-1.0921402164778162+2.6898651723769773j),(-0.7878216295985235+0.5772853818534736j),(-0.8802095720273102-0.7261718458490957j),(-0.2958520216176705-0.26037697445200203j),0.0
0.03,(0.0037441748249988117+0.0006985081576156579j),(0.0011930143123645245+0.006793952244224086j),(1.0621573088180152e-07-8.541498497837451e-08j),(-0.004515524729761381-0.005262377647016745j),(-6.752535000465495e-06+6.232335806155621e-05j),(0.0014558980529823225-0.0002813283595930432j),(-0.00025098898445781296-0.0014946602245930899j),(-2.2156874019208134e-07-7.167201253005557e-08j),(9.384317472672859e-05+9.384394508311104e-05j),(-2.050714436921939e-05-9.894729155674786e-06j),(0.0007517717084510808+0.00023349370141655598j),(1.0009357176435247+1.0005717683022606j),(0.5986183519973591-0.21300305624379787j),(2.3385627421911557+2.6921152060952496j),(0.7509897899900987+0.17810469429281298j),(1.710759711245448-0.23236389469985855j),(-0.006352016971069307+0.6936868858407045j),(0.6504521693255366-0.5287741607654878j),(-1.0921375874812012+2.689867075209067j),(-0.7878259690570546+0.5772934998392314j),(-0.8802161053028872-0.7261732121094148j),(-0.2958674428575606-0.2603768235570668j),0.0
0.04,(0.003592145859232956+0.0009076761992502537j),(0.0009511517355105028+0.008890962083595348j),(1.4432063541252028e-07-1.0966872906073778e-07j),(-0.005275379762219955-0.007169568819086289j),(-1.5119638406690605e-05+8.19519815420566e-05j),(0.001883044280742667-0.0002705160727639788j),(-0.00019927519741208378-0.0019650109954110094j),(-2.853502007441897e-07-1.0411723385196058e-07j),(0.00011572165788141704+0.00012712035149746413j),(-2.6013077719281064e-05-1.4274384725097677e-05j),(0.0009572801925155269+0.00035614383695549233j),(1.001167353153706+1.0007796075202382j),(0.5986267532769555-0.21304451700033536j),(2.33856086106893+2.6921093980782405j),(0.7510320243425103+0.17821048887932905j),(1.7107748322120009-0.23234045823877061j),(-0.006358255782221262+0.6937176491439689j),(0.6504821799431858-0.5288291386430782j),(-1.092134464114026+2.6898699262524537j),(-0.7878326320190012+0.5773033825137306j),(-0.8802244111737215-0.7261758120432794j),(-0.2958873958214082-0.26037850670064183j),0.0
0.05,(0.00342878192535218+0.0011028926372343639j),(0.0004201294301208265+0.010849410582409277j),(1.8314574016284047e-07-1.3165970525332073e-07j),(-0.0056785199376298895-0.009074172826846189j),(-2.652320406176037e-05+0.00010038077816002041j),(0.002276096367860722-0.00021344165308413552j),(-8.465499029676091e-05-0.0024096055414018574j),(-3.434335392809658e-07-1.4013433652079416e-07j),(0.00013287756555094217+0.000160724805353036j),(-3.0786771951037564e-05-1.9079833039570167e-05j),(0.0011375362057750647+0.0004969661681805641j),(1.0013628411305444+1.0009922517574534j),(0.598641549808604-0.21309283521508982j),(2.3385594914906283+2.6921020530854776j),(0.7510710893980495+0.17833962929298733j),(1.7107909452670325-0.2323102662593113j),(-0.0063693370470722455+0.6937529347474235j),(0.6505240763019848-0.5288920486174602j),(-1.092131141552984+2.6898737658211576j),(-0.7878417910630983+0.5773142647775303j),(-0.880234025525821-0.7261799310133991j),(-0.295910961494565-0.26038285145983225j),0.0
0.06,(0.003255998769016837+0.0012832646080433439j),(-0.0003731195426439124+0.012643955652596853j),(2.2228475400048253e-07-1.513741389810369e-07j),(-0.005746112736640906-0.010935413173250585j),(-4.087198549593339e-05+0.00011724679703678687j),(0.0026330744586463765-0.00011467352616908479j),(8.808378899724525e-05-0.002822664672891054j),(-3.956050684735541e-07-1.7920364997939166e-07j),(0.00014542799268307965+0.00019426477336742144j),(-3.4810830706838435e-05-2.4233664315909923e-05j),(0.0012917441412698956+0.0006530381601268074j),(1.0015257859626285+1.00120769779932j),(0.5986644085337993-0.21314584373096104j),(2.3385590636625007+2.6920933051401725j),(0.7511001777505646+0.17849023260595717j),(1.7108065549579685-0.23227369236103587j),(-0.006386176220993698+0.693791143591766j),(0.6505790930097999-0.5289594876674674j),(-1.0921278974207747+2.689878604743689j),(-0.7878535708911855+0.5773254326881403j),(-0.8802444892966756-0.7261858211967619j),(-0.29593724326116533-0.2603906315444618j),0.0
0.07,(0.003075817712287973+0.0014481751701454055j),(-0.001398083681716806+0.01425535706665142j),(2.613204784923147e-07-1.6886205408804566e-07j),(-0.005505354005771993-0.012718033472431401j),(-5.801751273990081e-05+0.00013221137099083213j),(0.002952818615764364+2.069255177937921e-05j),(0.0003132308323898942-0.0031996050490110035j),(-4.4179574202906584e-07-2.2075021451039548e-07j),(0.00015358171399316924+0.0002273718577644727j),(-3.808586496323218e-05-2.9656156244075893e-05j),(0.001419742560322069+0.0008213211396078226j),(1.0016596024495468+1.00142412897143j),(0.5986959885338718-0.21320193612267144j),(2.3385599132636394+2.6920833617909303j),(0.7511159020395298+0.1786596424161926j),(1.7108207373753614-0.2322308802625459j),(-0.006409118540534641+0.6938309268533331j),(0.6506476066652457-0.5290290452412019j),(-1.092124948007892+2.689884404117948j),(-0.7878679405670233+0.5773363385382201j),(-0.8802554339903628-0.7261936006092481j),(-0.29596548585731375-0.26040225362062996j),0.0
0.08,(0.0028903349356079215+0.0015972293759805402j),(-0.0026225296166381843+0.015668488986415766j),(2.9982989868321546e-07-1.8422698893396768e-07j),(-0.004987620866178325-0.014390184061130244j),(-7.776687969155776e-05+0.00014496404963845345j),(0.003234804347995207+0.0001871208717660154j),(0.0005845988308465355-0.003536737591171514j),(-4.820527418808464e-07-2.64158617692082e-07j),(0.0001576218746011057+0.00025969926955471477j),(-4.062736941776461e-05-3.526666802492494e-05j),(0.001521868769978382+0.0009987226968723455j),(1.0017668212650652+1.0016398418301262j),(0.5987353943712814-0.21326027194635142j),(2.3385622585003647+2.6920725236066603j),(0.7511202348824586+0.17884331986193855j),(1.7108333788835912-0.23218135740441923j),(-0.006437759453717782+0.6938710691181729j),(0.6507287530047248-0.5290997233867835j),(-1.092122447418617+2.689891070878734j),(-0.7878846672582983+0.5773466078947908j),(-0.8802665986958237-0.7262032202709422j),(-0.29599508347025627-0.2604176416625939j),0.0
0.09,(0.0027015791829601388+0.0017302584535806463j),(-0.00401438396297095+0.016874142043061095j),(3.374151370986296e-07-1.9760565954059486e-07j),(-0.004225560840721565-0.01592677235595275j),(-9.990723923137063e-05+0.00015524252911348733j),(0.0034791822244811936+0.0003791796714917976j),(0.0008958824185675781-0.0038316352255180577j),(-5.165258781126713e-07-3.0882260614397216e-07j),(0.0001578755628770968+0.000290949083548358j),(-4.246340177354331e-05-4.099009916834099e-05j),(0.0015989124594665736+0.0011823397928593443j),(1.0018501891425722+1.0018533482248888j),(0.5987819317760111-0.2133200750499951j),(2.3385662566724434+2.6920610742590227j),(0.751114496039938+0.17903769849450996j),(1.7108443426154498-0.23212486084078737j),(-0.0064716923839166374+0.6939105937454915j),(0.6508217770890614-0.5291705969271107j),(-1.0921205184520775+2.6898985092524352j),(-0.7879035254390357+0.5773559377770318j),(-0.8802777561571288-0.7262146199310722j),(-0.2960255116725414-0.2604367027031237j),0.0
