t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,E
0.0,(0.004115226337798873+2.2357670130933177e-13j),(-2.762561413452451e-15+2.3801874005430715e-14j),(-7.572604475340873e-14+1.1386548391631112e-12j),(2.584834799279804e-15+1.6527314677258766e-15j),(-3.5277774615748256e-14-1.4805019816553936e-14j),(9.574345597277486e-14+1.6012543516815333e-14j),(-7.06776709212597e-18-1.4606832204789805e-17j),(-3.148748159384917e-14-4.824623194080987e-14j),(-2.824940784677255e-14+6.008899368892263e-14j),(-2.5328519006910547e-13+1.9974003021441777e-13j),(8.240947720232486e-14+7.70528474241758e-14j),(1+1j),(0.734502079167084+2.157706006818329j),(0.9917796956252692-0.7677448242364715j),(1.3238142803615955+2.5987483051948055j),(0.30846428425768013-1.3973192582436447j),(-0.33332319750052375+1.641253536153733j),(3.298722708951937-0.06502528304463273j),(-0.17638781756309552+1.9516071102324002j),(0.25794681318818957+0.7110014739112714j),(0.5419606130086945+0.15567669046443655j),(-0.3377512607516515-0.034185211133063165j),0.0
0.01,(0.0038681886487300357+0.0006222093886044925j),(-2.069199847289618e-05+2.24340552073277e-05j),(-1.9792462107286653e-06+6.672031079069384e-06j),(1.3522396667033673e-06+1.484102631676138e-06j),(-9.196464610786522e-08+6.733144542591887e-07j),(-4.8348141890911705e-05-2.1498453831653463e-07j),(-2.0687297392425614e-08-2.953045791140557e-08j),(2.5620627078771983e-06+3.6940875692268544e-05j),(-0.0004360807636206463-0.00010803286305121457j),(0.00015446168961450924-0.00018822266937616614j),(-3.701738445719585e-06-1.7922238134926894e-05j),(1.000001241055541+1.0000123182246288j),(0.7345021267161239+2.157706026421042j),(0.9917797466773508-0.7677448073752287j),(1.3238143115310192+2.598748296501286j),(0.30846430819207016-1.397319267452254j),(-0.33332321343510496+1.6412535818802392j),(3.298722692215663-0.06502527349806692j),(-0.17638781073210635+1.9516071569528761j),(0.25794669286148975+0.7110014785987918j),(0.5419608465854596+0.1556765912646972j),(-0.3377512765379561-0.03418527242827575j),0.0
0.02,(0.0035418508228178317+0.001184324286872468j),(-4.5200282412917624e-05+3.8919782779867806e-05j),(-5.920967565052114e-06+1.2064942483761367e-05j),(2.2919020056136334e-06+3.2388529264945268e-06j),(-3.807438649965896e-07+1.2568830552033792e-06j),(-9.220503326264554e-05-1.2343973509987172e-05j),(-3.1131961498524564e-08-6.426824797866668e-08j),(-4.060956542680131e-06+7.140848368492141e-05j),(-0.0007826903399892064-0.0003125020107591699j),(0.0003448559395426176-0.00030196127721521574j),(-1.8739008626181993e-06-3.4929256827706357e-05j),(1.0000014647443625+1.0000240403142577j),(0.7345022552468595+2.1577061097178163j),(0.9917798854075588-0.7677447453906605j),(1.3238144074980545+2.5987482854992128j),(0.30846437849264907-1.3973192856244692j),(-0.33332328103058534+1.6412537013509039j),(3.2987226404804884-0.06502525096160708j),(-0.1763878149617521+1.9516072912750497j),(0.2579463610835128+0.7110014283232248j),(0.5419615006248013+0.155676383806196j),(-0.3377512990400758-0.034185446870515675j),0.0
0.03,(0.0031474433304779477+0.0016763916080412902j),(-7.238943644839823e-05+4.899757637788453e-05j),(-1.1445574637707406e-05+1.579356068364179e-05j),(2.7838206982659783e-06+5.185870270264456e-06j),(-8.386971942095646e-07+1.7129712371235966e-06j),(-0.00012967988982161535-3.505650954908126e-05j),(-3.0304333576920184e-08-1.0203938266817657e-07j),(-1.9057361001293292e-05+0.00010190215665381872j),(-0.0010297457808019427-0.0005905312813906064j),(0.0005522955874862053-0.00033989810370895727j),(4.983157486573635e-06-4.9981034440230136e-05j),(1.0000008986645867+1.000035264420933j),(0.7345024442591996+2.1577062888056107j),(0.9917800930287107-0.7677446221459509j),(1.3238145710562612+2.598748293187722j),(0.3084644936074765-1.3973193000337636j),(-0.33332342591159525+1.6412538710844145j),(3.2987225512637024-0.06502522368421977j),(-0.1763878627907751+1.951607505017782j),(0.25794585199868497+0.711001242504617j),(0.5419625226196246+0.15567618923179244j),(-0.3377512952694148-0.034185723332642665j),0.0
0.04,(0.002697430116290783+0.00209080748745721j),(-0.00010108901654695736+5.2441922905024296e-05j),(-1.810624405923471e-05+1.758043730988612e-05j),(2.809352077004192e-06+7.243377965683001e-06j),(-1.4316623726488862e-06+2.0116938600370428e-06j),(-0.00015922714409131547-6.673293789391865e-05j),(-1.7617857950403462e-08-1.405201618373111e-07j),(-4.1371677095400724e-05+0.00012714700657812726j),(-0.0011718201583260201-0.0009189304139872452j),(0.0007594136997223049-0.0003045387812377217j),(1.6194891118446314e-05-6.220180144267238e-05j),(0.9999997735821474+1.0000461369682887j),(0.7345026706532737+2.1577065953926673j),(0.9917803446606752-0.7677444123384458j),(1.323814803364026+2.5987483423129776j),(0.30846465274513035-1.3973192939721868j),(-0.3333236758635421+1.6412540673462046j),(3.2987224227212573-0.06502520250811666j),(-0.17638798833973907+1.9516077902111237j),(0.2579451801915003+0.711000834019998j),(0.541963899236014+0.15567617602203232j),(-0.33775122503955185-0.03418609518998232j),0.0
0.05,(0.0022055569518844207+0.002422121670820911j),(-0.0001300860208477397+4.9240694339327593e-05j),(-2.5397500154351272e-05+1.7236881897655996e-05j),(2.364866781960101e-06+9.325852648758178e-06j),(-2.119530668867248e-06+2.129722715482647e-06j),(-0.00017959916344937227-0.0001054722520529211j),(7.116328117569332e-09-1.7724348962146217e-07j),(-6.971486461544368e-05+0.00014606143240181014j),(-0.0012076932230746492-0.0012738739257310615j),(0.0009496871243210073-0.0002019431626242026j),(3.092250242099265e-05-7.08494114303191e-05j),(0.9999982359656882+1.0000566747962005j),(0.7345029214956139+2.157707039404041j),(0.9917806420360932-0.767744120533451j),(1.3238151048285567+2.5987484427973873j),(0.308464855104975-1.397319267703777j),(-0.3333240341864908+1.641254280207592j),(3.2987222514160925-0.0650251871889778j),(-0.17638820057079685+1.9516081401573686j),(0.2579443732667096+0.7110002002111002j),(0.5419655787486043+0.15567632864025982j),(-0.3377510862531287-0.03418655493852621j),0.0
0.06,(0.0016860092726968536+0.0026669482396432156j),(-0.00015819431690585527+3.9561727388269445e-05j),(-3.279994752049425e-05+1.4658898996260151e-05j),(1.4596373765079045e-06+1.1349072160483798e-05j),(-2.85973888811997e-06+2.050547400022672e-06j),(-0.00018986041763339643-0.00014923974936485236j),(4.3738758988866035e-08-2.0975261547233839e-07j),(-0.00010267087587784443+0.0001577813124202778j),(-0.0011395818254346117-0.0016321992370816828j),(0.0011081181705817188-4.058210831025746e-05j),(4.82409156219671e-05-7.533060963259716e-05j),(0.9999963611964013+1.000066802422877j),(0.7345031914845496+2.157707615625261j),(0.9917810079767448-0.767743771258649j),(1.3238154753447378+2.5987485957719536j),(0.3084651008689668-1.3973192335893574j),(-0.33332448742974413+1.6412545101960458j),(3.2987220316932677-0.0650251699876684j),(-0.17638849080732946+1.9516085498457663j),(0.2579434659861747+0.7109993985031101j),(0.5419674887376476+0.1556764952502089j),(-0.3377509040273073-0.03418709621365171j),0.0
0.07,(0.0011524867138684217+0.002824372043831797j),(-0.00018434448927040945+2.3766713211244375e-05j),(-3.9817069644524585e-05+9.862080636022563e-06j),(1.1721015239269919e-07+1.3236300472072506e-05j),(-3.610057533269065e-06+1.7674658226870315e-06j),(-0.00018950600241510694-0.0001960032072993028j),(9.16841852524604e-08-2.3576098137481912e-07j),(-0.00013878477046111123+0.00016175792624599842j),(-0.0009732987293226518-0.0019733625156976953j),(0.0012230823625825036+0.0001693320191245339j),(6.720209139905708e-05-7.527854896273904e-05j),(0.9999942460847088+1.0000765379868204j),(0.7345034693889687+2.1577083272900253j),(0.9917814503700878-0.7677433670949091j),(1.323815913165875+2.598748809365266j),(0.30846539166806-1.3973191932134503j),(-0.3333250352031533+1.6412547522103782j),(3.2987217581233663-0.06502515065692481j),(-0.17638886261768225+1.9516090145991472j),(0.2579424699703519+0.7109984420012988j),(0.5419696095739683+0.15567663906211943j),(-0.3377506808803736-0.03418771805158672j),0.0
0.08,(0.0006181993476983608+0.0028959508047747763j),(-0.00020758421840636553+2.4112970411576225e-06j),(-4.597537263685977e-05+2.9817804071903467e-06j),(-1.6245861268751125e-06+1.4918313559897016e-05j),(-4.328601499990291e-06+1.2835986111987934e-06j),(-0.00017846220887205133-0.00024373341871875202j),(1.4998124350292944e-07-2.5315287313966145e-07j),(-0.00017656305152688413+0.0001577584143868862j),(-0.0007182540773742823-0.002279447071067606j),(0.001286336766833112+0.00041584763668925503j),(8.683526887586403e-05-7.055315479028943e-05j),(0.9999920092699248+1.0000859940344775j),(0.7345037379904654+2.1577091861786024j),(0.9917819620130124-0.7677428884998416j),(1.3238164148981457+2.5987490987696975j),(0.3084657305827498-1.397319137286997j),(-0.33332569030266523+1.641254995451675j),(3.2987214255143793-0.06502513650461818j),(-0.17638933194129558+1.9516095300671084j),(0.2579413735726613+0.7109972990459154j),(0.5419719747203632+0.1556768394083843j),(-0.3377503965199291-0.034188424904868835j),0.0
0.09,(9.58676836447965e-05+0.002885715115340722j),(-0.00022707828069454524-2.3754921815575054e-05j),(-5.0824385231473945e-05-5.726886540066319e-06j),(-3.7136402260198412e-06+1.6333399405490134e-05j),(-4.973830076773152e-06+6.118891119741768e-07j),(-0.00015708652338760547-0.0002904041918785692j),(2.1725245634045428e-07-2.599834204035005e-07j),(-0.0002144736658199353+0.00014586577824630154j),(-0.00038745539094378124-0.0025351633545098464j),(0.0012930199922749843+0.0006852739409816552j),(0.00010614696562190378-6.124112494110516e-05j),(0.9999897912202562+1.0000953775202381j),(0.73450397408334+2.157710212617831j),(0.991782520611842-0.7677422938077973j),(1.3238169755005988+2.5987494862414064j),(0.30846612214307223-1.3973190456473596j),(-0.3333264787103223+1.641255223423295j),(3.298721028911704-0.06502514239375437j),(-0.1763899270887049+1.9516100922260118j),(0.257940141879486+0.7109958932121863j),(0.5419746707315999+0.15567729174354974j),(-0.33775000784289083-0.03418922664234535j),0.0
