t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014,A_0015,A_0016,A_0017,A_0018,A_0019,A_0020,A_0021,A_0022,A_0023,A_0024,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00,z_0015_00,z_0016_00,z_0017_00,z_0018_00,z_0019_00,z_0020_00,z_0021_00,z_0022_00,z_0023_00,z_0024_00,E
0.0,(-20.453125+24j),(12.1875+5.6875j),(4.375+12.03125j),(-14.125-19.4375j),(3.6875-0.5732421875j),(0.7109375-1.1796875j),(0.4375-7.1015625j),(-8.0859375-2.46875j),(-8.25+1.59375j),(-0.4189453125+0.546875j),(0.703125-7.078125j),(5.90625-0.953125j),(1.044921875-0.857421875j),(0.2177734375-0.026123046875j),(0.443359375+0.212890625j),(4.0234375-1.6328125j),(5.40625-0.140625j),(0.76953125-1.208984375j),(0.6484375-0.328125j),(6.1875+2.3828125j),(4.25-1.1875j),(0.109375-1.84375j),(0.32421875+0.0615234375j),(0.51953125+0.234375j),(0.0927734375-0.12994384765625j),(-0.30361788476968976-5.564495785006701e-07j),(-0.30361788476968976+0.2499994435504215j),(-0.30361788476968976-0.2500005564495785j),(-0.05361788476968976-5.564495785006701e-07j),(-0.5536178847696898-5.564495785006701e-07j),(-0.30361788476968976+0.4999994435504215j),(-0.30361788476968976-0.5000005564495785j),(-0.05361788476968976+0.2499994435504215j),(-0.05361788476968976-0.2500005564495785j),(-0.5536178847696898+0.2499994435504215j),(-0.5536178847696898-0.2500005564495785j),(0.19638211523031024-5.564495785006701e-07j),(-0.8036178847696898-5.564495785006701e-07j),(-0.30361788476968976+0.7499994435504215j),(-0.30361788476968976-0.7500005564495785j),(-0.05361788476968976+0.4999994435504215j),(-0.05361788476968976-0.5000005564495785j),(-0.5536178847696898+0.4999994435504215j),(-0.5536178847696898-0.5000005564495785j),(0.19638211523031024+0.2499994435504215j),(0.19638211523031024-0.2500005564495785j),(-0.8036178847696898+0.2499994435504215j),(-0.8036178847696898-0.2500005564495785j),(0.44638211523031024-5.564495785006701e-07j),(-1.0536178847696898-5.564495785006701e-07j),0.0
0.01,(-20.450127797095465+23.99625598416822j),(12.19050415118955+5.683759851501531j),(4.377994660941346+12.02750734388835j),(-14.122005920974896-19.441243170140428j),(3.690489442272519-0.5769871963315283j),(0.7139571878740513-1.1834091472353376j),(0.44049663951316625-7.1052980437588955j),(-8.08294315643108-2.4724855110072257j),(-8.247001144914028+1.5900054755468442j),(-0.41593300409228223+0.5431102393732274j),(0.7061279310062496-7.081884143080017j),(5.909235592278593-0.9568731416508163j),(1.047797262540189-0.861182513664721j),(0.22128852069691865-0.02954162981592444j),(0.44600281804835323+0.20920809744417068j),(4.026437163104687-1.6365555236046647j),(5.409244828452835-0.14436782871538117j),(0.7725653454038821-1.2126620936525117j),(0.6513444969675969-0.3317843247593861j),(6.190491768385439+2.379069916654667j),(4.252989012250916-1.1912640715331533j),(0.11231706299449844-1.847537212376844j),(0.32751694980195944+0.057932983495969266j),(0.5224793566173837+0.2304317792585073j),(0.09463254324052943-0.1354897621411881j),(-0.3032806763077115-0.00025589002534418773j),(-0.30388731445143724+0.2507104122834555j),(-0.30339472523462485-0.2501897195241686j),(-0.05319168603355774-0.00030165635618510325j),(-0.553241528593573-4.416501627565195e-05j),(-0.3039326489462164+0.499976741618523j),(-0.30365575969978126-0.5001228144217479j),(-0.05330312465524015+0.24984650209036133j),(-0.053800808693883095-0.2498008871283952j),(-0.5535099474680856+0.24991105006844505j),(-0.5546855754901332-0.2514837290595187j),(0.19610832000192877-0.00039092782842755134j),(-0.8028853241287648+0.0016672752334952372j),(-0.3047814713337528+0.7513073864585227j),(-0.3017170405993535-0.7479508244550258j),(-0.052315719460575345+0.5003440199766483j),(-0.054417379831726544-0.4996284897735289j),(-0.5534625922091245+0.4985185318501458j),(-0.5524879438313347-0.4995776307791361j),(0.1972214044907418+0.2493801494596306j),(0.19551635463650854-0.2506163458476125j),(-0.8021302933633611+0.25091118812020846j),(-0.8046416098412932-0.25088992584992886j),(0.4455065612038571-0.001433691896701335j),(-1.0557933827388148+0.003363493492263365j),0.0
0.02,(-20.447612539803075+23.992130555850867j),(12.193026702920376+5.679637400325894j),(4.3805077793815945+12.023383504142062j),(-14.119493713073012-19.44536764892553j),(3.6929971481340917-0.5811126873179586j),(0.7164967194040427-1.187513953017451j),(0.44301252100330485-7.109415958587215j),(-8.080429962459638-2.4766024461961944j),(-8.244484228203975+1.5858792077554038j),(-0.41340561033339795+0.5389623907487808j),(0.7086463087736501-7.086025158370018j),(5.911739447141613-0.9610020386777992j),(1.050195696743551-0.8653070673233911j),(0.22433784886237843-0.033404880139973565j),(0.44818611477951315+0.20519343294749826j),(4.028954646659528-1.6406803129308378j),(5.411757998650323-0.14849219694123614j),(0.7751278764302773-1.2167314802080738j),(0.6537887381423173-0.3358148189366728j),(6.193001294215841+2.3749467347845212j),(4.255494362825757-1.1954082357545701j),(0.11477175859633501-1.8517027717332604j),(0.33034569030705024+0.05391064358985697j),(0.5249365004928954+0.2261151284023045j),(0.0958814345337728-0.14123799412090357j),(-0.30298976496030666-0.0005368320408113744j),(-0.3040835964401041+0.251452146833277j),(-0.3032168863195491-0.25040395960227j),(-0.052793221727017926-0.0006279977065858829j),(-0.552886073773026-0.00013670988777945463j),(-0.3042418351196967+0.4999699847418226j),(-0.30375589477823434-0.500278511719607j),(-0.05300677768371268+0.2496684516068387j),(-0.053956028853413565-0.2495868632289916j),(-0.5534165162577773+0.2498099452883169j),(-0.5559590891718861-0.25274453935867075j),(0.19583103297768634-0.0007636060169101374j),(-0.8019798239834068+0.0031222466902719325j),(-0.30579745600057306+0.752703030983997j),(-0.2996060614573241-0.7462379864565564j),(-0.05100774111092549+0.5005604473878281j),(-0.055163056038325886-0.4991889863336763j),(-0.5535393741178463+0.49713118564205344j),(-0.551338852725547-0.49935191440318566j),(0.19794737416271477+0.24875105109976398j),(0.1946031168523596-0.2511280183884839j),(-0.8006875581523043+0.2516972083346979j),(-0.8057603567707879-0.25161655680535633j),(0.44457757977230056-0.002778798552045979j),(-1.0576739073613426+0.006911793481128819j),0.0
0.03,(-20.445628984231835+23.987689853778623j),(12.195017718976903+5.675198987946843j),(4.382489493199429+12.018944753042826j),(-14.117513089158965-19.449806957707253j),(3.694973242434147-0.5855523887952706j),(0.718506265483112-1.1919356644007093j),(0.4449976208716896-7.113849964851705j),(-8.078447767126898-2.4810345709487622j),(-8.242499145644807+1.581437546434986j),(-0.4114131145404203+0.5344980971233793j),(0.7106304145835833-7.090481216296823j),(5.91371185541369-0.9654453383180853j),(1.05206903501487-0.8697307924410342j),(0.2268651862924112-0.03764230249184504j),(0.44986632098740276+0.2009097775724155j),(4.030940041364377-1.6451206042802835j),(5.413739609058994-0.15293177131440389j),(0.7771670856459991-1.2211273856712481j),(0.6557209827603584-0.3401535248329591j),(6.194978746237759+2.3705091913903535j),(4.257466330450125-1.1998659970821268j),(0.11668971863344435-1.856179666079697j),(0.332647237006559+0.049524719366246965j),(0.5268540337642609+0.2214929666144244j),(0.09650286708700544-0.14711180777777252j),(-0.30274830486142446-0.0008418111201680502j),(-0.3042031197324973+0.2522190123235555j),(-0.30308627393548615-0.25063645817133323j),(-0.052427139564242185-0.0009754599167821031j),(-0.5525545759695113-0.0002724321000446654j),(-0.30454811185565456+0.4999770342275425j),(-0.3039179188279391-0.5004521157106642j),(-0.052730792330899445+0.24946753488720652j),(-0.0540825285974019-0.2493620526159758j),(-0.5533387145472265+0.2496981942762504j),(-0.5573882442603161-0.25377185780661893j),(0.1955551760369661-0.001114447351433766j),(-0.8009360260371463+0.004354382987869521j),(-0.3066699581600355+0.7541650119900978j),(-0.29733327154600825-0.7448861274353774j),(-0.04970013952570276+0.5006487006393275j),(-0.05584763228165514-0.4986860912782876j),(-0.553820981130928+0.4958627803286921j),(-0.5502005692900127-0.4993172843233288j),(0.19855160616306575+0.2481154037264462j),(0.19365260126457268-0.2515334811680937j),(-0.7992947161575449+0.25236665382016454j),(-0.8069451288635244-0.25217963084124806j),(0.4436075613125521-0.004026339978975169j),(-1.059251550581961+0.010580955727845759j),0.0
0.04,(-20.444213976558945+23.983004425479088j),(12.196440248240943+5.6705152281977345j),(4.383902927491917+12.014261651787551j),(-14.116100834628185-19.45449042684229j),(3.6963808594612604-0.5902357250713415j),(0.7199489801383866-1.1966037762515385j),(0.44641489541037904-7.118529469834511j),(-8.077033451706932-2.4857113416881482j),(-8.241082810445391+1.576751133742688j),(-0.4099924975510507+0.5297883080778403j),(0.7120435639336641-7.09518127983145j),(5.915116053500304-0.9701324081438719j),(1.0533817831854577-0.8743846434915739j),(0.22882909989654276-0.04217915136189672j),(0.45101246371312553+0.1964235017633962j),(4.032356449760916-1.6498058388760415j),(5.415152736414028-0.1576159184053769j),(0.7786441097466948-1.2257800314693241j),(0.6571043691101924-0.34473301544966467j),(6.196387261393863+2.3658278110861426j),(4.258868187463856-1.2045665937417027j),(0.11803450593020245-1.8608965911005748j),(0.3343779242171834+0.04484830288952335j),(0.5281960349666913+0.2166372086023945j),(0.09648778684132317-0.1530358254901001j),(-0.30255896964675805-0.001167620904474111j),(-0.3042424292175692+0.25300483666800805j),(-0.3030034733391818-0.25088011647447767j),(-0.052096949427195165-0.001340251161509563j),(-0.5522495442121313-0.00044633673265162636j),(-0.3048543222102852+0.49999692008648683j),(-0.304139285308496-0.5006291733467048j),(-0.0524766281777141+0.2492456144678214j),(-0.05417970561707626-0.2491299133951129j),(-0.5532774644892297+0.24957785559469667j),(-0.5589275823899559-0.2545606988675074j),(0.19528443911303883-0.0014402436191351502j),(-0.7997864239839869+0.005359113173224659j),(-0.30740495925134803+0.7556765703448058j),(-0.29494756856314913-0.7439099280844043j),(-0.04839697582923622+0.5006106241478777j),(-0.05646455590460735-0.4981245059712803j),(-0.5542785424114915+0.4947328902029436j),(-0.5490996333470426-0.49946355885200633j),(0.19902802006797427+0.2474745663045651j),(0.19267524726556368-0.2518316441591741j),(-0.7979534909353817+0.25292937382348774j),(-0.8081701704311727-0.2525806505149068j),(0.44260658805220865-0.005168679077814875j),(-1.0605247720542332+0.014319134030892052j),0.0
0.05,(-20.443391453029804+23.978149227276788j),(12.197270324691702+5.665661007271528j),(4.384724194574508+12.009409050488385j),(-14.115280807406906-19.459343195692075j),(3.697196142943152-0.5950878164259461j),(0.7208010005309837-1.2014435312484195j),(0.4472402808022163-7.123379567733175j),(-8.076210929706669-2.4905579058789336j),(-8.240259153248497+1.5718949041833985j),(-0.40916773772361875+0.5249082797770805j),(0.7128621065377392-7.100050104489108j),(5.915928223387781-0.9749883360624177j),(1.054111095513154-0.8791952729578321j),(0.23020295919779282-0.0469364310861467j),(0.4516055412449655+0.19180420034695544j),(4.0331799862326605-1.6546611628624264j),(5.4159734357192555-0.16246970471830097j),(0.7795329795568442-1.230615009452318j),(0.6579144145325667-0.34948139448853016j),(6.197202944822948+2.3609774060990545j),(4.259676199821012-1.2094349977671788j),(0.11878261430742663-1.8657779501542893j),(0.3355081550810321+0.039959276703870415j),(0.5289393090328841+0.21162376459823679j),(0.0958353299716424-0.15893602783212063j),(-0.3024239524537446-0.001509420051661358j),(-0.30419822567641747+0.25380291057039894j),(-0.3029677491331041-0.2511275555104916j),(-0.051805023365634265-0.001718908374238597j),(-0.5519729408976294-0.0006541929088062655j),(-0.3051634837304555+0.5000298410330413j),(-0.3044152723162157-0.5007963111637918j),(-0.05224525591019187+0.2490041726340436j),(-0.05424737194577227-0.24889379391332486j),(-0.5532334869809178+0.2494509813023446j),(-0.5605363683845035-0.2551122210100406j),(0.1950212801930631-0.001738722057880207j),(-0.7985613635084063+0.006137270273092708j),(-0.3080103027630414+0.7572255529208297j),(-0.292498423701826-0.7433146648082597j),(-0.047100182465221394+0.5004499318915737j),(-0.0570080027008012-0.49750958799222245j),(-0.5548815656507068+0.4937552884480243j),(-0.5480591667035719-0.4997764976124984j),(0.1993728731129627+0.2468280015082717j),(0.19168173425345497-0.2520224202112882j),(-0.7966622925773872+0.25339591721215166j),(-0.8094129667917225-0.2528234394155508j),(0.4415824340695528-0.006200078085854312j),(-1.0614983991405962+0.018086023776395566j),0.0
0.06,(-20.443172439957998+23.973203624293188j),(12.197496967405765+5.660715483720791j),(4.384942393981032+12.004466088172686j),(-14.115063937952181-19.464286212622785j),(3.697408246046688-0.600029479110757j),(0.7210514469560106-1.2063759198818909j),(0.4474626931208291-7.128321039660637j),(-8.075991146865892-2.495495102027063j),(-8.240039122130783+1.566948084609796j),(-0.40894981093708227+0.5199375749701152j),(0.7130754263258882-7.105008238329205j),(5.916137492643296-0.9799339303160428j),(1.054246774682327-0.8840850313315305j),(0.23097493633267505-0.05183089584627326j),(0.451638523118387+0.1871246925316493j),(4.033399777004962-1.6596074273050279j),(5.416190740247152-0.16741389669097528j),(0.7798206200297602-1.235553281892974j),(0.6581390154205037-0.35432229635161716j),(6.197414869859927+2.356037076269444j),(4.259879627089889-1.2143919150004383j),(0.11892346858237562-1.8707438542732087j),(0.336022401565625+0.03494031383327273j),(0.5290733872930228+0.206532540358468j),(0.09455282288670006-0.16473975357399728j),(-0.3023449659215652-0.0018607322365334965j),(-0.3040673657822852+0.2546059875245401j),(-0.30297704526544306-0.25137111603383233j),(-0.051552595597109646-0.0021082972471740727j),(-0.5517261817903885-0.0008925337953400951j),(-0.3054787884537039+0.5000771644851733j),(-0.3047389825841192-0.500941235282265j),(-0.052037157319489546+0.2487443114202371j),(-0.054285753958932995-0.24865693275869058j),(-0.553207301663757+0.24931961695412097j),(-0.5621785902568216-0.2554337267074831j),(0.1947669253180852-0.0020085453562640582j),(-0.7972890422853557+0.006695091294047747j),(-0.30849569423296946+0.7588044125956058j),(-0.2900358816504545-0.7430962097232748j),(-0.045809563196720283+0.5001722074098749j),(-0.05747287691458104-0.49684735113633277j),(-0.5555979370677921+0.49293794713748484j),(-0.5470988731511608-0.5002378015389245j),(0.19958476019289628+0.2461732757209801j),(0.19068298163207548-0.2521067250508303j),(-0.7954162177104067+0.25377753247424506j),(-0.8106542442694833-0.25291414216431396j),(0.4405405652935524-0.007116698577345927j),(-1.0621836269123615+0.021852861938134124j),0.0
0.07,(-20.443555053725316+23.968251390446667j),(12.197122180557113+5.655762088457693j),(4.384559612463704+11.999516192783052j),(-14.115448229251871-19.469236235005337j),(3.6970193313778807-0.6049772253493441j),(0.7207024228425644-1.211317680454546j),(0.44708402833062977-7.1332703536452335j),(-8.07637208115724-2.5004394596798436j),(-8.240420682602812+1.5619941942223499j),(-0.40933669059102734+0.5149600629900581j),(0.712685941444423-7.109972021955342j),(5.915745934414872-0.9848857194821283j),(1.053791271803872-0.88897196711329j),(0.2311480060511969-0.05677504966961495j),(0.451116350116035+0.1824610219080749j),(4.033017960145001-1.664561188190711j),(5.415806661538842-0.1723649606948525j),(0.7795068502475885-1.2405111814867626j),(0.6577784472193006-0.3591748861413081j),(6.1970250780358365+2.351090209050851j),(4.259480722453009-1.219353785091368j),(0.11845942456874944-1.875710122163675j),(0.33591920446389306+0.029878877781515017j),(0.528600527474777+0.20144743716409946j),(0.09265578222905362-0.1703756996818225j),(-0.3023232421911447-0.0022134461507661396j),(-0.3038468621005608+0.2554062838142906j),(-0.30302798503011097-0.2516028585546262j),(-0.05133976250696421-0.0025056122312553963j),(-0.5515101360224324-0.001158656602710215j),(-0.30580360290824027+0.500141426564432j),(-0.30510134348193785-0.5010527314067418j),(-0.05185232530188549+0.24846675260976958j),(-0.05429549237410897-0.24842245876044594j),(-0.5531992269235481+0.24918580160119028j),(-0.5638229592089383-0.25553866243765944j),(0.19452136858303914-0.002249311653611032j),(-0.7959955099802596+0.007044217222482575j),(-0.30887270124830907+0.760410208251298j),(-0.2876105605927866-0.7432410306574888j),(-0.04452279310616136+0.4997849038036045j),(-0.05785481124101691-0.49614446541448043j),(-0.5563939214100143+0.4922830372352101j),(-0.546235038465994-0.5008251128762434j),(0.19966461386198314+0.2455060590353677j),(0.1896901488109607-0.25208647728102584j),(-0.7942070494965596+0.2540861677184616j),(-0.8118779701950845-0.2528612244142457j),(0.439484139503861-0.00791660146350541j),(-1.0625980181497148+0.02560242707753558j),0.0
0.08,(-20.444520335351225+23.963379929951152j),(12.196165005350819+5.650887940997947j),(4.3835950240030295+11.994646474358632j),(-14.116414656015195-19.47410635413673j),(3.6960486292978865-0.6098438631167946j),(0.7197730915093208-1.216181891903844j),(0.44612329118807487-7.138140278911287j),(-8.07733466551916-2.505303819140716j),(-8.241384720534178+1.5571203915289982j),(-0.4103092595387128+0.5100633047671591j),(0.7117131201784807-7.114854196061407j),(5.914772607140423-0.9897565795111324j),(1.0527634547424265-0.8937705915860107j),(0.23074564764877661-0.06167705543557149j),(0.4500583315243702+0.17789121426772989j),(4.032053776711826-1.6694354023188893j),(5.414840293057708-0.17723573123504816j),(0.7786084193483911-1.2454010139585867j),(0.656849377675166-0.3639542817448682j),(6.196052648527292+2.346223828575029j),(4.258498716284628-1.2242334292164443j),(0.11740991836323512-1.8805887755103796j),(0.3352156860866525+0.024866331416424584j),(0.5275381310040601+0.19645550120978825j),(0.09016212391158471-0.17577856979031956j),(-0.30236010847268163-0.002556706772948936j),(-0.30353426161077074+0.2561954813707413j),(-0.3031172500223635-0.2518157505834611j),(-0.051164083622204815-0.0029093698246348255j),(-0.5513247450809219-0.001450547342411746j),(-0.30614206636996516+0.5002263321885354j),(-0.30549381593300695-0.5011182196277295j),(-0.051690177326689714+0.24817188925589828j),(-0.05427710757056696-0.24819171441540555j),(-0.5532092852688316+0.24905169904801883j),(-0.5654467471311173-0.2554413637207864j),(0.19428081873410782-0.002461790192209512j),(-0.7947030466932651+0.0072069099317375145j),(-0.3091512884764736+0.7620559730486001j),(-0.28526508993847716-0.7437206537318641j),(-0.04323033493421351+0.49929842589014767j),(-0.05815331022638418-0.4954038652953934j),(-0.5572339296268154+0.49178677852342617j),(-0.5454799522638115-0.5015130120421561j),(0.19961514442039702+0.24481597468527183j),(0.18870974695109358-0.2519602398991409j),(-0.7930191863046487+0.254330584418767j),(-0.8130747266374153-0.25267156747315667j),(0.43839952964324447-0.008594189020621602j),(-1.0627589578976901+0.02933639577874753j),0.0
0.09,(-20.44602007735259+23.958665647720235j),(12.194673099324744+5.6461702007381165j),(4.382096587788987+11.989933942359468j),(-14.11791533379371-19.478819267513547j),(3.6945440243614494-0.6145523068997968j),(0.7183112198001042-1.2208917326106847j),(0.4446284716813044-7.142853781028345j),(-8.078831086492269-2.510011190513269j),(-8.242883315904153+1.5524035470432491j),(-0.41181954863237014+0.5053247159236479j),(0.7102048844398448-7.119577703002786j),(5.913265168864987-0.9944695695617181j),(1.0512100043064283-0.898405931129212j),(0.2298250830456676-0.06645535384977493j),(0.4485059686892603+0.17348216665957522j),(4.0305552513206795-1.6741534675423537j),(5.413339639262194-0.18194941816932406j),(0.7771711062958235-1.2501449546102659j),(0.6553974797244162-0.3685842481603169j),(6.194545394516567+2.3415146917927863j),(4.256981296624378-1.2289539245364576j),(0.11582378560694259-1.8853017373958156j),(0.33395994677550994+0.019982288431085463j),(0.5259262745287279+0.19163344483056907j),(0.08708535907747897-0.18090198933484408j),(-0.30245675273849704-0.00287668628162207j),(-0.30313084689458974+0.2569644516916821j),(-0.3032469329041747-0.25200924450279505j),(-0.05101821061455271-0.003322156648037875j),(-0.5511693711423689-0.001765451751015673j),(-0.306497959395861+0.5003358606949753j),(-0.30591809864569663-0.5011245943095396j),(-0.05155025432793398+0.24786044257064843j),(-0.05422872140063366-0.24795995701559856j),(-0.5532369010238471+0.24891997935666424j),(-0.5670481862203881-0.2551377974629053j),(0.19403102623827312-0.0026464841503339325j),(-0.793424235729882+0.007220055001523172j),(-0.3093249915233493+0.763793883683631j),(-0.2830055439231166-0.7444881695430713j),(-0.04190648078228867+0.49872579852527654j),(-0.05837705176256999-0.4946180917471197j),(-0.5580891153910617+0.4914423998513304j),(-0.5448383424134499-0.5022849705551501j),(0.19943669576589723+0.24407908024963443j),(0.18773495001418922-0.25171075135696624j),(-0.7918290802151164+0.2544981684042326j),(-0.8142490380843586-0.25233923374616996j),(0.4372231251049748-0.009119469541506742j),(-1.0626575148763997+0.0330780222621069j),0.0
