N,E [H]
1,-14.638642834180839
2,-14.648717901689805
3,-14.65463844596528
4,-14.660005098820173
5,-14.662686406227296
6,-14.66348742773977
7,-14.664246561082667
8,-14.664552214392716
9,-14.664815806016358
10,-14.66514693153449
11,-14.665365697272007
12,-14.665524053308229
13,-14.665554811921782
14,-14.665669721351305
15,-14.665842534835496
16,-14.665992975961844
17,-14.666083211824883
18,-14.666112443237262
19,-14.666139852978125
20,-14.666154456364783
21,-14.666185037116012
22,-14.666210317294016
23,-14.66624334530794
24,-14.666259166260678
25,-14.666323155906412
26,-14.66635098018114
27,-14.666377598791287
28,-14.666409095333716
29,-14.666417172279775
30,-14.6664450843725
31,-14.666469329176891
32,-14.66648981842251
33,-14.666509652084837
34,-14.66651372008453
35,-14.666518828395171
36,-14.666527807618397
37,-14.666533525171385
38,-14.666538085164744
39,-14.666540694391106
40,-14.666547924932257
41,-14.666553303046376
42,-14.66655525571076
43,-14.666559016526351
44,-14.66655959183685
45,-14.666562479728697
46,-14.666568852185543
47,-14.666579942695753
48,-14.666585003841917
49,-14.666589765793946
50,-14.666597031639306
51,-14.666599176736836
52,-14.666601435434522
53,-14.666603830832242
54,-14.666612595892897
55,-14.666613264202779
56,-14.666617146356907
57,-14.66662275126572
58,-14.666624353176864
59,-14.666625117655824
60,-14.666627300707963
61,-14.666628980268039
62,-14.666634566583317
63,-14.666639307289767
64,-14.666641488272594
65,-14.666644934050304
66,-14.666645445695966
67,-14.666649665295903
68,-14.666653253057188
69,-14.66665853731666
70,-14.666664260792302
71,-14.666668545977494
72,-14.666669650069771
73,-14.666672539959508
74,-14.666672908495254
75,-14.666673309247338
76,-14.666676948669751
77,-14.666679658328533
78,-14.666684532103075
79,-14.666686603767227
80,-14.66668807223317
81,-14.66668868741467
82,-14.66669189177263
83,-14.66669624790796
84,-14.666697656278778
85,-14.666703883320661
86,-14.666705723331454
87,-14.66670775852526
88,-14.666709268033383
89,-14.666712784770105
90,-14.666714236404394
91,-14.666715877179714
92,-14.666719221070514
93,-14.666721457463181
94,-14.666722649076537
95,-14.666726249153895
96,-14.666727094669346
97,-14.666728542383932
98,-14.666733046598058
99,-14.666735217304709
100,-14.666736315235367
101,-14.666738463147379
