N,E [H]
1,-14.638642834180839
2,-14.648190782025607
3,-14.655361705878736
4,-14.661443956791247
5,-14.661645724744062
6,-14.662603748038002
7,-14.66373534984708
8,-14.664389546122159
9,-14.664896709455139
10,-14.665060410570288
11,-14.665291974337212
12,-14.665368438737769
13,-14.66543599403101
14,-14.665773634036835
15,-14.665890268486915
16,-14.66589029699166
17,-14.665966320911139
18,-14.666041623163679
19,-14.66604977737612
20,-14.666184937695169
21,-14.666185052558783
22,-14.66624509242462
23,-14.66624854734765
24,-14.666284948280277
25,-14.666305723437588
26,-14.666327779230185
27,-14.666347459935448
28,-14.666378748402968
29,-14.666393962865516
30,-14.666397844923614
31,-14.666400052838727
32,-14.666412444695178
33,-14.666420675144593
34,-14.666447480152028
35,-14.666487462533905
36,-14.66650051078311
37,-14.666508626341042
38,-14.666515613030443
39,-14.666518791121424
40,-14.66652662953257
41,-14.666527496243928
42,-14.66653624157451
43,-14.666550098689028
44,-14.66657218502608
45,-14.666578045823348
46,-14.666590353170362
47,-14.666612459650128
48,-14.666616682940624
49,-14.666617778172387
50,-14.666624497153588
51,-14.666631362898388
52,-14.666633410083097
53,-14.666635648923217
54,-14.666638503960959
55,-14.666639905050209
56,-14.666645970775498
57,-14.666655825205838
58,-14.6666714739285
59,-14.666673308917646
60,-14.666675313651872
61,-14.666676945619228
62,-14.666682014496185
63,-14.666684469582663
64,-14.666691532076095
65,-14.666695561839948
66,-14.666696319978774
67,-14.666701213054052
68,-14.666706039476283
69,-14.6667073969659
70,-14.666712920652724
71,-14.666713420262035
72,-14.666716291485347
73,-14.6667263319034
74,-14.66672699701302
75,-14.666731223930814
76,-14.666736368337162
77,-14.666737419578718
78,-14.666741551657138
79,-14.666742765667736
80,-14.666744684112839
81,-14.666745641344892
82,-14.66674805296725
83,-14.666750146362306
84,-14.66675023592266
85,-14.666754465842923
86,-14.666755731638863
87,-14.666757350009465
88,-14.666759346156999
89,-14.666761672614685
90,-14.666767537217002
91,-14.666768469451972
92,-14.666770443071465
93,-14.666772465184856
94,-14.666775805237984
95,-14.66677733923327
96,-14.666778389754533
97,-14.666781970521022
98,-14.666783634214537
99,-14.666786838715522
100,-14.666788755882132
101,-14.666789510350258
