N,E [H]
1,-14.637270521163035
2,-14.64600619402512
3,-14.650981383832173
4,-14.655298074154796
5,-14.655866320277365
6,-14.658446274606233
7,-14.660016268604876
8,-14.660773490873678
9,-14.661750510368519
10,-14.6620638570794
11,-14.662315079207616
12,-14.663550657383084
13,-14.66413178105175
14,-14.66440529591886
15,-14.664710217408214
16,-14.664883059180891
17,-14.665286413634062
18,-14.66531773043321
19,-14.665317748597964
20,-14.665352443873262
21,-14.66537694432757
22,-14.66557022001201
23,-14.665573498012533
24,-14.665596419091926
25,-14.66559784983741
26,-14.665631174782266
27,-14.665634148825387
28,-14.665647342936579
29,-14.66565168979122
30,-14.66565638881226
31,-14.665688634912932
32,-14.665711242903258
33,-14.665753902692341
34,-14.665754200842603
35,-14.665754348184944
36,-14.665758988801272
37,-14.66577545638538
38,-14.665777184571596
39,-14.665782277047335
40,-14.665784359752507
41,-14.665796167099618
42,-14.6658049041739
43,-14.665805656630164
44,-14.665810019575764
45,-14.665821127627641
46,-14.66582283004324
47,-14.665839505103081
48,-14.665855144989914
49,-14.66585861318294
50,-14.66586066850757
51,-14.665874326457521
