N,E [H]
1,-14.615123201525567
2,-14.621167950953595
3,-14.626978648402684
4,-14.633431722495702
5,-14.635219558316821
6,-14.635400155806092
7,-14.636952675609422
8,-14.636967373181871
9,-14.64524000755716
10,-14.645265635870112
11,-14.64529996993607
12,-14.645418092328041
13,-14.645518378039704
14,-14.64552304073938
15,-14.645754610734278
16,-14.645755027790907
17,-14.645811476611552
18,-14.645813491048536
19,-14.645813778244056
20,-14.64751523003119
21,-14.648100853782633
22,-14.648123678173864
23,-14.648181336829909
24,-14.648181850997563
25,-14.64818847276604
26,-14.648196036810228
27,-14.648227697588561
28,-14.648230581396037
29,-14.648305062379345
30,-14.648314485566436
31,-14.648317909800726
32,-14.648321911368068
33,-14.648323084792267
34,-14.648325473414433
35,-14.648360073695422
36,-14.648360697504852
37,-14.648363326469287
38,-14.64840546325751
39,-14.648413230977765
40,-14.648477601342467
41,-14.648537945065813
42,-14.648538950583768
43,-14.648541028783788
44,-14.648550940641739
45,-14.648551921958347
46,-14.648555916662332
47,-14.648589544814309
48,-14.648589620334125
49,-14.648590971575995
50,-14.648665186475599
51,-14.648665198108542
