N,E [H]
1,-107.48482079551198
2,-107.48941019474289
3,-107.48962743359789
4,-107.4897431042434
5,-107.49034808175463
6,-107.49043515117356
7,-107.49199859108649
8,-107.49216234067968
9,-107.49956935275263
10,-107.50244817809023
11,-107.50281615995064
12,-107.5031317570586
13,-107.50385663707098
14,-107.50392242509739
15,-107.5039587174839
16,-107.50438040261146
17,-107.50503394614798
18,-107.5068981996303
19,-107.51758399889195
20,-107.51847540058162
21,-107.5187588613739
22,-107.51916325253228
23,-107.52857750734316
24,-107.52895601576773
25,-107.52978608697174
26,-107.53104753639451
27,-107.53114739900069
28,-107.53114838417851
29,-107.53161788155947
30,-107.53161803728817
31,-107.53163297593323
32,-107.531831152739
33,-107.5324772506991
34,-107.5349594960335
35,-107.53509714198267
36,-107.53520428996556
37,-107.5354825371967
38,-107.53647830901862
39,-107.53834419371846
40,-107.53834634189329
41,-107.53845515069567
42,-107.53845515161031
43,-107.53845589474783
44,-107.53850149613692
45,-107.53896420764987
46,-107.53950555329762
47,-107.5395391876583
48,-107.54011496197631
49,-107.54031123942976
50,-107.54031362460822
51,-107.54032323189166
52,-107.5407930259406
53,-107.54089179206048
54,-107.54090562180247
55,-107.54094544510264
56,-107.54151347896946
57,-107.5415157872844
58,-107.5421735014113
59,-107.54298581976518
60,-107.54301662177556
61,-107.54312688428764
62,-107.54334989643998
63,-107.54354466371633
64,-107.54354678642653
65,-107.54371065235652
66,-107.54522996964391
67,-107.5457720574082
68,-107.54634290866984
69,-107.54750447895269
70,-107.54784376491735
71,-107.54815352176911
72,-107.5482165168605
73,-107.54824273671426
74,-107.54866152010466
75,-107.54872686126029
76,-107.54874406066651
77,-107.551641477689
78,-107.55164148320888
79,-107.55166403454784
80,-107.55238267062202
81,-107.55247092819603
82,-107.55249345298367
83,-107.5528528258935
84,-107.55313549565338
85,-107.55331149481302
86,-107.55458318637932
87,-107.55462471218267
88,-107.55462558055413
89,-107.55465782747223
90,-107.55567698574214
91,-107.55574867770946
92,-107.55575326042518
93,-107.55586897038486
94,-107.55874577229433
95,-107.55943502079806
96,-107.55982088524138
97,-107.56004743986644
98,-107.56011890467349
99,-107.56017351219508
100,-107.56017883863379
101,-107.56023813518739
