N,E [H]
1,-107.49597500915804
2,-107.49887287424893
3,-107.50157958198078
4,-107.50637937100618
5,-107.50813143088699
6,-107.51161555450794
7,-107.51560109694468
8,-107.5242806581339
9,-107.53140849928722
10,-107.53385108351324
11,-107.53487817507691
12,-107.53723483915893
13,-107.53906656025168
14,-107.5411429509149
15,-107.54831888720979
16,-107.54925434250907
17,-107.55295139005838
18,-107.55539847666282
19,-107.55965176271256
20,-107.56019403381484
21,-107.56269085848069
22,-107.56344260975003
23,-107.5645182019687
24,-107.56537512865894
25,-107.5740007061119
26,-107.57638815593104
27,-107.57836900924733
28,-107.58087282958826
29,-107.58565999078859
30,-107.58645504645355
31,-107.58912187576689
32,-107.59366472712186
33,-107.59483694124835
34,-107.5971102773076
35,-107.59808258712962
36,-107.598555047127
37,-107.5994428444347
38,-107.60026894900687
39,-107.60072138034849
40,-107.601189559469
41,-107.60252145064638
42,-107.60296665721914
43,-107.60506025612938
44,-107.60578997883815
45,-107.60594327726047
46,-107.60740947051677
47,-107.6086692417954
48,-107.60886528572591
49,-107.60922903964682
50,-107.60963745142155
51,-107.6107147938286
52,-107.61105128077756
53,-107.61259304105428
54,-107.61321079470777
55,-107.61339896869752
56,-107.61354206171866
57,-107.61382167384181
58,-107.61412374815167
59,-107.61465647365476
60,-107.61498443580463
61,-107.61587712347102
62,-107.61628355041452
63,-107.61690473591057
64,-107.61769974212757
65,-107.61810165337842
66,-107.6183747801501
67,-107.61887638796777
68,-107.6191301744518
69,-107.61945874193628
70,-107.61981384575331
71,-107.62003398577073
72,-107.62046563494329
73,-107.62055540931023
74,-107.62093526910104
75,-107.6211315772277
76,-107.62154230383787
77,-107.6216219431802
78,-107.6222110319353
79,-107.62273456856666
80,-107.62295988978848
81,-107.62320747093385
