N,E [H]
1,-127.53046547723518
2,-127.53047374860839
3,-127.5304814781333
4,-127.53053454257845
5,-127.53055037587434
6,-127.53056439350978
7,-127.53057720279742
8,-127.53060338308913
9,-127.53061812808326
10,-127.53073699378723
11,-127.53076838391988
12,-127.53078434345021
13,-127.53078622889333
14,-127.530803573518
15,-127.53081541218434
16,-127.53083158434802
17,-127.53086707328822
18,-127.53089899957966
19,-127.5309499553633
20,-127.53096099242255
21,-127.531000562833
22,-127.53100713133318
23,-127.5310609285884
24,-127.53114475093486
25,-127.5312236535139
26,-127.53122538634156
