N,E [H]
1,-127.53046547723513
2,-127.53522058497227
3,-127.54053657737533
4,-127.54362374351832
5,-127.54586846855231
6,-127.54671771908387
7,-127.5513565501099
8,-127.55413899999947
9,-127.55602244527635
10,-127.55717290123698
11,-127.56074610963472
12,-127.56401496184696
13,-127.56774230419468
14,-127.56897108527664
15,-127.57088586314323
16,-127.5731845370212
17,-127.57460414968023
18,-127.57780682098439
19,-127.57830776868538
20,-127.57929577715578
21,-127.58011749815475
22,-127.58047380057893
23,-127.58337655127887
24,-127.58466196395491
25,-127.58647527247905
26,-127.58672742163458
27,-127.59007648426342
28,-127.59164923192843
29,-127.59217763871443
30,-127.59266346661005
31,-127.59330887849035
32,-127.59457117163109
33,-127.59695487021874
34,-127.59761132679401
35,-127.59872221673655
36,-127.59956597714441
