t,B00_z_0000_00
0.0,(0.17518564992327235+1.8523936599340405j)
0.01,(0.1840206097720476+1.786409616590705j)
0.02,(0.1912885033806791+1.7239976789028424j)
0.03,(0.1971694367406866+1.6649416350552508j)
0.04,(0.201821997320699+1.609039965248688j)
0.05,(0.20538601524014968+1.5561049739527706j)
0.06,(0.20798494414017227+1.5059619175956211j)
0.07,(0.2097279159433548+1.45844814467948j)
0.08,(0.2107115159488354+1.4134122600670456j)
0.09,(0.21102131804271487+1.3707133212495153j)
0.1,(0.21073321408036075+1.3302200714781234j)
0.11,(0.20991456659212585+1.2918102124807864j)
0.12,(0.20862520976514126+1.2553697179125625j)
0.13,(0.20691832006191538+1.2207921875632504j)
0.14,(0.2048411747647432+1.1879782415597078j)
0.15,(0.20243581410824107+1.1568349532714146j)
0.16,(0.19973962041593882+1.1272753192914329j)
0.17,(0.19678582573529083+1.0992177646720331j)
0.18,(0.19360395782130974+1.0725856815069528j)
0.19,(0.19022023291189252+1.047306998941442j)
0.2,(0.18665790253335368+1.0233137827346395j)
0.21,(0.18293756054345253+1.000541862579339j)
0.22,(0.17907741573635952+0.9789304854889627j)
0.23,(0.17509353457830057+0.9584219936806962j)
0.24,(0.17100005799594772+0.9389615255100312j)
0.25,(0.1668093955864806+0.9204967381399669j)
0.26,(0.16253240014536174+0.9029775507539576j)
0.27,(0.1581785250038517+0.8863559072425884j)
0.28,(0.15375596632332114+0.8705855574080599j)
0.29,(0.14927179219902245+0.8556218558366205j)
0.3,(0.14473206017481663+0.8414215776864021j)
0.31,(0.14014192455605679+0.8279427507263007j)
0.32,(0.13550573472485378+0.8151445030404594j)
0.33,(0.13082712550548378+0.8029869258825737j)
0.34,(0.12610910049353272+0.7914309512247072j)
0.35000000000000003,(0.12135410914685282+0.7804382435966642j)
0.36,(0.11656411833636457+0.7699711058542866j)
0.37,(0.11174067896741041+0.7599923985482738j)
0.38,(0.10688498820540634+0.75046547258922j)
0.39,(0.10199794777092397+0.7413541149193081j)
0.4,(0.09708021870738595+0.7326225069062647j)
0.41000000000000003,(0.09213227296787685+0.7242351951704633j)
0.42,(0.08715444211506143+0.7161570745411335j)
0.43,(0.08214696337900479+0.7083533828122073j)
0.44,(0.0771100232712231+0.7007897069321932j)
0.45,(0.07204379890918362+0.6934320002155543j)
0.46,(0.06694849716358389+0.6862466101055016j)
0.47000000000000003,(0.06182439170112034+0.6792003159503409j)
0.48,(0.05667185795834462+0.6722603761782675j)
0.49,(0.0514914060479786+0.665394584169956j)
0.5,(0.04628371156823258+0.658571332036056j)
0.51,(0.041049644258824965+0.65175968140982j)
0.52,(0.03579029442517784+0.6449294402661415j)
