t,B00_A_0000
0.0,(3.19634355345338e-07+0j)
0.01,(5.514810358332381e-07-1.0383387527252253e-08j)
0.02,(9.319985752043148e-07-4.415309005873046e-08j)
0.03,(1.542228763363735e-06-1.3140987324517448e-07j)
0.04,(2.4974186279615166e-06-3.29814425728994e-07j)
0.05,(3.954876088492205e-06-7.431742988966304e-07j)
0.06,(6.119238355372131e-06-1.5485930516055847e-06j)
0.07,(9.24141335730884e-06-3.033852758604731e-06j)
0.08,(1.3605801373626442e-05-5.645689182719892e-06j)
0.09,(1.949880113850031e-05-1.0047666952086343e-05j)
0.1,(2.7150495895289485e-05-1.718330713363112e-05j)
0.11,(3.664139733152311e-05-2.8335989610584518e-05j)
0.12,(4.776787102429007e-05-4.5172271118738144e-05j)
0.13,(5.9863979969953377e-05-6.97503186569831e-05j)
0.14,(7.158430461146219e-05-0.00010447122056442378j)
0.15,(8.06616981282132e-05-0.00015194933847079907j)
0.16,(8.366514297838536e-05-0.00021477999295350573j)
0.17,(7.579441093796035e-05-0.00029518976772949327j)
0.18,(5.0758002859091386e-05-0.00039456709346258274j)
0.19,(7.864245942627198e-07-0.0005128881283489452j)
0.2,(-8.316809858493977e-05-0.0006480737772210833j)
0.21,(-0.00021100358791010477-0.0007953353970735814j)
0.22,(-0.00039278819580800304-0.0009465859420103749j)
0.23,(-0.0006378304481211306-0.0010900063325331379j)
0.24,(-0.000953534197685741-0.0012098603813757629j)
0.25,(-0.0013441065617125331-0.0012866433862013128j)
0.26,(-0.001809218473366823-0.0012976287899161974j)
0.27,(-0.0023427415582812344-0.0012178452479467627j)
0.28,(-0.002931697756847042-0.0010214759830346068j)
0.29,(-0.003555556687522929-0.0006836278608958179j)
0.3,(-0.0041859992390997965-0.00018237441990688892j)
0.31,(-0.004787235355491722+0.0004990595775700491j)
0.32,(-0.005316922371820354+0.0013701300739736315j)
0.33,(-0.005727681952039763+0.002430991410899116j)
0.34,(-0.0059691638460647465+0.003670864666632929j)
0.35000000000000003,(-0.005990558587817636+0.005066901917881049j)
0.36,(-0.005743423545245262+0.006583659174814476j)
0.37,(-0.0051846608997638665+0.008173248884842853j)
0.38,(-0.004279474161131603+0.009776196157971925j)
0.39,(-0.0030041320807308917+0.01132297589266691j)
0.4,(-0.0013483841632936334+0.012736165098387691j)
0.41000000000000003,(0.0006826019900107469+0.013933109454206909j)
0.42,(0.0030668777741666444+0.014828977956970031j)
0.43,(0.005764984044611966+0.015340065615672631j)
0.44,(0.008719876349580179+0.01538720155244938j)
0.45,(0.011857491828721223+0.0148991275256083j)
0.46,(0.015087915833294378+0.013815727920832976j)
0.47000000000000003,(0.01830708495338359+0.012091014239865316j)
0.48,(0.021398950206840822+0.009695792365705185j)
0.49,(0.024238019798278353+0.006619966709591635j)
0.5,(0.026692204515424506+0.0028744592649820096j)
0.51,(0.028625899327909054-0.001507258515257129j)
0.52,(0.029903250488152327-0.006468008909656041j)
0.53,(0.03039157651567537-0.011926106760421341j)
0.54,(0.029964931824029695-0.01777489476240897j)
0.55,(0.028507821309321165-0.023882604045054403j)
0.56,(0.025919090848322175-0.030092544475080526j)
0.5700000000000001,(0.02211603027800008-0.03622365166226279j)
0.58,(0.017038730027550127-0.04207144617167024j)
0.59,(0.010654728195092618-0.047409493530154126j)
0.6,(0.0029639696381917676-0.051991489400127856j)
0.61,(-0.00599592914500147-0.05555413037657128j)
0.62,(-0.01614415740915918-0.05782096419655604j)
0.63,(-0.02735103484662438-0.05850743993893229j)
0.64,(-0.03943236102090864-0.057327394413711624j)
0.65,(-0.05214405427886726-0.05400120993703669j)
0.66,(-0.06517744484530569-0.04826585486385137j)
0.67,(-0.07815569536935403-0.039886964946716716j)
0.68,(-0.09063193274908352-0.028673034174093573j)
0.6900000000000001,(-0.10208977807188774-0.014491652373753846j)
0.7000000000000001,(-0.1119470442311164+0.002712450448863621j)
0.71,(-0.11956341731984953+0.022898017149368906j)
0.72,(-0.12425292974235717+0.04590726492287104j)
0.73,(-0.12530195014115603+0.07144630589779608j)
0.74,(-0.1219932381797311+0.09906733186179187j)
0.75,(-0.11363632456999992+0.12815421061820814j)
0.76,(-0.09960406868589575+0.15791339680113708j)
0.77,(-0.07937471831228379+0.1873722253733698j)
0.78,(-0.05257816354439376+0.21538668405607006j)
0.79,(-0.019044372190653813+0.24066060412800924j)
0.8,(0.021148730705676615+0.2617778262708149j)
0.81,(0.06763135038484511+0.2772482623573462j)
0.8200000000000001,(0.11970582435913214+0.2855678804704025j)
0.8300000000000001,(0.17632278999847362+0.28529151394766383j)
0.84,(0.23607374676952084+0.27511609590216285j)
0.85,(0.2972038161965914+0.2539705451264211j)
0.86,(0.35764762410294587+0.22110720730394165j)
0.87,(0.41508989338456503+0.17618864043518978j)
0.88,(0.46705059012490147+0.11936278717637117j)
0.89,(0.5109924188039918+0.051319349785995574j)
0.9,(0.544446277330697-0.026679407723344952j)
0.91,(0.5651481678993092-0.11279909932252317j)
0.92,(0.571179248195253-0.2046687748459479j)
0.93,(0.5610994303200569-0.29945308556671235j)
0.9400000000000001,(0.5340643911733246-0.3939597400479874j)
0.9500000000000001,(0.48991618604339393-0.48477794775284255j)
0.96,(0.42923890997229414-0.5684406721616827j)
0.97,(0.353372982746666-0.6416010500344799j)
0.98,(0.26438449506609163-0.7012115579992458j)
0.99,(0.16498940689788796-0.7446936432184974j)
1.0,(0.05843592861546782-0.7700857153510846j)
1.01,(-0.05164819805212666-0.776158648935752j)
1.02,(-0.16143390321247883-0.7624901811148954j)
1.03,(-0.2670827387636058-0.7294926150424536j)
1.04,(-0.364939706372259-0.678391774221254j)
1.05,(-0.45171406307298706-0.6111588627712101j)
1.06,(-0.5246362672100118-0.5304004201270105j)
1.07,(-0.5815812677700759-0.43921458784259504j)
1.08,(-0.6211511427682516-0.34102416209101283j)
1.09,(-0.6427133715806516-0.23939820634348807j)
1.1,(-0.6463944596147337-0.1378742668604267j)
1.11,(-0.6330318994614986-0.0397924991552138j)
1.12,(-0.6040902642261498+0.051848594597118894j)
1.1300000000000001,(-0.5615493642135958+0.13450739167076015j)
1.1400000000000001,(-0.5077737198219915+0.20618059570070674j)
1.1500000000000001,(-0.4453730659885671+0.26544897664739986j)
1.16,(-0.377063250451888+0.31148816016719105j)
1.17,(-0.3055358385287156+0.3440475532460565j)
1.18,(-0.23334316457349333+0.36340230702951937j)
1.19,(-0.16280367767267725+0.37028442284048896j)
1.2,(-0.09593042320639474+0.36579968191847434j)
1.21,(-0.03438357084480632+0.35133706543874055j)
1.22,(0.020553804245797676+0.3284768204809319j)
1.23,(0.06797885038335898+0.2989024435133156j)
1.24,(0.10735412151361536+0.2643207331222585j)
1.25,(0.13847853396348947+0.22639284273359103j)
1.26,(0.16144802487482443+0.18667806039336937j)
1.27,(0.17660972868567812+0.14659094979094545j)
1.28,(0.18451313425828017+0.10737156893149254j)
1.29,(0.18586116755413135+0.07006777525126888j)
1.3,(0.18146353907325477+0.035528137435131085j)
1.31,(0.1721940677723206+0.004403692733321194j)
1.32,(0.1589530962944123-0.022843312589409994j)
1.33,(0.14263558327825332-0.04592551828515995j)
1.34,(0.12410501967069044-0.0647130491212207j)
