t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00
0.0,(3.207660400610098+1.9721613001874616j),(0.8126475743769299+1.816737029066667j),(0.4407873055495929+2.6149953441034475j),(1.0926976609912975+0.21612215936906498j),(1.2888207435701136+1.8300733142040455j),(0.2158763614227125+1.5958752876838584j),(0.9843031004224342+2.2883904868899076j),(1.2334574378073073+0.0497451118557809j),(0.49249467490449406+2.341660026367972j),(0.4166378824686574+1.4189911112312332j),(1.886096592968391+0.3827520219326461j),(0.9762488406983553+1.8655228309625718j),(-0.978547708645672+0.4533439342951435j),(0.7212295459302118+1.2667470254287203j),(0.21434742338863677+2.370277282915481j)
0.01,(3.053993889082433+1.9937012987878284j),(0.7896227739101978+1.7546384144362137j),(0.442903400965212+2.498708161747626j),(1.0860660011045988+0.21605905051170413j),(1.2429392363509983+1.7745683674851986j),(0.2184751101389344+1.5428822372002287j),(0.9496382685932145+2.1988505463024715j),(1.231765933863897+0.05264714835352134j),(0.48889983731564646+2.2449787102169267j),(0.4088768986502803+1.374481346081578j),(1.8683610356113516+0.3979060126399811j),(0.9450733029784373+1.802584840487393j),(-0.9647793554766211+0.45071609395139206j),(0.7028122886581505+1.2312554626974503j),(0.22928502373766108+2.272333913831102j)
0.02,(2.9080260376653246+2.003439612848635j),(0.7678553727576073+1.6958375210194447j),(0.4439205279668428+2.3911125834676246j),(1.0794657796910248+0.2159114632116742j),(1.2002264149042723+1.7213435673380921j),(0.22012700829381068+1.4924554840302722j),(0.9177415280123833+2.114973319064657j),(1.2299833942624327+0.05550648019579921j),(0.4848502725842545+2.154888647754943j),(0.401003402245976+1.3319826616190311j),(1.8501648227513412+0.4122087760777378j),(0.9159005461686084+1.7428989110217845j),(-0.9514079990868993+0.44749239388470075j),(0.6850345376928654+1.1971497608143005j),(0.24179266502525093+2.180971068362251j)
0.03,(2.7703402141368407+2.0032049679525j),(0.7472476893918333+1.6401377047758976j),(0.4440177735743855+2.291364135325342j),(1.0729082166823354+0.21567974322848318j),(1.1604249393979833+1.6703486475577178j),(0.2209365097881623+1.4444640223445908j),(0.888308600188145+2.036325809139586j),(1.2281146704443355+0.058311826388306405j),(0.4804291706507624+2.070819051211534j),(0.39304687903446855+1.291402025310751j),(1.8315948618756361+0.4256203701977247j),(0.8885601816220428+1.686285634653614j),(-0.9384574879377456+0.44371017111231487j),(0.6678732632972995+1.1643853059060523j),(0.25220168603426907+2.09564005909832j)
0.04,(2.6412080841625634+1.994684660234974j),(0.7277114946309988+1.5873565503226348j),(0.443344244862379+2.1987233937793733j),(1.0664041747968884+0.21536516444127304j),(1.1232998435758748+1.621526386873045j),(0.22099686913089756+1.3987838777623334j),(0.8610761331875642+1.9625153844274799j),(1.2261653336727911+0.061052425424990564j),(0.47570654106398497+1.992262435117314j),(0.3850331547842461+1.2526512055631454j),(1.8127390602369828+0.4381111510704578j),(0.8628990990169303+1.6325763780790994j),(-0.9259477573449099+0.4394076363457823j),(0.6513056202887784+1.1329187318472476j),(0.2607939465283002+2.015848786509823j)
0.05,(2.5206585707071625+1.979397318700445j),(0.7091669688682051+1.5373247625879465j),(0.4420246961775416+2.1125403739784376j),(1.059964087566691+0.21496987747482163j),(1.0886367705660167+1.5748145902409918j),(0.220391373594499+1.3552978813285466j),(0.8358154480134802+1.8931856259019637j),(1.224141611622298+0.06371810455000536j),(0.47074148401844834+1.9187662446222988j),(0.3769847985570947+1.2156465782697403j),(1.7936849992530224+0.4496614772818686j),(0.8387795375686423+1.581612803075689j),(-0.9138949394939437+0.4346234548825808j),(0.6353090565693066+1.1027079505510502j),(0.2678100948080397+1.9411551109005662j)
0.06,(2.4085391235051343+1.9586826941176747j),(0.691541780985056+1.4898851402090676j),(0.4401639806859542+2.032241591337238j),(1.0535978943046878+0.21449685036567362j),(1.056240273109994+1.530147704614389j),(0.21919443418677817+1.3138954079124017j),(0.8123273385524308+1.828012603825798j),(1.222050316466355+0.06629934026273049j),(0.4655840280605201+1.8499257582449256j),(0.36892147997257235+1.1803089249489178j),(1.774518713893895+0.4602612312842118j),(0.816077380098302+1.5332463556437803j),(-0.9023115147272911+0.4293963624148148j),(0.6198613987435011+1.0737121687162308j),(0.2734563075435661+1.87116105243274j)
0.07,(2.3045676240920723+1.9337034145197756j),(0.6747702732947126+1.444891625163002j),(0.4378505940603071+1.957319278624925j),(1.0473149826415127+0.2139498025269221j),(1.02593219748711+1.487458125537148j),(0.217472551092782+1.2744720900465922j),(0.7904377307470664+1.7667015439839322j),(1.2198987659169442+0.06878730933386265j),(0.46027662342205267+1.785378044237993j),(0.36086028528983544+1.1465632254072118j),(1.755323601492481+0.46990918827421824j),(0.7946806434044048+1.487337738812931j),(-0.891206496193961+0.42376481846079656j),(0.6049409177972206+1.0458918920344473j),(0.27790980804963517+1.805507715260307j)
0.08,(2.208374706652273+1.9054545075788782j),(0.6587927391072996+1.402208423261549j),(0.4351595119638332+1.8873223518071538j),(1.0411241390690076+0.21333313330039944j),(0.9975501627883485+1.4466772436472126j),(0.21528516778226583+1.2369295159396014j),(0.7699940452490569+1.7089838467618763j),(1.2176946987704254+0.07117392984223647j),(0.45485536025336815+1.7247967923080862j),(0.3528159968042091+1.1143384473421982j),(1.7361794767928027+0.4786122654450016j),(0.774488141518933+1.4437563804956726j),(-0.8805856402421435+0.41776669877224876j),(0.5905263776094762+1.0192089178733184j),(0.2813234032187203+1.7438708426712164j)
0.09,(2.1195371492833726+1.8747774411821176j),(0.6435547814109127+1.3617091903441918j),(0.432154474446395+1.8218488029350652j),(1.0350335077394264+0.21265184638404946j),(0.9709461415260443+1.4077362734645371j),(0.2126854265886034+1.201174918525431j),(0.7508621382809854+1.654614423328437j),(1.2154461865691388+0.07345189198966853j),(0.4493509660484736+1.667887875985186j),(0.34480133969482996+1.0835673348553374j),(1.7171617826436094+0.4863846849172567j),(0.755408301241365+1.4023799049131913j),(-0.8704516754201429+0.41143902690060563j),(0.5765970688528985+0.9936263174467055j),(0.2838292285406228+1.6859569209491387j)
0.1,(2.0376034366534346+1.842376315450513j),(0.6290067427702083+1.3232762792464932j),(0.42888983442664746+1.760539264009895j),(1.029050557589659+0.2119114713931954j),(0.945985143426214+1.3705669007915275j),(0.20972083726006646+1.1671208608998904j),(0.7329237195724698+1.6033693154658317j),(1.2131615429972311+0.07561467869568529j),(0.44378962507491465+1.6143855275677186j),(0.33682720010367806+1.0541861974714386j),(1.6983409589400955+0.4932470825403451j),(0.7373581118475806+1.3630936138651784j),(-0.860804543577315+0.40481774413321137j),(0.5631328306120683+0.9691084084684288j),(0.2855418513261405+1.631499759856881j)
0.11,(1.9621127523484576+1.8088345790786378j),(0.6151031979075552+1.2868000428924542j),(0.4254120605930189+1.7030715367535871j),(1.0231820576933293+0.21111798376096466j),(0.9225440012971058+1.3351017796810238j),(0.20643386877262404+1.1346849222692377j),(0.7160741654196943+1.5550435682869879j),(1.2108492325955755+0.07765657620724435j),(0.4381936537598302+1.5640490288191566j),(0.32890281788064435+1.026134700949922j),(1.679781966504295+0.49922559237322484j),(0.7202621930867814+1.325789982351082j),(-0.8516416472744147+0.39793751623496765j),(0.550114061821196+0.9456207192621825j),(0.2865608516660942+1.5802574869484736j)
