t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014
0.0,(3.585717080828634e-13-1.731652542506269e-13j),(1.673134821682902e-08-5.25242024577097e-08j),(1.773458415286165e-10-9.330165598074626e-11j),(7.854868771826614e-05-1.5084124286473647e-05j),(3.163123550800661e-09+1.3324633268666489e-09j),(6.846645992461192e-07+1.0398891184712056e-08j),(-1.0068464866698484e-10+8.910271526447022e-11j),(2.4916478098919415e-05+2.403751529071746e-09j),(1.4494055425581012e-09+1.6665604220772444e-09j),(2.4157123964471916e-06+2.2723142751165656e-08j),(4.926373889751037e-08-1.2593594893077677e-11j),(-4.682993471651853e-09+1.5261948400887338e-08j),(0.0001165106861143345-1.4163684261736916e-12j),(2.9269943209998028e-06+3.777329896623382e-09j),(1.24961612022148e-09+3.282798905229616e-11j)
0.01,(2.314653414384917e-13-6.596208335762956e-13j),(8.825566959327877e-09-9.245633737264415e-08j),(3.691919793170765e-10-3.054795599131242e-10j),(6.45729368357318e-05-5.2704043250404643e-05j),(4.612588777274483e-09-2.7458219853291037e-10j),(9.512018038498986e-07-5.013853093250312e-08j),(-1.6125673917549185e-10+2.9103778966960958e-11j),(2.2414884731650218e-05-8.170340637746371e-06j),(3.230811761760033e-09+3.1978523951552052e-09j),(3.9993185458522115e-06+1.0230644116384045e-07j),(5.056219634463435e-08-2.3784497329896562e-08j),(-2.40462966182736e-09+2.8315352919318503e-08j),(0.00013038819357351407+2.7720301429872865e-05j),(4.885269275162848e-06-1.1285879911869387e-06j),(2.9080485032975874e-09+4.419157151231904e-10j)
0.02,(-4.820676228008632e-13-1.1329793177884545e-12j),(-1.7787751384241737e-08-1.5288273166711964e-07j),(7.307746841259218e-10-8.500778547373585e-10j),(3.3126385016093654e-05-8.07050739232552e-05j),(4.991757235337545e-09-3.2960855657543535e-09j),(1.263619910319712e-06-1.8188011678905842e-07j),(-3.4933958848641074e-10-2.1308683807769153e-10j),(1.7813032243046178e-05-1.4594470624443926e-05j),(6.9069462069868775e-09+5.8526426740803706e-09j),(6.607406258859488e-06+4.444244564733717e-08j),(4.106043009574057e-08-4.939123451864642e-08j),(6.412923368211181e-09+4.916263433345077e-08j),(0.00013961470561969755+6.100343686643361e-05j),(7.392473455239533e-06-3.716110470801104e-06j),(6.3672402584852945e-09+1.6016611814962088e-09j)
0.03,(-1.9314227690630718e-12-9.810378269397401e-13j),(-7.997778009735651e-08-2.3797766108422933e-07j),(1.3712924832515045e-09-2.130432387197722e-09j),(-9.886905236303641e-06-9.124625690617679e-05j),(2.719780314523175e-09-7.310516624737696e-09j),(1.5880901699918325e-06-4.3515816582345335e-07j),(-8.9798090890581e-10-8.21162552248098e-10j),(1.1935355159888573e-05-1.9052979807391952e-05j),(1.4179168033085917e-08+1.0192887354107291e-08j),(1.0739055572461609e-05-4.642210771427935e-07j),(1.898989173081663e-08-7.221769763112395e-08j),(2.8702300538495284e-08+7.976213700451746e-08j),(0.00014282478605215102+9.922236732287594e-05j),(1.0019038197538736e-05-8.621366293241977e-06j),(1.3244010024502968e-08+4.409663113062312e-09j)
0.04,(-3.723851513768216e-12+7.164536911741164e-13j),(-2.0375047183464437e-07-3.4809095270507256e-07j),(2.4294195486988738e-09-4.9362890802446785e-09j),(-5.519127428394666e-05-7.990647860923287e-05j),(-4.093443626964228e-09-1.062886562122322e-08j),(1.8502524482257385e-06-8.865740848709979e-07j),(-2.3064988567889628e-09-2.053768365952577e-09j),(5.399593025219804e-06-2.160591032592279e-05j),(2.798519801663668e-08+1.6829289814411363e-08j),(1.6979073764263453e-05-2.0133274690927047e-06j),(-1.5542370386664174e-08-8.621550930810677e-08j),(7.571911484786914e-08+1.201750589015478e-07j),(0.00013877856853615155+0.0001414632780339434j),(1.178568700428426e-05-1.678877218700912e-05j),(2.634001488639374e-08+1.0555374462245815e-08j)
0.05,(-4.516088473862891e-12+4.787750262582005e-12j),(-4.265429173447991e-07-4.752162883662448e-07j),(4.0377559139075385e-09-1.0728972159342431e-08j),(-9.20530049658112e-05-4.704667384069826e-05j),(-1.6971763086907002e-08-9.748957221239927e-09j),(1.9093549730291162e-06-1.650244190644848e-06j),(-5.526140887374629e-09-4.205455790642656e-09j),(-1.4165536828027446e-06-2.2384829460657505e-05j),(5.3164220604724816e-08+2.617945453698985e-08j),(2.5901470278670303e-05-5.571899343199555e-06j),(-5.9501618857688115e-08-8.466354432112378e-08j),(1.6406266995358535e-07+1.658495927593454e-07j),(0.00012643018029199468+0.00018656447833196433j),(1.098146505464599e-05-2.899164202506588e-05j),(5.0319421494419796e-08+2.304023868761164e-08j)
0.06,(-1.8447581808005597e-12+1.1138980297712383e-11j),(-7.987516607315823e-07-5.962505209655528e-07j),(6.228029271309681e-09-2.207541593912265e-08j),(-0.00011068753558513444+1.8719383906901205e-06j),(-3.597625736469391e-08+8.721991550185884e-10j),(1.518689721527945e-06-2.892823201898365e-06j),(-1.220590918388524e-08-7.499020104939213e-09j),(-8.28364745089688e-06-2.1434240381622246e-05j),(9.731938218862167e-08+3.795551428066994e-08j),(3.7895725487218696e-05-1.2558318912450426e-05j),(-1.0621975257376934e-07-6.165200051001244e-08j),(3.157955174610023e-07+2.0345364541368507e-07j),(0.00010498414357959377+0.00023317267911398602j),(5.078495667535292e-06-4.5432144386520536e-05j),(9.265299825720839e-08+4.694111131631639e-08j)
0.07,(7.413468313241178e-12+1.7595827868814404e-11j),(-1.3835436345159393e-06-6.637431029232218e-07j),(8.734602443701948e-09-4.3271481897619504e-08j),(-0.00010460393791471971+5.715292778421122e-05j),(-5.838543239704181e-08+2.843155358981164e-08j),(2.6514670076152223e-07-4.851701494005441e-06j),(-2.498591226859628e-08-1.1884041686390885e-08j),(-1.4960596186797942e-05-1.8659085965156812e-05j),(1.7183751983458462e-07+5.023681625554294e-08j),(5.2917469591123834e-05-2.482342994067723e-05j),(-1.4550928867519034e-07-1.4086711137355051e-08j),(5.566793720618976e-07+2.0527241700241748e-07j),(7.39355433878382e-05+0.00027981250759375603j),(-9.1595902894404e-06-6.522424934644266e-05j),(1.6486646032624913e-07+9.049155209546535e-08j)
0.08,(2.556690284955392e-11+1.884056258834172e-11j),(-2.2537094926656474e-06-5.940756377970397e-07j),(1.0640907101542438e-08-8.119048869298701e-08j),(-7.231980237279746e-05+0.00010676355419490239j),(-7.757622684408243e-08+8.062316385965978e-08j),(-2.5232112447253714e-06-7.851074234373468e-06j),(-4.7818800625836476e-08-1.6731896647957253e-08j),(-2.1044779315917307e-05-1.3893838880232422e-05j),(2.929519051216347e-07+5.796945040469347e-08j),(7.019960714812072e-05-4.448723775051953e-05j),(-1.6491898955417867e-07+5.628788175691286e-08j),(9.113125669280392e-07+1.226952881990852e-07j),(3.3091268597367654e-05+0.0003249641821178226j),(-3.528712251976772e-05-8.584844982181265e-05j),(2.841222568766563e-07+1.6658411537595364e-07j)
0.09,(5.1485904646110165e-11+6.237361346342779e-12j),(-3.483985783416692e-06-2.5347737179199376e-07j),(9.805759968805886e-09-1.4637600422346572e-07j),(-1.8023124722465286e-05+0.0001388546591997337j),(-8.268897900212307e-08+1.6386271337906676e-07j),(-7.912887991576075e-06-1.2307159318639232e-05j),(-8.630126304980076e-08-2.0438587701486428e-08j),(-2.590201370002283e-05-7.059355512880624e-06j),(4.826413675144876e-07+5.074250147639503e-08j),(8.799425778104045e-05-7.356961701698839e-05j),(-1.5211880300848776e-07+1.4150865797170548e-07j),(1.393966149891271e-06-1.1993705093551914e-07j),(-1.7428757802575888e-05+0.00036714355289119057j),(-7.644837265366267e-05-0.00010272462568599534j),(4.751220336599875e-07+2.948215688886232e-07j)
