t,B00_z_0000_00,B00_z_0001_00
0.0,(1.3977366613352902+0.600811067834989j),(0.742510166644928+0.20212852955043725j)
0.01,(1.3772296438194676+0.5989748838425059j),(0.7370775942907335+0.1983913782883734j)
0.02,(1.357063487921763+0.5967625264300219j),(0.7317558555946582+0.19464577086214183j)
0.03,(1.3372712184471207+0.5941927075649286j),(0.7265498813771195+0.1909023188869005j)
0.04,(1.3178824932429207+0.5912864581289926j),(0.7214638710797072+0.18717183213388394j)
0.05,(1.2989235607246181+0.5880666966621027j),(0.7165012912830665+0.18346525265400293j)
0.06,(1.2804172663175089+0.5845578132848391j),(0.7116648808945438+0.17979358887209393j)
0.07,(1.2623831021732173+0.5807852748743716j),(0.7069566626342664+0.17616785015694558j)
0.08,(1.2448372941370585+0.5767752561879288j),(0.7023779603877524+0.17259898232430193j)
0.09,(1.2277929198157875+0.5725543003135769j),(0.6979294219416787+0.16909780448149447j)
0.1,(1.211260051685849+0.5681490106201035j),(0.693611046576944+0.16567494757449305j)
0.11,(1.1952459194481122+0.5635857753045754j),(0.6894222169593345+0.16234079495210638j)
0.12,(1.179755086234312+0.5588905247140478j),(0.6853617347426324+0.1591054252186067j)
0.13,(1.164789633763098+0.5540885208531339j),(0.6814278592815162+0.15597855760580567j)
0.14,(1.1503493520940513+0.5492041778798052j),(0.6776183488417643+0.15296950005892285j)
0.15,(1.1364319302052157+0.5442609119293239j),(0.6739305036927453+0.1500871001976293j)
0.16,(1.1230331441983328+0.5392810182777221j),(0.67036121047168+0.14733969928443302j)
0.17,(1.1101470404961031+0.5342855736459404j),(0.6669069872204278+0.14473508930695728j)
0.18,(1.0977661119227844+0.5292943613362713j),(0.6635640285133552+0.14228047325842935j)
0.19,(1.0858814650433162+0.5243258168667354j),(0.6603282501189459+0.13998242868155134j)
0.2,(1.074482977571003+0.5193969918093336j),(0.6571953326680088+0.1378468745245119j)
0.21,(1.06355944503702+0.5145235336291986j),(0.6541607638373286+0.13587904134387352j)
0.22,(1.0530987162466734+0.5097196794492853j),(0.651219878599123+0.13408344487706278j)
0.23,(1.0430878173294942+0.5049982618172313j),(0.6483678971333005+0.1324638629968415j)
0.24,(1.0335130644261785+0.5003707247168906j),(0.6455999600508402+0.13102331605113723j)
0.25,(1.0243601652494625+0.4958471482384641j),(0.6429111606320587+0.12976405058363777j)
0.26,(1.0156143099127832+0.4914362804911846j),(0.6402965738424748+0.12868752642336528j)
0.27,(1.0072602515449387+0.48714557550618004j),(0.6377512819506753+0.12779440712479567j)
0.28,(0.9992823773054895+0.48298123603057913j),(0.6352703966362135+0.12708455373380054j)
0.29,(0.9916647704886928+0.4789482602546289j),(0.6328490775402299+0.126557021848607j)
0.3,(0.9843912644572251+0.4750504916400677j),(0.6304825472762108+0.12621006193897155j)
0.31,(0.9774454891842189+0.47129067112951256j),(0.6281661029821111+0.12604112288077982j)
0.32,(0.9708109112060489+0.46767049111319065j),(0.6258951245569333+0.1260468586572508j)
0.33,(0.9644708678012439+0.4641906506114963j),(0.6236650797837904+0.12622313817182967j)
0.34,(0.9584085962146426+0.4608509112005116j),(0.6214715265965017+0.1265650581117035j)
0.35000000000000003,(0.9526072587419352+0.4576501532640358j),(0.6193101127969834+0.12706695879469362j)
0.36,(0.9470499644789593+0.45458643220129297j),(0.6171765735752408+0.12772244292612683j)
0.37,(0.9417197885232695+0.45165703425593384j),(0.6150667272219319+0.12852439718621572j)
0.38,(0.9365997893929489+0.4488585316609269j),(0.6129764694545885+0.12946501656257806j)
0.39,(0.9316730253995645+0.44618683681718824j),(0.6109017668021594+0.13053583133686306j)
0.4,(0.9269225706786505+0.44363725524306374j),(0.6088386495081507+0.1317277366291166j)
0.41000000000000003,(0.9223315315420588+0.441204537048765j),(0.606783204420035+0.13303102439858205j)
0.42,(0.917883063771891+0.4388829267061899j),(0.6047315683315821+0.13443541779515716j)
0.43,(0.9135603914254111+0.4366662109017411j),(0.60267992223533+0.13593010775175873j)
0.44,(0.9093468276643274+0.43454776427916j),(0.6006244869245794+0.13750379170440585j)
0.45,(0.9052257980601497+0.43252059290221256j),(0.5985615203582583+0.13914471432391753j)
0.46,(0.901180866760128+0.43057737529425083j),(0.5964873171680019+0.14084071014069494j)
0.47000000000000003,(0.8971957658258285+0.42871050094395163j),(0.5943982106451928+0.14257924794205623j)
