t,B00_A_0000,B00_A_0001
0.0,(4.3778420155435125e-06+3.7971726592402606e-24j),(0.0066944013990324885-4.364039719369151e-21j)
0.01,(4.770734937690391e-06-2.1304158099802327e-06j),(0.006675133253812304-0.0025158706539356646j)
0.02,(4.176671855311609e-06-4.623515998084766e-06j),(0.005707529662585037-0.00500689004200131j)
0.03,(2.3541291552288747e-06-7.03859028092562e-06j),(0.0038131205724624413-0.007113078970526811j)
0.04,(-7.453217898665156e-07-8.796319205818104e-06j),(0.00115139090271161-0.008489967842766297j)
0.05,(-4.9040585498082055e-06-9.263633787035795e-06j),(-0.0019902583081923206-0.008861992588835521j)
0.06,(-9.603699228170859e-06-7.874938489524337e-06j),(-0.005227372846432936-0.008069823479507517j)
0.07,(-1.4046123049158284e-05-4.271718404029577e-06j),(-0.008126631846004775-0.0061034899214434295j)
0.08,(-1.7238819137609105e-05+1.5656259277224135e-06j),(-0.010264705440014432-0.0031151196051294205j)
0.09,(-1.81405667377409e-05+9.223445668024321e-06j),(-0.011289043665861004+0.0005917486682319053j)
0.1,(-1.5849617710097177e-05+1.782510373033197e-05j),(-0.010971250117368665+0.004595555770604883j)
0.11,(-9.804596258599852e-06+2.6083818036116582e-05j),(-0.009244697019512239+0.008408398638717274j)
0.12,(3.874321503851131e-08+3.244183392842751e-05j),(-0.006220464146269388+0.011538621224290054j)
0.13,(1.3091839009393076e-05+3.52829735291898e-05j),(-0.0021790748598473795+0.013555255333463408j)
0.14,(2.8108123424661563e-05+3.318994830406633e-05j),(0.0024607653683215527+0.014145072289831334j)
0.15,(4.326372676335395e-05+2.5206511331466588e-05j),(0.007191801503204209+0.013154342447873767j)
0.16,(5.634139155751664e-05+1.1060514225604883e-05j),(0.011479092220336629+0.010609860825248164j)
0.17,(6.499679477856956e-05-8.692237078553338e-06j),(0.014823629825195084+0.006717031307042057j)
0.18,(6.707130055639758e-05-3.2632035161451565e-05j),(0.016820326145944885+0.0018361187056209198j)
0.19,(6.0906218619093385e-05-5.855918881387541e-05j),(0.017203262396020904-0.003559322393008717j)
0.2,(4.561246212251163e-05-8.369095043622531e-05j),(0.015873295620554676-0.00893575151299435j)
0.21,(2.1256045327289114e-05-0.00010494718032964225j),(0.012905786200804318-0.013757558470419826j)
0.22,(-1.1067353189924478e-05-0.00011928747993770824j),(0.008538906919875562-0.017542519189615226j)
0.23,(-4.9279075395403584e-05-0.0001240559327336514j),(0.0031453223879361284-0.01990869872141852j)
0.24,(-9.04786100328511e-05-0.00011729004121621592j),(-0.0028082885695602075-0.02060835555301727j)
0.25,(-0.0001311974088681327-9.795726748340305e-05j),(-0.008808491897846113-0.019546390885685515j)
0.26,(-0.00016771301432130954-6.609407296288273e-05j),(-0.014343640114622464-0.016782900527243114j)
0.27,(-0.00019638595878125723-2.2836235789170482e-05j),(-0.018948744210273552-0.012521159840713319j)
0.28,(-0.00021398229810723818+2.9656853900365572e-05j),(-0.02224275407789091-0.007083721072254411j)
0.29,(-0.00021794980411766007+8.83692731695585e-05j),(-0.023955628930812194-0.0008801373461556683j)
0.3,(-0.00020662435048785492+0.0001496637867781349j),(-0.02394394787861764+0.005629855526435158j)
