t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B00_z_0011_00,B00_z_0012_00,B00_z_0013_00,B00_z_0014_00,B00_z_0015_00,B00_z_0016_00,B00_z_0017_00,B00_z_0018_00,B00_z_0019_00
0.0,(1.6872471688581316+0.7114438812466208j),(1.4145441120312905+1.6585408515673157j),(1.153357589536127-0.12742610747930905j),(1.87795031739887+2.6403559006226462j),(0.5083046527980526+1.278995121069829j),(1.0505579010808999+2.2440609911121907j),(-0.14680844274462412+0.10000924653076737j),(2.2861593211856293+0.9778143375823217j),(0.9542968800657229-0.18655736223835673j),(0.309601119358612+0.41053763654052466j),(0.6449093400790388+0.30447956617913907j),(3.773992328593078+1.8062993366940674j),(2.789686247042604+2.4250719692040192j),(0.0677514964957242-0.0121589788033174j),(1.4742888936407879+1.4539447829397627j),(0.6271432475715109+1.6282719063465394j),(0.5838074239519793+1.4986026498286291j),(0.8413107702135352+1.6682537039852745j),(1.9964763311655607+0.7661532986684965j),(1.291331870275584-0.12121871865139022j)
0.01,(1.6587391239571003+0.7137786947718242j),(1.366305872049786+1.6153474355375022j),(1.1573881656170175-0.12592140981080346j),(1.7762622589708346+2.5461315856288054j),(0.49639988658154977+1.241152135508937j),(1.012193726274585+2.158448071759053j),(-0.1480377351328528+0.0825756298271773j),(2.232774898887259+0.9939959319082424j),(0.9597605404394159-0.18788716383379617j),(0.301355300375668+0.3979221770693219j),(0.6372144320326806+0.29832389323274483j),(3.6010929017325566+1.881856396349966j),(2.633235376255551+2.389124372556689j),(0.06814730697708078-0.02581448594488682j),(1.4284501878253961+1.4225946526347306j),(0.6123897111520759+1.574768322666438j),(0.5703265450882122+1.4512684430677194j),(0.8174348499102969+1.6146094364384904j),(1.9600285964264847+0.7769743543250368j),(1.2953845888220332-0.1176262586660058j)
0.02,(1.6306714883888191+0.7152435261725157j),(1.321104757636768+1.5733598309204j),(1.1613716536645535-0.12436026332607113j),(1.684912524264389+2.455866486831463j),(0.4846817246068483+1.2048726904799756j),(0.9769171717285312+2.078042737914735j),(-0.14903718837000995+0.06517597611952282j),(2.180111782092987+1.0072125764221904j),(0.9652655125584801-0.18916696004423017j),(0.293323763770722+0.385420469499848j),(0.6296841323589814+0.2921872433091171j),(3.4318593715084087+1.9383786693511866j),(2.4897397687616865+2.347083637150021j),(0.06882710357743586-0.039451689842338655j),(1.3851133527597965+1.3916526005161973j),(0.5981072395367576+1.5239396962867622j),(0.557182005232704+1.4061527145251884j),(0.7947951538951427+1.5635733580703615j),(1.923892811136076+0.7861410501107076j),(1.299316350019666-0.11396306120847817j)
0.03,(1.6031105647985822+0.715876773786795j),(1.2787390815727384+1.5326226662204157j),(1.1653005904606213-0.12274991450020947j),(1.6026810453050144+2.369665167797577j),(0.4731566564053653+1.1700962178236505j),(0.9443951121224674+2.0024735323826826j),(-0.14980478799343822+0.04782612944677894j),(2.1284108334792187+1.017629157438383j),(0.970803268482313-0.19039409181875344j),(0.2855113465170764+0.37304529753246474j),(0.6223238679511084+0.2860826630157365j),(3.26840139162146+1.977995323389242j),(2.3584441355014363+2.3006490444242655j),(0.06978943421035576-0.053051691469397075j),(1.3441584854889876+1.3612044195308766j),(0.5842767342401878+1.4756395432833214j),(0.5443678483321718+1.363146716542921j),(0.7733056281535787+1.5150130073655186j),(1.888206110552272+0.7937109396948329j),(1.3031188985348081-0.11024493464181132j)
0.04,(1.5761156313841629+0.7157215977200269j),(1.2390185904022712+1.4931663406776328j),(1.1691679524752425-0.12109827070560447j),(1.5285010799853225+2.287542050401382j),(0.4618294868594447+1.1367646011333923j),(0.9143378232469038+1.9313999637900532j),(-0.15033907477842628+0.030541873597051662j),(2.077879375642513+1.0254274172226312j),(0.9763649928039607-0.1915665812569901j),(0.2779219763230411+0.36080917134801466j),(0.6151381009906326+0.2800232792341255j),(3.112232334038997+2.0029109969291063j),(2.2385116704757375+2.2512136306833987j),(0.0710320674565321-0.06659566070302743j),(1.3054667541430296+1.3313228551943443j),(0.5708797643198762+1.4297311759615674j),(0.5318774248228286+1.3221480133297807j),(0.7528873186341142+1.4688035858148734j),(1.8530925002046088+0.7997531497183097j),(1.3067851037219549-0.10648844480998765j)
0.05,(1.5497388434514505+0.7148248833107609j),(1.2017645041358596+1.455009178210417j),(1.172967213150044-0.11941384835929102j),(1.46144141295148+2.209447266846285j),(0.4507035468474989+1.1048221360290826j),(0.8864926158590097+1.8645099342072593j),(-0.15063914543450077+0.013338921411793714j),(2.0286916509277773+1.0308001282738466j),(0.9819416409532068-0.1926831550290157j),(0.2705587014452049+0.3487243018453055j),(0.6081303449547959+0.27402222594366776j),(2.9643479145588727+2.0152826384317963j),(2.1290758681327837+2.1999042912614866j),(0.07255200286646435-0.08006487365902908j),(1.2689214748649673+1.302068811201212j),(0.5578985805849769+1.3860869978901709j),(0.5197035446928456+1.2830601223344376j),(0.7334677345720979+1.4248275633902865j),(1.818662286214882+0.8043460172497522j),(1.3103090240502089-0.10271078554112169j)
0.06,(1.5240252689715903+0.7132362583289249j),(1.1668093588889856+1.4181593325942097j),(1.176692393149462-0.11770571286020505j),(1.40068970983369+2.135286150841727j),(0.4397808784593913+1.0742154765951826j),(0.8606384887931625+1.8015173077997058j),(-0.15070464973880984-0.003767098096088224j),(1.9809901242574888+1.0339459044366952j),(0.9875240007933848-0.19374326008688586j),(0.26342372271693143+0.3368025754126794j),(0.6013031871116249+0.26809257270619774j),(2.825315964140066+2.0171361115957813j),(2.029276599153011+2.1476213677032594j),(0.07434548518084289-0.09344075146076507j),(1.2344089506191844+1.273492524605906j),(0.5453161164116918+1.3445878462426073j),(0.5078386037752078+1.2457921670197312j),(0.7149802654819922+1.38297428654741j),(1.7850118821231438+0.8075748255120895j),(1.3136859531440466-0.09892963986669552j)
0.07,(1.499013039043103+0.7110071801177617j),(1.1339967018280628+1.38261645894333j),(1.1803381026608928-0.1159834111614375j),(1.3455373649976652+2.0649338348223725j),(0.42906239735680496+1.0448935700426458j),(0.8365816247480228+1.7421596385388836j),(-0.1505357842310162-0.02076065530122394j),(1.934887419314483+1.0350647228747807j),(0.9931027566979085-0.19474707123513527j),(0.25651842745218933+0.3250555288134958j),(0.5946583168703443+0.2622472551101913j),(2.6953656375180555+2.0103163504166455j),(1.9382840382380206+2.095075410625383j),(0.07640802242240811-0.10670490087066967j),(1.2018191039000563+1.2456346896311383j),(0.5331159777892196+1.3051223780530152j),(0.49627468704950384+1.2102585414434945j),(0.6973636476153747+1.3431395918126243j),(1.7522239406343765+0.8095296916096084j),(1.3169124464704545-0.0951630344014103j)
0.08,(1.4747335934301111+0.7081901041280291j),(1.1031806790288778+1.348373169328444j),(1.1838995749973715-0.11425689796760716j),(1.295365956483847+1.998246104216755j),(0.4185480347371511+1.0168075814242226j),(0.8141515846359051+1.6861960637812636j),(-0.15013328265225787-0.03762633864902508j),(1.8904686928065262+1.0343541803867777j),(0.9986685552335184-0.19569549025126826j),(0.24984342493906148+0.3134943238065568j),(0.588196559344611+0.2564990074098211j),(2.574468920610884+1.9964635174150307j),(1.8553135183121205+2.0428199837213827j),(0.07873440780142354-0.11983915717062417j),(1.1710459335809182+1.2185275157373503j),(0.521282424885647+1.2675864972209046j),(0.4850036523339152+1.1763785868690966j),(0.680561475983619+1.3052254273282946j),(1.720367754681881+0.8103036445851445j),(1.3199863281781241-0.091429189464145j)
0.09,(1.4512120015472427+0.7048377409251387j),(1.0742255492005452+1.315416291690842j),(1.187372690953062-0.11253645666476249j),(1.2496352877814396+1.935067402683402j),(0.4082368612197627+0.9899108100251917j),(0.7931980826433993+1.6334053631541878j),(-0.14949840336187778-0.0543488768646996j),(1.8477942742628921+1.0320064678692629j),(1.0042120715389022-0.19659013638362363j),(0.24339858328360128+0.30212972117380216j),(0.5819179134844378+0.25086029753914413j),(2.4624108516596355+1.977007863731673j),(1.7796338045403197+1.9912801310637493j),(0.08131874536620247-0.13282562962467234j),(1.1419878237615817+1.1921957109255994j),(0.5098003471205417+1.2318828193129105j),(0.4740171973774969+1.1440762804788054j),(0.6645217583320283+1.2691394841581871j),(1.6894998717615999+0.80999091788446j),(1.3229066780859275-0.08774636757172925j)
