t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019
0.0,(3.1807122908762106e-07+5.290251280517225e-08j),(-3.3949539075058457e-09+9.410341076943883e-09j),(1.9947640864054753e-05-4.753440840579514e-05j),(8.903115640671503e-12+1.4360977220527347e-12j),(3.518355475221709e-06-5.258456660812012e-07j),(-4.9831231928917873e-11-9.120754609604366e-11j),(-1.0208862446861686+30.59727045814115j),(-2.891186998316087e-10+5.43656092063031e-10j),(0.0001511455273383662+5.221145495096833e-06j),(0.01206982876244818-0.0002935610190912314j),(0.0019627896557757635+1.0451750560749128e-05j),(3.6870003000707354e-14+3.320744770249253e-15j),(-3.1683180458650274e-13-1.4904362672425855e-14j),(0.12279015923270711+6.422973699739144e-05j),(4.3797904623610606e-08-1.4920280770942188e-08j),(2.6533856647091533e-07+9.796564602437108e-09j),(2.221436747418326e-07+1.6979948853391525e-07j),(9.074593133726145e-08-8.36655402616842e-08j),(4.067035309658147e-11+8.33005608160719e-09j),(6.612858934638605e-06-2.143611512944103e-10j)
0.01,(5.132917717565079e-07+4.9506923345860076e-08j),(-9.2184483014563e-09+1.9460719871430882e-08j),(-5.971621853777296e-05-0.0001278962693893054j),(2.3889965159453213e-11-2.6967700887505223e-13j),(-8.042739831477272e-06-8.682095759678068e-07j),(1.2780769089243406e-09+5.954235177127489e-10j),(3.5148830627219994+31.268374734734344j),(-4.353352613331106e-10+9.650995433030297e-10j),(2.6758100156958133e-05+7.031547824293193e-05j),(0.01532271989143656-0.006772519464701173j),(0.001114240984822662-0.0015309893372811786j),(3.819213019281011e-14-4.401027192913737e-14j),(-5.148183581615728e-13+6.064107518170059e-13j),(0.13349388442412818-0.027241199561808004j),(3.1078102325635816e-08-6.379519686767947e-08j),(4.724035813583326e-07+1.99809011310337e-07j),(2.3820059824079295e-06+1.2331123742415531e-06j),(2.406564799342839e-07-1.6444887562107456e-07j),(5.752540690918493e-09+9.221937713973964e-09j),(2.4681666275222538e-05+3.720957900147176e-06j)
0.02,(8.045536503452901e-07-1.0162919286812483e-07j),(-1.567622143752502e-08+4.223108328811521e-08j),(-0.00017191872220563678-0.0001445665917803736j),(5.861948892899894e-11-1.3974916528203336e-11j),(-2.8590231584897362e-05+2.5718944838597913e-06j),(5.188784914006077e-09+1.6300832753269827e-09j),(8.177409280190863+31.113229418566174j),(-2.607444771633045e-10+1.8578474345411226e-09j),(-1.944884301606362e-05+0.00018154627534343112j),(0.016685350378789165-0.014880538977794167j),(-0.000418533610283758-0.002640574680983182j),(-1.713049146877693e-14-8.931500909558727e-14j),(1.4104851158927257e-13+1.956274258300604e-12j),(0.136182274362257-0.056638647396558245j),(-2.8438461106988246e-08-1.2269410871171893e-07j),(8.745215248599693e-07+5.566224583757815e-07j),(6.801419148960668e-06+2.5817438249127148e-06j),(5.092684288429632e-07-3.5861554757798575e-07j),(1.2694548977161652e-08+6.5251506672058975e-09j),(4.093669171419157e-05-5.7946492442750095e-06j)
0.03,(1.1129201250302181e-06-4.957279076149132e-07j),(-1.6492781777563044e-08+8.650496118786185e-08j),(-0.0002822726699364113-9.359204945839277e-05j),(1.278260037284922e-10-6.603202975033068e-11j),(-6.156101688709679e-05+1.3921371291070939e-05j),(1.4582785408425748e-08+2.348667733160445e-09j),(12.800597051666863+30.109399709731623j),(7.605286728072273e-10+3.0689135204505627e-09j),(1.6559573589705127e-05+0.00029641832797017484j),(0.015609912203740892-0.024118109352437578j),(-0.0024682324339487644-0.0030725152431639834j),(-1.2119673112390856e-13-6.755984130309947e-14j),(3.185446528781612e-12+3.4091696446600963e-12j),(0.13086661047167486-0.08581028817397698j),(-1.610702469531472e-07-1.6493972651252434e-07j),(1.6253277646319394e-06+1.1591314561891922e-06j),(1.4910387405274453e-05+3.82372538439846e-06j),(9.43920989728036e-07-7.778769274693143e-07j),(1.877524574914592e-08-9.271816115055724e-10j),(4.933795979940699e-05-2.5103832348733343e-05j)
0.04,(1.294223704437721e-06-1.1934084152896222e-06j),(2.0061943326784043e-09+1.6245328392792626e-07j),(-0.00036019493561902766+1.4513606550423916e-05j),(2.4468467814912934e-10-2.1603656861961814e-10j),(-0.00011067845879938242+3.962131768087635e-05j),(3.453789268992804e-08+5.813085245749018e-10j),(17.215674168703597+28.271140151898628j),(3.1323351747685235e-09+4.014963040125151e-09j),(0.00012197417841771746+0.000377861318396867j),(0.011691819271551034-0.03382149651563592j),(-0.004789412474726077-0.0026413471524207983j),(-1.9090415650827266e-13+7.035813833819697e-14j),(1.0458177386081268e-11+2.2376301999048425e-12j),(0.1181700076124556-0.11263907869086422j),(-3.8777950200581376e-07-1.391448523006745e-07j),(2.9690118659441152e-06+2.0989785323058706e-06j),(2.8700203855411392e-05+4.049976608449549e-06j),(1.5848600354379588e-06-1.6067020599471158e-06j),(2.0978368648954004e-08-1.3153724007638567e-08j),(4.636556376514659e-05-4.8830423243271714e-05j)
0.05,(1.1528510004182519e-06-2.1832256470370934e-06j),(6.437154869057172e-08+2.788774791349921e-07j),(-0.0003838659839189929+0.00015838961758841906j),(4.026130115768533e-10-5.815617933370272e-10j),(-0.00017949396308747885+8.911985719845924e-05j),(7.330991244710474e-08-8.971790003600606e-09j),(21.259847529905855+25.649253522031884j),(7.045491775878279e-09+3.6427464713856593e-09j),(0.00027158886051168+0.0003995788130724333j),(0.004719959421426073-0.043208875021771724j),(-0.007080395600396582-0.0012451608525613446j),(-8.924832724713902e-14+2.675655043551134e-13j),(2.230957006416484e-11-7.934567921868535e-12j),(0.09922304741561967-0.13535022901327387j),(-7.09943729013935e-07+3.570375694632948e-08j),(5.277154751368593e-06+3.469592121565081e-06j),(5.079490929214965e-05+1.5238155278526825e-06j),(2.4421071802390726e-06-3.130026073327394e-06j),(1.5969476238224392e-08-2.836866557925633e-08j),(3.135859475185933e-05-7.09903040194931e-05j)
0.06,(4.751888938312147e-07-3.350119755173858e-06j),(2.0932531259151214e-07+4.3823954068738186e-07j),(-0.00034311926138358656+0.0003108102677784704j),(5.349141798287675e-10-1.3700154815764815e-09j),(-0.0002706932742640803+0.00017558141377531296j),(1.434278943923217e-07-3.74723479712415e-08j),(24.78465441519852+22.328786419747814j),(1.203926717497231e-08+5.618149157052205e-10j),(0.0004336186942012286+0.00034906720197871327j),(-0.00528897780444642-0.051443429197540275j),(-0.009012120732256566+0.001119488231907567j),(2.467254008434227e-13+2.870278562332406e-13j),(3.360405451317964e-11-3.805576000614041e-11j),(0.07553261402431613-0.15261547843394396j),(-1.089337321297432e-06+4.6963641526995235e-07j),(9.09400056269166e-06+5.346219564883166e-06j),(8.446533459940027e-05-6.7177842838495174e-06j),(3.4585262431122382e-06-5.762616371471377e-06j),(1.1354645272685808e-09-4.264335253647564e-08j),(6.283906248212352e-06-8.623452397777766e-05j)
0.07,(-9.205200846550721e-07-4.45989586937755e-06j),(4.919661236172993e-07+6.292211755965507e-07j),(-0.0002399943910679897+0.0004440655322987503j),(4.3938457901197734e-10-2.9124565102490612e-09j),(-0.00038515983908610956+0.0003165672617396347j),(2.6265607049268225e-07-1.0623733135860963e-07j),(27.663450914377133+18.424728903549937j),(1.6710393452186502e-08-6.618442163513438e-09j),(0.0005758551149148723+0.0002280320953830403j),(-0.01807876458427478-0.057708120113058446j),(-0.010260678564880046+0.004353421455975554j),(5.677436718832832e-13-2.3270347813727467e-13j),(2.696363343398708e-11-1.0214058568924146e-10j),(0.04883330090208053-0.16361567987992265j),(-1.4238238829129847e-06+1.2920523796751986e-06j),(1.5190667335359134e-05+7.754455346472344e-06j),(0.00013356110323697916-2.5343423640581597e-05j),(4.457450244598779e-06-1.0076983363099847e-05j),(-2.4115718132637768e-08-5.015872358016165e-08j),(-2.4950491695607315e-05-9.079892590370915e-05j)
0.08,(-3.126678315785999e-06-5.1676335636918745e-06j),(9.839223058164804e-07+8.169607894306409e-07j),(-8.71072947872016e-05+0.0005347411417181121j),(-3.469375432139433e-10-5.6887320219180225e-09j),(-0.0005208058652193799+0.0005346693812175051j),(4.544437342822735e-07-2.5312562661263654e-07j),(29.797551672549364+14.076033351248336j),(1.8579109747548142e-08-1.8769114999563402e-08j),(0.0006710646420105444+5.040429450260529e-05j),(-0.03316889993404444-0.06128290578222381j),(-0.010538838900673586+0.008262244841433793j),(6.308498756028889e-14-1.4503813277225522e-12j),(-3.640707810690357e-11-2.1055641399526592e-10j),(0.020933799855222753-0.16806169718376796j),(-1.5218787912083744e-06+2.6299583021469005e-06j),(2.4629968158322535e-05+1.0624499405511776e-05j),(0.000202347068286744-6.127374572699401e-05j),(5.075063700290753e-06-1.6827512632671393e-05j),(-5.713469795525229e-08-4.4219312340593166e-08j),(-5.74474697164513e-05-8.30169244825227e-05j)
0.09,(-6.093702224008616e-06-5.052293992893524e-06j),(1.7707488385813034e-06+9.314283596948916e-07j),(9.559852767862106e-05+0.0005671032063932148j),(-2.7383982503104374e-09-1.0327402086578536e-08j),(-0.0006711675526978179+0.0008581209492933039j),(7.472938666285819e-07-5.416265914409778e-07j),(31.120651464223084+9.43838382230714j),(1.420224897278591e-08-3.561635804803468e-08j),(0.0007007839900341122-0.00016140773308854857j),(-0.049898057884317434-0.0616145005274628j),(-0.00962210285492444+0.01257413247805787j),(-2.6580973432172586e-12-2.6316022167942903e-12j),(-2.2633361044106277e-10-3.546414152517125e-10j),(-0.0064328517728661355-0.16617255354942817j),(-1.080276866135858e-06+4.572109954428333e-06j),(3.884476820765476e-05+1.3726529331235904e-05j),(0.0002952464399833033-0.00012428691331963607j),(4.678829961118512e-06-2.6971737420359154e-05j),(-9.133244304014139e-08-1.899701059474567e-08j),(-8.63125449263428e-05-6.33572328312067e-05j)
