t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00
0.0,(1.0891070863939791+0.6752723922656401j),(2.9341289847747856+1.9047611356399874j),(0.6840439316167632-0.12033323240819116j),(1.710312938687575-0.6447423293900283j),(1.4277348340896676+2.478789125150307j)
0.01,(1.0703852400519493+0.6661834420627821j),(2.8006041905741337+1.9123641698914886j),(0.6873610597795122-0.12398565991399012j),(1.7368708409960496-0.639173665813189j),(1.3618208068142752+2.3838209507589996j)
0.02,(1.052118081920292+0.6570822784894684j),(2.6741821546897193+1.9113662472218274j),(0.6907744033915201-0.12761481614645928j),(1.7635388517246207-0.6326986393472586j),(1.3021851764441068+2.2943223299922155j)
0.03,(1.0343161990337855+0.6479874103757596j),(2.5551241732348395+1.9031429382224834j),(0.6942795520102536-0.13120986873302704j),(1.790230809919251-0.625315523518121j),(1.2480856803797302+2.2099895408125114j)
0.04,(1.0169876646820541+0.6389175928260269j),(2.44349457495877+1.8889474156165476j),(0.697871498138991-0.1347602728360716j),(1.8168575864368575-0.6170320807384349j),(1.198881156980463+2.1305238163458715j)
0.05,(1.0001381731461851+0.6298916254699386j),(2.339206175253351+1.8698994022367634j),(0.7015446647771345-0.13825582463613345j),(1.8433281886203428-0.6078661715154687j),(1.1540166788173318+2.055635822830462j)
0.06,(0.9837711846252355+0.6209281699463745j),(2.2420598113350727+1.8469833856555906j),(0.7052929391732788-0.14168671249600373j),(1.8695509842095002-0.5978461932173272j),(1.113010935651344+1.9850484927261953j)
0.07,(0.9678880770313655+0.6120455867985711j),(2.1517774599043094+1.8210532130276815j),(0.7091097125403556-0.14504356535118795j),(1.895435016202151-0.5870113201432602j),(1.0754455388912454+1.9184986782338749j)
0.08,(0.9524883016507656+0.6032617914886712j),(2.0680291104701416+1.7928407288201844j),(0.712987925406572-0.14831749788515328j),(1.9208913738123028-0.5754115220830203j),(1.0409559575317413+1.855737966899j)
0.09,(0.9375695400138911+0.5945941288599491j),(1.9904539581889769+1.7629666687801389j),(0.7169201181914766-0.15150015206939701j),(1.9458345793311973-0.5631073457288194j),(1.00922383400151+1.7965329095664204j)
0.1,(0.923127859676115+0.5860592650817986j),(1.9186766664701482+1.7319525142433079j),(0.7208984865149525-0.15458373467910508j),(1.9701839470763542-0.5501694519155256j),(0.9799704643700861+1.740664843448694j)
0.11,(0.9091578669650132+0.5776730959002225j),(1.85231949960256+1.700232416042551j),(0.7249149406699847-0.1575610504351356j),(1.9938648691170895-0.5366779112538719j),(0.9529512597824707+1.68792944328435j)
0.12,(0.8956528550919681+0.5694506698767406j),(1.7910110925595826+1.6681646132571561j),(0.7289611686194954-0.16042553047201963j),(2.016809983358749-0.5227212707098092j),(0.9279510344291148+1.6381360968821919j)
0.13,(0.8826049463454605+0.5614061252223708j),(1.7343925474328485+1.6360420071578763j),(0.7330287018152019-0.16317125588904668j),(2.038960182939711-0.5083954134184553j),(0.9047799898809661+1.5911071743552634j)
0.14,(0.8700052273756373+0.553552638810815j),(1.682121449453282+1.6041017182708142j),(0.7371089830840948-0.16579297620633154j),(2.060265431634724-0.4938022428359003j),(0.8832702865179894+1.5466772405111606j)
0.15,(0.8578438768410211+0.5459023859764811j),(1.6338742963504918+1.5725335687806885j),(0.741193435787366-0.16828612261871345j),(2.0806853577561597-0.47904822960954496j),(0.8632731104461921+1.5046922453143123j)
0.16,(0.8461102849172645+0.5384665097593073j),(1.5893477419857136+1.54148750660311j),(0.7452735334288457-0.17064681601577283j),(2.1001896084172036-0.4642428647835814j),(0.8446561591495201+1.4650087166880588j)
0.17,(0.8347931643646516+0.5312550983408225j),(1.5482589732128937+1.5110800323710765j),(0.7493408688763508-0.17287186981420088j),(2.1187579563524763-0.4494970658104917j),(0.8273014815607914+1.4274929721594267j)
0.18,(0.8238806530171101+0.5242771695168799j),(1.5103454692904432+1.4813997150231955j),(0.7533872223605463-0.1749587877270854j),(2.1363801620951497-0.43492158216943927j),(0.8111036186275641+1.3920203602127945j)
0.19,(0.8133604076929917+0.5175406611652029j),(1.4753643356880837+1.4525118922791362j),(0.7574046274323667-0.17690575667107772j),(2.153055604493397-0.42062544526231577j),(0.7959679991192459+1.3584745381524226j)
0.2,(0.8032196896397465+0.5110524267846749j),(1.4430913577188103+1.4244626539078753j),(0.7613854340916217-0.17871163508457436j),(2.1687927016811166-0.40671450292672884j),(0.7818095526524683+1.326746790365033j)
0.21,(0.7934454417140325+0.5048182353033871j),(1.413319882602338+1.3972822018031745j),(0.7653223683456294-0.18037593699572227j),(2.1836081521821202-0.3932900727904472j),(0.7685515079425133+1.2967353888169164j)
0.22,(0.7840243575691203+0.49884277447011127j),(1.3858596097827716+1.3709876738752325j),(0.7692085875166073-0.18189881223618826j),(2.1975260314617757-0.3804477413226356j),(0.7561243493223382+1.2683449961883884j)
0.23,(0.7749429431759324+0.4931296572561497j),(1.3605353471155492+1.3455855102575094j),(0.7730377306887374-0.1832810232434086j),(2.21057678275769-0.36827632739496635j),(0.7444649087772088+1.2414861110743194j)
0.24,(0.7661875710458582+0.48768143079929677j),(1.3371857736100925+1.3210734313534285j),(0.7768039637685977-0.1845239189290361j),(2.222796142406108-0.3568570210272847j),(0.7335155742639108+1.2160745540379188j)
0.25,(0.7577445275553731+0.48249958751744854j),(1.3156622366606159+1.297442088452943j),(0.7805020187239853-0.1856294061135193j),(2.2342240392718304-0.3462627002790732j),(0.7232235980364997+1.192030992904054j)
0.26,(0.7496000537970213+0.47758457810531885j),(1.295827602204385+1.274676439404452j),(0.7841272266638263-0.18659991903567186j),(2.2449035055460262-0.33655742238670755j),(0.7135404911830756+1.1692805054493787j)
0.27,(0.7417403804005654+0.47293582620333174j),(1.277555169273578+1.2527568943227319j),(0.7876755445235284-0.1874383874416794j),(2.2548796324399087-0.32779607954605433j),(0.7044214926705906+1.1477521775389514j)
0.28,(0.7341517567838148+0.4685517445930088j),(1.2607276553625395+1.2316602696202852j),(0.7911435752233553-0.1881482037407467j),(2.2641985995540113-0.32002420538174875j),(0.6958251029635938+1.1273787347354853j)
0.29,(0.7268204753061343+0.4644297528283275j),(1.2452362554506569+1.2113605827670806j),(0.7945285812698765-0.18873318968544486j),(2.2729068013267395-0.31327791518755077j),(0.6877126737827733+1.1080962054402748j)
0.3,(0.7197328908098708+0.4605662962580711j),(1.2309797750383922+1.191829715068839j),(0.797828491870012-0.18919756299514043j),(2.281050088316642-0.30758396141774497j),(0.6800480468450956+1.089843613694064j)
0.31,(0.7128754360465313+0.45695686643079386j),(1.217863835888599+1.1730379653410048j),(0.8010419037216393-0.18954590429242488j),(2.2886731354549057-0.3029598855234572j),(0.6727972355161026+1.0725626998570044j)
0.32,(0.7062346334957778+0.4535960229024639j),(1.2058001521001633+1.1549545135693493j),(0.8041680757323421-0.18978312466716307j),(2.2958189440589-0.2994142478653547j),(0.6659281442367241+1.056197667488655j)
0.33,(0.6997971040962068+0.45047741648796963j),(1.1947058735105496+1.1375478104125976j),(0.8072069179971928-0.18991443412283152j),(2.302528479498517-0.2969469188656356j),(0.6594103213863669+1.0406949548542412j)
0.34,(0.6935495734171868+0.4475938140123689j),(1.18450299310151+1.1207859056447385j),(0.8101589754362242-0.18994531109744348j),(2.3088404420652453-0.29554941654518374j),(0.6532147419311151+1.0260030295867286j)
0.35000000000000003,(0.6874788758103383+0.44493712462692053j),(1.1751178149724926+1.1046367262885617j),(0.8130254065516225-0.18988147318876794j),(2.3147911648653263-0.2952052778903658j),(0.6473136167967721+1.01207220513207j)
0.36,(0.6815719570869155+0.44249842775941706j),(1.1664804794767027+1.0890683131985652j),(0.8158079578130657-0.18972884915284244j),(2.3204146294549237-0.2958904538936179j),(0.6416802264142805+0.9988544776948162j)
0.37,(0.6758158762726931+0.4402680027689832j),(1.158524542231298+1.0740490231596924j),(0.8185089342167579-0.18949355218785865j),(2.325742587437734-0.2975737204286916j),(0.6362887763201205+0.9863033824818079j)
0.38,(0.6701978069941091+0.4382353603730574j),(1.1511866038753815+1.0595477021352384j),(0.8211311665895591-0.18918185446401728j),(2.330804774314898-0.300217099208334j),(0.6311142730649453+0.9743738681120191j)
0.39,(0.6647050390475306+0.4363892759094601j),(1.1444059876276431+1.0455338340863225j),(0.8236779762244106-0.18880016281523332j),(2.3356292004649344-0.30377628482153524j),(0.6261324189963995+0.9630221881207052j)
0.4,(0.6593249806966346+0.43471782448986157j),(1.138124461868309+1.0319776687669877j),(0.8261531374373993-0.1883549954716386j),(2.3402425031870386-0.3082010751906557j),(0.6213195247419468+0.9522058085359585j)
0.41000000000000003,(0.6540451622301654+0.43320841809315036j),(1.1322860051225883+1.0188503310490296j),(0.8285608386309079-0.18785295968331653j),(2.3446703432172313-0.3134358036942799j),(0.6166524384285444+0.9418833305461715j)
0.42,(0.6488532412928552+0.43184784463858267j),(1.1268366109453194+1.0061239136296922j),(0.8309056424320557-0.18730073006591058j),(2.348937828981852-0.3194197716713653j),(0.6121084908413434+0.9320144273084681j)
0.43,(0.6437370104752762+0.430622309069533j),(1.1217241302935277+0.9937715544079528j),(0.833192445451854-0.18670502748765302j),(2.3530699520512313-0.326087680087538j),(0.6076654558458463+0.9225597939719j)
0.44,(0.6386844076131504+0.42951747646939004j),(1.1168981490229561+0.981767499368911j),(0.8354264381790922-0.1860725983146094j),(2.357092017767348-0.33337005886042365j),(0.6033015254793427+0.9134811100062039j)
0.45,(0.633683529202571+0.42851851722180123j),(1.112309898157135+0.9700871514806577j),(0.8376130654848329-0.1854101938359532j),(2.3610300558144806-0.3411936917820977j),(0.5989952991600995+0.9047410129384246j)
0.46,(0.6287226472843339+0.42761015421812243j),(1.1079121945562618+0.9587071058754094j),(0.8397579881695101-0.18472454970303662j),(2.364911196552263-0.34948203423053775j),(0.5947257864688514+0.8963030826069396j)
0.47000000000000003,(0.623790230087891+0.4267767121055087j),(1.1036594095631675+0.9476051714489423j),(0.8418670459359525-0.1840223652339696j),(2.3687640002036514-0.3581556200234249j),(0.5904724229290538+0.8881318350467985j)
0.48,(0.6188749666533858+0.4260021685594666j),(1.099507463131469+0.9367603789618163j),(0.8439462221191679-0.18331028245824518j),(2.37261872744758-0.3671324529338571j),(0.5862150981529061+0.8801927251229261j)
0.49,(0.6139657955690909+0.4252702075546257j),(1.095413840854309+0.9261529757547463j),(0.8460016104483875-0.18259486480254772j),(2.3765075415620123-0.3763283776521558j),(0.581934195632684+0.8724521570299812j)
0.5,(0.6090519378719537+0.42456427459669843j),(1.0913376312192027+0.9157644072898922j),(0.8480393840596185-0.1818825753480891j),(2.380464633944598-0.38565742442656065j),(0.5776106433453637+0.8648775017804656j)
0.51,(0.6041229340617746+0.42386763386667625j),(1.0872395803240116+0.9055772858900814j),(0.8500657669187297-0.1811797546205466j),(2.3845262665459055-0.39503212132159093j),(0.5732259742075345+0.8574371208070214j)
0.52,(0.5991686850760756+0.4231634272148529j),(1.0830821612092898+0.8955753472578052j),(0.8520870077567584-0.18049259790488076j),(2.3887307264212185-0.40436376805450963j),(0.5687623952724936+0.850100394811361j)
0.53,(0.5941794969645688+0.42243473492680766j),(1.0788296549009786+0.885743395602735j),(0.8541093565615926-0.1798271321080828j),(2.3931181891775313-0.41356266574904965j),(0.564202864408205+0.842837757001479j)
0.54,(0.5891461288912945+0.4216646381655468j),(1.0744482402213449+0.8760672384767814j),(0.8561390436142139-0.1791891922224301j),(2.3977304895030156-0.4225382977054092j),(0.5595311730400511+0.8356207298708049j)
0.55,(0.5840598439812613+0.4208362829731637j),(1.0699060894206027+0.8665336126946733j),(0.8581822610041258-0.1785843974694766j),(2.402610798165498-0.43119945743405486j),(0.5547320333930464+0.8284219646878299j)
0.56,(0.5789124624194258+0.4199329456912477j),(1.065173466710618+0.8571301029903828j),(0.8602451465081417-0.17801812723025826j),(2.4078032058163017-0.43945432173124904j),(0.5497911685316835+0.8212152828821446j)
0.5700000000000001,(0.5736964161059407+0.4189380996315554j),(1.060222826847595+0.8478450553102115j),(0.8623337696700625-0.17749549688972338j),(2.4133522146151405-0.4472104684680106j),(0.5446954033791687+0.8139757185323928j)
0.58,(0.568404804075863+0.4178354827970294j),(1.0550289110130662+0.8386674868572858j),(0.8644541198765751-0.1770213337429835j),(2.4193021391012324-0.4543748409949403j),(0.539432754808521+0.8066795611828176j)
0.59,(0.5630314478070853+0.41660916641812346j),(1.0495688373805776+0.8295869951660223j),(0.8666120961875037-0.176600153127571j),(2.42569641789966-0.4608536636018968j),(0.5339925188423951+0.7993043982373539j)
0.6,(0.5575709454702831+0.4152436240308491j),(1.0438221839265078+0.8205936685871883j),(0.8688134986468575-0.17623613495953228j),(2.432576837821268-0.4665523152810893j),(0.5283653529821901+0.7918291562031248j)
0.61,(0.5520187241221867+0.41372380078150295j),(1.037771061243661+0.8116780005952878j),(0.8710640207753638-0.17593310086203837j),(2.4399826717673605-0.47137517209236685j),(0.5225433517145551+0.7842341400784887j)
0.62,(0.5463710888112113+0.4120351825994731j),(1.0314001733410432+0.8028308102838831j),(0.8733692429257095-0.17569449208349353j),(2.447949731693434-0.4752254316884232j),(0.5165201133178509+0.7765010702044383j)
0.63,(0.540625267554803+0.41016386483495754j),(1.0246968646576073+0.7940431712882418j),(0.8757346261688119-0.1755233484081548j),(2.456509337853564-0.4780049369924761j),(0.5102907962138805+0.7686131159225215j)
0.64,(0.534779451162554+0.40809661991424573j),(1.0176511517767832+0.7853063511690984j),(0.8781655063732917-0.17542228826636916j),(2.465687205799122-0.4796140195938097j),(0.5038521632808023+0.7605549254082423j)
0.65,(0.5288328269193939+0.40582096352307767j),(1.01025573859763+0.7766117630107021j),(0.8806670881410263-0.17539349025402387j),(2.475502253327438-0.47995138708708346j),(0.49720261275916844+0.7523126510771855j)
0.66,(0.5227856052093091+0.40332521879038913j),(1.0025060139934778+0.7679509306386494j),(0.8832444382692635-0.1754386762720125j),(2.485965330972765-0.47891408225785215j),(0.4903421946401304+0.7438739699933231j)
0.67,(0.5166390382516339+0.40059857791250625j),(0.9944000312665997+0.759315468459444j),(0.8859024784241833-0.17555909649672122j),(2.4970778819238313-0.47639754560297704j),(0.48327261171677016+0.7352280987467269j)
0.68,(0.5103954302375672+0.39763116063367987j),(0.9859384689852655+0.7506970764783064j),(0.8886459767318915-0.17575551639199574j),(2.508830540664139-0.4722958160151003j),(0.47599720479834995+0.7263658023130168j)
0.6900000000000001,(0.504058138291901+0.3944140689847936j),(0.9771245730655808+0.7420875505806144j),(0.8914795380203591-0.1760282059719016j),(2.521201684379969-0.4665019073337371j),(0.46852092192369793+0.7172793964610014j)
0.7000000000000001,(0.49763156384080237+0.3909394376800415j),(0.9679640802334679+0.733478807683111j),(0.8944075924794995-0.17637693152194237j),(2.534155957454976-0.4589084005683871j),(0.4608502717536686+0.707962743339589j)
0.71,(0.4911211341368627+0.3872004795829463j),(0.9584651232708226+0.7248629248919612j),(0.8974343825460053-0.1768009499842448j),(2.5476427973013385-0.44940829253071635j),(0.45299326166272125+0.6984112399511843j)
0.72,(0.4845332738728637+0.383191525679458j),(0.9486381187130659+0.7162321913638049j),(0.900563947864277-0.17729900620944886j),(2.561594999404334-0.4378961408674325j),(0.444959321375188+0.6886217993068757j)
0.73,(0.4778753670006141+0.37890805903769803j),(0.9384956379214651+0.7075791711701884j),(0.9038001082242705-0.1778693332744599j),(2.575927370678729-0.4242695424523603j),(0.4367592132922137+0.6785928241584164j)
0.74,(0.4711557090553355+0.37434674229121107j),(0.9280522627004779+0.6988967751301254j),(0.9071464444307239-0.1785096560605196j),(2.5905355327543034-0.408430976077259j),(0.4284049309209913+0.6683241733121835j)
0.75,(0.4643834504638869+0.3695054382547418j),(0.9173244268650671+0.6901783393125634j),(0.9106062771153605-0.17921719827984012j),(2.605294950070359-0.3902900306307753j),(0.419909587040569+0.6578171206488995j)
0.76,(0.4575685314812483+0.3643832233671832j),(0.9063302453815816+0.6814177077293904j),(0.9141826435635604-0.17998869313082394j),(2.620060270793854-0.3697660257485837j),(0.4112872934116492+0.6470743070970862j)
0.77,(0.45072160954921603+0.3589803937534444j),(0.8950893329038921+0.6726093166460309j),(0.9178782726888338-0.1808203977511204j),(2.6346650803462923-0.3467910126575679j),(0.4025530339570073+0.6360996859344102j)
0.78,(0.4438539799998911+0.35329846380289254j),(0.8836226136988236+0.6637482779323358j),(0.9216955583513637-0.18170811162379102j),(2.648922176109579-0.32131311829206005j),(0.3937225334022071+0.6248984619151384j)
0.79,(0.4369774911308127+0.3473401572735696j),(0.871952125096152+0.6548304589593159j),(0.9256365312799644-0.18264719907404448j),(2.6626244757019113-0.29330016584582963j),(0.38481212337326237+0.6134770248394195j)
0.8,(0.43010445475601455+0.34110939104502996j),(0.8601008167032643+0.6458525567114222j),(0.9297028299190094-0.18363261597165262j),(2.6755466678369055-0.2627434704953033j),(0.37583860790108203+0.601842878286525j)
0.81,(0.4232475533864844+0.3346112517546193j),(0.84809234768823+0.6368121640203332j),(0.933895670582153-0.18465894072661004j),(2.6874477019026464-0.2296616716763698j),(0.366819130186267+0.5900045643252237j)
0.8200000000000001,(0.4164197452141703+0.3278519656585634j),(0.8359508844538337+0.6277078261226107j),(0.938215817351817-0.18572040963224307j),(2.6980741879565833-0.19410442558422825j),(0.3577710423382014+0.577971585086298j)
0.8300000000000001,(0.40963416806664876+0.32083886215671353j),(0.8237009009966142+0.6185390860858923j),(0.94266355221624-0.18681095657023014j),(2.707164741394431-0.15615574707998492j),(0.34871177962685695+0.5657543221317319j)
0.84,(0.40290404346663644+0.31358033150496856j),(0.8113669841685126+0.6093065180211307j),(0.9472386459830436-0.1879242570454881j),(2.7144552557880943-0.11593676342025891j),(0.3396587405827423+0.5533639545800878j)
0.85,(0.39624258187441846+0.3060857773094703j),(0.7989736459354995+0.6000117473856184j),(0.9519403305484565-0.1890537764653017j),(2.719685024553652-0.07360762824250747j),(0.3306291740589282+0.540812376946843j)
0.86,(0.3896628901153733+0.29836556444956003j),(0.7865451445606129+0.5906574580675589j),(0.9567672731330685-0.19019282251638625j),(2.7226035604293966-0.02936834810644213j),(0.3216400741380703+0.5281121176319171j)
0.87,(0.3831778819030197+0.2904309631107796j),(0.7741053164331253+0.5812473863129654j),(0.9617175531169154-0.1913346014259758j),(2.7229778865820222+0.016541700116979134j),(0.31270808353547114+0.5152762589352327j)
0.88,(0.3768001922645988+0.2822940896243053j),(0.7616774200276026+0.5717863018968404j),(0.9667886421173217-0.19247227781898807j),(2.7206000018549896+0.06384573206276907j),(0.30384940592442045+0.5023183594069517j)
0.89,(0.3705420965654023+0.2739678448052999j),(0.7492839932141926+0.5622799772421425j),(0.9719773879509427-0.19359903780364945j),(2.715294163938304+0.11223309474408479j),(0.2950797273991883+0.4892523792448981j)
0.9,(0.3644154347140109+0.26546585046068166j),(0.7369467248632575+0.5527351454438436j),(0.9772800031055339-0.19470815483384926j),(2.7069235971075525+0.1613643810352157j),(0.28641414709980983+0.4760926093411901j)
0.91,(0.35843154101713653+0.2568023846983509j),(0.7246863414024513+0.5431594483561318j),(0.9826920583160769-0.1957930578094706j),(2.695396223608477+0.21087800899046374j),(0.27786711685541715+0.4628536044574113j)
0.92,(0.35260118004323365+0.24799231661715676j),(0.7125225087014927+0.5335613760459166j),(0.9882084817931021-0.19684740078796606j),(2.6806690450935364+0.26039804109628784j),(0.2694523895622196+0.4495501208771207j)
0.93,(0.34693448875124067+0.23905104089244752j),(0.7004737493875794+0.5239501990053582j),(0.9938235645878613-0.19786513359381167j),(2.662750864121691+0.30954291295565595j),(0.2611829758997135+0.43619705875064063j)
0.9400000000000001,(0.34144092504689055+0.22999441269884371j),(0.6885573754400982+0.5143358945526406j),(0.9995309724992493-0.19884057252984005j),(2.6417031321865+0.35793465653844536j),(0.2530711089044549+0.42280940921422594j)
