t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004
0.0,(2.876197531001638e-05+9.702048858004191e-20j),(2.88680934139108e-12-1.986412995150355e-27j),(0.009305627491351965-2.3789323406510997e-17j),(2.0073714449658953e-07+5.704022608267724e-23j),(1.1184762383161125e-10+6.080890876558166e-26j)
0.01,(3.278125766250232e-05-1.2609122226161247e-05j),(3.8072535460630625e-12-3.4272703637719635e-12j),(0.00837997583571551-0.003107863986512628j),(1.4787646110256298e-07-7.652155236197771e-08j),(2.2084253629571759e-10-7.11362669746086e-11j)
0.02,(3.180897817257123e-05-2.8585122675953612e-05j),(1.2840600943304982e-12-8.997684902613047e-12j),(0.006501378796727083-0.005591623756067578j),(7.936044326511762e-08-1.1339267160496248e-07j),(3.8339084561854017e-10-2.6775427851072786e-10j)
0.03,(2.3807750337506803e-05-4.6127286178443424e-05j),(-7.971948800760828e-12-1.3957241805256583e-11j),(0.003980572747081184-0.0071909325131466004j),(1.4214369911339192e-08-1.1447516569009517e-07j),(5.729268419396124e-10-7.153106716819104e-10j)
0.04,(7.335447778112105e-06-6.236463746615792e-05j),(-2.5743072502056745e-11-1.1650984020879524e-11j),(0.001185278065783522-0.00778078061566472j),(-3.46371848494211e-08-9.000797232963777e-08j),(6.813146349336898e-10-1.6095418940855693e-09j)
0.05,(-1.7932250514023107e-05-7.353661686419718e-05j),(-4.855947986284952e-11+8.317355819507113e-12j),(-0.0015139362678074537-0.0073765260258342935j),(-6.139310993177829e-08-5.271470467639074e-08j),(4.381577826085587e-10-3.216438060836955e-09j)
0.06,(-5.072972829097492e-05-7.542009537251064e-05j),(-6.314515658626738e-11+5.694078940121076e-11j),(-0.0037932522521081963-0.006118782239156319j),(-6.662237594298395e-08-1.442697344678785e-08j),(-7.0779127637532e-10-5.833206021808222e-09j)
0.07,(-8.789471844502332e-05-6.3989502014151e-05j),(-4.3087434182944e-11+1.3847486827299008e-10j),(-0.005413768959901035-0.004242347330536586j),(-5.535872196291184e-08+1.618539021445467e-08j),(-3.740263625832125e-09-9.676810455690608e-09j)
0.08,(-0.00012433814108133478-3.624273971905282e-05j),(5.007964027268278e-11+2.3894574406659043e-10j),(-0.006243844886238046-0.0020354243816104313j),(-3.476297622618258e-08+3.4580041443317827e-08j),(-1.0236673069253994e-08-1.4659173774422363e-08j)
0.09,(-0.0001533719756523128+8.926598953108045e-06j),(2.5774575002323856e-10+3.126847199011143e-10j),(-0.006264177253313134+0.00020381724151073114j),(-1.1980217650443317e-08+4.01482025083277e-08j),(-2.248831778556528e-08-2.000887322977283e-08j)
