t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.0,(0.1+0.1j),(-1.2756846703721751+1.0355871053420413j),(-0.09504253267397342+2.1580315265977137j),(-2.147227730447593+0.8416896643102263j),(-0.47932712826894097-1.125679684444995j),(0.1+0.1j)
0.01,(0.0907000218347159+0.12311417997850926j),(-1.275175675644704+1.0356678698670578j),(-0.0951768768955822+2.1577552271606013j),(-2.1470876321236583+0.8418133474891528j),(-0.4793473873899004-1.1255064869737212j),(0.09069924693120095+0.12311189471144332j)
0.02,(0.07955235379974271+0.14540845479261486j),(-1.272781532082466+1.0361209244301501j),(-0.09572471589198858+2.15643498625696j),(-2.1464358399905463+0.8424428789671229j),(-0.47946799302282406-1.124953639314337j),(0.07955130053756236+0.1453997634231019j)
0.03,(0.06665203401705685+0.16675105806157658j),(-1.266377421937648+1.0378373703663166j),(-0.09680382485815922+2.1527817467066117j),(-2.1447954041073145+0.8443569283384581j),(-0.47985291072253217-1.1240146169620762j),(0.06665458035014675+0.16672807291587227j)
0.04,(0.05210443186768754+0.18702413894206954j),(-1.2523032761921113+1.0420893432451177j),(-0.09860645969937357+2.1446980472672905j),(-2.1413569364080955+0.8488409168628956j),(-0.48063673261283507-1.1227736314784593j),(0.052120387028020736+0.1869740850801153j)
0.05,(0.0360190804768563+0.20612785538903822j),(-1.2242304445886643+1.050401809505212j),(-0.10159248544427293+2.128937966840258j),(-2.134691599308591+0.8579068248541928j),(-0.48192825726941-1.1215213438112508j),(0.036070890295964525+0.2060290240893968j)
0.06,(0.018491684316969757+0.2239784908574848j),(-1.1721277758770765+1.0640903760528242j),(-0.1061204633438924+2.1004351827658683j),(-2.1230063415979945+0.8744251963861205j),(-0.4836711417674489-1.1209378201287519j),(0.01863701468201243+0.22379890227894073j)
0.07,(-0.0004074645164954642+0.24050700565016583j),(-1.0821409975686835+1.0798505733885693j),(-0.11300721285636846+2.0532873366717537j),(-2.1043694809896505+0.9006875030309801j),(-0.48526321873147815-1.1220157309262535j),(-4.3711566192448925e-05+0.24020500387402974j)
0.08,(-0.02068354739864215+0.2556651864135388j),(-0.9421349871460243+1.086104694963934j),(-0.12404202423786978+1.9877192861189847j),(-2.0784832353749043+0.9360705141613256j),(-0.4853339541645023-1.1256724373000102j),(-0.01982928617557519+0.25518403623202995j)
0.09,(-0.042518991550111615+0.2693286314644905j),(-0.7508609452638227+1.0568143176769977j),(-0.1389029516790157+1.9091925193996766j),(-2.050749190256543+0.9753510717527083j),(-0.4822391501161975-1.1318543908500895j),(-0.0405752778917693+0.2686879688210537j)
0.1,(-0.06634000285504191+0.28122597420024426j),(-0.5418597067582263+0.9714860496138693j),(-0.15311113558059583+1.8447765738224104j),(-2.032671005233324+1.0091002677558119j),(-0.47547702907066813-1.1390039243879675j),(-0.06213675543172834+0.28068359931997267j)
0.11,(-0.0928268447929027+0.29052203342945243j),(-0.36772777628661735+0.8501694982936405j),(-0.16028113941838468+1.8233045299674846j),(-2.031636169180599+1.0321366665682492j),(-0.4671793022176273-1.14498432103184j),(-0.08437005652220692+0.2911518788100216j)
0.12,(-0.12225234019714709+0.2955434816531142j),(-0.258145069013443+0.739048827973905j),(-0.1565929578626541+1.8268026314840358j),(-2.040291698022172+1.0477445857336398j),(-0.4599801260885326-1.1497604577960598j),(-0.10713436808590163+0.3000870383723666j)
0.13,(-0.1530944213014662+0.294155376331353j),(-0.1982027995807927+0.6629460583176681j),(-0.14335652415197797+1.8357970200818459j),(-2.0512173313977926+1.0614145848509282j),(-0.4546881404454546-1.1545574076655256j),(-0.13029310630623342+0.3074955601791763j)
0.14,(-0.18190526290260606+0.28628162753862485j),(-0.17081774827481827+0.620066868802626j),(-0.12514337165711983+1.838986313264318j),(-2.0603421563996984+1.075905050390235j),(-0.4510105992363448-1.1603100069545438j),(-0.15371507337090115+0.31339503118151507j)
0.15,(-0.20644199707371802+0.2747513638739199j),(-0.16390022361244586+0.6004314148682349j),(-0.1066038634592538+1.833857577920625j),(-2.066177455725936+1.0911279323782752j),(-0.44877680446331686-1.1673108277343047j),(-0.17727539807792517+0.3178129245211467j)
0.16,(-0.22716987018532275+0.26204806466090164j),(-0.16939083334781033+0.5939741620038698j),(-0.08881102768934376+1.8216465174892846j),(-2.0690775511405093+1.1064032504027002j),(-0.4480596924363456-1.175417084554885j),(-0.2008562664718417+0.32078534470161024j)
0.17,(-0.24529474062605014+0.24914696331780478j),(-0.18295979870829737+0.5942166359781849j),(-0.07026353255126427+1.8025635165432254j),(-2.0694771006460613+1.1217823657734347j),(-0.4492660121644561-1.184275368790139j),(-0.22434745041069726+0.3223557695584908j)
0.18,(-0.2617621618728707+0.2361091869035477j),(-0.20232379504881537+0.597749158107998j),(-0.048923103092698234+1.7754830406018967j),(-2.067263643231528+1.1376482177380898j),(-0.45319762543522724-1.1932832239813553j),(-0.24764664913946144+0.3225738181548886j)
0.19,(-0.2769575875614378+0.22262925840700729j),(-0.22602078006519988+0.6023488383068204j),(-0.022766677613605932+1.7388537884311857j),(-2.0620667282675322+1.1544046734719013j),(-0.4609816965971722-1.2015530345610141j),(-0.2706596662704743+0.3214940667266721j)
0.2,(-0.29084562184793966+0.20850545134190895j),(-0.25284460325640107+0.6062461357920899j),(0.009788439416498339+1.6919207945811308j),(-2.0536858642608338+1.1722636035050489j),(-0.4738884277378735-1.2078644069078108j),(-0.29330043212491963+0.31917493154805626j)
0.21,(-0.3033629020224591+0.19364172847829425j),(-0.28176613808936285+0.6077705673047776j),(0.04897134681627614+1.63553482083149j),(-2.0423472043783404+1.1910678962687469j),(-0.49310902340773954-1.2106948013226193j),(-0.31549089774659983+0.31567763396162213j)
0.22,(-0.314349655496375+0.1779499285831444j),(-0.31143005773577537+0.6056394893336456j),(0.0924941764678189+1.5726873952099076j),(-2.0289495921813274+1.2102097857010854j),(-0.5191515258681699-1.2085139068750401j),(-0.33716082308265927+0.3110652560382494j)
0.23,(-0.32357186242476266+0.16161290987551705j),(-0.34008194953422277+0.5999528716975918j),(0.13535899758859818+1.50999146725243j),(-2.01484393419385+1.22880933048547j),(-0.5514480818420577-1.1998842284267766j),(-0.3582474773581406+0.30540189307194004j)
0.24,(-0.3309893160687169+0.1450127826315084j),(-0.36654349213633064+0.5922593850129471j),(0.17225404611635864+1.456221698320452j),(-2.000792732290151+1.2460950187865518j),(-0.5887621377065926-1.183182939523272j),(-0.37869527049172225+0.29875190541754676j)
0.25,(-0.336798483407687+0.12852946572759805j),(-0.3909309788883067+0.5844875202155398j),(0.20049145941859955+1.4177667607881923j),(-1.9865708410213543+1.261952777138459j),(-0.6299415945932112-1.1565185221519365j),(-0.3984553349109705+0.2911792685552239j)
0.26,(-0.3414394929920476+0.11229697052007079j),(-0.41471429934311016+0.5777784331150613j),(0.2206472875461511+1.3963914928200156j),(-1.9715693545617172+1.2767850685255775j),(-0.6741841064997578-1.1180292846888793j),(-0.4174850713228386+0.28274701824961024j)
0.27,(-0.34529608931418215+0.09621921567917222j),(-0.43930893094164003+0.5724998588835634j),(0.23518363353433236+1.3919304980054497j),(-1.9552334394985547+1.2908820495053968j),(-0.7203594381218685-1.0659167255004107j),(-0.43574766722903696+0.2735167900849292j)
0.28,(-0.3485805425569125+0.08008633726673424j),(-0.4657365334378801+0.5686015665855378j),(0.2478546756757437+1.4036549028889092j),(-1.9373271576851656+1.3045291781390522j),(-0.7666379020205084-0.9989874526345428j),(-0.4532116073112625+0.2635484446899488j)
0.29,(-0.3514022356556419+0.06366270094302129j),(-0.4947216890418537+0.5659506068745241j),(0.26239235934477395+1.4294660025151216j),(-1.9180474538506103+1.3179745766539972j),(-0.8104447205289095-0.9170649097331527j),(-0.46985018316065413+0.2528997732243335j)
0.3,(-0.35379542164059663+0.04662182364581218j),(-0.5269731966984924+0.5645261367423319j),(0.2815146526163228+1.4673085921574005j),(-1.8977395229016163+1.3312413048983354j),(-0.8483936850389217-0.8206145611315394j),(-0.48564101032194934+0.24162627641577222j)
0.31,(-0.35556368873427346+0.02853281139932053j),(-0.5634386301514108+0.5643001984654895j),(0.30756665868147964+1.515589978612624j),(-1.8768138249305457+1.344466497217412j),(-0.8765691687792928-0.7107849717832146j),(-0.5005655592471097+0.2297810101170611j)
0.32,(-0.35624899432519536+0.009038066981339705j),(-0.6052684505551035+0.5653928979702959j),(0.34308815292280626+1.5724625275170696j),(-1.8560053649796535+1.3579402367895628j),(-0.8908241425708501-0.5901059903867372j),(-0.514608708167377+0.2174144875180867j)
0.33,(-0.3552219745060579-0.012211480583835014j),(-0.6537739631200269+0.5689354110951207j),(0.39073526464055036+1.635542682405686j),(-1.8364459112990412+1.3720281611294698j),(-0.8874225544132388-0.4624883505604867j),(-0.5277583146738539+0.20457463664550624j)
0.34,(-0.3513769348989145-0.035598167553709245j),(-0.7099903516715451+0.5780623184660112j),(0.45319707383453134+1.701784024198204j),(-1.8198747345380262+1.3872764244610272j),(-0.8631016523597609-0.3332418515760156j),(-0.5400048120791904+0.19130680543357817j)
0.35000000000000003,(-0.3427304235641613-0.060903545992669325j),(-0.7734868987385921+0.5994883473020715j),(0.5332505915516185+1.7667771529661487j),(-1.8088850947498865+1.4050295074939279j),(-0.8155308515276999-0.21182876381863586j),(-0.5513408350961106+0.17765380583613238j)
0.36,(-0.32692401958752637-0.08607397169709546j),(-0.8352471181720453+0.6418588451726372j),(0.6322291983707562+1.823982139488633j),(-1.8056284599414505+1.427320102193438j),(-0.7522370890275709-0.1149214167723559j),(-0.5617608742494951+0.16365599268776812j)
0.37,(-0.304074100993811-0.10608796664766754j),(-0.8810743796115555+0.6995266880150293j),(0.7460048945516142+1.8683211557245132j),(-1.807727020243081+1.4538574950721295j),(-0.697154543738357-0.05289396719204656j),(-0.5712609595230101+0.14935137230270337j)
0.38,(-0.27894078897938884-0.11715395978500101j),(-0.9122666389274044+0.757455886995576j),(0.86892270811829+1.8998510834816098j),(-1.811657989307647+1.4807913775146526j),(-0.6605400661469042-0.016236219371659227j),(-0.5798383739427924+0.13477573484122515j)
0.39,(-0.25624368507813133-0.12140227277082798j),(-0.9358883554048218+0.8105590548315811j),(0.9976243612943014+1.9194578676017027j),(-1.8168491687612915+1.5066423299744556j),(-0.6374794444907319+0.004136524298270588j),(-0.5874913973535052+0.11996280461381326j)
0.4,(-0.23675895107209366-0.12185791083007519j),(-0.95627174267906+0.857816250639444j),(1.129738003690117+1.9275486406241777j),(-1.823098911894399+1.531747013755249j),(-0.6229144469954222+0.015151135552841916j),(-0.5942190738004424+0.10494441527599292j)
0.41000000000000003,(-0.22026677973572953-0.12004855409237909j),(-0.9763550042251566+0.8996430553016783j),(1.2637103778342431+1.9251714397651576j),(-1.82996224120674+1.5567394983757352j),(-0.6136071761461128+0.020616563541480018j),(-0.6000210088398213+0.08975069722089865j)
0.42,(-0.2065085801051781-0.11721377903060227j),(-0.9979064005995768+0.9367949933345253j),(1.3989263695786083+1.9133556877873845j),(-1.837190200952988+1.5821312634640594j),(-0.6075322608443231+0.02232239787529125j),(-0.6048971943851146+0.07441027611920291j)
