t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.0,(0.9057308098299159-6.272331547458129e-16j),(5.753878779519429e-22+1.822061613514486e-21j),(1.2886291016632056e-22-1.1987247457332145e-23j),(-1.7980871185998216e-23+5.993623728666072e-24j),-1.5343676745385145e-21j,(0.9057308098299159+0j)
0.01,(0.6168630496741797-0.6435845574915047j),(7.478371458853998e-08-9.665183096717977e-07j),(1.8544342055391015e-08+5.593480780537417e-08j),(4.8592265976567947e-08-3.0454072788834523e-08j),(-8.564895764842325e-07-4.6311348148047065e-07j),(0.6164497932389288-0.6432578993199076j)
0.02,(-0.03907577134094037-0.8733538972765118j),(-1.2329607867830143e-06-2.123563659208917e-06j),(1.1391410533864406e-07+9.252924782602585e-08j),(5.493017496786512e-08-1.31556062145303e-07j),(-2.063812547296718e-06+4.963161787960249e-07j),(-0.03842193646852643-0.8727194959267573j)
0.03,(-0.6440333095190662-0.5600016878307553j),(-4.218512181373343e-06-2.0867317156579233e-06j),(2.755164605516661e-07+3.1852104977847776e-08j),(-5.521240365820814e-08-2.5930335344403223e-07j),(-2.033619914325443e-06+2.9154765877354425e-06j),(-0.6434711665608465-0.5608477650586006j)
0.04,(-0.8277623799243058+0.07958556162086883j),(-8.057730571084832e-06+7.10286689561245e-07j),(4.2634886490277974e-07-2.0533368826434113e-07j),(-3.0873425555689543e-07-3.0291716835829797e-07j),(5.128651568801392e-07+5.329096431457457e-06j),(-0.827498592183311+0.07862213061618473j)
0.05,(-0.4961407332851798+0.6380671604632403j),(-1.11820840402575e-05+7.311580530365528e-06j),(4.058910993577326e-07-6.695171952893134e-07j),(-6.353644908204032e-07-1.3641464091239346e-07j),(5.295760748409729e-06+5.365143488844012e-06j),(-0.4965423543762771+0.6362485648706183j)
0.06,(0.12123547953138314+0.7726870529327586j),(-1.206550988927003e-05+1.867083748658216e-05j),(-8.324407181973619e-08-1.3067289676500201e-06j),(-8.642487147320371e-07+2.9855166444246554e-07j),(9.90720781449398e-06+1.2557934799234945e-06j),(0.11894550378762547+0.7725957804495929j)
0.07,(0.6247513830553328+0.4246056708041091j),(-1.036450483026253e-05+3.7913027929498464e-05j),(-1.5137207284900198e-06-1.7156245888413963e-06j),(-7.948268912565363e-07+8.904818896790308e-07j),(1.0685169506114603e-05-6.168863316369957e-06j),(0.6232209211117261+0.4268257117764396j)
0.08,(0.7104937479608487-0.1617286376480096j),(-8.879703389196771e-06+7.930626620176212e-05j),(-4.2171349453568896e-06-4.2754322218341844e-07j),(-3.612369468719683e-07+1.3778584224274386e-06j),(5.489407481942169e-06-1.291801283283274e-05j),(0.7106730161055511-0.15850105281137633j)
0.09,(0.3495154580463107-0.6068513241407085j),(-7.517374909984997e-06+0.00020363671926105608j),(-5.504502465088656e-06+5.4176642131595585e-06j),(3.071843945477928e-07+1.4828132773527685e-06j),(-3.6695122287644964e-06-1.4228792504724165e-05j),(0.3534626594957181-0.6044183364526905j)
0.1,(-0.20136239149603796-0.6414854978933346j),(3.545811345601322e-05+0.0006484543801024913j),(2.151308422858254e-06+1.0722114091880208e-05j),(9.027835093966498e-07+1.0778072416125192e-06j),(-1.150351364005574e-05-8.626652367891675e-06j),(-0.19541109028955347-0.6428845510275499j)
0.11,(-0.5841429596671672-0.2735169691337357j),(0.0004940363622762888+0.0021804285247446127j),(9.418763289347916e-06+4.4773959946729145e-06j),(1.120872122485731e-06+3.57962493885381e-07j),(-1.364885300568627e-05+7.369853342511227e-07j),(-0.5799185582012383-0.27962484331827164j)
0.12,(-0.570352042619359+0.23385297983518105j),(0.002911518641584396+0.006252590832092545j),(7.692783506705435e-06-2.1315096167940273e-06j),(9.066363137251723e-07-2.8024828487142687e-07j),(-9.41852808525939e-06+8.899364476684176e-06j),(-0.57237981963576+0.22811096036936074j)
0.13,(-0.2018119601059717+0.5444722007081888j),(0.010486473213897233+0.01303273258914795j),(4.390245274427723e-06-4.230373814286956e-06j),(4.853828763582455e-07-6.070937890729685e-07j),(-1.5535522191885396e-06+1.216243130671111e-05j),(-0.2079913557414802+0.5510887130743726j)
0.14,(0.25203485950555293+0.4744188167285937j),(0.02497901865314696+0.016478074028595097j),(2.4244694570315603e-06-4.708163844059541e-06j),(8.286663153887009e-08-6.533989016404112e-07j),(5.825734929464116e-06+9.87368866015328e-06j),(0.255672925546605+0.5009644542151919j)
0.15,(0.4864049197006064+0.10503298738116545j),(0.04110418161481561+0.006492193511625201j),(1.1893100356839692e-06-5.4214683094709146e-06j),(-2.0858507662924672e-07-5.43890523857434e-07j),(9.626563205185037e-06+4.219617425840181e-06j),(0.5178670845056803+0.1401277135348989j)
0.16,(0.366329378119821-0.29169746244853306j),(0.046273442036692196-0.018483126322686855j),(-4.2273290389670595e-07-6.763274602721374e-06j),(-3.8697211757008725e-07-3.727601281763131e-07j),(9.315087746326104e-06-1.5039660311884763e-06j),(0.4300063424053526-0.2768229475231199j)
0.17,(0.004222707889464744-0.4473215398228788j),(0.02976123375065224-0.04618162820452404j),(-3.361991092945319e-06-8.441185021100767e-06j),(-4.817964431948088e-07-1.9520334804958025e-07j),(6.6559427770484085e-06-5.112643405196692e-06j),(0.07811852086957999-0.48108225626695855j)
0.18,(-0.3320621612320523-0.2756539079721932j),(-0.005957951834400118-0.05743945499870296j),(-8.488658747793675e-06-9.73490893463311e-06j),(-5.34807442748937e-07-2.6234335546545137e-08j),(3.874445458569078e-06-6.662608898737391e-06j),(-0.29149919134412167-0.36170031059880914j)
0.19,(-0.41125602105144227+0.07987099943696227j),(-0.04312483123564157-0.04022898475018399j),(-1.66440576336497e-05-9.52611802781408e-06j),(-5.684245611454955e-07+1.566670711211412e-07j),(1.7846247534460341e-06-7.637933692368072e-06j),(-0.442256291895416-0.022922255096871125j)
0.2,(-0.19448915705495656+0.35927680043210836j),(-0.059280475147858155-0.00019896581065365765j),(-2.8859294904463506e-05-6.330117410743229e-06j),(-5.625477430026046e-07+3.823727748100884e-07j),(-5.069381479781555e-07-9.088634541315156e-06j),(-0.29711199902568275+0.2999953706103248j)
0.21,(0.1504902468773473+0.37019172174072573j),(-0.04260704472198233+0.04112824641944496j),(-4.6788613059324314e-05+2.008611907815978e-06j),(-4.6518857034363047e-07+6.497346165095455e-07j),(-4.311663167921988e-06-1.0575681925253928e-05j),(0.025156822023819275+0.40185448869990603j)
0.22,(0.3739710386457419+0.1160818201017175j),(-0.0008241124187005032+0.05921942010338724j),(-7.227391113838945e-05+1.9503632645256314e-05j),(-2.219532862052847e-07+9.092105024962154e-07j),(-1.008459084706223e-05-1.0609490456637645e-05j),(0.30243573611919855+0.23684994397328277j)
