t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B00_z_0009_00,B00_z_0010_00,B01_z_0000_00
0.0,(0.1+0.1j),(0.9922474029056426-0.5627775272843485j),(-0.7418916308362227+1.0678005178522585j),(0.13679074804274066-0.0055383938793764215j),(-0.1552453090176498-1.9697443342744076j),(0.00387073933597544-0.3559220312311572j),(0.06123657743001792-0.3152195632357352j),(1.6913271652943445+0.06840346014609282j),(0.9074503542369853-0.08963708109807086j),(-1.0470278930972858-0.29284000659852416j),(-0.9526512664602421+1.4583395201826292j),(0.1+0.1j)
0.01,(0.08953751499465848+0.12401687679303759j),(0.9752950867703488-0.5587955655037602j),(-0.7506030006998857+1.102538751598886j),(0.13601803137491816+0.02221641570895331j),(-0.2258939008089017-1.8919884890079564j),(0.03165587621097389-0.3378503375646341j),(0.08609899105748918-0.2928945504027865j),(1.693522247660969-0.015871004976138414j),(0.9067788401753154-0.07025131905966289j),(-1.0370364007827966-0.2957748312653437j),(-0.9403849327778707+1.5275168516197875j),(0.08953751499465848+0.12401687679303759j)
0.02,(0.07692161464453842+0.14698844495525296j),(0.9594879635064779-0.5531316296222646j),(-0.7574757770555373+1.1400029755686247j),(0.132684146664409+0.04978383758082112j),(-0.2860886598278949-1.8167526380070693j),(0.058177794254064184-0.31773784845263897j),(0.10926013106258757-0.2686811183461089j),(1.6886857967686921-0.0999587934509324j),(0.9062842058054132-0.0507157709402649j),(-1.0268095914434625-0.29909965339477657j),(-0.9238153558614217+1.6016359878634325j),(0.07692161464453842+0.14698844495525296j)
0.03,(0.06228053201238036+0.16873499839806633j),(0.9448380152316722-0.545885401954905j),(-0.7623179381852282+1.180368035381246j),(0.12682453423045803+0.07693262487503477j),(-0.3370005921487511-1.7444250290326073j),(0.08322854667878485-0.29564344186687497j),(0.13052022384517292-0.24268807295874653j),(1.6769302483465367-0.18287679149785002j),(0.9059563212299223-0.0310722761278364j),(-1.0163290459933616-0.30280561187513316j),(-0.9023091627906243+1.6809744491128626j),(0.06228053201238036+0.16873499839806633j)
0.04,(0.04576008474897308+0.18909372772743496j),(0.9313442600792136-0.5371523928186595j),(-0.7649066634429685+1.2238142801449166j),(0.11850106418493167+0.10343793768294286j),(-0.3796716549491417-1.6752571794485311j),(0.10660220052376308-0.27164928277330774j),(0.1496886895581742-0.21504798120284863j),(1.6585260218855675-0.2636809696530519j),(0.9057882821360059-0.011362720409391486j),(-1.005575860007628-0.3068836275650061j),(-0.8751279344346667+1.7658104912680312j),(0.04576008474897308+0.18909372772743496j)
0.05,(0.027520974933462557+0.20792032761951906j),(0.9189941244976821-0.5270234244806841j),(-0.7649837922023797+1.2705271512295715j),(0.10780070586480198+0.12908466167368746j),(-0.4150248494116503-1.609395556200679j),(0.12809812489678815-0.24586134050682365j),(0.16658770415928079-0.18591651958758118j),(1.6338883437187859-0.341496537270532j),(0.9057764887297787+0.00837097885355301j),(-0.9945306386000922-0.3113242941698082j),(-0.8414094475800992+1.8564162252680156j),(0.027520974933462557+0.20792032761951906j)
0.06,(0.00773595412162041+0.22509013298454436j),(0.9077647845740909-0.5155843320378727j),(-0.762250578274607+1.3206964072838532j),(0.09483369282741154+0.15367042825790747j),(-0.4438751050872591-1.5469063480083503j),(0.14752446263671426-0.21840938339725569j),(0.18105572416732907-0.1554712123249612j),(1.603557610110101-0.4155435391170006j),(0.9059206867688736+0.02808689214799775j),(-0.9831734949256302-0.31611776382609835j),(-0.8001452226296893+1.9530475759800527j),(0.00773595412162041+0.22509013298454436j)
0.07,(-0.013413056341950896+0.24049878605427627j),(0.8976244594016337-0.5029158512849404j),(-0.7563616146678088+1.374514865122987j),(0.07973125686936129+0.17700825356750546j),(-0.46694015297105895-1.4877947641544151j),(0.1647016891322815-0.18944639814924427j),(0.19295085262073408-0.12390955363724404j),(1.5681749358223116-0.4851564732434424j),(0.9062239704559946+0.047743098944506915j),(-0.9714840519294198-0.3212536273495035j),(-0.7501536789847849+2.055929800280875j),(-0.013413056341950896+0.24049878605427627j)
0.08,(-0.03573780577865171+0.2540624541513384j),(0.8885336453153947-0.4890936642671199j),(-0.7469177827284316+1.4321764967124715j),(0.06264301873288644+0.19892873274605277j),(-0.48485092288354276-1.4320200222113684j),(0.17946614767322977-0.15914740128597205j),(0.20215392157050985-0.09144653597018482j),(1.5284548160088651-0.5497971225833156j),(0.9066927471769601+0.06729770756948865j),(-0.9594414474918089-0.3267207889514414j),(-0.690048141508104+2.1652367611226655j),(-0.03573780577865171+0.2540624541513384j)
0.09,(-0.05904644094898351+0.2657176328918115j),(0.8804462846001171-0.47418857454566476j),(-0.7334580566088418+1.493873669518087j),(0.0437341321263974+0.21928174753294474j),(-0.4981612194068613-1.3795069529321877j),(0.19167344080266507-0.1277076339755984j),(0.2085711701878738-0.05831163423418226j),(1.4851568803928463-0.6090604324585952j),(0.907336664290518+0.08670887088494239j),(-0.947024345887848-0.33250733400480464j),(-0.6181989484499703+2.2810614181136453j),(-0.05904644094898351+0.2657176328918115j)
0.1,(-0.08314605665709293+0.2754205812927609j),(0.8733108660722022-0.4582667859926747j),(-0.7154499695031344+1.5597932462027104j),(0.023182280990549437+0.2379376674064069j),(-0.5073565687860992-1.330154956497197j),(0.20120155291234634-0.09534015872743974j),(0.21213640831292455-0.02474532408886141j),(1.4390585594611418-0.6626738469117989j),(0.9081684983915372+0.10593479499579393j),(-0.9342109544525832-0.33860039050633334j),(-0.5326890573665892+2.4033739636563634j),(-0.08314605665709293+0.2754205812927609j)
0.11,(-0.10784502118490728+0.283146443428862j),(0.8670714578260887-0.44139026098940803j),(-0.6922785240503433+1.6301111635554768j),(0.001174628027741018+0.25478804598257876j),(-0.5128622140078111-1.2838448872914938j),(0.20795358237106876-0.06227290471174375j),(0.21281257342570947+0.009004763056588781j),(1.390930162883728-0.7104909742732565j),(0.9092040076646616+0.12493373845691662j),(-0.9209790474214323-0.3449859833470416j),(-0.4312629620359059+2.531962601845756j),(-0.10784502118490728+0.283146443428862j)
0.12,(-0.1329550414374498+0.28888811591128377j),(0.8616686745059061-0.4236171360887538j),(-0.6632333093090843+1.7049849809400535j),(-0.022095194107182886+0.2697458338152204j),(-0.5150502852007905-1.2404443193270167j),(0.21185997142029-0.028745236409991007j),(0.2105926130861694+0.04268792563605672j),(1.3415134560145932-0.7524807514589265j),(0.9104617481139966+0.14366399980146452j),(-0.907305998804977-0.3516488808611042j),(-0.311269649157456+2.6663500104922004j),(-0.1329550414374498+0.28888811591128377j)
0.13,(-0.15829294626820997+0.29265492187403325j),(0.8570405828198762-0.4050021754179425j),(-0.6274935772194385+1.7845437138603661j),(-0.04642996790079051+0.28274514526152256j),(-0.5142462000012886-1.1998115458706065j),(0.21288013921694304+0.004995854294457498j),(0.20549965369384157+0.07605458162879705j),(1.291504377696676-0.7887134115419823j),(0.911962854589641+0.16208389165308779j),(-0.8931688237703288-0.35857243434024294j),(-0.1696021300332292+2.8056759211573907j),(-0.15829294626820997+0.29265492187403325j)
0.14,(-0.18368217901866576+0.2944711507254791j),(0.8531235497648741-0.38559724428392156j),(-0.584111043667076+1.868874033253753j),(-0.07163158453736776+0.2937406299678614j),(-0.5107343618528617-1.161798589731101j),(0.21100344700870305+0.038699812031692225j),(0.1975864480884097+0.10886042023526363j),(1.2415401279871405-0.8193445485582572j),(0.9137307876291516+0.18015170020928126j),(-0.8785442325735978-0.36573840910588423j),(-0.0026394326756219973+2.948532934868771j),(-0.18368217901866576+0.2944711507254791j)
0.15,(-0.20895400137926004+0.2943745191657788j),(0.8498530382699748-0.3654517875290802j),(-0.531990231993629+1.9580015963168935j),(-0.09750349279405018+0.30270650844417857j),(-0.5047632288043249-1.1262534406182905j),(0.20624945266286365+0.07211670272553569j),(0.1869341265223392+0.14087037543854147j),(1.1921905072733359-0.844598451006927j),(0.9157910471877755+0.1978256294815264j),(-0.8634086958823973-0.37312680863206j),(0.19379710890992358+3.0927388036037518j),(-0.20895400137926004+0.2943745191657788j)
0.16,(-0.23394841983801096+0.29241460349793064j),(0.8471643548006141-0.34461329916666505j),(-0.46986630118236133+2.0518658559116854j),(-0.12385286543514391+0.30963533625396067j),(-0.4965498247585854-1.093021689387593j),(0.19866744322177918+0.10500137717243868j),(0.17365030602475887+0.17186229134094624j),(1.1439531293587761-0.864751680891797j),(0.9181708543878229+0.21506373035627252j),(-0.8477385260789664-0.38071569042539316j),(0.424451244978511+3.235024610931727j),(-0.23394841983801096+0.29241460349793064j)
0.17,(-0.258514853209105+0.28865128672221885j),(0.8449933530132706-0.32312777186357183j),(-0.396280547560385+2.1502861448774078j),(-0.1504924601514007+0.31453656282863157j),(-0.48628376157159303-1.0619476928993712j),(0.18833526630741174+0.13711747279636557j),(0.1578666396560787+0.20163016664340333j),(1.0972519646711412-0.8801176466308631j),(0.9208988023418172+0.23182381524260623j),(-0.8315099739198157-0.388480975416888j),(0.6945640973689489+3.370616400426429j),(-0.258514853209105+0.28865128672221885j)
0.18,(-0.2825125650412627+0.28315325670214064j),(0.8432770968377734-0.301040116514679j),(-0.30955421857810295+2.2529161202362085j),(-0.17724216588408173+0.3174349492072951j),(-0.4741308353261745-1.0328753753289206j),(0.17535751186593895+0.16824112190518042j),(0.13973590811232853+0.22998688824903912j),(1.0524385876650064-0.8910326873119981j),(0.924004477137532+0.2480633598531748j),(-0.814699345012203-0.3963962502680759j),(1.009666367515664+3.492692004363131j),(-0.2825125650412627+0.28315325670214064j)
