t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B01_A_0000
0.0,(0.9057308098321614+2.605214707642452e-12j),(-2.2710482824379482e-15+1.8696576987786723e-16j),(-5.4623489213571166e-17-5.6648854543962e-17j),(-2.297935019473828e-12-1.7476924080719872e-12j),(-3.680348688845033e-18+6.944931686879957e-18j),(3.219970483042041e-13-1.4061230148111355e-13j),(-3.108510087182317e-13+1.8509118992758865e-13j),(2.0735061161794868e-17+3.098425363579352e-17j),(-2.7890139845379622e-15-1.3059555650360143e-15j),(1.6471743859705876e-16+5.585712082390013e-17j),(7.972574436902128e-18+1.9685937264329157e-18j),(0.9057308098299159+0j)
0.01,(0.613678695243242-0.6292602771591941j),(-2.7923587337032644e-05+4.09162361738259e-05j),(6.217970319569212e-06-1.3347906420405227e-06j),(0.009607571525194692-0.019266709347920928j),(-2.9465618982681477e-08+1.0707140100821738e-07j),(0.011554629971201536+0.00244166246627929j),(-0.018522750993177798+0.002645674248642489j),(1.416851934281202e-06+3.990436127939831e-07j),(-0.00019490948781138937+6.255218796472878e-05j),(-3.0997790592011804e-06+6.214733910746552e-06j),(-6.768629264616305e-07-9.079129348412556e-08j),(0.6164008184716449-0.6430955593816533j)
0.02,(-0.023551109755946126-0.8469086260096165j),(-4.230927025683822e-05+0.00010377538530890477j),(9.417404065066308e-06-6.920189800596083e-06j),(-0.011080682295888001-0.04425607895924173j),(-6.102892853577609e-08+2.869078360736454e-07j),(0.023234338057991178-0.013375721229052926j),(-0.02752369519392264+0.03212627170719436j),(2.8777815265706117e-06+1.4313317942204582e-06j),(-0.0003445244057098954+0.00025091198023582235j),(2.6136264273475373e-06+1.5070621305269062e-05j),(-1.161537385661408e-06+1.6222556493745752e-07j),(-0.03835841157444156-0.872217205916761j)
0.03,(-0.5993891817867495-0.5467167253934514j),(-3.01395112777216e-05+0.00018751498799950692j),(8.012507593342975e-06-1.3848581204278409e-05j),(-0.05936182452520297-0.04103214389256715j),(-6.005057861957129e-08+5.789168105912429e-07j),(0.014061051303935857-0.04345101630316832j),(0.0011872581623703221+0.07161766133465991j),(4.182866450991589e-06+3.1711013115546476e-06j),(-0.00037796209948978086+0.0005395946124193117j),(1.8552034113486122e-05+1.738921936843879e-05j),(-1.3759553837425464e-06+5.756958755254676e-07j),(-0.6429240998505755-0.5603383495647759j)
0.04,(-0.7700518510501346+0.05153201252274758j),(2.4158625919062052e-05+0.0002841942562499329j),(2.33826647880579e-06-1.9164511369731643e-05j),(-0.10012574944708007+0.013048535737712995j),(5.229926457909778e-08+1.0261363139552839e-06j),(-0.028642387506075374-0.06283696985107136j),(0.07295791605934182+0.07884538519824429j),(5.130298005186241e-06+5.6126921355685205e-06j),(-0.0002371317286011781+0.0008640699443761462j),(3.7612862132617505e-05+3.5887868846346366e-06j),(-1.3334586641352095e-06+9.908305713909863e-07j),(-0.8267218439302053+0.07889733832525098j)
0.05,(-0.4672078191024518+0.5601066056768871j),(0.00013521885903567765+0.00037575412906723195j),(-5.806254539044767e-06-2.0823429797593474e-05j),(-0.08416239781815128+0.10145415177596281j),(4.265589154961344e-07+1.6461591909784285e-06j),(-0.08997426861433866-0.037754046182367905j),(0.14962621443012983+0.013297360622626458j),(5.537359296901245e-06+8.663290188249628e-06j),(0.00010129538496544759+0.0011260455336276121j),(4.438731070582761e-05-2.874573145064398e-05j),(-1.1044156889536864e-06+1.299259366196241e-06j),(-0.49528307100969077+0.6363160295328855j)
0.06,(0.07891263031667674+0.6801241499782138j),(0.00031039331330428465+0.0004325644863934955j),(-1.3981019350897431e-05-1.8207442583061353e-05j),(0.01157730914410263+0.16404559603690544j),(1.302639445371711e-06+2.3651457845715906e-06j),(-0.12354492724844772+0.04558098107583336j),(0.15907619156595898-0.12158646086218892j),(5.29927075171861e-06+1.2159245334248317e-05j),(0.0006045469755362931+0.0012133964684887387j),(2.2071423479218895e-05-6.783065098250714e-05j),(-7.812292065356786e-07+1.4509407140891647e-06j),(0.12071113051429862+0.7714443735874777j)
0.07,(0.5106392310910132+0.38280732359080355j),(0.0005414921749863741+0.0004160073636047868j),(-1.999195041207948e-05-1.2101065756084564e-05j),(0.1488494789230224+0.13151498031005202j),(2.981295611518219e-06+2.9043881896360514e-06j),(-0.0764986469476133+0.1536342528472693j),(0.04378040678317152-0.2534978341732344j),(4.409547484343147e-06+1.592023252732246e-05j),(0.001174893078266851+0.0010335378297199166j),(-3.465177536477554e-05-8.721155498470065e-05j),(-4.4960521797907265e-07+1.4466716174675526e-06j),(0.624037425751356+0.4237017369711124j)
0.08,(0.5819550341012569-0.09936011692826918j),(0.0007967222396399696+0.00028673575608602266j),(-2.254285022098076e-05-4.2193536232524885e-06j),(0.2336039544458733-0.015417374742053378j),(5.689081606543081e-06+2.6413936110709365e-06j),(0.06373915265765323+0.20778180671482452j),(-0.1763354654891414-0.26784615359043273j),(2.973370199503341e-06+1.9749743166554e-05j),(0.0016630973402098643+0.0005521326029287762j),(-0.00010702820076523302-5.696715591461206e-05j),(-1.7061043284581184e-07+1.320790360665254e-06j),(0.70870904044682-0.16235698951406297j)
0.09,(0.30137371390914086-0.4500881363995337j),(0.0010177104183529077+1.9588667258146485e-05j),(-2.1481810308212988e-05+3.4840619787912094e-06j),(0.17514465553419317-0.2064151448189348j),(9.26606603355971e-06+5.314119436596544e-07j),(0.234321113799838+0.13091225085028288j),(-0.37929261617406107-0.08845998950470851j),(1.2016771788356682e-06+2.3484992844227152e-05j),(0.0019049519065572537-0.00017766569976511779j),(-0.0001506200668273788+3.437526192620707e-05j),(2.5627400301653463e-08+1.1221334326702144e-06j),(0.34837363369622315-0.6065948382558699j)
