t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.0,(0.1+0.1j),(-1.2657635676043557-0.49346488405175315j),(-0.08197688232476583-1.4893990854539005j),(1.55827526500717+1.4649086131323963j),(0.8380268113118895+0.2758680690698896j),(0.1+0.1j)
0.01,(0.1419082693059705+0.04096186350583813j),(-1.310389072634441-0.35594920070801656j),(-0.20960074927958636-1.4747841209380268j),(1.6566965883501277+1.3544478773666362j),(0.8596272042125328+0.20216446228242935j),(0.1419082693059705+0.04096186350583813j)
0.02,(0.1450645645827911-0.030087042180491907j),(-1.3404756154024329-0.2137844118067505j),(-0.33769676035667184-1.448739687116901j),(1.7465199418901982+1.2383187027967617j),(0.8744172628004644+0.127333745632032j),(0.1450645645827911-0.030087042180491907j)
0.03,(0.10883008562750941-0.092357293159717j),(-1.3554442629741594-0.0687891294871564j),(-0.4651779303995145-1.410882811135286j),(1.8275550028150926+1.1171293675966896j),(0.8824246329742501+0.05180815234878691j),(0.10883008562750941-0.092357293159717j)
0.04,(0.041623534732859596-0.12562878697360896j),(-1.3549893737790786+0.07720204033313166j),(-0.590903385076132-1.3609493523571388j),(1.8996471239139496+0.991471409223263j),(0.8836758704316748-0.02397562463596402j),(0.041623534732859596-0.12562878697360896j)
0.05,(-0.0365614782712686-0.113815381531047j),(-1.3391486229509293+0.22215039616108728j),(-0.7135605611120511-1.2987808921440145j),(1.9626729825337363+0.8619199668856481j),(0.8781657894336209-0.09962293685996684j),(-0.0365614782712686-0.113815381531047j)
0.06,(-0.09467265288363276-0.054743392396785114j),(-1.3082393293759638+0.36407651185932227j),(-0.8317055156377463-1.2243700136394695j),(2.0165230979994666+0.7290423894374038j),(0.8658654317857309-0.17475477457605001j),(-0.09467265288363276-0.054743392396785114j)
0.07,(-0.10361028974281442+0.029502056497299534j),(-1.2628317324111573+0.5011793672619109j),(-0.9439105199843445-1.1379145395910393j),(2.0611059848948723+0.5933965258913751j),(0.8467473551910494-0.2489520667767464j),(-0.10361028974281442+0.029502056497299534j)
0.08,(-0.058419558422793796+0.09997535573914365j),(-1.203748991884208+0.6318363481743887j),(-1.0487644328407326-1.0398176609161927j),(2.096348595173167+0.4555304962693262j),(0.8207856424482678-0.32175566056824667j),(-0.058419558422793796+0.09997535573914365j)
0.09,(0.017168286530991547+0.12728606799373007j),(-1.1320671880935373+0.7546032463737534j),(-1.1448727002535577-0.9306879367023311j),(2.122196318157048+0.3159826916019388j),(0.787955901451725-0.39266632117040123j),(0.017168286530991547+0.12728606799373007j)
0.1,(0.09053060767744521+0.10672060566178608j),(-1.0491089835067664+0.86821387834363j),(-1.2308573556272275-0.8113392942067901j),(2.1386129805386953+0.17528177392881283j),(0.7482352651914074-0.4611447319167191j),(0.09053060767744521+0.10672060566178608j)
0.11,(0.13777710365258558+0.05138337620614872j),(-0.9562330156504968+0.9715909640615645j),(-1.305381938836362-0.6827698924322527j),(2.1455808463797714+0.03394667629846748j),(0.7016023917529483-0.5266114942543677j),(0.13777710365258558+0.05138337620614872j)
0.12,(0.14719248014653386-0.019130126718376342j),(-0.8549275627123821+1.0639155087761747j),(-1.3672605473275663-0.5461927447117753j),(2.143100617111422-0.10751339723166109j),(0.6480374643176285-0.5884471277441736j),(0.14719248014653386-0.019130126718376342j)
0.13,(0.11677907519275803-0.08410142566783818j),(-0.7467161272101766+1.1446012805617083j),(-1.4153840932349835-0.4031918350997873j),(2.131191745158081-0.24859765246102233j),(0.587522191162376-0.6459920700606221j),(0.11677907519275803-0.08410142566783818j)
0.14,(0.05339919416780079-0.12311401583030435j),(-0.6330712851952576+1.2132828600249312j),(-1.4488983566377047-0.2554302560026537j),(2.1098836152684948-0.3887774740211901j),(0.5201111764832003-0.6984990151492697j),(0.05339919416780079-0.12311401583030435j)
0.15,(-0.024914938927568554-0.11889811664837849j),(-0.5154146862526259+1.2698156403051277j),(-1.4672266441733233-0.1046203743874572j),(2.0791837235113024-0.5275230269260637j),(0.44595606446917535-0.7450696287232411j),(-0.024914938927568554-0.11889811664837849j)
0.16,(-0.08831947431401173-0.0663490902979893j),(-0.3951170535009033+1.3142758270741008j),(-1.4700697890379342+0.04747616821800371j),(2.0391160562066215-0.6643044396377573j),(0.3652767086524553-0.7847593378933797j),(-0.08831947431401173-0.0663490902979893j)
0.17,(-0.1059868531963169+0.016371113798682224j),(-0.2734951515556187+1.3469535141726474j),(-1.457406150986134+0.19904845572521201j),(1.9897303241023936-0.7985807932342385j),(0.27847055951121924-0.8165634438852303j),(-0.1059868531963169+0.016371113798682224j)
