t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.0,(0.9057308098299158+2.16565563560925e-15j),(4.746949993103541e-21-7.156386732027308e-21j),(-3.596174237199652e-21+8.82261412859648e-21j),(4.603103023615555e-21+3.0687353490770366e-21j),(3.1423849974548854e-18+2.356788748091164e-18j),(0.9057308098299159+0j)
0.01,(0.7011958902899048-0.5733134846791744j),(-5.570962897608569e-06-5.982736742384743e-06j),(1.6160920279854744e-06-4.793751794140039e-06j),(-1.272440380507447e-06+6.685205661014558e-06j),(-0.0007556487571257673+0.0061283993425293665j),(0.7153793961985421-0.5665871940744476j)
0.02,(0.19067444952636875-0.8866877667483453j),(-1.4407921938891253e-05-8.733714848202172e-06j),(-3.4558478671112206e-06-1.3521460319983382e-05j),(7.128187544573133e-06+7.2956557544656425e-06j),(0.006146379305869309+0.007280830979990179j),(0.21786557338188528-0.8895982488921939j)
0.03,(-0.4056605124459797-0.8186656209372468j),(-2.4948095537765445e-05-4.147458196365253e-06j),(-2.1582670390469474e-05-1.0585704307927364e-05j),(8.86705624852943e-06-3.044722926250028e-07j),(0.008093011137663317+0.0016072934795002768j),(-0.38122059828877225-0.838388748473708j)
0.04,(-0.839177241153549-0.38009308048476076j),(-3.163144802586371e-05+7.067446313223435e-06j),(-2.0824798406538432e-05+2.0113093563912296e-05j),(3.855139493583606e-06-3.0832594995351426e-06j),(0.004164514108358324-0.0008810030803691093j),(-0.8316476793194567-0.4095791194416356j)
0.05,(-0.8878800541053674+0.2640833647556864j),(-3.1141388267446256e-05+2.9082545580078294e-05j),(9.857139807492027e-06+1.2024751646658303e-05j),(2.015466698216808e-06-1.3694033198802062e-06j),(0.0022202677721094716+0.0007350242734150628j),(-0.9011468705090281+0.2371447792896549j)
0.06,(-0.4795569482494745+0.8017883864234883j),(1.417669717764163e-05+3.300076561645142e-05j),(-1.1726932868401625e-05-4.62733556119033e-06j),(3.0462076103376053e-06-9.77947737625924e-07j),(0.003047779795760424+0.0020094222849518237j),(-0.5091158664271533+0.7944892236124075j)
0.07,(0.2016059564675599+0.9077353982879199j),(-1.2812053973932796e-05-2.3257055912577646e-05j),(-1.2696841572346731e-05+1.1397878320078007e-05j),(3.747081409106664e-06-2.278601037126173e-06j),(0.004336922045019696+0.001926334951841418j),(0.17570386764757503+0.929009780308489j)
0.08,(0.7556659583483387+0.5187665337316929j),(-4.291692284025204e-05+4.3236777271678645e-05j),(-6.615480045568475e-06+1.296356728087363e-05j),(3.3106356484940377e-06-4.259762238333553e-06j),(0.005417547500940433+0.000839933240659681j),(0.7518065936845906+0.5526351966404955j)
0.09,(0.891605658216612-0.11172540784769741j),(2.5608058714549206e-05+4.077365135653711e-05j),(-8.115519075132724e-07+1.1451984060221797e-05j),(1.2621817365170456e-06-6.073799062324962e-06j),(0.005657883960287508-0.0012641799994183086j),(0.9134043609555058-0.08323791968514885j)
0.1,(0.5993658272127966-0.6456865901426649j),(1.8013375149076746e-05-5.564764710987909e-06j),(-2.765508550023514e-07+5.939466920276035e-06j),(-2.313914636696212e-06-5.657844928302503e-06j),(0.003610093848083546-0.0034399589656440156j),(0.6349051932203339-0.6366803558424324j)
0.11,(0.061388869020410686-0.8723926212419904j),(-8.366178985927693e-06-6.634598806236566e-06j),(-3.4250821252139164e-06+3.8782362952281666e-06j),(-3.145042260185093e-06-1.7786396643525816e-06j),(5.589629420387214e-05-0.0020593612458019504j),(0.0988299280294585-0.8810223836206225j)
0.12,(-0.4962279822249168-0.7276938881430778j),(-1.695028340129255e-05+6.625630471555229e-06j),(-6.7282381843338706e-06+4.194567154147728e-06j),(1.157116703350356e-06-1.3609208280484381e-06j),(0.0010136562621947314+0.0029619899069951894j),(-0.46367987046745285-0.7549201691201082j)
0.13,(-0.8513592298835383-0.26189560690085256j),(-1.6467690268938362e-05+1.7300754233099472e-05j),(-1.055653134469456e-05+6.564260397447422e-06j),(2.641319711037866e-07-6.557145740182531e-06j),(0.007227301392282376+0.0023972774111022228j),(-0.8379575926389118-0.3101692201744749j)
