t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01,B01_z_0001_00,B01_z_0001_01,B01_z_0002_00,B01_z_0002_01,B01_z_0003_00,B01_z_0003_01,B01_z_0004_00,B01_z_0004_01,B02_z_0000_00,B02_z_0000_01
0.0,(0.5+0.5j),(0.5-0.5j),(-0.22782374294270047+1.7575021863832674j),(0.7174636008975297-0.8578446697310094j),(-0.41487283513731965-0.3548327883741562j),(-0.06652691823173851-0.9283857549451042j),(2.2754473529817343+1.5477137088008355j),(-0.8619368144161139-1.956622987032281j),(-0.2631495417711084+1.909753946179455j),(0.5674676174455231+1.4746293257040712j),(1.8156155742527165+1.3128113053620156j),(0.7120139510801973+0.07732026976433748j),(-1.4473049192376954-0.7335710117897427j),(1.3443903654492448-0.6612046206234552j),(-0.13669844384105534+1.4278151526920233j),(1.03830585015183+0.37875749008602166j),(0.8147516915794674+1.5471676023474306j),(0.8001900651323668-1.108099717300306j),(0.6385347786272118+1.273059999606196j),(0.6255311853228067-1.1436542400506653j),(0.20446381814749326+0.6071913915249428j),(1.6740986827827082+0.8656111700281157j),(0.49669005859706783+2.264118611742764j),(0.5041504518643447-0.9344189300990545j),(0.23952586236687157-0.5020834805560552j),(-2.8383086403797817+0.34097301423371384j),(-0.3035799945843719+0.11774332917402497j),(1.6939039282789188-1.6109715384353596j),(-0.13214429592308885+0.9334560219921876j),(0.9181351681929046-2.3437045229936695j),(1.693293319902632-0.8684685496827342j),(1.3315488149627677-0.25571949433743446j),(0.06517494349985808-0.7997684565836034j),(0.28973625610259174-0.7867697710741434j),(1.1380116458360625-1.6369318251413403j),(-0.3751092656853232+0.4929875202791082j),(-0.05225431185974316+1.9148598175561062j),(-0.030253729787370287+0.35070203706531644j),(0.5341237114269973+0.8188848131139264j),(0.4960526372729591-1.488133585858528j),(0.5+0.5j),(0.5-0.5j),(-0.9992165610575698-0.3668204334141817j),(-0.21194701561491947-0.3939273635501453j),(-0.20306503684616828+1.1494720163027194j),(0.5544467609828478-1.0289123636970656j),(1.801678893555191-1.0951991286201377j),(1.1133789043385849-0.1760708671421392j),(1.3888352743118286+2.0007012756716356j),(0.06553257208457686-1.972338380411794j),(0.5+0.5j),(0.5-0.5j)
0.01,(0.49316864139339567+0.516355274120528j),(0.5002007878093045-0.45310644020568014j),(-0.22661931707332736+1.7565310453300664j),(0.7200127454369303-0.8566818257024188j),(-0.41458327326148514-0.3549088194949799j),(-0.06633947202091414-0.9284825711993729j),(2.275469171681697+1.5476186094698092j),(-0.8618647243897923-1.9567156626389655j),(-0.26340244930107337+1.9100956174279302j),(0.5678433223532742+1.474097329369039j),(1.8153507710199228+1.312411986708116j),(0.7114492546825625+0.07737241281374888j),(-1.4472606743943057-0.7335212386706796j),(1.3444431705582225-0.6612046944152101j),(-0.1362434207747663+1.4262100723089177j),(1.0395143563207812+0.3770874592112579j),(0.8185355351644922+1.5451827871139447j),(0.7961260457570299-1.1024617398432306j),(0.6360959709200651+1.2729909612447388j),(0.6269110481484164-1.14773017739716j),(0.2047557769280151+0.6075221313483767j),(1.6743218551155274+0.8653015840207837j),(0.4961071293094504+2.2643195864062124j),(0.5044256249388497-0.9335039204837386j),(0.2395154532244302-0.5020954998622496j),(-2.838315308535318+0.34096492986506177j),(-0.30303772517653094+0.11836136893246033j),(1.6941805598872264-1.6109336419907192j),(-0.13173683542464273+0.9338176238223406j),(0.9182940832976264-2.3433763701487775j),(1.6933350665061022-0.8682041384665691j),(1.331290610180233-0.25594331433790246j),(0.06571105266716223-0.799505169366961j),(0.28972458353976527-0.7867449814002558j),(1.1380136180199838-1.6369310099683267j),(-0.3751205413660674+0.4929958158914548j),(-0.05193463509923145+1.9146479336069167j),(-0.029193649547209835+0.3506287642853874j),(0.5336822006801848+0.8185491903064593j),(0.4966397641770391-1.4866302338025092j),(0.49715166485981344+0.5085416491923678j),(0.49312915302873456-0.45959289509575607j),(-0.9992165734778061-0.36682042691150496j),(-0.21194700189746185-0.39392736998966005j),(-0.19956662256772797+1.1489520020441322j),(0.5533429974994181-1.0251396808873317j),(1.801693875664491-1.0950453388096524j),(1.1133298104331426-0.17623015980793158j),(1.388051197973153+1.9992980899342696j),(0.06566877818791798-1.973996023273795j),(0.4959801950727888+0.5083402910557964j),(0.4939158191430609-0.4603123604444338j)
0.02,(0.48520449173785585+0.5333847699362545j),(0.499829141324636-0.4063432486109843j),(-0.2235959613422693+1.754551873580782j),(0.724510184702271-0.85451631287233j),(-0.414126919800204-0.35475313946464665j),(-0.06594096915764208-0.9284707076402952j),(2.275478724549697+1.5479571280590607j),(-0.8619700394381276-1.9563434852948025j),(-0.2641979768304749+1.9104132229895752j),(0.5691340607047374+1.4735673820914592j),(1.8151808716156626+1.3113520963059726j),(0.7099250324883214+0.07684594634753987j),(-1.4472665758481158-0.7333712467906846j),(1.3445267872041602-0.6611305046541763j),(-0.13261056202572863+1.4236574629516503j),(1.0433989120818956+0.374247113862614j),(0.8269942896061145+1.5417271294094173j),(0.783309136114522-1.0927992861732951j),(0.6326568188616979+1.2708314100368039j),(0.6322531977170407-1.1527092038375704j),(0.20512264018410326+0.6081834498541593j),(1.6750210105570522+0.8646765700885662j),(0.494949745556254+2.2650086250253905j),(0.5060801014388451-0.9313652207186778j),(0.2394998739033737-0.5021099378315402j),(-2.8383327361261763+0.3409389370608424j),(-0.302817709977656+0.11992184005783568j),(1.6945871453413641-1.6104485345088948j),(-0.13195407434887016+0.9347523997533389j),(0.918050437967777-2.342583366968857j),(1.6933362005750994-0.8676744101509456j),(1.3307850930971754-0.2566055378582372j),(0.06650197164915153-0.798672113116763j),(0.2897243397614557-0.7867067459759494j),(1.13801627710468-1.636930858342692j),(-0.37514833078750914+0.4930034292626914j),(-0.050932741860459554+1.9143911881270081j),(-0.027013366606822617+0.351628094122282j),(0.5339026290111791+0.8182668835850496j),(0.49611588163852605-1.4863343997589151j),(0.49374704465525415+0.5173164562511549j),(0.48723551761705375-0.41874250643070654j),(-0.9992166072112293-0.36682044878329434j),(-0.21194697702148318-0.39392736084053764j),(-0.19136140844902896+1.1504757855955539j),(0.5478625318592866-1.0169277251257254j),(1.8016439112516436-1.0945909274508308j),(1.113269791723043-0.17670724665863777j),(1.3878632257334669+1.9955504656106493j),(0.06794196179919083-1.9772431231163066j),(0.49153310526652666+0.517060692015872j),(0.48875373456669874-0.42026648761346735j)
0.03,(0.4769387463556059+0.5527379879920525j),(0.5008299954787605-0.36190061570110693j),(-0.2197340619958923+1.7493391524167603j),(0.7314367757724735-0.8558219841260531j),(-0.41339938754077915-0.3548915064145502j),(-0.06530887670495858-0.9285076430182267j),(2.275342291800673+1.548437814690774j),(-0.8622542900271885-1.955954586268248j),(-0.265575749376497+1.9115040154932554j),(0.571094729765479+1.4724591296449818j),(1.8146020099907931+1.3090587066237094j),(0.7061654329888637+0.07645108061419172j),(-1.4471732631810033-0.7330986942029928j),(1.3447349913392872-0.6610366737165365j),(-0.12337296939279829+1.4187302821658119j),(1.0487940477660072+0.37003580493242977j),(0.8367282471942897+1.5338547364924955j),(0.768175891664693-1.0776846103084596j),(0.6324348129076033+1.2662347872359165j),(0.6347980460872178-1.152291612823007j),(0.2054664123038414+0.6090491160705673j),(1.6765116967765163+0.8632921500535413j),(0.4936862425799997+2.2665795998352025j),(0.510324398830216-0.9284050620312337j),(0.23951380631724692-0.5021346022817045j),(-2.838345681007039+0.3408855945864815j),(-0.30141105354924397+0.12343847533499222j),(1.6959425346341641-1.6094076594398503j),(-0.1332258318011233+0.9368849883560822j),(0.9172825335863535-2.340152584138332j),(1.6935049897947752-0.8668358150813382j),(1.3295910212771174-0.2576523147701143j),(0.06822671472209837-0.7975941376956078j),(0.28992203355223906-0.7865978359876648j),(1.1380132934702445-1.6369280209242256j),(-0.375164212560947+0.49301510264601084j),(-0.04830225313338813+1.9134676844197995j),(-0.02376581218612134+0.3523321453904381j),(0.5340408438437468+0.8169327780853245j),(0.49528459226975025-1.485095038658302j),(0.48974881816982346+0.5265015217443638j),(0.4820839076609459-0.37769520739243817j),(-0.9992165970367883-0.3668204057288373j),(-0.21194690977912817-0.3939274124912828j),(-0.1766962022929411+1.1499700285744427j),(0.5399012327365579-0.999868107160792j),(1.8016075443746187-1.0937295457681604j),(1.1130398299631135-0.1775433710365967j),(1.3865440809829737+1.9887872920370628j),(0.07135788832686862-1.9831840740193913j),(0.4866903011366256+0.5261419800395564j),(0.48422838153639525-0.379932197990205j)
0.04,(0.4672317291374006+0.5725654940252103j),(0.5010223726860851-0.31723091117317553j),(-0.21499330876223388+1.74232383979449j),(0.73983832572661-0.8597089917388755j),(-0.4127266765496378-0.35507047464784625j),(-0.06466357529968444-0.928345610163285j),(2.274636132031333+1.5490604171444518j),(-0.8630180975760305-1.9556059262594772j),(-0.2674990698738419+1.9125778393428197j),(0.5737204875206623+1.4716826402316818j),(1.8144707119546442+1.305676190258388j),(0.7004654256980188+0.0745318182401206j),(-1.4470963963758585-0.7327197632302647j),(1.3449939447346089-0.6608790512988095j),(-0.10696396617844013+1.4135235978159366j),(1.0555900056933136+0.3656257736099291j),(0.8475103465571712+1.5238931493235188j),(0.7505737197932316-1.0605079322781963j),(0.6376240747606245+1.25957724352912j),(0.6314596634771963-1.1440559029954827j),(0.20556203129510423+0.6099685445389307j),(1.6787984206239097+0.8614956446183564j),(0.49252236718944375+2.2688633865604793j),(0.5171494433123293-0.9253514126250669j),(0.23957836835328072-0.5021620373445989j),(-2.8383438146823177+0.34080167051125565j),(-0.30066406918873173+0.1282721894882415j),(1.6972830319196703-1.6074142955589452j),(-0.1359380153515102+0.9382219042349086j),(0.9151787349051057-2.3375922322718496j),(1.6937374020019325-0.8658740661202085j),(1.328053624201949-0.25915422000321586j),(0.07015211499900088-0.7961959325111396j),(0.2903146071322736-0.7864673031305682j),(1.1380163405096717-1.636913448098479j),(-0.3751679087405866+0.4930416225175788j),(-0.0440655309318083+1.9126403641847596j),(-0.020590030740146766+0.3534735085028796j),(0.5343192531580988+0.8174810934673536j),(0.49525762865203227-1.4856581028253286j),(0.48527334493378327+0.5361751130811184j),(0.47727849112473897-0.3363615876567161j),(-0.9992165339218364-0.36682034038184963j),(-0.21194684033569033-0.393927476293626j),(-0.1581304268416755+1.1508029932518433j),(0.527658117109472-0.97750542212716j),(1.8014112446492005-1.092489073231559j),(1.112789877530291-0.1787238883149384j),(1.3863419229298626+1.9806888816668144j),(0.07667095371943151-1.9888644844093006j),(0.4814513988412856+0.5355790347286717j),(0.4800701716839939-0.33930470499251675j)
0.05,(0.45672767756557797+0.5931848724002271j),(0.5004836453144379-0.2724884554891381j),(-0.20934889269083642+1.7337315145764367j),(0.7483352575360922-0.8647764429333779j),(-0.41217813310281953-0.35537638853616427j),(-0.06415270968421553-0.9279378605220405j),(2.273579735503671+1.5501077222988042j),(-0.8641849301806603-1.955012036141574j),(-0.2698368334470133+1.913240280811688j),(0.5769483812299737+1.4715719163462908j),(1.8144007228516508+1.3008036082350294j),(0.6927921905208497+0.07061061887566261j),(-1.4470402340920494-0.73218867293781j),(1.3453371064663318-0.6606595873525372j),(-0.08327083653213863+1.4080420725767422j),(1.0634961927549014+0.3606353912026307j),(0.8584472652274486+1.5123051367839835j),(0.7298859004090384-1.0410311001497885j),(0.6465526705328591+1.250396848739338j),(0.6226698892958024-1.1282991204626092j),(0.20543683859256562+0.6106406855094593j),(1.681534194759141+0.8594630547107764j),(0.49171335793362675+2.2714321369600827j),(0.5271532933400742-0.9237968546189689j),(0.23971291337256803-0.5021981239896355j),(-2.838320605708428+0.3407013381113635j),(-0.30118381976184017+0.13386857629424645j),(1.6978769473228128-1.6043422326518348j),(-0.13910823440290795+0.9375266861069012j),(0.9119292914055287-2.3359219207479893j),(1.6941993957130037-0.8647457957293021j),(1.3260062937945998-0.26119392571529965j),(0.07221883156384476-0.7945555810687887j),(0.29108292619909054-0.7863314079209548j),(1.138034117206865-1.6368907386066929j),(-0.3751411368910349+0.49309065414531905j),(-0.03748374214847447+1.9118354001149211j),(-0.01805251800115494+0.3546450846325063j),(0.5350374350103032+0.8210982762315763j),(0.4962138564234024-1.4882228455543132j),(0.4803736814621916+0.5462863435829959j),(0.472547138186556-0.29491356235018923j),(-0.9992164439519198-0.36682020885014116j),(-0.21194675736339647-0.3939275596827568j),(-0.13605244429220975+1.1511730622993082j),(0.5121866900335714-0.9490018279448585j),(1.8010986327285177-1.090779757493178j),(1.1123899804850488-0.18025362593375255j),(1.3873412740709878+1.9711002315414308j),(0.0841493025263273-1.9937308407203682j),(0.4758486331800277+0.5453474097747548j),(0.47603190698638703-0.29845579309371567j)
0.06,(0.4454320159603202+0.6149878510458977j),(0.4994126741881855-0.22780534803480468j),(-0.20285689309521668+1.724441921451463j),(0.7554104711341131-0.8689063079170021j),(-0.41173730126383123-0.3558840591288234j),(-0.06390077511644937-0.9273297671869046j),(2.2723906231304105+1.5514263059926932j),(-0.8655715993645503-1.9542763619765307j),(-0.2721258449255427+1.9130761305328599j),(0.5805043324920883+1.4724193329687274j),(1.8140949730858273+1.2939090040508243j),(0.6837346161447906+0.06453182270194807j),(-1.4470312610965428-0.7315081840494195j),(1.3457669276710806-0.6603905919915248j),(-0.05422497622617421+1.402602704133243j),(1.0719075172162462+0.3542143653098931j),(0.8684524421427814+1.4996784143132433j),(0.7056253847348787-1.0202000633053412j),(0.6568727764555482+1.23957443634867j),(0.609020329458335-1.1079139903613975j),(0.20517507198203236+0.6108441361182546j),(1.684249502567737+0.8574800729934174j),(0.4914600036175486+2.273679445858854j),(0.5409026990212511-0.9245405483208797j),(0.23992469168028746-0.5022340635144521j),(-2.838264881616006+0.3406137623406859j),(-0.3030656271738251+0.13876637528329758j),(1.6971020212063612-1.600850137050378j),(-0.1408305089726792+0.934851681031211j),(0.9088230175380603-2.33587598057937j),(1.694997666629465-0.8634167018637872j),(1.323362724416554-0.26382290784099216j),(0.07439834366328703-0.7927170682758388j),(0.29230321277644167-0.7862498603688245j),(1.1380738101009857-1.6368617941416828j),(-0.375064261939995+0.4931668719115346j),(-0.028327869746279474+1.9113203567166652j),(-0.01651362511796868+0.35512906197967953j),(0.534931990856104+0.8276887008020105j),(0.4983565812123132-1.4909184998717115j),(0.4751015090216001+0.556890471607027j),(0.46762023013663684-0.25341486528816964j),(-0.9992163925885346-0.36682000311093016j),(-0.21194666548495567-0.39392763493217936j),(-0.1117179703166935+1.1509620904713291j),(0.493825611341614-0.9150671997475732j),(1.8005800931085127-1.0885910507168202j),(1.111873400115121-0.18211217422374043j),(1.389600938195501+1.961156584191148j),(0.09281733674662256-1.996764568645843j),(0.4698813992952774+0.555440793942868j),(0.47188390945994524-0.2573862304105126j)
0.07,(0.43033674534817046+0.6369933787078564j),(0.49670244067780855-0.1804427985418061j),(-0.19558657779226768+1.7159163220847184j),(0.7600355729345616-0.8694585471814271j),(-0.4113860777755882-0.3564731865547043j),(-0.0639897299859619-0.9265417068455462j),(2.2709765927614276+1.5526436933373016j),(-0.8671338285170994-1.953748489883361j),(-0.2738894369683194+1.9113838101381542j),(0.5843141201412119+1.4747762303213872j),(1.8135491334812628+1.2844672323495998j),(0.6738882506196539+0.05559582548292563j),(-1.4471359127747663-0.7307382324144575j),(1.3462226691630923-0.6600846378629347j),(-0.021067924335973456+1.3986200548407808j),(1.0803172900417917+0.34513142960748144j),(0.8776260407954104+1.4876034018893598j),(0.6763887426783238-0.9996402093052464j),(0.667155279581488+1.228829664282671j),(0.590958370397357-1.085479304366377j),(0.20479014573488524+0.6106655718967524j),(1.6867752538245004+0.855899813092282j),(0.491798119124061+2.2749446119200383j),(0.5586141681269716-0.9279737558069313j),(0.24020413709739646-0.5022416031650181j),(-2.8381723470478146+0.34056479099800646j),(-0.3062897991317469+0.14121742008131996j),(1.6945886262365224-1.5980468080867982j),(-0.1396229954754813+0.9314453342061915j),(0.9072778623147705-2.3375935440085787j),(1.696161773906312-0.8619677952064267j),(1.3201282143674482-0.2670451417417986j),(0.07651273443132553-0.7905856868078603j),(0.2938707399356864-0.7863670402822318j),(1.138150248829932-1.6368219496194336j),(-0.3749226529471743+0.493264999765014j),(-0.016597233831884085+1.9117103737789722j),(-0.016350261931638316+0.3545906771600246j),(0.5324770263683618+0.836730849437591j),(0.5018049406920307-1.491840602502508j),(0.4694955417793+0.5680038782741872j),(0.46224183484735826-0.21185999026143626j),(-0.9992164812837125-0.3668197311502064j),(-0.2119465379117433-0.393927686113821j),(-0.08646341584413601+1.1502770933615405j),(0.4733052235191567-0.8762868559189334j),(1.7997779357804387-1.0858520797290943j),(1.1112432090088498-0.1843054503154154j),(1.3934247779799447+1.9519800682525492j),(0.1018667806843162-1.9968038000736303j),(0.4635764312397033+0.5658350033030554j),(0.4674188691970521-0.21616265279561026j)
0.08,(0.4162579026771131+0.6600396086873738j),(0.49351923475797843-0.13517852069409883j),(-0.18817651622395107+1.7094642375890132j),(0.760432388930732-0.8644228134514044j),(-0.41097396660301916-0.35720041962410626j),(-0.06443364416636554-0.9256871124144225j),(2.269582773240099+1.5538813508916558j),(-0.8686370200582322-1.9532877511416595j),(-0.27453396779117556+1.9083200260432491j),(0.5880566792244056+1.4784822624503673j),(1.8121846208069912+1.2709546392669449j),(0.662959060141743+0.04527928612105141j),(-1.447238292131456-0.7298676328110988j),(1.3467665726122897-0.6598382963918147j),(0.010142711784994887+1.3961404427524018j),(1.087448543774393+0.33314994359444927j),(0.8850886270230856+1.4775768679648642j),(0.6463602402002628-0.9809941029908266j),(0.6761846906230262+1.2199022433496338j),(0.5723496449351111-1.0630006881614051j),(0.20425368825098292+0.6103283443482468j),(1.6886083457339616+0.8547630372050203j),(0.49321268405191665+2.2745964278661175j),(0.5798327414911606-0.9341440626052349j),(0.2405666440827832-0.5021991600679573j),(-2.838076213071043+0.34057993911412265j),(-0.3094143220491566+0.14109629120988032j),(1.6908175823128473-1.5967083373711977j),(-0.13534173403097688+0.9290369112553811j),(0.9076803284217391-2.3397048391024455j),(1.6978929365884274-0.860305848890059j),(1.3159903270341782-0.2708755884289777j),(0.07879342474671103-0.7882456244826934j),(0.29576061885479377-0.7867677079108074j),(1.1382876369649284-1.6367873821717254j),(-0.3746961541986654+0.49338799775910397j),(-0.0018471944601849803+1.9129514041792723j),(-0.01685741401950729+0.3526095244732894j),(0.5295916101583655+0.8459020226862747j),(0.504582640241454-1.4892159846969022j),(0.4635014816732941+0.5794402078694932j),(0.45622435466978384-0.1704193643822286j),(-0.9992168660494949-0.3668193996197555j),(-0.21194628923694445-0.39392773567077544j),(-0.06159154382901953+1.147417190769605j),(0.4520676019677014-0.8323117605455738j),(1.7986874338686432-1.0825192934621937j),(1.1104315731368082-0.18676677072787373j),(1.3986336248102786+1.9438339099088406j),(0.11083673741323208-1.9936867683061008j),(0.45693865146488805+0.5765195473274259j),(0.46244856249788086-0.1748082048046245j)
0.09,(0.39485895778933017+0.6843172623966148j),(0.48857782945006306-0.08507530908001396j),(-0.1801008816463892+1.7053152820346433j),(0.757723375715799-0.8528687545414161j),(-0.41052421900923675-0.35789249868969836j),(-0.0651149208422355-0.9248181999738491j),(2.267884778965932+1.5548165314502824j),(-0.870240847664738-1.953237196960562j),(-0.2737547883424956+1.9032704260063935j),(0.5918765399499747+1.483863125026786j),(1.8098941508136563+1.2523518844616395j),(0.6520959701049359+0.03267437643532214j),(-1.4473548421706153-0.7289687679204263j),(1.3473247251973395-0.659636447314838j),(0.04139175413752108+1.3978046405957323j),(1.0915395179787062+0.3162674349728883j),(0.891914176045736+1.4701443278422743j),(0.6126909827774455-0.9649894784970275j),(0.6846375777004481+1.2133055644145918j),(0.5510646672876833-1.039965579137575j),(0.2036492471688153+0.6100031210956243j),(1.6898922528088474+0.8535368158137269j),(0.49569601875947356+2.272593798204682j),(0.6057296754948738-0.9409324370122618j),(0.24091253440191698-0.502078558878644j),(-2.8380080207306024+0.3406561012519412j),(-0.3111768957148681+0.13858341419634884j),(1.6871018379771638-1.597452091358942j),(-0.12971121290682977+0.9300297135172277j),(0.9101540196238426-2.3406059745619183j),(1.700023777664044-0.8585796163989292j),(1.3110083268721933-0.27518212800272174j),(0.08117022055905777-0.7856340435779535j),(0.29765484875784837-0.7874449157824929j),(1.1385064931165627-1.6367514169754043j),(-0.37435758199725744+0.4935376391346286j),(0.015432373719368248+1.9157916911578274j),(-0.017979750895763386+0.3488388227901572j),(0.525044472983847+0.8531186982119744j),(0.5054724157358698-1.4835390005250775j),(0.4573224350756553+0.59140502680872j),(0.4493391607840139-0.12902859815626877j),(-0.9992176553565114-0.3668190270175221j),(-0.2119458249563738-0.39392784272268944j),(-0.03783220319176136+1.1438064969478514j),(0.4296452925525864-0.7838602873811036j),(1.7971342907932912-1.0784930782689413j),(1.1095430797460766-0.1895341345753695j),(1.4046238246834446+1.9375628077614808j),(0.11831520924373154-1.98800580632644j),(0.4499861133549987+0.5874750647620205j),(0.4568067878711841-0.13338012495856133j)
