t,S_00,S_01,S_02
0.0,0.24999999999999972,0.24999999999999967,0.49999999999999944
0.01,0.2573622261948999,0.23252288685804268,0.5102811204811906
0.02,0.26449306055541905,0.2158306746983474,0.5197494659064493
0.03,0.2714329446775993,0.20007606439285808,0.5284862865932692
0.04,0.2782312062748768,0.1853270280819448,0.5365925322793715
0.05,0.2847136117595863,0.17158442564967952,0.543641812957816
0.06,0.29104413339992885,0.15898454426584518,0.5500179540022532
0.07,0.29710186189662396,0.14751519800242144,0.5554286726695421
0.08,0.3028496897428737,0.13724111593988456,0.559793758603559
0.09,0.30841805529309646,0.12821983374710025,0.563420113844846
0.1,0.31360869918937717,0.1204370772676448,0.5658582849375214
0.11,0.3185421539724509,0.11394869447890194,0.5674061853382908
0.12,0.3232010600539436,0.10875395412698503,0.5680359403868812
0.13,0.327460350904578,0.10485060433136051,0.5674939142734472
0.14,0.33147882769493286,0.10225254763073076,0.5661608128596759
0.15,0.3351457887234066,0.10093631680935573,0.5638148200249828
0.16,0.338432299063675,0.1008832572752557,0.560433435933096
0.17,0.3414750763102999,0.1020810275945616,0.5563397284784555
0.18,0.3441170768258732,0.10448488893277724,0.5512282290693188
0.19,0.34641543694751675,0.10805769391322367,0.5452662464924907
0.2,0.3484616415284672,0.11277315923609814,0.5386663666746976
0.21,0.3500633064906649,0.1185527847733635,0.5310749545590665
0.22,0.35143696821032094,0.12537300925448353,0.5229642611051047
0.23,0.3524734671408673,0.1331682764419842,0.5141385419363127
0.24,0.35315626699427854,0.14185836885908767,0.5046088471843894
0.25,0.35362808516625854,0.15141862231857167,0.4946700402508006
0.26,0.35377989289741596,0.16175951216640133,0.4841370738230016
0.27,0.35365249982197233,0.17281008676224988,0.47311824542483094
0.28,0.3533186116466531,0.1845310850921382,0.4617604791260341
0.29,0.3527585210087729,0.19684732880266262,0.45004247343889275
0.3,0.3519512205638238,0.20966832271131086,0.4379470441819078
0.31,0.3509687454769753,0.2229504144235056,0.42561210925987353
0.32,0.34984370748022037,0.23664020926317889,0.4130983779945131
0.33,0.34854832471126046,0.2506473808125484,0.4003669392609434
0.34,0.3471143113104854,0.2649047032455604,0.3874808451873087
0.35000000000000003,0.3455938726255585,0.27937264722367655,0.37452507250954653
0.36,0.34401040988029075,0.29399400294839884,0.36153592167267046
0.37,0.34234497525942365,0.30867542547055815,0.34848727115455275
0.38,0.3406347880810772,0.32335913463172133,0.33544124629285055
0.39,0.33894510523700205,0.3380283728668532,0.3224884725870817
0.4,0.33726958298435367,0.3526027255413419,0.30961793151170464
0.41000000000000003,0.33560578166560145,0.36699447291301274,0.2968306091330538
0.42,0.3340072480590809,0.38117476488878654,0.2842013294561407
0.43,0.332519099990722,0.3951164474204306,0.2717863743520165
0.44,0.3311303842139824,0.40873179168417906,0.25957165063168064
0.45,0.3298493888726474,0.42194409878377326,0.24757526334191063
0.46,0.32873110726927146,0.43473990260119594,0.23586704646855633
0.47000000000000003,0.3278091763398119,0.44708641409266037,0.2244874964774167
0.48,0.3270658129502561,0.45888624399858813,0.21342145438400212
0.49,0.32652079372599946,0.47008402826343054,0.20270311375111805
0.5,0.3262244144511814,0.4806759586229966,0.19239196261685163
0.51,0.3261969859776541,0.49062165799711505,0.1825153879378582
0.52,0.32642192200525966,0.49983144069939034,0.1730667962909941
0.53,0.3269158917396471,0.5082623710628724,0.16407798819488287
0.54,0.3277238755326217,0.5159221086519858,0.15559970302375936
0.55,0.32885545142987965,0.522772377782689,0.14765035651952765
0.56,0.33029855358810195,0.528748199332038,0.14023143839371927
0.5700000000000001,0.33204903222590765,0.5338021742072757,0.13335616981048845
0.58,0.33415727965562425,0.5379763245515353,0.12707429260080086
0.59,0.3366231781302918,0.5412448946243946,0.12139411186080874
0.6,0.33939731884975066,0.5435178582911995,0.11629188081546908
0.61,0.34250872048188696,0.5448321471633779,0.1118011991041675
0.62,0.34599869305251796,0.5452481990461606,0.10795412397875248
0.63,0.3498027121302846,0.5446798148865685,0.10471404292680148
0.64,0.353903116288637,0.5431277164059815,0.10207981123410813
0.65,0.3583445052756611,0.5406824459852254,0.10007991482266053
0.66,0.3631087756318996,0.5373532383545702,0.09870330107750416
0.67,0.3681225715488182,0.5330868518425668,0.0979090904989806
0.68,0.3733917957470395,0.5279534174669741,0.09770102279096782
0.6900000000000001,0.37895143289093464,0.5220561249423462,0.09809083097276994
0.7000000000000001,0.384717573639908,0.5153518819761315,0.09902900649801535
0.71,0.3906531936164734,0.5078805451885273,0.1004914023485498
0.72,0.3967818652779408,0.49974904854439123,0.10248008103564053
0.73,0.4030874151184163,0.491017174263725,0.10497542254159825
0.74,0.40945748486711764,0.48164786125162545,0.10791380693194387
0.75,0.4159044476193693,0.4717571085023605,0.11128882756767505
0.76,0.42245164075230374,0.4614548669744925,0.11509583987163971
0.77,0.4290068651408352,0.45073471663511777,0.11927962405163342
0.78,0.43549417408347846,0.4396317142505235,0.12379195233548439
0.79,0.4419904721298261,0.42830826912236064,0.12864991576379245
0.8,0.4484177229317508,0.41677663746284926,0.1338042910009336
0.81,0.4546559857584039,0.40503890910773027,0.13918707738390598
0.8200000000000001,0.4607956540173539,0.3932601802148576,0.1448195689810009
0.8300000000000001,0.4667953183236358,0.3814838529680182,0.15066828183078573
