t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.0,(0.03124999999999893-8.604228440846967e-16j),(6.722053469411693e-18-9.107298248880359e-18j),(-8.95117313604241e-16-2.099665927235917e-15j),(-2.541098841763493e-21-2.943439491709379e-20j),(1.2053278839431502e-18-3.8794108984255993e-19j),(-5.014435047746626e-19-4.319868030997938e-19j),(-7.18283939271814e-19-4.777265822515367e-19j),(3.9464959078481557e-17-2.3852447794686653e-17j),(-9.540979117874661e-18+2.602085213965817e-18j),(4.8572257327361914e-17+1.387778780781769e-17j),(-3.0154372922260117e-19-1.5178830414800598e-18j),(-7.047314121157421e-19-1.3552527156071962e-18j),(5.042493014124431e-21-5.505714157154235e-21j),(-8.809142651446776e-20+2.9815559743358315e-19j),(-1.6263032587286356e-19-1.6940658945089952e-20j),(-4.184342759437218e-19-2.3378109344224135e-19j),(-8.825405684034062e-17+3.341511095601103e-16j),(-2.541098841763493e-20+6.776263578035981e-21j),(-2.9815559743358315e-19-2.7105054312143924e-20j),(-8.673617379886056e-19+5.204170427931634e-18j),(0.03125+9.64939933512099e-18j),(-8.407331397090965e-19-2.9771619909212555e-18j),(2.710505431213761e-20+5.421010862427522e-20j),(-1.406207041340147e-23+5.1285197978287716e-23j),(-1.0587911840678754e-22-4.235164736271502e-22j),(0.03125+0j)
0.01,(0.028229200337089456-0.01935060573716976j),(4.997013763065811e-06+4.815124921385474e-06j),(2.6648007121668192e-06+3.611268296437572e-05j),(5.730649455584561e-10+1.3758316335678252e-09j),(-2.8382037622032015e-07-5.629071879024289e-08j),(-8.92257909693446e-08-5.117471802478346e-07j),(9.241991816449902e-08-7.784148841749418e-09j),(-1.189660680164943e-05+1.0004981057641753e-06j),(-6.955242942521498e-06+1.3300197725077933e-05j),(3.286511352114649e-05-2.2435255084747935e-05j),(-5.497469859745659e-07+7.03743671651978e-07j),(-2.15158961891357e-07+7.861979952201269e-07j),(-6.054295161162983e-10-5.574057405731871e-09j),(4.899204536227149e-07-2.096831042358e-07j),(4.98514851795269e-08+2.735057317160495e-07j),(-2.1342189753532203e-07-1.3745155457498558e-07j),(4.948263719818694e-06+3.026772882655658e-05j),(1.6710364075786793e-08+5.5661000132155984e-08j),(1.3936246388435867e-06-2.1758756622925387e-06j),(7.357472746435773e-06+5.804862020725975e-06j),(0.02947817446453454-0.01802149447272654j),(6.311276840275827e-11+1.1739099001551207e-07j),(7.822272410915786e-06-1.3321995481197945e-05j),(3.940157739514148e-08-8.939416965728292e-08j),(1.487738081153719e-08+2.9322210940532603e-08j),(0.02945806654066635-0.018076582475747074j)
0.02,(0.012997183825525317-0.034542062197814596j),(1.4059898025780468e-05+4.320771823900636e-06j),(3.5413892642817e-05+5.883433904327898e-05j),(-1.658504417818158e-09-1.4367535532030558e-09j),(-5.639712426042468e-07+1.2350281535027116e-07j),(-6.981983790347491e-07-8.619241736693566e-07j),(1.5255957478867301e-07-1.1314493287587332e-07j),(-2.3548668887036294e-05+1.0373114865011913e-05j),(-2.9713167918321394e-06+3.368592241798061e-05j),(4.396135071871775e-05-7.534663006506538e-05j),(-7.659878600955343e-07+1.4715637931915106e-06j),(1.9474805618673708e-07+1.6668397571858231e-06j),(-4.281470049057223e-09-1.0029378842042495e-08j),(6.253010720106614e-07-7.951525504455128e-07j),(3.4808793236528783e-07+3.7625443969653055e-07j),(-4.901968846417407e-07-8.857881810401296e-08j),(3.194143446032726e-05+4.916145917564603e-05j),(2.9825151161851674e-08+5.430674712320476e-08j),(4.0801240080491856e-07-5.294822379290995e-06j),(9.56075718344041e-06+1.9218936117074944e-06j),(0.016908811389179206-0.033889181062258814j),(1.185003100873283e-07+1.9227753267146482e-07j),(2.6316077583324456e-07-3.1188633209940604e-05j),(1.2654183119404105e-08-2.0582276483533505e-07j),(5.899548241642366e-08+3.126942590109163e-08j),(0.016870117344249834-0.03393957514775021j)
0.03,(-0.00983925998171432-0.03814643189549673j),(2.1562465929401348e-05-3.538895808777009e-06j),(8.008138844060296e-05+4.994160821681293e-05j),(-9.956691929756716e-09-4.230002122016899e-11j),(-6.813984876394153e-07+4.821546860513512e-07j),(-1.6418423427153788e-06-6.133212140716806e-07j),(1.1441000213119467e-07-2.6273573299468165e-07j),(-3.0502640501607386e-05+2.6357365261437814e-05j),(1.5872726852963146e-05+5.245509867364453e-05j),(1.5847163704848325e-05-0.00013672400850885623j),(-6.995208702296916e-07+2.2227547258175504e-06j),(1.12091939251464e-06+2.184104339725431e-06j),(-9.402197672720246e-09-1.3038802310479642e-08j),(2.4244227490136083e-07-1.3877522318104163e-06j),(6.760564703961053e-07+1.8385147801448306e-07j),(-6.948017395673249e-07+1.5542379517021757e-07j),(6.908397453161291e-05+4.427870373265032e-05j),(3.4990467383644387e-09+4.7905620328123355e-08j),(-3.149172408893939e-06-7.232961728233531e-06j),(3.7245133269455098e-06-3.1449279226678876e-06j),(-0.004170267037201877-0.04100222821602405j),(2.6740303963395184e-07+1.3278992265540455e-07j),(-2.3341889301491007e-05-4.342680730403549e-05j),(-9.421173746987384e-08-3.076808399085095e-07j),(9.917555975636138e-08-1.0776960083954662e-08j),(-0.004233908886165243-0.04101026631923574j)
0.04,(-0.031592098876010825-0.026807084508228163j),(2.3202014490750965e-05-1.6936416547616758e-05j),(0.00011397800898052584+1.0197676546197304e-05j),(-1.598888139658691e-08+1.153516499088389e-08j),(-5.568638334372109e-07+9.301201616888838e-07j),(-2.5146402854799856e-06+4.265746518829979e-07j),(-4.592677802396894e-08-3.8626146836821877e-07j),(-3.143267197262448e-05+4.7837654497166685e-05j),(5.0891836182621636e-05+6.197693367098165e-05j),(-5.8144546855673427e-05-0.00018946686600145737j),(-3.4389672337193627e-07+2.8454913592097302e-06j),(2.4892682269130585e-06+2.1605066847208128e-06j),(-1.735936066668176e-08-1.3381742682055032e-08j),(-5.664519812151868e-07-1.632356196464519e-06j),(7.963188309040042e-07-2.5703572994873963e-07j),(-7.475614746863763e-07+5.221323483870016e-07j),(0.00010099393774613667+1.56162745483127e-05j),(-3.114771258835774e-08+8.518801403086722e-08j),(-8.277185577292898e-06-6.402896567080636e-06j),(-7.237503289842458e-06+7.762459270549171e-08j),(-0.027626527893750853-0.03472775093868738j),(3.2752475830958627e-07-5.418951040988772e-08j),(-5.8649659573072036e-05-3.942113852212366e-05j),(-2.735069765868816e-07-3.545538561954238e-07j),(1.0104048262769105e-07-8.532222053407919e-08j),(-0.027746543590867458-0.034731388579858455j)
0.05,(-0.04309474262151458-0.003480862993409415j),(1.6207244248294407e-05-3.202633161445426e-05j),(0.00011957360391177308-4.799837211619212e-05j),(-9.62468993656525e-09+2.740044009746956e-08j),(-1.421718764391301e-07+1.3189143248777502e-06j),(-2.799102115524137e-06+2.2488764849566784e-06j),(-3.100707204094187e-07-4.0104044582601226e-07j),(-2.483718955255816e-05+7.161836577663374e-05j),(9.903117120332784e-05+5.172751473367383e-05j),(-0.00018061186154881738-0.00020872109059295453j),(2.336404551729227e-07+3.1293075631590574e-06j),(4.130728801581592e-06+1.2566304433669338e-06j),(-2.6354817005894523e-08-7.215561355999523e-09j),(-1.4896182385021323e-06-1.2542347587767744e-06j),(5.368752471995152e-07-7.376447702998144e-07j),(-6.020649785413461e-07+9.222977460487483e-07j),(0.00011538805110183521-3.065097359760282e-05j),(-2.5818136544017965e-08+1.6008590901242071e-07j),(-1.2986964911927236e-05-1.9000437242613709e-06j),(-1.3484932872614282e-05+1.4919642200518093e-05j),(-0.04500427373612031-0.015011124523519118j),(1.987188498016895e-07-2.610232794691024e-07j),(-9.690611189278884e-05-1.2313528601270725e-05j),(-4.971739301210097e-07-3.0651321664962274e-07j),(4.64420035641118e-08-1.5816724324435879e-07j),(-0.045097084231566706-0.015053783020649192j)
0.06,(-0.03834795229121914+0.02307553536453705j),(-6.809464318977305e-08-4.357115065562412e-05j),(9.015211533342226e-05-0.00010390024782218015j),(1.0496525543559906e-08+3.37568127435397e-08j),(5.217363224519656e-07+1.4701440385843142e-06j),(-1.9216253665729583e-06+4.550045888310654e-06j),(-6.001807291254791e-07-2.2753379593597326e-07j),(-1.0353156369615621e-05+9.46104677706262e-05j),(0.0001491931815698517+9.794297341487635e-06j),(-0.00033833074654926427-0.00015677194865504367j),(8.277971482870109e-07+2.942825283282595e-06j),(5.477549503213711e-06-9.39942759549215e-07j),(-3.0319507131069105e-08+6.99377296366004e-09j),(-2.0210573922398023e-06-2.306728030057036e-07j),(-8.139845225378756e-08-9.270558228983448e-07j),(-2.5489728928228437e-07+1.251672334762989e-06j),(0.00010498801633027381-8.322936869131597e-05j),(4.83641982954459e-08+2.346393710958092e-07j),(-1.4685176560621308e-05+5.865290313718782e-06j),(-3.917952836778908e-06+3.464776628852274e-05j),(-0.04856410712799844+0.012761728850194574j),(-1.0744257126253211e-07-3.063008035905213e-07j),(-0.00012461939291912168+4.198822210854149e-05j),(-7.174401868188966e-07-1.3736928839290846e-07j),(-5.57194647680586e-08-1.8675595705314445e-07j),(-0.04872943419609541+0.012845168861013221j)
0.07,(-0.017641216517679536+0.04226853019646348j),(-2.387848406931202e-05-4.675468846427262e-05j),(3.3661323004377465e-05-0.00013762990069711821j),(3.442538628392983e-08+2.2135253267112456e-08j),(1.2822985093216258e-06+1.2735042586190343e-06j),(5.294979932899679e-07+6.753993123558314e-06j),(-7.829027629809932e-07+1.5476857881798933e-07j),(9.757399129646663e-06+0.00011732049385528007j),(0.00018217475435500357-7.064077210805904e-05j),(-0.0004918997840156754+3.52788828193672e-06j),(1.1176626143216928e-06+2.406935245851507e-06j),(5.525626085566957e-06-4.465442298283705e-06j),(-2.3666650767074973e-08+2.4124130384505517e-08j),(-1.7311813834356703e-06+1.0478057602472247e-06j),(-7.628095605467541e-07-5.834355712560829e-07j),(2.4578099055990255e-07+1.4244662113168719e-06j),(6.96786884123336e-05-0.00012920324032824284j),(1.984173636221876e-07+2.679973923827827e-07j),(-1.1523140233616396e-05+1.4870468619870227e-05j),(2.4274913827373058e-05+4.5359880777517995e-05j),(-0.035067929037388895+0.03931751549309978j),(-4.2737429779334394e-07-5.238103757913625e-08j),(-0.00012532171281547187+0.00012272541522670406j),(-8.779230464324968e-07+1.5501737032548036e-07j),(-1.7005394516303458e-07-1.440859856609584e-07j),(-0.03536374197429442+0.03944145478077656j)
0.08,(0.011012575546603412+0.045439607490609435j),(-5.056966257962114e-05-3.710989577612838e-05j),(-3.3943937840966775e-05-0.00013817401855016428j),(4.43026344891067e-08-6.1525343996160255e-09j),(1.922408762001821e-06+6.663588484590448e-07j),(4.652030020659367e-06+7.93489038761024e-06j),(-6.976732290460761e-07+6.603640173740776e-07j),(3.549614776766052e-05+0.0001323936712122525j),(0.0001687565909783957-0.00017823409115337422j),(-0.0005618732285345245+0.0002781648847357105j),(9.425356104654006e-07+1.779913983523698e-06j),(3.083949121809834e-06-8.343638281875099e-06j),(-3.4775866897479024e-09+3.5280925171775756e-08j),(-5.777285455190297e-07+1.9143734949787174e-06j),(-1.0558026447053218e-06+2.2330557975294724e-07j),(8.115648367420979e-07+1.3769451038167032e-06j),(1.3452645318310533e-05-0.00015733475919422278j),(3.981907619660844e-07+1.990521507883813e-07j),(-2.9711931553139285e-06+2.1621592657132573e-05j),(6.019655816612384e-05+3.169307321777871e-05j),(-0.007796630457005092+0.054272320609142964j),(-4.96075941138589e-07+4.957318654035245e-07j),(-7.998605492812031e-05+0.00021793953436340119j),(-9.135794405107685e-07+5.47011475648922e-07j),(-2.44115344496672e-07-3.257297807485117e-08j),(-0.007967899082440279+0.054618583194572363j)
0.09,(0.03626546292013304+0.03002824580760194j),(-7.44439300070386e-05-1.1129449806391869e-05j),(-9.214787812438526e-05-0.00010520115711877499j),(3.122452010251756e-08-3.8184544931151916e-08j),(2.273326901901879e-06-2.2243345920495054e-07j),(1.0254028395251001e-05+7.165704657990267e-06j),(-2.711672848142987e-07+1.1047660019907643e-06j),(6.474357831408904e-05+0.00014804542516604841j),(8.469385211645312e-05-0.00028422308468294025j),(-0.00045702165158370935+0.0006200296611755863j),(2.9396740416833645e-07+1.5129748515282564e-06j),(-2.4916796318839607e-06-1.0645711802846791e-05j),(2.259053049030733e-08+3.0354961953567583e-08j),(1.0047338473687286e-06+1.7998199718954687e-06j),(-6.645723108596941e-07+1.1148480950784124e-06j),(1.3405149619133987e-06+1.1071218403410764e-06j),(-5.293419752047295e-05-0.0001592623314219148j),(5.866078687746713e-07-3.592169875122424e-08j),(9.404256507903156e-06+2.337808485541333e-05j),(8.363290108368505e-05-8.942212210543832e-06j),(0.024501637960123626+0.050901771382345105j),(-8.249447936022987e-08+1.1130800056647692e-06j),(3.221977755417448e-05+0.0003043431877571956j),(-7.76809275645014e-07+9.89106336905982e-07j),(-2.3813257797893446e-07+1.1313602676803986e-07j),(0.024422606921165105+0.05151871697547472j)
