t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B00_z_0010_00,B00_z_0010_01,B00_z_0011_00,B00_z_0011_01,B00_z_0012_00,B00_z_0012_01,B00_z_0013_00,B00_z_0013_01,B00_z_0014_00,B00_z_0014_01,B00_z_0015_00,B00_z_0015_01,B00_z_0016_00,B00_z_0016_01,B00_z_0017_00,B00_z_0017_01,B00_z_0018_00,B00_z_0018_01,B00_z_0019_00,B00_z_0019_01,B01_z_0000_00,B01_z_0000_01
0.0,(0.1+0.1j),(-0.1+0.2j),(0.17942949117524304+1.7602114315644586j),(-0.745888788717566-1.005407986906498j),(1.9511339970098038+0.5780300989157494j),(0.48454727024343214+1.5996180574523733j),(0.1032394710972532-0.5739927164370838j),(-0.3980451947786974+2.0342766999637134j),(-0.7628238110062601+0.11857474193632288j),(-0.6232365178552961+0.030937600909847485j),(0.16125445574839703+0.12605944534797156j),(0.3627925124890209-0.6007688869008889j),(-1.017197308551734-1.040419754647657j),(-0.25496180339627766+0.42565841146216343j),(0.08022524433858105+1.183320797570613j),(-0.3975342156600944-0.23988821544716965j),(-0.6165690377562828+2.8881246868779926j),(2.530710944583724+0.3358191343396624j),(-1.174868812051942+0.21092762332879j),(-0.11203351731135129+0.7375022607455588j),(0.2880219328876346-1.9063516625648438j),(1.4749791445113758+0.3063985467713468j),(0.6617231148957559-1.3561753361950966j),(-0.49418575800756437+0.27296937975198926j),(0.4200349429097716-1.1525834234894534j),(-0.3451800082790117+0.890731098239909j),(1.0242655489986738+1.3088984705705344j),(-0.8055017332279687-0.16736050623466125j),(0.6296398568574101+1.0335991608075477j),(-0.6422812531765725+1.218240804115743j),(1.1552291444861367+1.583977929401612j),(0.12997131037095913-0.4583961132642043j),(0.8445652446099217-0.2967872611512823j),(1.1148897809149971+0.6813283937724366j),(0.25781768072578426+0.32329446244112764j),(0.2763347773950623+1.1661851424853433j),(0.9057273676692843+0.19250128046679998j),(-1.6629315930964113+0.726558387523677j),(0.18283083759489388-1.0367190727586724j),(0.02422371440963625+0.7861500505381689j),(0.1+0.1j),(-0.1+0.2j)
0.01,(0.08642991392229189+0.1085390356363821j),(-0.12093648048469681+0.21320850173437292j),(0.18601204780802155+1.7135292541348577j),(-0.7394972600597322-0.9737396167511699j),(2.009899119852985+0.5532829967044477j),(0.5302764401332268+1.6955093815919653j),(0.09850957942327025-0.601571339697041j),(-0.32909906971600433+2.1625601597561244j),(-0.7682968076964322+0.07001936898837431j),(-0.625912953525969+0.008883845193356789j),(0.15867946638381686+0.14095231998680746j),(0.3757875382470079-0.557976591530219j),(-1.037915557081687-1.048220115540941j),(-0.2568014299635858+0.4261110224394728j),(0.06594267227526292+1.1726332423146233j),(-0.40229729770476186-0.2347627850197693j),(-0.39898683571995974+2.9800755062345714j),(2.518855800604249+0.16653762132026786j),(-1.2063435929362594+0.2017615014262718j),(-0.13601795802178313+0.7492931263905018j),(0.19745256002555372-1.9068308602248911j),(1.5235950125787676+0.2749733941370808j),(0.6586900136578479-1.3728136357262903j),(-0.48717591931314985+0.2872109077352396j),(0.43031556350051137-1.1742963532711372j),(-0.3514356285158156+0.9290310289389804j),(1.0210478004526593+1.294053091520831j),(-0.8166879116700888-0.15766278325562055j),(0.6018678143534453+1.0662019086717747j),(-0.6799896633664306+1.2785335592146854j),(1.2025557747926567+1.5325355812373818j),(0.11511097648072363-0.4132359253625415j),(0.84695617256261-0.28305031743606657j),(1.1580658942342403+0.6870839195873314j),(0.23225979816200826+0.34612625442195977j),(0.29379244933828635+1.2168921784865123j),(0.8967291700364852+0.2228673024818424j),(-1.695739606706549+0.7652278268671991j),(0.19010973939034462-1.0511319851057457j),(0.023365968263142196+0.8240580457792003j),(0.08642991392229189+0.1085390356363821j),(-0.12093648048469681+0.21320850173437292j)
0.02,(0.07185919759323631+0.11533407480782307j),(-0.14299110006655677+0.22450020443972749j),(0.19044535125507098+1.6691974758902823j),(-0.7329132948466378-0.943639006370188j),(2.073296577231449+0.5261787273248469j),(0.5877041600393165+1.7961541847691849j),(0.09105270118946983-0.6314949206108779j),(-0.24268602098477582+2.301291784023668j),(-0.7705792172863049+0.02114797099487985j),(-0.6264502504122065-0.013286310075126484j),(0.1544862664708322+0.15589574317886817j),(0.3888003151464016-0.5147384364492956j),(-1.0599011916670191-1.0549790880925651j),(-0.2584147055232485+0.42627867702764927j),(0.050764243246551904+1.1618816747483611j),(-0.40706394814210156-0.23024715375898594j),(-0.16839568551241368+3.0447603890848742j),(2.4848426303952387+0.0051800158498465365j),(-1.2384679073327653+0.1933028082000133j),(-0.1601423932428953+0.7604454036822674j),(0.10680841565981994-1.9010141186956737j),(1.570590380939+0.23622828649947536j),(0.6544838312170308-1.3903855871372826j),(-0.48044409677149763+0.30201709362660384j),(0.4398195566523691-1.1977596926068785j),(-0.35673487159034944+0.969567143073683j),(1.0167432302378456+1.280273584636123j),(-0.8281076597548908-0.1484319904912965j),(0.5717241847223328+1.1001938405676583j),(-0.7174708874492661+1.3431260107808094j),(1.2478578701816658+1.4815470937328632j),(0.10078261320285081-0.3683456919129039j),(0.8491009130261851-0.26930544423019065j),(1.2039551187168003+0.6879099320129305j),(0.2052635867834877+0.36868662118171064j),(0.3173238198405276+1.2683436658925127j),(0.8857968936742568+0.25345947030496624j),(-1.7304237567532181+0.8064574354702004j),(0.1963314930649172-1.0667361160996478j),(0.023951571960211134+0.8633454851848007j),(0.07185919759323631+0.11533407480782307j),(-0.14299110006655677+0.22450020443972749j)
0.03,(0.05649438084270954+0.1202726322437904j),(-0.1659351042390147+0.23381477153409386j),(0.19287641389115215+1.6270658331520822j),(-0.7261490672818344-0.9150313984225384j),(2.1419044399477434+0.4960072820909j),(0.6589554369590319+1.901489544122384j),(0.08022928314754536-0.6639918228685673j),(-0.1349968648464186+2.450755035144933j),(-0.7696515783721578-0.027781617303283324j),(-0.6248430743583412-0.035431854168907644j),(0.14866696160830792+0.17078328073798393j),(0.4015256077553359-0.47100375143910994j),(-1.083157929977332-1.0606301663298643j),(-0.25980871924719856+0.4261431720524394j),(0.03471358536904502+1.1510085218462491j),(-0.4118072344831944-0.2263434049571366j),(0.06994559785000493+3.0808141012687895j),(2.4310570989406872-0.14435222578658571j),(-1.2712694239774893+0.18560752811009926j),(-0.18443069262237427+0.7709512869411682j),(0.01675941694018296-1.888617637247727j),(1.6150400574777692+0.19013918465047483j),(0.6490707478530741-1.4089146507689752j),(-0.47397981758290486+0.3173846080675216j),(0.4484964862778147-1.22312622489589j),(-0.3609088771336356+1.012539808813564j),(1.0113611611191005+1.2675342434960908j),(-0.8397590945298965-0.13966712094558875j),(0.5389833911048397+1.1357103382520128j),(-0.7546583277351624+1.4125579519615026j),(1.2912885491545947+1.4309874842455041j),(0.08680412294535289-0.3237020306634984j),(0.8509932155792493-0.25553453834366346j),(1.2522809597148727+0.6832888046177135j),(0.17688338209601606+0.39113622297024897j),(0.3476436262848717+1.3203495341011116j),(0.8728191869729106+0.2842361636240627j),(-1.7671025420158717+0.8504453144001619j),(0.20141834346947968-1.0836228081969084j),(0.026246119404567815+0.9041364417902062j),(0.05649438084270954+0.1202726322437904j),(-0.1659351042390147+0.23381477153409386j)
0.04,(0.040554168490170864+0.12326627175636883j),(-0.1895388336963463+0.24111659130087437j),(0.19343804518412164+1.5869915880745658j),(-0.7192155056351809-0.8878472806186423j),(2.2163400300826814+0.4618464143836416j),(0.7465634625511823+2.0112052996636227j),(0.06521872599606458-0.6992690917894704j),(-0.0012559577004612466+2.610847982772011j),(-0.7655196696235822-0.07651071757323939j),(-0.6210981532842421-0.05741179928518928j),(0.14122024398993038+0.18550253356640178j),(0.41367290125692874-0.426743613980431j),(-1.1076838491526635-1.0651031273749512j),(-0.2609912215315268+0.4256854025844916j),(0.017815992601243856+1.139954961599703j),(-0.41649823937415315-0.22305244530632243j),(0.3108345194087626+3.0881685291751864j),(2.3606259787162243-0.27900216778051434j),(-1.304772804471063+0.17873057660531594j),(-0.20891052443092994+0.7807977927734465j),(-0.07193316824677216-1.86944802427948j),(1.6559553768911641+0.13684736277565374j),(0.6424121898666572-1.4284233222219471j),(-0.46777015545699546+0.33331069792614776j),(0.4562855349960452-1.2505632828505417j),(-0.3637649496625791+1.0581676030646017j),(1.0049074850070905+1.255807760942184j),(-0.851639263456234-0.1313669763177587j),(0.5033903880784261+1.172910368529731j),(-0.7914862923609371+1.4874296632003832j),(1.3329842680520054+1.380831563383211j),(0.07300915176480874-0.27927992986001987j),(0.8526290081604178-0.24171817600682524j),(1.3026501654533984+0.6727059751784282j),(0.1471808295899118+0.4136719792022797j),(0.38551714301981754+1.372610358468733j),(0.8576727333210434+0.315147429333258j),(-1.8059118960528435+0.8974055686771731j),(0.20527955972078882-1.1018876743700228j),(0.03054460434903881+0.9465577680919842j),(0.040554168490170864+0.12326627175636883j),(-0.1895388336963463+0.24111659130087437j)
0.05,(0.024266795890336604+0.1242520265633869j),(-0.2135748599514729+0.24639356176040797j),(0.1922504597974618+1.5488387457602069j),(-0.7121222300478826-0.8620218756303735j),(2.297238582652899+0.42249910708895083j),(0.8535426941869276+2.1246176790597113j),(0.04496276093640442-0.7374749487469356j),(0.1645297682776866+2.7807982172856898j),(-0.7582143958075248-0.12478294711051413j),(-0.6152342358185239-0.07908582888719552j),(0.1321522474577381+0.19993622621159854j),(0.4249680242982148-0.38195242937756213j),(-1.1334708925782757-1.068324214983268j),(-0.26197065365225936+0.42488545121651206j),(9.877202256564381e-05+1.128661067022619j),(-0.4211061686708436-0.22037387417169357j),(0.5494831774348159+3.067901956383511j),(2.277101614975729-0.39667937300024086j),(-1.3389991034548911+0.1727254096406266j),(-0.2336130064601386+0.7899664622661113j),(-0.15843144558021-1.8434280003695878j),(1.6923173309088522+0.0766828502651329j),(0.6344645040232249-1.4489330999003616j),(-0.4617997116439883+0.3497932322196503j),(0.4631133588767692-1.2802549939684593j),(-0.36508212177031857+1.1066891551270186j),(0.9973848270360135+1.2450650974516595j),(-0.8637441834129919-0.12353015453394282j),(0.46465438363389666+1.2119818390756718j),(-0.8278905182268497+1.5684138872089437j),(1.373067080846246+1.3310552111468226j),(0.05924639827172735-0.23505324613058953j),(0.8540067617200551-0.2278358672138428j),(1.3545418817400663+0.6556717110909169j),(0.11622920153226682+0.43653079704782505j),(0.4317576539702258+1.4246917648316462j),(0.8402210733379979+0.34613333614543346j),(-1.8470089087187909+0.947569372806799j),(0.2078091335485619-1.1216307282275426j),(0.03717627543991163+0.9907369152690756j),(0.024266795890336604+0.1242520265633869j),(-0.2135748599514729+0.24639356176040797j)
0.06,(0.007867193813583268+0.12319354403985228j),(-0.23782075996141905+0.24965554896543332j),(0.1894227167309891+1.5124773501109687j),(-0.704877500580028-0.837494688515518j),(2.38521238801573+0.3764143238704129j),(0.9834615944499114+2.2404864857224798j),(0.018094011378268094-0.7786326922665667j),(0.36986004783550297+2.9587019631943727j),(-0.7477912257126984-0.172347297423047j),(-0.6072819747561715-0.10031493391326933j),(0.12147729916750205+0.2139633602748822j),(0.4351552012354695-0.33664877029380186j),(-1.1605043627092382-1.0702163866429686j),(-0.26275617649047894+0.42372268880833586j),(-0.018408413554995336+1.1170659769982452j),(-0.4255984693429699-0.21830585504622288j),(0.781777693926426+3.0219932741187976j),(2.184150892120596-0.4962627454327671j),(-1.3739651541552087+0.16764357903410135j),(-0.25857231411418635+0.798433080781486j),(-0.2418435122115726-1.810619588790251j),(1.7231180826301231+0.010180283551304056j),(0.6251786110296267-1.4704644227411734j),(-0.45605059913926227+0.36683073833028285j),(0.46889143265751704-1.312404878595479j),(-0.36460576803855466+1.158365198322102j),(0.9887927119266858+1.2352753332092987j),(-0.8760688772448835-0.1161550364888875j),(0.42244088606565666+1.2531482784848025j),(-0.8638091060399437+1.656271024656145j),(1.4116467673356583+1.2816363691420807j),(0.045379010127278546-0.1909949353035232j),(0.855127847114379-0.21386643265088628j),(1.4073008275594245+0.6317480131049481j),(0.08411948627450087+0.4599932502752851j),(0.48721934210954915+1.4759941764035485j),(0.8203132494662349+0.3771220372193186j),(-1.8905764314839077+1.0011860506516974j),(0.20888304052041928-1.1429563688859612j),(0.046510297327138544+1.0367990754904326j),(0.007867193813583268+0.12319354403985228j),(-0.23782075996141905+0.24965554896543332j)
0.07,(-0.00840601336093277+0.1200819227501106j),(-0.2620615082980954+0.25093260826399616j),(0.1850540133522824+1.4777828501682102j),(-0.6974881743178927-0.8142091026542814j),(2.4807781483696667+0.32158933353639446j),(1.1405002526652432+2.3567530408147337j),(-0.017148837594093202-0.8225269030645104j),(0.6240334935010041+3.1407864367980745j),(-0.734329200766349-0.2189610790449555j),(-0.5972837401228855-0.12096202964666115j),(0.10921855082681+0.227460432812146j),(0.4439994143281079-0.2908754391267814j),(-1.1887624052368178-1.0706996295937827j),(-0.2633576973353854+0.4221758873350623j),(-0.037673210121127204+1.1051080962166286j),(-0.42994095713225833-0.21684498983437128j),(1.0044221200691799+2.9530335720222207j),(2.0852908072725844-0.5775069960690871j),(-1.409682942174292+0.16353422907517004j),(-0.28382523984253794+0.8061674146494281j),(-0.32125359262679287-1.7712421264048506j),(1.747408871143486-0.061915930832346866j),(0.6144996357376129-1.4930365746270962j),(-0.4505024296651085+0.3844224272348338j),(0.473512741504803-1.3472388583230062j),(-0.3620410334270149+1.2134808311607017j),(0.9791277350864429+1.226405504630634j),(-0.8886074075640935-0.10923977214612796j),(0.37636156066848886+1.2966772131201065j),(-0.8991839863475658+1.751868531570521j),(1.448822837899468+1.232555785703233j),(0.031284047006184375-0.14707704777741717j),(0.8559968501210272-0.1997885153002778j),(1.460136434999376+0.6005801623022339j),(0.05096873686706629+0.48438686679196274j),(0.5527834742354995+1.5257175138286598j),(0.7977822364136125+0.40802746219793107j),(-1.936828790091818+1.058524137338299j),(0.2083559740582091-1.1659731473098462j),(0.058962326650289616+1.0848634229685952j),(-0.00840601336093277+0.1200819227501106j),(-0.2620615082980954+0.25093260826399616j)
0.08,(-0.02431364560618999+0.11493621059812768j),(-0.2860914839682458+0.25027305239820996j),(0.1792348546686521+1.444635530113089j),(-0.6899596705664235-0.7921120165103103j),(2.584233830642581+0.25545517975624976j),(1.3294634221041475+2.4701700634046664j),(-0.06300905794264756-0.8685118812020927j),(0.9383442877073684+3.320248039484085j),(-0.7179295463893866-0.2643926644781569j),(-0.5852933686526604-0.1408925476316777j),(0.09540847268478878+0.24030271543196421j),(0.45128893552036614-0.24469873347154994j),(-1.2182154910139467-1.0696913508809585j),(-0.2637858937086025+0.4202233453968277j),(-0.05766024706193337+1.0927253261890997j),(-0.4340979538616801-0.215986196551326j),(1.2149742045024337+2.8639426909283485j),(1.9836947423325002-0.640886960292383j),(-1.4461589707474742+0.1604435307505673j),(-0.3094106969980882+0.8131329651444401j),(-0.3957583104002036-1.7256824468875034j),(1.7643510697946783-0.1386596458399002j),(0.6023665118100756-1.516667551496425j),(-0.4451323029944459+0.40256820645306557j),(0.47684763058226187-1.3850087394458366j),(-0.35704477184826294+1.2723479747763995j),(0.968383741010378+1.2184204261216354j),(-0.9013529075386962-0.1027822661061092j),(0.32596119658637646+1.3428907405621944j),(-0.9339630724215388+1.8562058510834432j),(1.4846864218953575+1.1837975441180255j),(0.016851988764016668-0.10327051654198531j),(0.8566218015460566-0.18558122889191156j),(1.5121299922848264+0.5619316941534331j),(0.016931226390337478+0.5100884673478641j),(0.6293350265572484+1.5728208522434222j),(0.7724431152895728+0.43874653403900954j),(-1.9860188869269477+1.1198723699426059j),(0.20605744569387796-1.1907932110641408j),(0.07500211814425156+1.1350381554012103j),(-0.02431364560618999+0.11493621059812768j),(-0.2860914839682458+0.25027305239820996j)
0.09,(-0.039619203926890355+0.10780353541221512j),(-0.3097161041346051+0.24774144135410528j),(0.1720481152266032+1.4129199973069213j),(-0.6822959433375327-0.7711535146349099j),(2.6954576565558734+0.17475471396704287j),(1.555694111786821+2.5757915657395145j),(-0.12227159113766159-0.9151980854099949j),(1.325950242515312+3.4854735474703187j),(-0.6987139304470037-0.30842396785055853j),(-0.5713758587098869-0.1599749977401504j),(0.08008919425696144+0.2523655853484759j),(0.4568378726122402-0.19820691915477773j),(-1.248825903339681-1.0671068461487057j),(-0.26405223309508896+0.41784302684403374j),(-0.07833082515262714+1.0798553290115978j),(-0.4380324342712561-0.21572259096505642j),(1.4117962795243344+2.7577247164929317j),(1.8820753863998647-0.6874150425420944j),(-1.4833936210418992+0.15841405122796978j),(-0.33536916028214403+0.8192867414775994j),(-0.46450668280577523-1.6744950317857157j),(1.7732661293151752-0.21892556149485598j),(0.5887115586502584-1.5413738865995676j),(-0.4399147981592622+0.42126867940827073j),(0.4787385634565659-1.4259962418552519j),(-0.3492156011144132+1.3353079881516137j),(0.9565520116657681+1.2112824979329637j),(-0.9142976084241529-0.09678016271898932j),(0.270700821679844+1.3921789787486507j),(-0.9681033104355548+1.9704467087101325j),(1.5193220455272003+1.1353493992948875j),(0.001986268365026519-0.05954476335411961j),(0.8570142730561152-0.17122493063362207j),(1.5622516573193514+0.5157207266295913j),(-0.01778702735089034+0.5375246883977601j),(0.7177260219989112+1.6159777888073232j),(0.7440909441950795+0.46915577061522445j),(-2.0384470506257495+1.1855405211243022j),(0.20178712731846815-1.217531283056636j),(0.09516227503408412+1.18741393963878j),(-0.039619203926890355+0.10780353541221512j),(-0.3097161041346051+0.24774144135410528j)
