t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.0,0j,(-0.23668862678739908-0.043757240722054176j),(-0.5295736394398904+0.4548607508650128j),(-0.5310791422794358-0.5532328930525088j),(-0.6799799028143092-0.15584858328263576j),0j
0.01,(0.00012825905877163015-0.014989384591810342j),(-0.23617982215213099-0.061845330338206474j),(-0.5255172826099312+0.43752486853939365j),(-0.5374214746072269-0.5711930698991643j),(-0.6822377085106096-0.16869621027369622j),(0.00012825905877163015-0.014989384591810342j)
0.02,(0.0005129896973979893-0.029960069083646162j),(-0.23549921119063372-0.07992798471762018j),(-0.5218223026161691+0.42022110956066633j),(-0.5443016988237744-0.5891466437498478j),(-0.6847039245647478-0.18147668522391594j),(0.0005129896973979893-0.029960069083646162j)
0.03,(0.0011540394074303839-0.04489342677960473j),(-0.2346485509482355-0.09799044242978154j),(-0.5184718090924051+0.4029683110289085j),(-0.5517396719382432-0.6070655571950041j),(-0.6873796048354393-0.19417361955334977j),(0.0011540394074303839-0.04489342677960473j)
0.04,(0.0020511121835273477-0.05977097326451106j),(-0.23362994962371608-0.11601796484231187j),(-0.5154485272769544+0.38578413697926106j),(-0.5597539642384614-0.6249198201296566j),(-0.6902649537243253-0.2067705576420886j),(0.0020511121835273477-0.05977097326451106j)
0.05,(0.0032037095415307234-0.07457442701851348j),(-0.23244585402426357-0.13399583656867858j),(-0.5127349231084184+0.3686851176100066j),(-0.568361609082209-0.6426775086499874j),(-0.6933592913281922-0.21925103764368178j),(0.0032037095415307234-0.07457442701851348j)
0.06,(0.004611055007250277-0.08928575918657494j),(-0.23109903525861383-0.15190936057828636j),(-0.5103133171757257+0.35168669227041643j),(-0.5775778425744382-0.6603047893951359j),(-0.6966610227953737-0.23159865635552496j),(0.004611055007250277-0.08928575918657494j)
0.07,(0.0062720081680719235-0.10388723155608724j),(-0.2295925734113491-0.16974385005052334j),(-0.5081659875402558+0.33480325458358445j),(-0.5874158364153915-0.6777659729873353j),(-0.7001676129392944-0.24379713808855497j),(0.0062720081680719235-0.10388723155608724j)
0.08,(0.008184974919002528-0.11836142345314449j),(-0.22792984170410455-0.18748461976998554j),(-0.5062752616651902+0.31804819827400327j),(-0.5978864279200323-0.6950236000204635j),(-0.7038755672078448-0.2558304073562419j),(0.008184974919002528-0.11836142345314449j)
0.09,(0.010347820446188169-0.13269124974360974j),(-0.22611449036800638-0.20511698019892471j),(-0.504623597865321+0.3014339624646075j),(-0.6089978519351777-0.7120385626913497j),(-0.707780420122612-0.26768266506772304j),(0.010347820446188169-0.13269124974360974j)
0.1,(0.012757790858685895-0.1468599732108095j),(-0.22415043019179315-0.2226262373036477j),(-0.503193656830052+0.28497207539864766j),(-0.6207554800898769-0.7287702646438956j),(-0.711876732283321-0.27933846776561755j),(0.012757790858685895-0.1468599732108095j)
0.11,(0.015411448339174242-0.1608512151633748j),(-0.2220418155250185-0.23999770080132923j),(-0.5019683638751979+0.26867319572506043j),(-0.633161573473485-0.7451768208923236j),(-0.7161580969773856-0.29078280930005646j),(0.015411448339174242-0.1608512151633748j)
0.12,(0.018304623394577176-0.1746489681841249j),(-0.2197930264363052-0.25721670282998077j),(-0.5009309626486033+0.25254715066046646j),(-0.646215055405714-0.7612152988024823j),(-0.7206171573405249-0.30200120418189774j),(0.018304623394577176-0.1746489681841249j)
0.13,(0.021432386403120687-0.18823761452478655j),(-0.2174086497576395-0.2742686282496365j),(-0.500065061054782+0.2366029705059817j),(-0.6599113114007086-0.7768420000438246j),(-0.7252456348815423-0.3129797717156496j),(0.021432386403120687-0.18823761452478655j)
0.14,(0.02478903930862498-0.20160195289853025j),(-0.2148934588687839-0.291138956978802j),(-0.4993546701796393+0.22084891915256388j),(-0.674242023687728-0.7920127821947132j),(-0.730034370013599-0.3237053198823156j),(0.02478903930862498-0.20160195289853025j)
0.15,(0.028368127108349822-0.21472723546585024j),(-0.21225239225680742-0.30781331805665113j),(-0.49878423699304125+0.20529252035442888j),(-0.6891950476895703-0.8066834173174188j),(-0.7349733750282289-0.33416542783030473j),(0.028368127108349822-0.21472723546585024j)
0.16,(0.03216246778625929-0.22759921579130574j),(-0.20949053108384047-0.32427755456358603j),(-0.4983386715894183+0.1899405796855783j),(-0.7047543376353281-0.8208099833566797j),(-0.7400518997111274-0.3443485257446124j),(0.03216246778625929-0.22759921579130574j)
