t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.0,(0.9999999999999996-8.673617379884035e-19j),8.673617379884035e-19j,(2.168404344971009e-19+1.0842021724855044e-19j),0j,(4.440892098500626e-16-3.6673239419138415e-20j),(1+0j)
0.01,(0.9049878722363629-0.4205722104347759j),(-3.301942258572899e-06-9.6261800917731e-07j),(-1.4439425239771023e-06+8.252901641375687e-08j),(-5.297396504777334e-07+3.163527882452355e-07j),(-0.0007494167438870169+0.00039723236606906966j),(0.9041963777565094-0.42020175470974575j)
0.02,(0.6376696728779807-0.756238710466512j),(-7.495541375355632e-06+2.2085756805117724e-06j),(-3.442453803383072e-06+1.3817055927602925e-06j),(-1.0642465518209205e-06+1.006196541940746e-06j),(-0.0009135901161739502+0.0013615426320776156j),(0.6365707564914813-0.7549017382513236j)
0.03,(0.25506181526943006-0.9400185458059253j),(-8.713922981374009e-06+9.78634890300783e-06j),(-5.550070838699573e-06+4.640487928750727e-06j),(-1.4730457545111468e-06+2.210245035693474e-06j),(-0.00022587664975448954+0.002351887021829222j),(0.25445424680236617-0.9375395475945246j)
0.04,(-0.162266178464114-0.9388204017610686j),(-3.565723402779796e-06+1.8896596676632443e-05j),(-6.78214252940709e-06+1.0704779502720224e-05j),(-1.514590713601433e-06+4.060114600777786e-06j),(0.0011784584877197214+0.0027682969821097195j),(-0.16157387406405432-0.9355715442765373j)
0.05,(-0.528865370485132-0.7600219142539344j),(8.585009399830213e-06+2.4618783704225228e-05j),(-5.291647759412886e-06+2.0252980474906487e-05j),(-8.133189409978011e-07+6.613149438747922e-06j),(0.0028065305023916138+0.002210148954924606j),(-0.5263884583225615-0.7568485391592915j)
0.06,(-0.7736627593327419-0.44836153765504866j),(2.4831981569346226e-05+2.2506083674046368e-05j),(1.8715157905350852e-06+3.317515359190987e-05j),(1.1286013746266644e-06+9.76359630591493e-06j),(0.003998246851335811+0.0006562380545089621j),(-0.7694765105251601-0.44632851140693075j)
0.07,(-0.8550633359016484-0.07426340991457553j),(4.0078464024175256e-05+1.0887626745278105e-05j),(1.8616963804216316e-05+4.758736864347867e-05j),(4.867902984122899e-06+1.3148213237108113e-05j),(0.004186423384646905-0.0015039451378653398j),(-0.8498631832311366-0.07429783891289377j)
0.08,(-0.7684543681357019+0.28318505648832126j),(4.961462956573142e-05-8.68558771039863e-06j),(4.89323937203135e-05+5.870536006668061e-05j),(1.0897770031714503e-05+1.607536782150535e-05j),(0.0031254719268682864-0.0035985224698944773j),(-0.763401785992766+0.2806269727675148j)
0.09,(-0.5447288629338061+0.5541768859188021j),(5.0919099776635526e-05-3.318434756554004e-05j),(9.504496551837514e-05+5.8093217051377666e-05j),(1.947530496848618e-05+1.7511476019333047e-05j),(0.0010019736259884746-0.004910663425558783j),(-0.5411342304396743+0.5493184858751824j)
