t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00
0.0,(1+0j),(0.9229153761887531-1.1191247878483286j),(0.15566255764594805+0.3677468085174363j),(0.45977744803080123+0.3906750697246423j),(-0.30379884130127155+0.5053207758617528j),(0.6377148169738565-0.7759850428771228j),(-0.8713839682544182-0.29084356445292264j),(-0.5462291690039296-0.6385014077692228j),(-0.6509580917976181-0.8972210161886958j),(1+0j)
0.01,(1.0000000500954844-3.3543693387472452e-06j),(0.9506863311497712-1.1429988578288548j),(0.15171847376507538+0.3522222249873223j),(0.45292611532380667+0.3785376756247038j),(-0.3015292411228867+0.48671773450888267j),(0.6527277185279831-0.793998182483993j),(-0.8788500268041964-0.29626224305696847j),(-0.55595333407039-0.6559712387921346j),(-0.6697648100229151-0.9172390289086869j),(1.0000000500954844-3.3543693387472452e-06j)
0.02,(1.0000002000959196-6.702813140589869e-06j),(0.9797398387133494-1.1671156546394448j),(0.14793600116779712+0.33686181589722997j),(0.4463193657114268+0.36650090914668565j),(-0.29947659094809853+0.46833812972179056j),(0.6682645344057879-0.8122548773848159j),(-0.8865335218081994-0.3014524121433616j),(-0.5662588864350949-0.6734948930959515j),(-0.6896900095818912-0.9372190967263458j),(1.0000002000959196-6.702813140589869e-06j)
0.03,(1.0000004491464645-1.0039456432572327e-05j),(1.0101080265798978-1.1914210121010183j),(0.14431623405661817+0.32167746802051317j),(0.439958258956155+0.3545794656511856j),(-0.29762987398028357+0.4501932749799926j),(0.6843281580009482-0.8307347207748048j),(-0.89442251487766-0.30639833805064176j),(-0.5771597218918084-0.6910423941691751j),(-0.710764543054225-0.957099421947801j),(1.0000004491464645-1.0039456432572327e-05j)
0.04,(1.0000007958330421-1.3358524609357486e-05j),(1.0418188318295187-1.2158556752720167j),(0.14085970487428165+0.30668060632912997j),(0.4338429189989793+0.3427876246234389j),(-0.2959780265556831+0.4322935541627736j),(0.7009194779680361-0.8494160715459634j),(-0.9025036612702962-0.3110851005501694j),(-0.5886680937140504-0.7085818367204372j),(-0.7330156704885958-0.9768131771521792j),(1.0000007958330421-1.3358524609357486e-05j)
0.05,(1.0000012381981351-1.665439173675896e-05j),(1.0748951336323909-1.2403553463540362j),(0.1375664131282914+0.29188220945539856j),(0.42797258470374794+0.33113921859159867j),(-0.2945099939000707+0.4146484746517356j),(0.7180371688228999-0.8682761102582257j),(-0.9107622602604996-0.3154987365896219j),(-0.6007943646901157-0.7260794248420732j),(-0.75646633295636-0.9962885550202867j),(1.0000012381981351-1.665439173675896e-05j)
0.06,(1.0000017737625204-1.992162664460013e-05j),(1.10935383318477-1.2648508339048925j),(0.13443585610729936+0.2772928239084283j),(0.42234566288054914+0.319647604885977j),(-0.2932147804669534+0.3972667199312691j),(0.7356774813107154-0.8872909158374376j),(-0.9191823241763029-0.3196263803854072j),(-0.6135467526435923-0.7434995384272575j),(-0.7811343866414224-1.0154489100551032j),(1.0000017737625204-1.992162664460013e-05j)
0.07,(1.0000023995525762-2.3155036153048916e-05j),(1.1452048954386578-1.2892683216114846j),(0.13146706105583345+0.26292257596457613j),(0.41695978305186004+0.30832563965966003j),(-0.2920814951356956+0.3801562005768409j),(0.7538340365851511-0.9064355647218374j),(-0.9277466663420332-0.32345639735568793j),(-0.6269310733840622-0.7608048310748833j),(-0.8070318092743953-1.0342130058324563j),(1.0000023995525762-2.3155036153048916e-05j)
0.08,(1.000003112132709-2.6349704837754393e-05j),(1.182450371867392-1.3135297718198893j),(0.12865861836199294+0.24878118026633345j),(0.411811853471373+0.2971856536077761j),(-0.29109939157946463+0.36332410260200804j),(0.7724976288611538-0.9256842537919983j),(-0.9364370077684683-0.3269785092812852j),(-0.640950485797348-0.7779563623868726j),(-0.8341638941727948-1.052495380535976j),(1.000003112132709-2.6349704837754393e-05j)
0.09,(1.000003907642367-2.950103081650135e-05j),(1.2210834284105145-1.3375534769234845j),(0.12600871531566757+0.23487794431414308j),(0.40689811794551317+0.28623942885861947j),(-0.29025790412449515+0.34677693222849987j),(0.791656041783794-0.9450104479166332j),(-0.9452341019999988-0.33018390804555503j),(-0.6556052445339092-0.794913767066891j),(-0.8625284507343264-1.0702068418496893j),(1.000003907642367-2.950103081650135e-05j)
