t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000
0.0,(0.031249999999999983-3.390198549408502e-16j),(-7.769833225163697e-18+2.353396340651348e-17j),(5.4746653174383986e-15+9.385904325889122e-15j),(1.2150789272316609e-15-3.8918114607724985e-15j),(-1.6747332145204685e-15+1.1723342565814199e-15j),(1.755594367797153e-16-2.0667603913004928e-16j),(1.2996873542669984e-17+2.4692704478357363e-17j),(-7.058156142880634e-17+6.900946827870236e-17j),(1.0299920638612292e-17-9.744267025213471e-18j),(0.03125+0j)
0.01,(0.030692045487292537-0.005399858702372992j),(9.50147861518471e-06+3.036622678884666e-06j),(0.0008884527237277896-0.0002454063768489801j),(-0.0007765591895763712-0.0006021584602896566j),(-3.928321785643342e-05+0.00010529055392208968j),(-2.2140806032948172e-05-7.92471822193339e-05j),(-1.5209769538258485e-06+1.0683196057336238e-05j),(-2.0161749313255347e-05-2.880702026832759e-05j),(8.829783997712494e-06+8.032205734181173e-06j),(0.030786477805276484-0.005362348484549829j)
0.02,(0.029213355641898617-0.010594769383257025j),(1.655416542847144e-05+2.264142870235386e-06j),(0.0018014916434849295-0.0006935611291543141j),(-0.0017891256734699989-0.0010314604916329413j),(-7.660706813568215e-05+0.00022892455507976748j),(-5.9231550838561195e-05-0.0001328650137862339j),(-4.0170402086482665e-06+2.0134792946723132e-05j),(-3.5105869715591534e-05-5.2523888219636085e-05j),(1.4626871403475731e-05+1.4666784277720466e-05j),(0.029411745816080918-0.010559816583507284j)
0.03,(0.026873287954719816-0.015425497911182008j),(2.0905488236505584e-05-8.310998924262206e-07j),(0.002703432373037388-0.0013551593991810427j),(-0.003007011803480006-0.0012273943260005047j),(-0.00011018712296791827+0.0003716032491357481j),(-0.00010333921448032027-0.00016228461462292537j),(-7.350652533518806e-06+2.8328393956101875e-05j),(-4.539775414191908e-05-7.168231674708128e-05j),(1.7930918144344708e-05+2.001175719855397e-05j),(0.027172571491308632-0.015434034822464483j)
0.04,(0.023759548402648552-0.019748998849961046j),(2.2670510759387992e-05-5.012823617879317e-06j),(0.0035561319364602983-0.002234316685721417j),(-0.004385618660739223-0.001135392824179259j),(-0.00013805076521155126+0.000533724227494495j),(-0.00014799336986640114-0.0001703287405262573j),(-1.1379154251229857e-05+3.525517858472688e-05j),(-5.16327639770018e-05-8.677709861501778e-05j),(1.923786748285675e-05+2.4165806563181217e-05j),(0.024144496760918486-0.01983930314712875j)
0.05,(0.019983744904944655-0.02344362168126214j),(2.2213842725118793e-05-9.327778894764164e-06j),(0.004320863984897461-0.0033278259734136686j),(-0.005868063505695231-0.0007106555591726159j),(-0.00015820858531155306+0.000715281851312858j),(-0.0001882817889244793-0.00016073736495249324j),(-1.5975915569212593e-05+4.0903756644220774e-05j),(-5.436159281846931e-05-9.830765802654675e-05j),(1.8983955669620267e-05+2.7233846619375695e-05j),(0.020428389894596694-0.02364807024476449j)
0.06,(0.01567614013384486-0.026412966013736456j),(2.003676559179789e-05-1.3111875321161279e-05j),(0.004959193519104966-0.004625483652065789j),(-0.0073873912013821645+7.987802541047605e-05j),(-0.00016857065150147416+0.0009159026638598213j),(-0.0002208383881062506-0.00013767655293452246j),(-2.1003928989221936e-05+4.528047313512426e-05j),(-5.4145787754602466e-05-0.00010671124092450376j),(1.755958004227613e-05+2.9311635352160563e-05j),(0.0161459201947482-0.0267554547349007j)
0.07,(0.010979782592803808-0.028588508569910742j),(1.668670324396423e-05-1.596387333656677e-05j),(0.0054342753714044754-0.006110235249060005j),(-0.00886923618844625+0.0012554472089015153j),(-0.00016698463654232255+0.001134829891851524j),(-0.00024370777027954725-0.00010535235530985676j),(-2.6321158311386184e-05+4.841113177312661e-05j),(-5.1538614344843816e-05-0.00011237468759789487j),(1.5307960376250955e-05+3.049226297064404e-05j),(0.011434228328703257-0.02908259609987915j)
0.08,(0.006044369911233671-0.02993083861626123j),(1.2689341313135268e-05-1.7703294029619232e-05j),(0.005712129991741225-0.007758568731055996j),(-0.010234919682224966+0.002820013154324797j),(-0.00015128698067084058+0.001370914292259854j),(-0.0002561441290526787-6.770976773866997e-05j),(-3.178666176120272e-05+5.034012383681994e-05j),(-4.706648735478056e-05-0.00011564627510561256j),(1.2524343197251174e-05+3.0870384490852345e-05j),(0.006440104571845135-0.030578702651379297j)
0.09,(0.001020183585294704-0.030429517437117564j),(8.502915573291744e-06-1.8320851047224007e-05j),(0.005762809669430845-0.009541160389962652j),(-0.011404805633743565+0.0047615529514928034j),(-0.00011935809025399326+0.0016226157708707472j),(-0.00025837351033136034-2.821832724253798e-05j),(-3.7265614997384524e-05+5.1128430603146065e-05j),(-4.1215068254179026e-05-0.00011684406484776944j),(9.456575365897598e-06+3.05437930501144e-05j),(0.0013140031779590008-0.03122174912605096j)
0.1,(-0.00394759544588225-0.0301016639826766j),(4.49245556108401e-06-1.792793648686881e-05j),(0.005561403941818253-0.011423740129330617j),(-0.012301722968703917+0.007052140077671692j),(-6.917976533406004e-05+0.001888016040594369j),(-0.00025134434929565455+1.0259427397448078e-05j),(-4.263312311532371e-05+5.0850863168577314e-05j),(-3.441971176239407e-05-0.00011626133617205627j),(6.306906612156695e-06+2.9613083299120988e-05j),(-0.0037957865603340797-0.031017860654610294j)
0.11,(-0.008723927554616782-0.02898943674567904j),(9.205524682481651e-07-1.671000905247072e-05j),(0.005088843004870841-0.013368132589599364j),(-0.01285426173783018+0.009648795644014725j),(1.1070644785947739e-06+0.002164842146982554j),(-0.0002364868091562298+4.5525905041257936e-05j),(-4.777681271179693e-05+4.9592891711476084e-05j),(-2.7059822843723e-05-0.00011416972895423092j),(3.2348374495827923e-06+2.8180077038393075e-05j),(-0.008748521250520187-0.029999496338374926j)
