t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00
0.0,(1+0j),0j,(-1.08295707455756-0.4801343657558115j),(0.6349506997948513-0.34926467266541056j),(0.08655631386526616-0.2012553831888471j),(0.6327735084397282+0.4918486836797998j),(-0.07181409029909566-0.9979100544022981j),(-0.7451183207811942-0.31422824357049717j),(-0.5166953491343521+0.6037892365331485j),(1+0j),0j
0.01,(1.0000000500954844-3.3543693387472452e-06j),(6.401974242727538e-05-0.014982554797423669j),(-1.0993074325106607-0.4790274417183469j),(0.642662881642694-0.3582610842693188j),(0.08870333424127472-0.21605293525637476j),(0.6226681167576477+0.48052130325544073j),(-0.0741619196449659-1.0280775276242635j),(-0.7516696023748545-0.3237010862538274j),(-0.5088420509523535+0.586380714658116j),(1.0000000500954844-3.3543693387472452e-06j),(6.401974242727538e-05-0.014982554797423669j)
0.02,(1.0000002000959196-6.702813140589869e-06j),(0.0002559524119167796-0.02995035405371023j),(-1.1158694084619456-0.4772188190509942j),(0.650602635287105-0.36724698403206135j),(0.09099726943890107-0.2309074484389982j),(0.612875535216717+0.4692641121683493j),(-0.07693486095683741-1.0591101104598324j),(-0.7585042801898141-0.33303679946675535j),(-0.5014746717003764+0.5690977347871741j),(1.0000002000959196-6.702813140589869e-06j),(0.0002559524119167796-0.02995035405371023j)
0.03,(1.0000004491464645-1.0039456432572327e-05j),(0.0005754185446198455-0.0448886700560046j),(-1.1325963152879586-0.47468512484395364j),(0.6587631848054131-0.37620703992069326j),(0.09343658932826945-0.2458047177516895j),(0.6033978049404521+0.45809393457194214j),(-0.08016560820350616-1.0910148669411441j),(-0.765617548275442-0.342216270358844j),(-0.49457730674314887+0.551961585503513j),(1.0000004491464645-1.0039456432572327e-05j),(0.0005754185446198455-0.0448886700560046j)
0.04,(1.0000007958330421-1.3358524609357486e-05j),(0.0010217864028198719-0.05978283032816343j),(-1.1494383522096172-0.4714070748595465j),(0.6671365531764325-0.3851260522736685j),(0.0960193119653171-0.2607303519249862j),(0.594235692336836+0.44702714266638555j),(-0.08388852063212465-1.123796857729716j),(-0.7730031383916356-0.3512204958803565j),(-0.48813341439879615+0.5349919315753245j),(1.0000007958330421-1.3358524609357486e-05j),(0.0010217864028198719-0.05978283032816343j)
0.05,(1.0000012381981351-1.665439173675896e-05j),(0.0015941730415574289-0.07461824427498581j),(-1.1663430082862338-0.4673699322570272j),(0.6757135562772992-0.3939890399958666j),(0.09874299131297515-0.2756697719868838j),(0.5853887693243226+0.4360795968118446j),(-0.0881396017628703-1.1574588215727513j),(-0.7806532926763573-0.36003070558905864j),(-0.48212596729214974+0.518206861822062j),(1.0000012381981351-1.665439173675896e-05j),(0.0015941730415574289-0.07461824427498581j)
0.06,(1.0000017737625204-1.992162664460013e-05j),(0.002291445831745248-0.08938042885975589j),(-1.1832555430614942-0.4625639188568449j),(0.6844838073949938-0.40278132936679617j),(0.10160470782854907-0.2906082119804122j),(0.576855495466917+0.4252665927121571j),(-0.09295645621362135-1.1920008331657779j),(-0.78855874999238-0.36862849036482975j),(-0.47653759041309535+0.5016229435780428j),(1.0000017737625204-1.992162664460013e-05j),(0.002291445831745248-0.08938042885975589j)
0.07,(1.0000023995525762-2.3155036153048916e-05j),(0.0031122244752459804-0.10405503330384233j),(-1.2001195388497226-0.45698456456782544j),(0.6934357331229349-0.4114886446884531j),(0.1046010623725916-0.3055307232440274j),(0.5686333009988291+0.4146028150897454j),(-0.09837822063193852-1.2274199397354502j),(-0.7967087474981372-0.3769959357687832j),(-0.4713506860076646+0.48525528165884635j),(1.0000023995525762-2.3155036153048916e-05j),(0.0031122244752459804-0.10405503330384233j)
0.08,(1.000003112132709-2.6349704837754393e-05j),(0.004054883564077376-0.11862786301519414j),(-1.2168775161739946-0.4506329812582652j),(0.7025566014288932-0.42009719984526767j),(0.10772817385081683-0.3204221836134689j),(0.5607186698701166+0.4041022972191402j),(-0.10444546483178231-1.2637097796281793j),(-0.8050910388510786-0.38511575850767094j),(-0.4665475456642032+0.46911757996426573j),(1.000003112132709-2.6349704837754393e-05j),(0.004054883564077376-0.11862786301519414j)
0.09,(1.000003907642367-2.950103081650135e-05j),(0.0051175557552222625-0.1330849031725053j),(-1.2334716009524271-0.44351604868330874j),(0.7118325625652067-0.4285937897030099j),(0.11098168094523493-0.3352673127808343j),(0.553107222084374+0.39377838566071055j),(-0.11120005915181568-1.3008601873058216j),(-0.8136919302562348-0.39297144419924007j),(-0.4621104501368242+0.4532222040812654j),(1.000003907642367-2.950103081650135e-05j),(0.0051175557552222625-0.1330849031725053j)
0.1,(1.0000047818370463-3.2604757126540446e-05j),(0.006298135653036673-0.147412342589145j),(-1.2498442293437526-0.43564650208801403j),(0.721248703344913-0.4369658801432734j),(0.11435674822710544-0.35005069487834145j),(0.5457937947253081+0.3836437095351081j),(-0.11868500410572397-1.3388567904062967j),(-0.8224963353170398-0.4005473843918856j),(-0.4580217575785851+0.43758024347627217j),(1.0000047818370463-3.2604757126540446e-05j),(0.006298135653036673-0.147412342589145j)
0.11,(1.0000057301326497-3.565699835381187e-05j),(0.0075942845109863094-0.16159659863462678j),(-1.2659388738805466-0.42704291374411335j),(0.7307891151283379-0.44520169542222227j),(0.11784807687604114-0.3647568091512789j),(0.5387725211794899+0.3737101536992657j),(-0.12694421862166066-1.377680605912389j),(-0.8314878493317114-0.40782901058494175j),(-0.4542639809433246+0.4222015720847695j),(1.0000057301326497-3.565699835381187e-05j),(0.0075942845109863094-0.16159659863462678j)
0.12,(1.000006747652519-3.865426227779099e-05j),(0.00900343588114023-0.17562434408582528j),(-1.281700772800836-0.41772956385685484j),(0.7404369756557975-0.4532903014635205j),(0.12144992015992206-0.3793700693581433j),(0.5320369081573126+0.36398883522313963j),(-0.1360222836093701-1.417307643961766j),(-0.8406488433114948-0.4148029228368206j),(-0.4508198553642444+0.4070949063155711j),(1.000006747652519-3.865426227779099e-05j),(0.00900343588114023-0.17562434408582528j)
0.13,(1.000007829276451-4.1593466391168944e-05j),(0.010522802351299319-0.1894825368064171j),(-1.2970776434748044-0.40773619985945797j),(0.7501746446269228-0.46122168365211763j),(0.12515610376188147-0.39387487229660356j),(0.5255799101936502+0.35449008261928483j),(-0.14596413829206953-1.4577085293864396j),(-0.8499605775847436-0.4214570104487405j),(-0.447672396335617+0.39226785968622546j),(1.000007829276451-4.1593466391168944e-05j),(0.010522802351299319-0.1894825368064171j)
0.14,(1.0000089696909995-4.4471949257287644e-05j),(0.01214938351397558-0.20315845310904065j),(-1.312020360613687-0.3970976869216782j),(0.7599837726708658-0.4689868176932506j),(0.12896005097534136-0.40825565561114807j),(0.5193940013750243+0.3452234173413781j),(-0.1568147277357677-1.4988481526345447j),(-0.859403334404098-0.42778056218233323j),(-0.4448049495178013+0.3777269934942097j),(1.0000089696909995-4.4471949257287644e-05j),(0.01214938351397558-0.20315845310904065j)
0.15,(1.000010163440383-4.72874767625938e-05j),(0.013879975307393098-0.21663972554465957j),(-1.3264835805947053-0.3858535563343625j),(0.7698454230809717-0.4765777321437958j),(0.13285481272676397-0.42249696479978754j),(0.5134712440928216+0.3361975371396618j),(-0.16861860133514-1.540685363227045j),(-0.86895656850668-0.43376436351805486j),(-0.44220123296098374+0.3634778631055305j),(1.000010163440383-4.72874767625938e-05j),(0.013879975307393098-0.21663972554465957j)
0.16,(1.0000114049773388-5.003824341355734e-05j),(0.015711180855705636-0.22991438569686745j),(-1.340426294735009-0.37404746208079487j),(0.7797402054104507-0.4839875613134239j),(0.1368331023283378-0.4365835291088318j),(0.5078033546641149+0.32742030093782826j),(-0.18141946369506903-1.5831727202431527j),(-0.8785990741053019-0.43940077859319565j),(-0.439845372505079+0.3495250596076255j),(1.0000114049773388-5.003824341355734e-05j),(0.015711180855705636-0.22991438569686745j)
0.17,(1.0000126887133058-5.272286890866252e-05j),(0.017639422913930284-0.24297091234824117j),(-1.3538122966368982-0.3617265591606105j),(0.7896484197511404-0.49121058737138673j),(0.1408873348082973-0.4505003457905886j),(0.5023817656948946+0.31889871497421757j),(-0.1952596813865964-1.6262563153990885j),(-0.8883091663298739-0.44468381467491364j),(-0.4377219310666179+0.3358722467264021j),(1.0000126887133058-5.272286890866252e-05j),(0.017639422913930284-0.24297091234824117j)
0.18,(1.000014009067367-5.534039029318281e-05j),(0.019660957993584673-0.2557982851461295j),(-1.3666105516890352-0.3489408199080357j),(0.79955021025527-0.4982422706795153j),(0.1450096706134796-0.46423277200138424j),(0.4971976850869631+0.3106389200277276j),(-0.2101797514387323-1.6698756849581124j),(-0.8980648747109536-0.4496091673226806j),(-0.43581593247201317+0.32252219304698504j),(1.000014009067367-5.534039029318281e-05j),(0.019660957993584673-0.2557982851461295j)
0.19,(1.000015360513433-5.789025006389109e-05j),(0.021771892209141268-0.2683860436416823j),(-1.378795460280688-0.33574230649593834j),(0.8094257262199548-0.5050792675991641j),(0.14919206342531638-0.4777666234380338j),(0.4922421516111957+0.3026461796232473j),(-0.22621774010807422-1.7139638268483144j),(-0.9078441459199251-0.4541742447691411j),(-0.4341128804432863+0.309476799703217j),(1.000015360513433-5.789025006389109e-05j),(0.021771892209141268-0.2683860436416823j)
0.2,(1.0000167376252205-6.037228064406366e-05j),(0.023968198844997346-0.28072435132292367j),(-1.3903470100718724-0.32218441894292504j),(0.8192552888453302-0.5117194352831417j),(0.1534263117751302-0.4910882786506554j),(0.4875060869879685+0.2949248691807611j),(-0.24340870336740522-1.7584473388295647j),(-0.9176250526695721-0.4583781704878525j),(-0.43259877328933766+0.29673712381105294j),(1.0000167376252205-6.037228064406366e-05j),(0.023968198844997346-0.28072435132292367j)
0.21,(1.0000181351186375-6.278668568859505e-05j),(0.026245737599694396-0.29280406402300435j),(-1.4012508165481359-0.3083211382015625j),(0.8290195616082354-0.5181618232547934j),(0.1577041140862212-0.5041847878291658j),(0.4829803444316834+0.2874784661349642j),(-0.26178410355587534-1.803246692212473j),(-0.9273860054494336-0.4622217634060756j),(-0.43126011480463083+0.2843033980147003j),(1.0000181351186375-6.278668568859505e-05j),(0.026245737599694396-0.29280406402300435j)
0.22,(1.0000195478912608-6.513401870361495e-05j),(0.028600275420585453-0.30461680186892803j),(-1.4114980548615077-0.29420628331905585j),(0.8386997220712528-0.524406651885216j),(0.1620171267083822-0.5170439847407257j),(0.47865575363162666+0.2803095411070719j),(-0.2813712395824271-1.8482766533836605j),(-0.9371059636336179-0.4657074957429637j),(-0.43008392182863936+0.27217504659091474j),(1.0000195478912608-6.513401870361495e-05j),(0.028600275420585453-0.30461680186892803j)
0.23,(1.00002097105866-6.741515948038936e-05j),(0.031027508799868417-0.3161550237520575j),(-1.4210852894226065-0.2798928002992842j),(0.8482776328769697-0.5304552781945984j),(0.16635702444569447-0.5296546003969891j),(0.47452316215677964+0.2734197502566877j),(-0.30219271078123106-1.893446862165067j),(-0.9467646424619724-0.46883942898808234j),(-0.42905772887404414+0.26035069861587096j),(1.00002097105866-6.741515948038936e-05j),(0.031027508799868417-0.3161550237520575j)
0.24,(1.000022399987388-6.963128884499459e-05j),(0.033523087363450825-0.32741210315510355j),(-1.430014210697864-0.26543209827481046j),(0.8577360096627239-0.5363101497126654j),(0.17071556301222138-0.5420063769548169j),(0.47057347328831733+0.2668098289786509j),(-0.3242659367662622-1.9386625718173123j),(-0.9563427124613761-0.4716231290609357j),(-0.42816959018962664+0.24882819874053613j),(1.000022399987388-6.963128884499459e-05j),(0.033523087363450825-0.32741210315510355j)
0.25,(1.0000238303245248-7.178386221743605e-05j),(0.03608263854875921-0.3383824040643353j),(-1.4382912910568222-0.2508734460709608j),(0.8670585836727123-0.5419747474236861j),(0.1750846427849451-0.5540901803040886j),(0.4667976803008351+0.26047958713760705j),(-0.34760275719099704-1.98382555034506j),(-0.9658219880402931-0.47406556218778817j),(-0.4274080795850807+0.2376046161450346j),(1.0000238303245248-7.178386221743605e-05j),(0.03608263854875921-0.3383824040643353j)
0.26,(1.000025258023719-7.387458245314964e-05j),(0.03870179313731873-0.3490613556316817j),(-1.4459273732313815-0.23626343938259914j),(0.8762302569407481-0.5474535190815955j),(0.17945637316215146-0.5658981097734718j),(0.46318689723209094+0.2544279060517999j),(-0.3722091359619641-2.0288351368136355j),(-0.9751856022497766-0.47617497347749876j),(-0.42676228830947793+0.22667625225109453j),(1.000025258023719-7.387458245314964e-05j),(0.03870179313731873-0.3490613556316817j)
0.27,(1.0000266793677282-7.590537241333434e-05j),(0.04137621138339114-0.35944552422882553j),(-1.45293720596439-0.2216455457640903j),(0.8852372480645102-0.5527518043996466j),(0.18382313678212894-0.5774236033915171j),(0.4597323862013463+0.2486527374477233j),(-0.39808499398176367-2.0735894398648522j),(-0.9844181650466881-0.4779607505556061j),(-0.42622182124280317+0.21603864776572262j),(1.0000266793677282-7.590537241333434e-05j),(0.04137621138339114-0.35944552422882553j)
0.28,(1.0000280909875054-7.7878347675158e-05j),(0.04410160946161314-0.3695326815525984j),(-1.4593389417573137-0.20705973162212035j),(0.8940672267852379-0.557875753787616j),(0.18817765281538357-0.5886615371778662j),(0.4564255813581743+0.2431511046094291j),(-0.4252241927599421-2.1179866588329936j),(-0.993505902805197-0.47943327491118415j),(-0.4257767916308009+0.20568658961048125j),(1.0000280909875054-7.7878347675158e-05j),(0.04410160946161314-0.3695326815525984j)
0.29,(1.0000294898779225-7.979578974964313e-05j),(0.04687378594467498-0.3793218674952359j),(-1.4651536113330945-0.19254217254799494j),(0.9027094358182576-0.5628322424210512j),(0.1925130385173342-0.5996083170087029j),(0.45325810956671414+0.2379191059412747j),(-0.4536146881567417-2.161926501185563j),(-1.0024367772831615-0.48060376381380043j),(-0.42541781456737926+0.1956141182610577j),(1.0000294898779225-7.979578974964313e-05j),(0.04687378594467498-0.3793218674952359j)
0.3,(1.000030873410253-8.166012013085036e-05j),(0.04968864801672263-0.3888134465808307j),(-1.4704045885979031-0.1781250457516432j),(0.9111547986411442-0.5676287814771304j),(0.19682286822093775-0.6102619617019421j),(0.450221807954497+0.2329519211516232j),(-0.4832388691396591-2.2053116638696957j),(-1.0112005827416093-0.4814841057626374j),(-0.42513599940609426+0.18581453598323588j),(1.000030873410253-8.166012013085036e-05j),(0.04968864801672263-0.3888134465808307j)
0.31,(1.000032239341569-8.3473875447474e-05j),(0.05254223712933508-0.3980091568865434j),(-1.475117058621359-0.16383640115264111j),(0.9193960122286042-0.5722734283588613j),(0.201101228962474-0.6206221761000903j),(0.4473087384797686+0.22824382024845338j),(-0.5140740908702186-2.2480493409677766j),(-1.0197890204185398-0.48208669243565494j),(-0.4249229412628894+0.1762804164059083j),(1.000032239341569-8.3473875447474e-05j),(0.05254223712933508-0.3980091568865434j)
0.32,(1.000033585821224-8.523968393812155e-05j),(0.05543075381450154-0.4069121505093031j),(-1.4793174995755956-0.14970010589934055j),(0.9274276240171209-0.5767746976548983j),(0.20534277197040343-0.6306904130901173j),(0.4445111996962247+0.22378817551699642j),(-0.5460934049446275-2.290052716260437j),(-1.0281957500535581-0.48242425001736305j),(-0.4247707117563838+0.16700361582130582j),(1.000033585821224-8.523968393812155e-05j),(0.05543075381450154-0.4069121505093031j)
0.33,(1.0000349113946074-8.69602434167641e-05j),(0.058350581382773443-0.4155270248010459j),(-1.4830331877964176-0.135735855748989j),(0.9352460926789941-0.5811414744501692j),(0.2095427593072839-0.6404699236868234j),(0.4418217359187215+0.21957747662536917j),(-0.579266482534892-2.3312423971963754j),(-1.0364164186298688-0.4825096726073534j),(-0.42467184911961653+0.15797528654892457j),(1.0000349113946074-8.69602434167641e-05j),(0.058350581382773443-0.4155270248010459j)
0.34,(1.0000362150043731-8.86383008444386e-05j),(0.061298308254362444-0.423859843773015j),(-1.4862917332645045-0.12195924584460982j),(0.9428498325763536-0.5853829314191449j),(0.2136971050375023-0.6499657945147237j),(0.4392331440172276+0.21560334897765104j),(-0.6135607189421788-2.371547746600449j),(-1.0444486669297224-0.48235586015974036j),(-0.42461934780819166+0.1491858926442341j),(1.0000362150043731-8.86383008444386e-05j),(0.061298308254362444-0.423859843773015j)
0.35000000000000003,(1.0000374959893354-9.027663357078586e-05j),(0.06427074869594061-0.4319181492571954j),(-1.4891206509479913-0.10838189294043482j),(0.9502392420436665-0.5895084509073275j),(0.21780241039716808-0.6591849722482338j),(0.4367384780884266+0.211856575405808j),(-0.648942501150042-2.4109080702973094j),(-1.0522921148763178-0.4819755630903528j),(-0.42460664772404666+0.14062522817747486j),(1.0000374959893354-9.027663357078586e-05j),(0.06427074869594061-0.4319181492571954j)
0.36,(1.0000387540812388-9.187803226048598e-05j),(0.06726496176568822-0.4397109616054933j),(-1.4915469716799794-0.09501160101180216j),(0.9574167159060732-0.5935275529472249j),(0.22185599256397337-0.6681362748050111j),(0.4343310522742959+0.2083271212630705j),(-0.6853786138189977-2.4492736226121044j),(-1.0599483269505474-0.48138123532991467j),(-0.4246276231712489+0.13228243825278854j),(1.0000387540812388-9.187803226048598e-05j),(0.06726496176568822-0.4397109616054933j)
0.37,(1.0000399893995922-9.344528547678491e-05j),(0.07027826830300445-0.44724876989982787j),(-1.4935968946274123-0.08185256238143974j),(0.9643866428757328-0.5974498298735427j),(0.22585590676028522-0.6768303893264136j),(0.43200444201403826+0.20500416295247245j),(-0.7228377542166071-2.486606397198602j),(-1.067420759219366-0.48058489721442527j),(-0.4246765716598552+0.12414604288443754j),(1.0000399893995922-9.344528547678491e-05j),(0.07027826830300445-0.44724876989982787j)
