t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000,B01_A_0001
0.0,(0.02175970699446219-5.03973578124891e-17j),(0.6963106238227973-1.024042272920251e-14j),(-1.3300535597809693e-17-3.0624968322844637e-17j),(-2.9673447145072194e-16-3.1315444888156855e-16j),(-4.5132289690095965e-15+4.0228944705574195e-15j),(-1.7097891297908932e-16-2.7288775710144075e-17j),(4.884534113286685e-17+7.294917056516748e-18j),(7.282826196698776e-17+2.636727525260259e-16j),(-4.7382015333494725e-17+5.556843351833361e-17j),(0.02175970699446223+0j),(0.6963106238227914+0j)
0.01,(0.02141883306132748-0.0038334653988789614j),(0.6953956572011639-0.03241547846201334j),(-9.847112862988063e-06-2.954562839934709e-06j),(-0.0002674010370791451-0.0002958985940137746j),(-0.00028970176213114894+0.0015187747748687608j),(-0.00011769799076226801-0.0002196255198344888j),(1.3186994917490098e-05-1.899228967692343e-05j),(7.16541475927558e-05+4.186054279115861e-05j),(-4.111851703949629e-06+2.9241818397482917e-05j),(0.02143704843215894-0.003733387755876382j),(0.6948159258524002-0.0314693204211602j)
0.02,(0.02040380604553159-0.007540537677938432j),(0.6913494168436434-0.06464057507951419j),(-1.7536842360261055e-05-7.6165992657868295e-06j),(-0.0005915516647909502-0.00047063262452106574j),(-0.0002992286629628432+0.0029797355612551403j),(-0.0003228006511466645-0.00042495541015281614j),(2.092603623991458e-05-3.3572266057276975e-05j),(0.00013262607406373307+8.610373437741656e-05j),(-9.153087052025063e-06+6.36549645296606e-05j),(0.020480100527379613-0.007351999487388256j),(0.6903507698375501-0.06267561881148057j)
0.03,(0.01875211933669846-0.010999105013356554j),(0.6842184412048222-0.09639029038614463j),(-2.3014400465706376e-05-1.351564903362785e-05j),(-0.0009377291502911825-0.0005210722121012227j),(-4.850962111105047e-05+0.004340097445992921j),(-0.0006169709576675552-0.0005918595066998944j),(2.4665887981335525e-05-4.412923564438897e-05j),(0.00018321399248322665+0.00013204240537951698j),(-1.5207310150547735e-05+0.00010363757495916128j),(0.01892143265214175-0.010745597679588765j),(0.6829714971766463-0.09336077766515934j)
0.04,(0.016524465952846304-0.014097695392560316j),(0.6740898822594146-0.12738847199797748j),(-2.6287112618424393e-05-2.0197906974188647e-05j),(-0.0012731692313385026-0.0004525063701447269j),(0.0004359924617874279+0.005562403881563736j),(-0.000995815709894717-0.0006949050962467133j),(2.559600454815444e-05-5.115263153393906e-05j),(0.00022377085145788554+0.00017899757412946556j),(-2.2350742309337084e-05+0.0001495422436179154j),(0.016813648859593917-0.013812775102188226j),(0.6727704529945245-0.12327634526469246j)
0.05,(0.013801801540705243-0.016740110140632154j),(0.6610901439719525-0.15737299633000867j),(-2.74130192005328e-05-2.724024319315903e-05j),(-0.001568610662640341-0.0002776892324644986j),(0.0011219226941550904+0.006615161244287699j),(-0.001448137828809196-0.000709166468385002j),(2.467821743722418e-05-5.5168968902532964e-05j),(0.0002546386943184702+0.00022635169247439165j),(-3.0724166781981806e-05+0.00020166262920698393j),(0.014226975953931336-0.016464766897793658j),(0.6598737034912991-0.15218814245966222j)
0.06,(0.01068124234846491-0.018849206005490303j),(0.6453807101175463-0.1861008603670168j),(-2.650443724029142e-05-3.4246042297369326e-05j),(-0.0018002616202517762-1.5337143862690348e-05j),(0.001973084351623655+0.007474010190519098j),(-0.0019563357561807834-0.000611817148650354j),(2.2649249638044577e-05-5.672062342818865e-05j),(0.00027621113397344806+0.0002734748663031388j),(-4.0470393172903466e-05+0.00026021962073377705j),(0.011246124467640277-0.01862860747964598j),(0.6444379749710664-0.17987985214683594j)
0.07,(0.00727137350052454-0.020369530051448356j),(0.6271540435018642-0.21335233382147242j),(-2.372469886339437e-05-4.08534214466375e-05j),(-0.0019507892060894108+0.0003117082253423774j),(0.0029509571694235483+0.008122045083109904j),(-0.002496913303724467-0.0003837200574617512j),(2.00518573089778e-05-5.633119250860507e-05j),(0.00028894020340806546+0.00031973364798040284j),(-5.172577670933565e-05+0.00032535240409325376j),(0.007966561653011812-0.02024946275837947j),(0.6266469796833191-0.20615661812467087j)
0.08,(0.0036871953949506792-0.021268760507204443j),(0.6066289156398585-0.2389343589282902j),(-1.928230040382346e-05-4.674329354363467e-05j),(-0.0020097388402116004+0.0006783862602328914j),(0.004016145299112934+0.008549798342429969j),(-0.0030413717685758494-1.0886217187725368e-05j),(1.7268400745594123e-05-5.448096038371165e-05j),(0.0002933364461107557+0.0003645057204958844j),(-6.461734249549306e-05+0.000397112033413547j),(0.004490447625831432-0.02129204772262221j),(0.6067071734272081-0.2308479446927339j)
0.09,(4.5010501118592644e-05-0.021537934446382228j),(0.5840452723336543-0.2626831386472891j),(-1.3423292089701537e-05-5.164601130510462e-05j),(-0.0019734499459501354+0.0010592501792533178j),(0.005129741816806404+0.00875494916272838j),(-0.0035574642718886607+0.0005143127985336633j),(1.4553019890961107e-05-5.159224011416076e-05j),(0.000289966711679712+0.00040719434780573575j),(-7.926099311297868e-05+0.00047545776693155606j),(0.0009224644535857559-0.0217411032553381j),(0.5848431341489732-0.25380979190845565j)
