t,B00_z_0000_00,B00_z_0001_00
0.0,(1+0j),0j
0.01,(1.0000000500954844-3.3543693387472452e-06j),(6.401974242727538e-05-0.014982554797423669j)
0.02,(1.0000002000959196-6.702813140589869e-06j),(0.0002559524119167796-0.02995035405371023j)
0.03,(1.0000004491464645-1.0039456432572327e-05j),(0.0005754185446198455-0.0448886700560046j)
0.04,(1.0000007958330421-1.3358524609357486e-05j),(0.0010217864028198719-0.05978283032816343j)
0.05,(1.0000012381981351-1.665439173675896e-05j),(0.0015941730415574289-0.07461824427498581j)
0.06,(1.0000017737625204-1.992162664460013e-05j),(0.002291445831745248-0.08938042885975589j)
0.07,(1.0000023995525762-2.3155036153048916e-05j),(0.0031122244752459804-0.10405503330384233j)
0.08,(1.000003112132709-2.6349704837754393e-05j),(0.004054883564077376-0.11862786301519414j)
0.09,(1.000003907642367-2.950103081650135e-05j),(0.0051175557552222625-0.1330849031725053j)
0.1,(1.0000047818370463-3.2604757126540446e-05j),(0.006298135653036673-0.147412342589145j)
0.11,(1.0000057301326497-3.565699835381187e-05j),(0.0075942845109863094-0.16159659863462678j)
0.12,(1.000006747652519-3.865426227779099e-05j),(0.00900343588114023-0.17562434408582528j)
0.13,(1.000007829276451-4.1593466391168944e-05j),(0.010522802351299319-0.1894825368064171j)
0.14,(1.0000089696909995-4.4471949257287644e-05j),(0.01214938351397558-0.20315845310904065j)
0.15,(1.000010163440383-4.72874767625938e-05j),(0.013879975307393098-0.21663972554465957j)
0.16,(1.0000114049773388-5.003824341355734e-05j),(0.015711180855705636-0.22991438569686745j)
0.17,(1.0000126887133058-5.272286890866252e-05j),(0.017639422913930284-0.24297091234824117j)
0.18,(1.000014009067367-5.534039029318281e-05j),(0.019660957993584673-0.2557982851461295j)
0.19,(1.000015360513433-5.789025006389109e-05j),(0.021771892209141268-0.2683860436416823j)
0.2,(1.0000167376252205-6.037228064406366e-05j),(0.023968198844997346-0.28072435132292367j)
0.21,(1.0000181351186375-6.278668568859505e-05j),(0.026245737599694396-0.29280406402300435j)
0.22,(1.0000195478912608-6.513401870361495e-05j),(0.028600275420585453-0.30461680186892803j)
0.23,(1.00002097105866-6.741515948038936e-05j),(0.031027508799868417-0.3161550237520575j)
0.24,(1.000022399987388-6.963128884499459e-05j),(0.033523087363450825-0.32741210315510355j)
0.25,(1.0000238303245248-7.178386221743605e-05j),(0.03608263854875921-0.3383824040643353j)
0.26,(1.000025258023719-7.387458245314964e-05j),(0.03870179313731873-0.3490613556316817j)
0.27,(1.0000266793677282-7.590537241333434e-05j),(0.04137621138339114-0.35944552422882553j)
0.28,(1.0000280909875054-7.7878347675158e-05j),(0.04410160946161314-0.3695326815525984j)
0.29,(1.0000294898779225-7.979578974964313e-05j),(0.04687378594467498-0.3793218674952359j)
0.3,(1.000030873410253-8.166012013085036e-05j),(0.04968864801672263-0.3888134465808307j)
0.31,(1.000032239341569-8.3473875447474e-05j),(0.05254223712933508-0.3980091568865434j)
