t,B00_A_0000,B00_A_0001
0.0,(0.02175970699446223+0j),(0.6963106238227914+0j)
0.01,(0.02143704843215894-0.003733387755876382j),(0.6948159258524002-0.0314693204211602j)
0.02,(0.020480100527379613-0.007351999487388256j),(0.6903507698375501-0.06267561881148057j)
0.03,(0.01892143265214175-0.010745597679588765j),(0.6829714971766463-0.09336077766515934j)
0.04,(0.016813648859593917-0.013812775102188226j),(0.6727704529945245-0.12327634526469246j)
0.05,(0.014226975953931336-0.016464766897793658j),(0.6598737034912991-0.15218814245966222j)
0.06,(0.011246124467640277-0.01862860747964598j),(0.6444379749710664-0.17987985214683594j)
0.07,(0.007966561653011812-0.02024946275837947j),(0.6266469796833191-0.20615661812467087j)
0.08,(0.004490447625831432-0.02129204772262221j),(0.6067071734272081-0.2308479446927339j)
0.09,(0.0009224644535857559-0.0217411032553381j),(0.5848431341489732-0.25380979190845565j)
0.1,(-0.0026342425705929966-0.021600957403445236j),(0.5612927288139722-0.274925932736121j)
0.11,(-0.006081808518761383-0.020894250989164614j),(0.5363022274378684-0.2941085708040919j)
0.12,(-0.009330907467239576-0.019659951567993668j),(0.5101215147211255-0.31129824490756336j)
0.13,(-0.012303398392116723-0.017950811959389665j),(0.48299953532684387-0.3264630706069732j)
0.14,(-0.014934277457423923-0.01583044848179124j),(0.45518008976954755-0.33959738934644573j)
0.15,(-0.017172903639850346-0.01337021946548184j),(0.42689807555944687-0.3507199108609731j)
0.16,(-0.018983509646087755-0.010646077600188198j),(0.3983762441035048-0.3598714449931383j)
0.17,(-0.020345049273547744-0.007735552132054487j),(0.3698225192548023-0.36711232443634056j)
0.18,(-0.021250463572688907-0.004714991423959242j),(0.3414278995330347-0.3725196206524977j)
0.19,(-0.021705470158776684-0.0016571658165365078j),(0.3133649439266836-0.37618425177201176j)
0.2,(-0.02172699248025907+0.001370702033304783j),(0.2857868216262295-0.37820807431526976j)
0.21,(-0.02134134927724913+0.004308444463433606j),(0.2588268895908468-0.3787010408163483j)
0.22,(-0.02058231999211322+0.007103988546613236j),(0.2325987488524729-0.37777849366352895j)
0.23,(-0.019489191093280907+0.009713948409957249j),(0.2071967210301433-0.3755586524783846j)
0.24,(-0.018104872933987586+0.012103810350997021j),(0.1826966805913629-0.37216033887359334j)
0.25,(-0.016474158709794306+0.014247765294413552j),(0.15915717572178376-0.36770096912123146j)
0.26,(-0.014642177992520126+0.016128251796291522j),(0.1366207708886909-0.3622948326886011j)
0.27,(-0.012653078648292435+0.017735276284350125j),(0.11511554685782902-0.35605166320023185j)
0.28,(-0.010548953823530445+0.019065576290734798j),(0.09465669854548314-0.34907549847968383j)
0.29,(-0.008369015893508828+0.02012168801982299j),(0.0752481771409666-0.34146381810591j)
0.3,(-0.006149007271215498+0.02091097268227787j),(0.05688432991633308-0.33330694046310233j)
0.31,(-0.00392083030877935+0.021444647594255666j),(0.03955153453178498-0.3246876475747116j)
0.32,(-0.0017123756521976669+0.021736857911944237j),(0.02322982497577924-0.31568098559420854j)
