t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B01_z_0000_00
0.0,0j,(0.09689500264485193+0.47806085517664837j),(0.23260703163816515-0.1799408325477796j),(0.38230691748810475-0.09835780246836938j),(0.5042453597636511+0.40144691476988964j),0j
0.01,(0.0001851205529263574-0.01499098010034458j),(0.08706659985087654+0.46156246856735605j),(0.23828022508325705-0.18899942112144874j),(0.3855823439382411-0.10322318833138351j),(0.4934420057009748+0.3939120048994293j),(0.0001851205529263574-0.01499098010034458j)
0.02,(0.0007410223965422306-0.029957843440822255j),(0.07742092801478989+0.4451672586887702j),(0.24421940342318824-0.19796746441837432j),(0.3890086685920744-0.1080344883271264j),(0.4827846994367406+0.3864324986143117j),(0.0007410223965422306-0.029957843440822255j)
0.03,(0.0016692448783517866-0.04487653502233107j),(0.06797383533196867+0.4288817547953595j),(0.25041591099840815-0.2068260264668931j),(0.3925812909558993-0.112773835163765j),(0.4722809262360549+0.37901908878892365j),(0.0016692448783517866-0.04487653502233107j)
0.04,(0.0029720925593044803-0.05972311768772027j),(0.05874047073220945+0.4127126244587931j),(0.25685995686282004-0.21555647464265346j),(0.3962947830130729-0.11742362528108907j),(0.46193717033852505+0.37168251772738387j),(0.0029720925593044803-0.05972311768772027j)
0.05,(0.004652276060153862-0.07447381846127138j),(0.04973529260648525+0.396666709435177j),(0.26354069634255956-0.2241405246474349j),(0.40014292036652227-0.12196658993865797j),(0.4517589318797854+0.3644335123611372j),(0.004652276060153862-0.07447381846127138j)
0.06,(0.006712468348319568-0.0891050641341381j),(0.040972065738438125+0.3807510559949983j),(0.27044631846190914-0.23256029060126995j),(0.40411871977093317-0.12638586424590673j),(0.4417507492703369+0.3572827203008733j),(0.006712468348319568-0.0891050641341381j)
0.07,(0.009154823733638408-0.10359350833569642j),(0.03246384235981954+0.3649729382632161j),(0.2775641358258823-0.24079833908734433j),(0.4082144844893018-0.13066505595353858j),(0.431916226450565+0.35024064689841494j),(0.009154823733638408-0.10359350833569642j)
0.08,(0.011980506736949283-0.11791605495953975j),(0.024222923987855544+0.34933987291238056j),(0.2848806756772781-0.2488377476251349j),(0.4124218550761538-0.13478831155358573j),(0.422258064759964+0.3433175936632993j),(0.011980506736949283-0.11791605495953975j)
0.09,(0.015189272021321074-0.1320498844503983j),(0.016260802283400193+0.3338596236797874j),(0.29238177136685983-0.2566621672851296j),(0.41673186748234337-0.13874038183213924j),(0.41277809800747467+0.3365235975260778j),(0.015189272021321074-0.1320498844503983j)
0.1,(0.0187791264440951-0.14597248966712267j),(0.008588079090302497+0.3185401939041921j),(0.3000526524468953-0.26425588739496936j),(0.42113501539232134-0.1425066840656599j),(0.4034773303468528+0.3298683711392181j),(0.0187791264440951-0.14597248966712267j)
0.11,(0.022746092307480797-0.1596617264483331j),(0.0012143696090403796+0.30338980792393155j),(0.30787803540234754-0.2716039034270022j),(0.42562131858150437-0.14607336272989715j),(0.39435597802059535+0.32336124543687544j),(0.022746092307480797-0.1596617264483331j)
0.12,(0.027084078922186828-0.17309588186040573j),(-0.005851805946962303+0.2884168802850149j),(0.31584221291713216-0.2786919847048801j),(0.4301803950364357-0.14942734685880268j),(0.38541351276516644+0.3170111133332318j),(0.027084078922186828-0.17309588186040573j)
0.13,(0.031784859099185506-0.18625376085035372j),(-0.01260313467768848+0.2736299715116578j),(0.3239291441390153-0.28550674275399024j),(0.43480153618082074-0.15255640389723996j),(0.3766487070073291+0.3108263750855101j),(0.031784859099185506-0.18625376085035372j)
0.14,(0.03683813899304734-0.1991147890560199j),(-0.019033617192661563+0.2590377319913956j),(0.33212254593537327-0.29203569861670114j),(0.4394737860058901-0.15544919060431278j),(0.3680596803935304+0.3048148854222045j),(0.03683813899304734-0.1991147890560199j)
0.15,(0.04223170428522031-0.21165912785384763j),(-0.025138656988705967+0.2446488360740256j),(0.34040598348186524-0.2982673465563497j),(0.4441860209239596-0.1580952990455561j),(0.3596439472278339+0.29898390254923574j),(0.04223170428522031-0.21165912785384763j)
0.16,(0.04795162336266833-0.22386779719402397j),(-0.030915124702049244+0.23047190485997418j),(0.34876296470947443-0.30419121641262026j),(0.4489270308592742-0.16048529829557434j),(0.3513984644505381+0.2933400391715281j),(0.04795162336266833-0.22386779719402397j)
0.17,(0.05398248737285233-0.23572280039709184j),(-0.03636138865111708+0.21651542115044556j),(0.35717703463783806-0.3097979305388271j),(0.4536856011865875-0.16261077154171932j),(0.34331967959995174+0.28788921551256047j),(0.05398248737285233-0.23572280039709184j)
0.18,(0.060307669052240435-0.24720724664355498j),(-0.041477306787313026+0.20278763795547833j),(0.36563186988742846-0.3150792551326003j),(0.45845059313421144-0.1644643475559929j),(0.33540357831772727+0.282636614390417j),(0.060307669052240435-0.24720724664355498j)
0.19,(0.06690958502114758-0.2583054671386605j),(-0.046264178534394455+0.18929648136920585j),(0.3741113755968493-0.32002814683090514j),(0.4632110220912297-0.16603972658909372j),(0.3276457333048744+0.2775866399698953j),(0.06690958502114758-0.2583054671386605j)
0.2,(0.07376994920721901-0.26900312170324503j),(-0.050724657220834427+0.1760494518103196j),(0.38259978161441593-0.32463879217806535j),(0.4679561338841056-0.16733170076112472j),(0.32004135203294637+0.272742878613247j),(0.07376994920721901-0.26900312170324503j)
0.21,(0.08087000984515075-0.27928729486524945j),(-0.05486262810758927+0.16305352421040234j),(0.39108173731186757-0.32890663965356975j),(0.4726754772641098-0.16833616838803306j),(0.31258532353226454+0.2681080623705082j),(0.08087000984515075-0.27928729486524945j)
0.22,(0.08819076414772799-0.2891465793507327j),(-0.05868305814185003+0.15031505123606065j),(0.3995424043895403-0.3328284240018199j),(0.47735897165213825-0.16905014223336978j),(0.30527226395119067+0.2636840351474619j),(0.08819076414772799-0.2891465793507327j)
0.23,(0.09571314971440409-0.2985711482037449j),(-0.062191826270754445+0.13783967099775044j),(0.4079675465064573-0.3364021824558785j),(0.4819969695630271-0.16947175174170673j),(0.2980965629302579+0.2594717230816087j),(0.09571314971440409-0.2985711482037449j)
0.24,(0.10341821141824993-0.30755281422855896j),(-0.0653955430041007+0.12563222259655288j),(0.4163436147682084-0.33962726268887616j),(0.4865803129212047-0.1696002393080242j),(0.29105242860038144+0.25547110791214406j),(0.10341821141824993-0.30755281422855896j)
0.25,(0.11128724648838698-0.31608507853458906j),(-0.06830136858148955+0.11369667109416327j),(0.42465782772498406-0.34250432222945104j),(0.49110038276225365-0.1694359507281952j),(0.28413393082763516+0.2516812033579015j),(0.11128724648838698-0.31608507853458906j)
0.26,(0.1193019291884958-0.3241631676700549j),(-0.07091683767443425+0.10203604419191657j),(0.4328982446911945-0.3450353193329612j),(0.4955491417185957-0.16898031997219273j),(0.27733504425879485+0.24810003561470956j),(0.1193019291884958-0.3241631676700549j)
0.27,(0.12744441788832928-0.3317840598756235j),(-0.07324969768335525+0.09065238141137842j),(0.44105383132879533-0.34722349544214015j),(0.4999191687186529-0.1682358485791217j),(0.2706496908726956+0.24472462795399944j),(0.12744441788832928-0.3317840598756235j)
0.28,(0.1356974478898661-0.3389465014121552j),(-0.07530776558552141+0.07954669668686731j),(0.4491145162749393-0.34907334945093793j),(0.5042036857175984-0.16720608000174642j),(0.26407178050608604+0.24155098875362752j),(0.1356974478898661-0.3389465014121552j)
0.29,(0.14404441085105324-0.345651011785874j),(-0.07709880666995346+0.06871895399562067j),(0.45707123890099344-0.35059060435013767j),(0.5083965763059471-0.16589556926036453j),(0.2575952509194897+0.23857410399512974j),(0.14404441085105324-0.345651011785874j)
0.3,(0.15246942389051943-0.3518998789588794j),(-0.07863043650321153+0.05816805556310933j),(0.4649159869192842-0.3517821665284751j),(0.5124923961718166-0.16430984831083412j),(0.2512141072050982+0.23578793427742745j),(0.15246942389051943-0.3518998789588794j)
