t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B01_A_0000
0.0,(1+4.4316763800344986e-18j),(1.1604351377383912e-19-7.860465750519905e-19j),(-2.4177708446426743e-17+6.071532165918823e-18j),(-1.5314355686357746e-18-8.226383983733763e-18j),(6.776263578034401e-21+3.197199277595015e-20j),(1+0j)
0.01,(0.9056376048229925-0.4161350415881046j),(-2.815573695762453e-09-3.3813159734754145e-08j),(-2.0916551630489578e-07+5.599001590573297e-07j),(-1.3152294668518168e-07+3.4455756895191855e-08j),(2.3430937223003178e-09-6.732792423679454e-11j),(0.9056371750500966-0.41613447857360186j)
0.02,(0.6425953806309167-0.7488441431582001j),(-1.6604726818049877e-07-2.8056334744005065e-07j),(7.629986061676936e-07+4.221522494561707e-06j),(-6.561520227057231e-07+7.646470863929693e-07j),(1.7506181236933068e-08-1.260537688449028e-08j),(0.6425941816574808-0.7488386882279133j)
0.03,(0.2663127991740745-0.9332768343145718j),(-1.1311791463471605e-06-7.086389394307678e-07j),(8.959410217073597e-06+9.802673753451993e-06j),(-3.190846421805382e-07+3.2458191283855608e-06j),(2.7258100631350407e-08-8.208418288331237e-08j),(0.2663170580392521-0.9332587858078711j)
0.04,(-0.14524896499815973-0.9371931906134444j),(-3.8053704938966255e-06-3.071821171283177e-07j),(2.7881676781813662e-05+7.508432108604904e-06j),(3.66263044370576e-06+6.478848528566846e-06j),(-7.414247378054172e-08-2.325832865488819e-07j),(-0.14522187846766837-0.9371598215150632j)
0.05,(-0.5093815819903946-0.7671401068604792j),(-8.221222817758674e-06+3.413498461430011e-06j),(4.902632441340979e-05-1.533306320908829e-05j),(1.255601362483132e-05+5.971582522708824e-06j),(-4.520669990911264e-07-3.3565917074498685e-07j),(-0.5093078648013218-0.7671054060329134j)
0.06,(-0.7568914342621741-0.4655253300078294j),(-1.1815213389011147e-05+1.3795709374591878e-05j),(5.1900559799701936e-05-6.126286863846324e-05j),(2.251062147331491e-05-3.8180823562254275e-06j),(-1.1387074358115192e-06-2.3786579156687445e-08j),(-0.7567557552013358-0.46552642527616894j)
0.07,(-0.846476771125581-0.09965106944468409j),(-8.125310288564361e-06+3.271072621232246e-05j),(1.5871279890306662e-05-0.00011355329591074595j),(2.437878608926122e-05-2.4094736579698748e-05j),(-1.7429836581944482e-06+1.1722390748846266e-06j),(-0.8462915676288194-0.09974184189585707j)
0.08,(-0.7720117219077952+0.25428824061259225j),(1.2571239060854864e-05+5.683503832267307e-05j),(-6.310569754146736e-05-0.0001395603432035182j),(8.637063442255737e-06-4.7394689299182796e-05j),(-1.307403052864786e-06+3.371330543416175e-06j),(-0.7718304781196601+0.2540582035974988j)
0.09,(-0.561464864539827+0.5281802033248878j),(5.940647792347116e-05+7.410565733544992e-05j),(-0.00016229141944875124-0.00010698592637115958j),(-2.684530299172348e-05-5.851972078753755e-05j),(1.374464207575371e-06+5.7376521442052956e-06j),(-0.5613791991868581+0.5277953285533005j)
0.1,(-0.26828847042182663+0.6759308950239977j),(0.00013386419221668328+6.297436823548573e-05j),(-0.00023683902487812736-4.661350386196675e-06j),(-7.130377342516962e-05-4.188954071352158e-05j),(6.84602390268104e-06+6.176994504826491e-06j),(-0.26840449194351756+0.6754357046857539j)
0.11,(0.04214468731991699+0.6813765375816375j),(0.00022158422865603737-2.9209401852800823e-06j),(-0.0002391273792177323+0.00014441613008272372j),(-0.00010257190043961262+7.951705267935233e-06j),(1.3779499298355146e-05+1.8826151578732946e-06j),(0.04174630065717196+0.680884290293351j)
0.12,(0.30750657007204935+0.5588826832592344j),(0.0002872064743536747-0.00014353170253065807j),(-0.00014382336203332997+0.0002866131847422389j),(-9.661365144128087e-05+7.880280457589164e-05j),(1.8261152345418568e-05-9.013670306301387e-06j),(0.3068138550929688+0.5585574191697981j)
0.13,(0.48134899596622993+0.34719170644087466j),(0.0002768628744410959-0.00035690936492054775j),(3.458588869750817e-05+0.0003581001097751952j),(-4.1051778607572205e-05+0.00014191648790493728j),(1.4488942765143846e-05-2.517686630054839e-05j),(0.4804475270265703+0.34720397761717353j)
0.14,(0.5411126578101393+0.09859887573843666j),(0.00013166880380895935-0.0006046424573434792j),(0.0002415037513294546+0.00031342472435834975j),(5.4321563865221906e-05+0.00016283751299164887j),(-2.598556441514967e-06-4.036736448579804e-05j),(0.5401850464325604+0.09906725622650116j)
0.15,(0.4900414532240442-0.1335799521643985j),(-0.00018775744732366827-0.000806096003912435j),(0.00040102421879556764+0.00014888822991135912j),(0.00015647926097581637+0.00011817735419179085j),(-3.323516562287592e-05-4.397671853574975e-05j),(0.48933226713428907-0.1326428137813165j)
0.16,(0.35329469354541454-0.30625451740036547j),(-0.000672779539449058-0.0008490811905535269j),(0.0004464691256292605-9.120857297023296e-05j),(0.0002204693114833591+1.0328239823454796e-05j),(-6.933979571577183e-05-2.4884614804463762e-05j),(0.35304655866501755-0.30497112031455625j)
0.17,(0.1698453900974993-0.3941666691224732j),(-0.0012448668599902887-0.0006190843619545421j),(0.0003485896306273231-0.00032895418824070195j),(0.00020896109122399772-0.00012837353119207295j),(-9.419044367337006e-05+2.2096159137041394e-05j),(0.17022370462807487-0.3927848482282531j)
0.18,(-0.017482145779421667-0.3926663347474309j),(-0.0017520669074125449-4.237486293693825e-05j),(0.00012909965036236672-0.00048163120370324443j),(0.00011106519031972742-0.0002455044329399421j),(-8.702588178893947e-05+8.980269845349718e-05j),(-0.01645228482781394-0.3915080600626106j)
0.19,(-0.17139288644221023-0.3157130468362375j),(-0.001991976101087991+0.0008688434160340299j),(-0.00014588628413902182-0.0004927316826019553j),(-4.880102775340517e-05-0.0002890743737692061j),(-3.219773590944533e-05+0.00015602222786598614j),(-0.1698556328089957-0.31509330768187127j)
0.2,(-0.2669489022150956-0.19024216333178243j),(-0.0017616677076559947+0.001985451787588703j),(-0.0003892482464586774-0.0003527244165251604j),(-0.00021694632236054446-0.0002300491120164373j),(7.018502577435149e-05+0.0001875633090811687j),(-0.26519988912960396-0.1903801635601965j)
0.21,(-0.2947651808303965-0.04866187608648331j),(-0.0009251507097597313+0.0030601906247302102j),(-0.0005233340476420641-0.00010214101837175451j),(-0.0003296148343142748-7.693135747646679e-05j),(0.00019707202588785223+0.00015164187937657548j),(-0.2931883624072126-0.04961080099122452j)
0.22,(-0.2604531458123844+0.07859964557319456j),(0.0005196601013200794+0.003765367759613534j),(-0.0005058964111109285+0.00018306652466071506j),(-0.00033774218106306074+0.00012424722590306534j),(0.0003035883640906856+3.158860702187282e-05j),(-0.2594275949779614+0.0769823823988438j)
0.23,(-0.18104994592224427+0.16893225890053704j),(0.0023967917888970043+0.003767569875617149j),(-0.0003426558331400283+0.0004174130157567166j),(-0.0002272048131957235+0.0003050220295228765j),(0.00033474415258828743-0.00015914881032841165j),(-0.1808515631569452+0.1669634932191407j)
0.24,(-0.07969758735834793+0.21079416714652313j),(0.004350775757022901+0.00282498887954198j),(-8.334743821552149e-05+0.0005332360044846362j),(-2.6358706260547774e-05+0.0003989797268624008j),(0.0002457245092015855-0.00037168449849369684j),(-0.0804227666381838+0.2088959963834221j)
0.25,(0.020019049259546264+0.20415546129041484j),(0.0058984183651458475+0.0008825865022617351j),(0.00019589508932309657+0.0005003795564753619j),(0.0002021902238155834+0.00036626923903034566j),(2.4312520351342087e-05-0.0005299738780912382j),(0.01848641969700143+0.20275600304656505j)
0.26,(0.09883741300974307+0.1585353041701528j),(0.006530134396361511-0.0018638030587637441j),(0.00041679598745553837+0.0003327310176045359j),(0.0003825516352809745+0.0002089555219580128j),(-0.0002935248287592216-0.0005529155339079012j),(0.09680606660835149+0.15796479288604248j)
