t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.0,0.5j,(0.04723785438917992+0.8995127061864057j),(0.08186574815227264+0.7119207288917755j),(-0.9245372991866698+1.704715130951417j),(0.6746919788857336-0.7669946922432596j),(-0.1958683396531668+0.26587344444345873j),(1.229216964477414+0.02663950731788739j),(0.42597351421879054+0.43523175745501164j),(0.683968258172197-0.022607151711267037j),(0.5006751003376262-1.0985244443190656j),(1.1483499291622534-0.9298327526236638j),(-1.247948072504861+0.1514132995107474j),(-0.22682570819789502-0.3718595213413597j),(-1.5240479516765917-0.4116831716652539j),(-0.6244386350611383-0.9841618964276524j)
0.005,(0.004131534604351886+0.4980046130448034j),(0.05080540162904856+0.8982861606869488j),(0.08643433769306473+0.7100744952883263j),(-0.9259711972559556+1.703314568240567j),(0.6660062393429632-0.7754641429151111j),(-0.19582307118370088+0.26273867948223295j),(1.2294584950008323+0.00932101477359306j),(0.43439270893788584+0.4252461840491104j),(0.6832661771971644-0.03944157421645082j),(0.4928465305138486-1.1028635084719558j),(1.1393860019713715-0.9414983616388302j),(-1.2491295860330338+0.14052314836151644j),(-0.22606358483448522-0.3746357269999984j),(-1.5216072405520205-0.4212890759815332j),(-0.620965673122432-0.9871831086029697j)
0.01,(0.00836745683965633+0.4959643151133852j),(0.05442460272858318+0.8970412693233859j),(0.09108330821934822+0.7081849467774763j),(-0.927414820571269+1.7019069147365964j),(0.6573230831918399-0.7837524677905476j),(-0.19577087187739628+0.2595848097173348j),(1.229467141895195-0.007996307457141312j),(0.442750660623427+0.41495101266204104j),(0.6821851667223328-0.05623260389460257j),(0.4850746328703646-1.1071078143541817j),(1.1303700243569363-0.95300657570647j),(-1.2502238259473577+0.1296142324295108j),(-0.22531475678493101-0.3773861095331072j),(-1.5191178349483905-0.43085293077396186j),(-0.6175238044784214-0.990165319273226j)
0.015,(0.012710391297054278+0.4938766816367255j),(0.05809595974498133+0.8957776389708625j),(0.09581337142122771+0.7062505299788371j),(-0.9288661230594182+1.7004934860548262j),(0.648648511429307-0.7918602350981848j),(-0.1957101572357127+0.2564138586263678j),(1.229243324018494-0.025301512437327103j),(0.4510310995279322+0.4043454353441129j),(0.6807292442672085-0.07295856586999298j),(0.4773614944250292-1.1112584778454595j),(1.1213075528014769-0.9643550393358953j),(-1.251230015619937+0.11869323628742728j),(-0.22458054085997423-0.38010962628403744j),(-1.5165818326493328-0.440369613648789j),(-0.6141149935698176-0.9931077389845746j)
0.02,(0.017162772546464772+0.49173906626087355j),(0.061819906714242034+0.8944948664203295j),(0.1006250976123139+0.7042696565619945j),(-0.930323072872487+1.6990755947951035j),(0.6399883067182387-0.7997881922234652j),(-0.19563936328250703+0.25322791625184804j),(1.2287878516331447-0.0425838473383645j),(0.45921765895270583+0.39342983052230485j),(0.6789034812432467-0.08959857330764838j),(0.46970908162444525-1.1153166454363461j),(1.1122040552287684-0.9755416133094267j),(-1.2521475614438535+0.10776678082637726j),(-0.2238622086731847-0.3828052788929951j),(-1.514001379744387-0.44983413388147775j),(-0.6107411449611669-0.9960096239277861j)
0.025,(0.02172684513658493+0.4895486008469478j),(0.06559680965116575+0.8931925383785427j),(0.10551891572972356+0.7022407032465081j),(-0.9317836523878356+1.6976545505418004j),(0.6313480333874397-0.8075372657086586j),(-0.19555694656403358+0.2500291392012041j),(1.2281019264059874-0.05983275344004248j),(0.4672938752478389+0.3822057630002656j),(0.6767140029538505-0.10613252741335087j),(0.4621192403439637-1.1192834942282397j),(1.1030649110038337-0.9865643746823931j),(-1.2529760528331684+0.09684142325588682j),(-0.22316098664096035-0.3854721132970411j),(-1.5113786706290016-0.4592416324167055j),(-0.6074041033408512-0.9988702759382495j)
0.03,(0.02640466359488996+0.48730219547113574j),(0.06942696654935444+0.8918702314680633j),(0.11049511333407953+0.7001620118019123j),(-0.9332458582081001+1.6962316598638154j),(0.6227330374316453-0.8151085612528612j),(-0.19546138414894385+0.2468197506467772j),(1.2271871414082864-0.07703786613053876j),(0.47524318781220865+0.37067598395831336j),(0.6741679885943718-0.1225411174336382j),(0.45459369588768334-1.1231602319333798j),(1.0938954109329426-0.997421616783132j),(-1.2537152622229208+0.08592365710389674j),(-0.2224780559825271-0.38810921973009105j),(-1.5087159480045338-0.4685873818683638j),(-0.6041056535210872-1.0016890424959712j)
0.035,(0.031198092427633158+0.48499653842469403j),(0.07331060738121149+0.8905275122272577j),(0.11555383660951074+0.6980318890477152j),(-0.934707701161193+1.694808226314573j),(0.6141484465115216-0.8225033637119966j),(-0.19535117362828675+0.2436020403258209j),(1.2260454811157304-0.09418901490642j),(0.48304893909347874+0.3588444309534362j),(0.6712736712521102-0.13880582065580385j),(0.4471340529884511-1.1269480968748464j),(1.0847007572636125-1.0081118492129895j),(-1.2543651450691284+0.07501991221676244j),(-0.22181455271993894-0.3907157327229151j),(-1.5060155028782496-0.4778667865195583j),(-0.6008475204379272-1.004465316725576j)
0.04,(0.03610880611984588+0.4826280962139484j),(0.07724789409794178+0.8891639371102971j),(0.12069509036365217+0.6958486068533989j),(-0.9361672063003023+1.6933855504320223j),(0.605599169953665-0.8297231370988152j),(-0.19522483311550842+0.24037836454050143j),(1.224679321408432-0.11127622337264148j),(0.4906943745880993+0.3467162279192919j),(0.6680403379063142-0.15490890240789693j),(0.4397417958078618-1.1306483579865618j),(1.0754860636846075-1.0186337978463196j),(-1.2549258398487877+0.06413655475925399j),(-0.22117156767807788-0.39329083110313834j),(-1.5032796745633237-0.4870753823226087j),(-0.5976313691512586-1.007198537396306j)
0.045,(0.04113828913533762+0.4801931135602937j),(0.08123892062955158+0.8877790524871582j),(0.12591873802764492+0.69361040213842j),(-0.9376224129038925+1.6919649297386392j),(0.5970898987506029-0.8367695245828941j),(-0.1950809012464524+0.23715114615789762j),(1.2230914295709283-0.12828970924254737j),(0.4981626428413067+0.3342976851662076j),(0.6644783294281804-0.17083341605872238j),(0.43241828793625836-1.1342623148132884j),(1.0662563553259394-1.0289864048304858j),(-1.2553976680598735+0.05327988721455619j),(-0.22055014648465399-0.39583373799524046j),(-1.5005108506788398-0.4962088368990493j),(-0.5944588048448038-1.0098881889220217j)
