t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.0,(0.18757497724608307-1.3540462369533292e-13j),(7.120333473382476e-18+1.2313931231719495e-15j),(-8.497059483023626e-15-1.62392741921786e-14j),(8.895309113696445e-20-4.338080471703131e-21j),(1.0600703129530151e-16-3.5878461779184245e-18j),(-6.863743379559511e-14+9.65681786111413e-14j),(-1.2366438241777762e-17+3.769073105251703e-17j),(1.848911739923908e-14-2.2104373426657368e-14j),(2.978528413828669e-15+1.300886164565469e-16j),(4.3189834401474286e-18-8.98939239796952e-18j),(3.283917415219194e-19+1.8503442923857954e-18j),(-1.3381528885353461e-18-7.48548476723206e-19j),(6.449472841710212e-16-7.746107331396135e-17j),(5.6476718611715e-20-1.31200992987929e-19j),(1.8923830311695314e-19-2.599695025233861e-19j)
0.005,(0.19985187665558665-0.005409582655369277j),(0.0002969674200781791-0.00020381496112745206j),(-0.003967780511262394-0.00036707314132845083j),(-8.364745276053674e-09+6.712573640764571e-09j),(-7.706969579711204e-07-2.495554812747173e-05j),(0.0017112099527183012-0.0028923179897409274j),(1.292292000808238e-06+2.973466656382628e-06j),(-6.078898859771841e-05-0.0011083325791472775j),(7.1976850032387765e-06-0.00021982497251508992j),(-3.7905713066729004e-06-2.2025189573840555e-07j),(6.878795387355192e-07+1.1889701045092146e-07j),(5.524174155134512e-07+8.743159365431395e-07j),(0.0001288668488593355-9.079159678546589e-05j),(8.309289778083833e-08+3.639021418202456e-08j),(-8.16119576655657e-07+6.665646486353847e-07j)
0.01,(0.21180869730388316-0.011369040786664758j),(0.0005824220256618056-0.0004499229317756207j),(-0.007995505002997946-0.0004560151849143554j),(-1.645408602051833e-08+1.576300947526359e-08j),(-2.5204869892847665e-06-5.753839714391637e-05j),(0.003526045657975169-0.006381785532303166j),(2.831884337684035e-06+6.5667253669577e-06j),(-7.690722897978277e-05-0.0022572033170212592j),(2.8762235607057823e-05-0.00048234502535192804j),(-8.845127320188593e-06-2.1663482350375326e-07j),(1.566726510115011e-06+2.3989909212502345e-07j),(1.4168317532182783e-06+1.7391905783419207e-06j),(0.0002787978637881929-0.0002162753691388074j),(1.9198908551133609e-07+6.026904107897585e-08j),(-1.730676902690154e-06+1.6877044176387202e-06j)
0.015,(0.2233578763700978-0.01786559834428782j),(0.0008488340460535306-0.0007369390047181126j),(-0.012041880160232773-0.0002527536354015597j),(-2.3791284593896184e-08+2.7210981691578303e-08j),(-5.775274056736066e-06-9.912892970597665e-05j),(0.005406767189582686-0.010504057954120289j),(4.6466711789422405e-06+1.0835191316258688e-05j),(-4.1130582227111176e-05-0.003441031443327828j),(6.774847568602814e-05-0.0007916294024905583j),(-1.540410220416877e-05+1.607745201511524e-07j),(2.665682651431486e-06+3.5269119536096813e-07j),(2.6178387566132266e-06+2.522294134255824e-06j),(0.00044917931730328566-0.00038357355246947263j),(3.271280870176235e-07+6.466589104324947e-08j),(-2.698458806748973e-06+3.146815025823067e-06j)
0.02,(0.23442479595047175-0.024877567470203657j),(0.0010885359105549644-0.0010630172086081174j),(-0.016066841751153305+0.0002586296491075495j),(-2.985482850209563e-08+4.104582288776273e-08j),(-1.1294153079375152e-05-0.0001512937997007755j),(0.007304753374277018-0.015295372132479054j),(6.775729593631609e-06+1.5834851362437655e-05j),(5.1820673950257244e-05-0.004655644879978632j),(0.00012694482849984857-0.0011524110910672053j),(-2.373491439131706e-05+1.1195504790723208e-06j),(4.017013098820844e-06+4.418540476374696e-07j),(4.167949140358257e-06+3.1405761958820944e-06j),(0.0006383281303628944-0.000600934297741465j),(4.876325319647535e-07+4.168230466929087e-08j),(-3.6505497352270274e-06+5.133600843879804e-06j)
0.025,(0.24495457874853105-0.0323651441839526j),(0.0012929714825249679-0.0014253166204365522j),(-0.02002808625049282+0.0010953360496709788j),(-3.403498183913654e-08+5.714728431962482e-08j),(-2.0508815810284393e-05-0.00021572044161100826j),(0.009152016856039481-0.02079349020109008j),(9.298021763016248e-06+2.162057317842533e-05j),(0.0002076838594259306-0.0059039630657535j),(0.00020715186297644373-0.0015723667284757766j),(-3.41054003382972e-05+2.989339631019106e-06j),(5.655506972955144e-06+4.774714830351194e-07j),(6.065009486328688e-06+3.495182068701472e-06j),(0.000842399968600055-0.0008784191765159593j),(6.70763387193928e-07-1.789193988180667e-08j),(-4.481998366178115e-06+7.74257662186591e-06j)
0.03,(0.25486575055596433-0.040292633205232464j),(0.0014559728749194431-0.0018182576597813066j),(-0.023879812092982736+0.0022478463523393035j),(-3.5825405758916915e-08+7.523498771773103e-08j),(-3.465689403006182e-05-0.00029417165494740504j),(0.010895449654093526-0.027012591536861925j),(1.2252536729222086e-05+2.8244226094184e-05j),(0.000433832480221384-0.0071807710108696575j),(0.0003117262755147629-0.002056987707175596j),(-4.679001881081398e-05+6.1019301260074405e-06j),(7.613620526525943e-06+4.353852091759261e-07j),(8.278291109291945e-06+3.491712842018111e-06j),(0.0010568710007400537-0.0012249231950553414j),(8.714506370931027e-07-1.223663998935936e-07j),(-5.0665244078647485e-06+1.1050870593455937e-05j)
0.035,(0.26407327114133833-0.048628321403948446j),(0.0015730958368077603-0.0022354388768881725j),(-0.027579989625802718+0.003698942920925522j),(-3.480665669940184e-08+9.493216255888989e-08j),(-5.488611777187411e-05-0.0003885716868129383j),(0.012487144829636278-0.03395572194467231j),(1.5654281493533825e-05+3.575644649012891e-05j),(0.0007353928492553844-0.00847529476884551j),(0.0004457385321598864-0.002610142368908335j),(-6.208490688393227e-05+1.0809032862783544e-05j),(9.924184690847006e-06+2.945421734527188e-07j),(1.0754026353566516e-05+3.041222663585191e-06j),(0.0012764451763947302-0.0016489406539450155j),(1.08264175177784e-06-2.793321726323042e-07j),(-5.255066910719842e-06+1.5122369637506313e-05j)
0.04,(0.2724962213899317-0.05734205019480632j),(0.0016409283131402206-0.0026704466931480155j),(-0.031091425265020997+0.0054307917652631835j),(-3.0621071863014076e-08+1.1581176003128193e-07j),(-8.22864559550598e-05-0.0005011444679739129j),(0.01387945938749599-0.04162023883686771j),(1.9500980419174248e-05+4.420978682796534e-05j),(0.0011148631910132603-0.009773382296475931j),(0.0006159058571084966-0.003234408283195229j),(-8.033089978685054e-05+1.7495011766215607e-05j),(1.2623281776027374e-05+3.605597171959262e-08j),(1.3421909410222336e-05+2.0620177083222983e-06j),(0.0014952039880028818-0.0021590309111247518j),(1.2957746528907211e-06-4.956494434417348e-07j),(-4.876957728524171e-06+2.0009332051275718e-05j)
0.045,(0.28009988828804866-0.06637445123340663j),(0.0016543311023273046-0.003116251016565693j),(-0.03437496003474341+0.007437388683346016j),(-2.285154132061086e-08+1.3729909091305615e-07j),(-0.00011967432317009985-0.0006339053821249419j),(0.01498927316276508-0.05000994646563957j),(2.389259077797017e-05+5.3644137208183864e-05j),(0.0015763690157836957-0.011078959267183674j),(0.0008227519197562571-0.003939741578958752j),(-0.00010176281252670325+2.6820052648365692e-05j),(1.5743937124425848e-05-3.946211987021176e-07j),(1.6186861377273658e-05+4.6582554973741384e-07j),(0.0017020029344667763-0.002766055356367026j),(1.49880682611362e-06-7.783553133587039e-07j),(-3.695964914867164e-06+2.5737502149447025e-05j)
