t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00,z_0011_00,z_0012_00,z_0013_00,z_0014_00
0.0,0.5j,(0.25758727845800605+0.9685395593258317j),(0.2872629439288662-0.40630800700105485j),(-1.8041831787570177+0.9670247904452751j),(0.053456180754429504+1.5431735548043557j),(-0.4049045570273697+0.9493449726732113j),(0.27726246930664156+1.6594403383333813j),(-0.9669664785351982+0.673763638126244j),(-1.1187413119669598-0.31744977477347613j),(-0.10982236810143796+1.1554669549475989j),(1.3103809129724078+0.6348461386678066j),(0.7925723707067879-0.2594863716371517j),(0.037683662525217175-0.6093988040503819j),(0.9629459173888743-0.8416458822187365j),(-0.6383507903224573-1.6255054651239247j)
0.01,(0.00836745683965633+0.4959643151133852j),(0.2697849367425131+0.963337541160344j),(0.27025942772163747-0.4217109581436058j),(-1.8106635063901506+0.9536087022373455j),(0.062085135277336716+1.5414695585345497j),(-0.4091635208916211+0.9456900099481305j),(0.29005071957916634+1.65593009985251j),(-0.975990578893298+0.6589665472868488j),(-1.1132283488374881-0.33788146755811344j),(-0.10630097119607891+1.1541357543200539j),(1.3238927978177273+0.6047044882352879j),(0.7827031725286312-0.289999967321889j),(0.02939121978582101-0.6129680951608505j),(0.9453088444800677-0.8629371165173783j),(-0.6371676165536256-1.6272684151682857j)
0.02,(0.017162772546464772+0.49173906626087355j),(0.28224838684426895+0.9578836539308629j),(0.25348734194414635-0.43587282645478764j),(-1.817084971965271+0.9400889712646009j),(0.0708578160250179+1.539711452963786j),(-0.4135168339612099+0.9419672528245582j),(0.3030175575382971+1.652284877376135j),(-0.9849260799584729+0.6438779275831077j),(-1.1074282753966354-0.3580415376500393j),(-0.10270165391614035+1.1528014796323383j),(1.3368367807558394+0.5740623576501326j),(0.7718963224507038-0.3197689062445524j),(0.021439303516952442-0.6163890402918188j),(0.927531916884259-0.8835441383172002j),(-0.6360256460145924-1.6290117887109552j)
0.03,(0.02640466359488996+0.48730219547113574j),(0.2949687814210957+0.9521685034220781j),(0.23703458138826441-0.44887305592461396j),(-1.8234303835790648+0.9264982545930663j),(0.0797745082794202+1.537898352207753j),(-0.4179525312660876+0.9381823501711974j),(0.31615722582676087+1.6485023116717663j),(-0.9937456430273603+0.6285262122877596j),(-1.1013658375937163-0.37788672385221017j),(-0.09901925077429409+1.1514660655779676j),(1.3491746508788125+0.5429730153628768j),(0.7602333628146241-0.34871286252066674j),(0.013814120090145876-0.6196726856072932j),(0.9096617533951779-0.9034562795339591j),(-0.634936506163024-1.6307295053943371j)
0.04,(0.03610880611984588+0.4826280962139484j),(0.307935375498913+0.946183461703208j),(0.22097296347582956-0.4607922127687259j),(-1.829683543853182+0.9128692363959816j),(0.0888348207973495+1.5360293887763279j),(-0.42245827437414624+0.9343414222405941j),(0.3294630921562933+1.6445804027465951j),(-1.0024234088305624+0.6129415673704334j),(-1.0950669484729054-0.39737690400873044j),(-0.0952489527260632+1.1501312972648052j),(1.360872331415842+0.5114921398858575j),(0.7477988076672152-0.37676324015095064j),(0.006501417841669476-0.6228289069151336j),(0.8917429329184354-0.9226664887956784j),(-0.6339113560664715-1.6324157156128893j)
0.05,(0.04628783591669593+0.4776876134001939j),(0.32113552647173715+0.939920667128j),(0.2053582282586463-0.4717119854283924j),(-1.8358292499342388+0.8992346279538016j),(0.09803768581047034+1.5341037135735789j),(-0.4270213513912182+0.930451060669137j),(0.342927649307639+1.6405175098474942j),(-1.0109349975326456+0.5971558914976479j),(-1.0885586881732368-0.4164750950048525j),(-0.09138630716982184+1.1487988102150615j),(1.3718998797332498+0.4796778197932132j),(0.7346801427605061-0.4038631730213166j),(-0.0005135129274748337-0.6258664096670548j),(0.8738179944715241-0.9411713314426492j),(-0.632960886402371-1.634064800513125j)
0.06,(0.05695134844125282+0.4724480433818606j),(0.3345546941016822+0.9333730243347308j),(0.19023005682578686-0.4817152385413113j),(-1.8418532934938157+0.8856271676541959j),(0.10738135902530599+1.532120495897764j),(-0.4316286769610764+0.9265183284770568j),(0.3565425151305514+1.6363123514610174j),(-1.0192575087321416+0.581202816032812j),(-1.0818693039286043-0.43514745276697697j),(-0.08742721794679541+1.1474700903652946j),(1.3822314873344856+0.4475905537208834j),(0.7209678255517311-0.4299675249028707j),(-0.0072458399515513625-0.6287927289586257j),(0.8559274371838173-0.9589709895274294j),(-0.6320953194580431-1.6356713719936125j)
0.07,(0.06810589880977867+0.46687313395204266j),(0.3481764405189593+0.926534204246206j),(0.1756239504191768-0.4909213357260998j),(-1.8477424607284596+0.8720796209920489j),(0.11686341962323843+1.5300789234413312j),(-0.4362667922654341+0.922550760068428j),(0.3702984325437925+1.6319640053134j),(-1.0273695214615466+0.5651177050362247j),(-1.0750282100677613-0.4533632722626523j),(-0.08336794534106047+1.14614647406641j),(1.391845479860125+0.4152932503666089j),(0.7067571424598152-0.45503908101860213j),(-0.013711189000090614-0.6316142295292698j),(0.83810972029657-0.9760692618148449j),(-0.6313244091306932-1.637230272704974j)
0.08,(0.07975462054397316+0.4609510767117782j),(0.36198243022187654+0.9193986440697606j),(0.16155294746925886-0.49941843406560904j),(-1.8534845323596816+0.8586247805694601j),(0.12648077026050827+1.527978202290919j),(-0.4409218650239449+0.9185563612311667j),(0.3841852695351333+1.6274719083705582j),(-1.0352510941873212+0.5489376552650749j),(-1.0680659880143208-0.471094987500575j),(-0.07920510607954476+1.1448291480836612j),(1.4007243170878707+0.38285122848993164j),(0.6921740479339571-0.47899423020628296j),(-0.019925654288811635-0.6343361570093234j),(0.8204012631629185-0.9924735637819879j),(-0.6306574409274117-1.638736576049887j)
0.09,(0.09189048454545608+0.4547318392523868j),(0.37595257095861867+0.911960354466029j),(0.14801255937847801-0.5072507876635504j),(-1.8590682836339592+0.8452954660957436j),(0.13622963706821498+1.525817556927356j),(-0.44557968949420323+0.9145436091370323j),(0.3981920191613535+1.62283585683809j),(-1.0428837648098912+0.5327014961734415j),(-1.0610143862867558-0.48831817153058954j),(-0.07493567333202716+1.1435191495966484j),(1.4088077790747606+0.35036975060438397j),(0.6773060344477164-0.5018318696561219j),(-0.02590840341926772-0.6369757417851428j),(0.8028607513967057-1.0081846306334281j),(-0.6301032319651734-1.640185586183085j)
