t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010,A_0011,A_0012,A_0013,A_0014
0.0,(0.18757497724627709+2.3247127680037747e-11j),(4.862575162681396e-14-2.24882281044561e-14j),(1.186293465711467e-13+1.0981333923359779e-13j),(7.657308515724375e-19+9.07373771978165e-19j),(1.8845008677909576e-16+3.42379268051567e-16j),(-1.282548869279451e-14+8.891441647103752e-15j),(-1.5731821196711735e-17-8.755966609715428e-18j),(1.4758393243423545e-17+2.631886127136206e-17j),(-1.0053958608782382e-18+1.436424770264879e-17j),(-2.1599393903831563e-15+7.642337252120348e-15j),(-6.800724858087548e-18+8.588034964383136e-18j),(4.3913335967332164e-16-8.971407751011995e-17j),(-9.90076179995809e-16-1.8086686899269085e-16j),(1.3160058476995945e-17+2.963506385141251e-18j),(-3.2886051904939e-20+2.0389648834125292e-19j)
0.01,(0.20987333488533222-0.027709118321819593j),(0.0012274835615163665+0.0031482308470334925j),(0.0007542876847320105+0.00016023668593593594j),(1.4780536732247677e-07-1.8191496336004368e-08j),(0.00016851347346340782+0.0001587791530527902j),(-0.00272327276813968+0.0011129543421114117j),(3.971287219183211e-05-1.9588410710394506e-05j),(-8.65908064650012e-05+6.833426126810731e-05j),(3.0264885132920026e-06-7.097677890856501e-06j),(-0.0018083362916885657+0.003208879750668154j),(-2.9246594702573336e-06-8.967168468198077e-07j),(6.267708184805525e-05+9.404513406466852e-05j),(4.8442584560247594e-05-0.000231192288095141j),(1.7664793193266862e-06+1.8270020386436078e-06j),(3.0418892014808215e-08-2.145173599250079e-08j)
0.02,(0.22911706121844042-0.05977998345038322j),(0.0030208107412784306+0.006143978766191454j),(0.0018389886078564498+0.0004651494806546947j),(3.132515236999543e-07-1.1116089707728545e-07j),(0.00038236300078173415+0.00029714543084619787j),(-0.005074508745064207+0.0030931677634516716j),(8.041210649858323e-05-4.734045166605138e-05j),(-0.00014287634946205202+0.00018528747788223684j),(2.2310087506554477e-06-1.784391723990007e-05j),(-0.0028968114223687684+0.00690812551323945j),(-6.2292759446828735e-06-2.1018461141752673e-06j),(0.00013017735317514043+0.00022626683025771027j),(0.00010829946256996721-0.0006005874766686855j),(4.268042141207343e-06+4.281075968168968e-06j),(6.52163464514725e-08-6.456397449710202e-08j)
0.03,(0.24444143833071305-0.09550317855422583j),(0.005295117812988414+0.008882357564791735j),(0.0033062302224920433+0.0010230285308220808j),(4.6734019525286397e-07-2.9126632803779996e-07j),(0.0006346967195410725+0.0004063662679407294j),(-0.006804297140906849+0.005794893783241855j),(0.00012062359350260303-8.277924547786666e-05j),(-0.0001484509678636169+0.00033771372352032044j),(-4.813641589691395e-06-3.0567378690550835e-05j),(-0.0031761456316972553+0.010891650345539756j),(-9.81768632443487e-06-3.7036124453639986e-06j),(0.0001919324896229198+0.00040247168947346823j),(0.0001914407539699708-0.0011601396139418276j),(7.553793152567791e-06+7.5332045514143645e-06j),(9.840642765405883e-08-1.362981540459031e-07j)
0.04,(0.2552471351628821-0.13396738641981099j),(0.007910546956499166+0.01128006639363136j),(0.00520223175118889+0.0019706751032149286j),(5.782348446897372e-07-5.575201364333436e-07j),(0.0009142497801052292+0.0004810795604962347j),(-0.00773921101211254+0.00896989018752904j),(0.00015902313846373787-0.0001245656466902967j),(-9.031432668220257e-05+0.0005045691057683708j),(-1.9645070699204594e-05-4.257803610502592e-05j),(-0.0026508032034511923+0.014912873246205691j),(-1.3545970121968826e-05-5.804776043876926e-06j),(0.0002333086076521095+0.0006271658937478791j),(0.00031102282085249935-0.0019702490153087836j),(1.1615679296074831e-05+1.1778225417586987e-05j),(1.219394033145183e-07-2.4164954137997927e-07j)
0.05,(0.26107681527827353-0.17410727079482316j),(0.010767730670859005+0.013273858897139596j),(0.007614819509763732+0.0034058233251018665j),(6.130991175443488e-07-8.981489986808552e-07j),(0.0012106534428425824+0.0005152842922399124j),(-0.007745168043972048+0.01235738580368881j),(0.0001941932018902062-0.00017179085665816103j),(3.801471338851893e-05+0.0006613644362055957j),(-4.26887816030191e-05-5.052413693798895e-05j),(-0.0013285189027280326+0.018743205962599985j),(-1.7368044469066532e-05-8.476542951483855e-06j),(0.00024546684816973357+0.0009062119627862255j),(0.00045667457515664883-0.0030986044710138634j),(1.6538446565856484e-05+1.713585400858814e-05j),(1.2506059868737892e-07-3.829165954654466e-07j)
0.06,(0.2616471686581628-0.21470289534753753j),(0.013804837395915977+0.014818521596818486j),(0.010678307434114007+0.005374806373021723j),(5.386762795960506e-07-1.2903535886120342e-06j),(0.001514030834396667+0.000502230515278788j),(-0.006729000169611827+0.015680221116057116j),(0.00022455407282165468-0.00022392997064218665j),(0.0002363611416533343+0.0007803478902715314j),(-7.325103330826682e-05-5.049001425297497e-05j),(0.0007771115382160594+0.022166565643905956j),(-2.1341992097642856e-05-1.1758837668407542e-05j),(0.00022627454798490674+0.001247508835138888j),(0.0005896832970079205-0.004615657848109345j),(2.251252505513009e-05+2.3627613803559272e-05j),(9.47456612090886e-08-5.592165367319219e-07j)
0.07,(0.25706611552977054-0.2545707646098446j),(0.01692595499089499+0.015886204821360328j),(0.0145211790825991+0.007951901824873715j),(3.322604650655337e-07-1.6983456393884594e-06j),(0.0018121312398249388+0.0004391276540336687j),(-0.004732567149235603+0.018642537252421373j),(0.0002486767520757133-0.0002797636983280663j),(0.0004913681510759468+0.000835258210670615j),(-0.00010880252700401479-3.872868435594431e-05j),(0.0035612927193243546+0.024985702507631283j),(-2.5425393996972107e-05-1.567873910710215e-05j),(0.0001683787225650391+0.0016560346974984924j),(0.0006633177225571809-0.006602439215795522j),(2.9668884962088095e-05+3.129686950770035e-05j),(1.7397602544310936e-08-7.658966739561744e-07j)
0.08,(0.24747530673707344-0.29280140218258605j),(0.019997085219994104+0.01649322009410933j),(0.019167395937413245+0.011456452826431332j),(-1.3438618161121928e-08-2.0809574494131625e-06j),(0.0020948476142649947+0.00033211240652520236j),(-0.001957554871482565+0.021022863661671134j),(0.0002665613391474587-0.00033733595634737935j),(0.0007766829991543789+0.0008076952358294546j),(-0.0001448187506741851-1.1864474519102946e-05j),(0.006820964221105017+0.027117158579935227j),(-2.9266841092583813e-05-2.025463729546844e-05j),(3.9259292106254615e-05+0.002120715512309106j),(0.0006968101909696638-0.009214928188752853j),(3.779325271569769e-05+4.0601000485615766e-05j),(-1.245246881592743e-07-9.997791988894806e-07j)
0.09,(0.2332113171060839-0.32851904236873064j),(0.022917696443391665+0.01666302268730196j),(0.024720681802457442+0.016081218291163216j),(-4.9303486688305e-07-2.396041559031382e-06j),(0.002352484044157123+0.00018639091340114414j),(0.0013835974224182838+0.022646899313015355j),(0.0002779370380092881-0.00039498550690309604j),(0.0010642547472393044+0.0006879089674367695j),(-0.00017609715594192583+3.151416299647698e-05j),(0.01036763376227448+0.028493163907971446j),(-3.2691289235203e-05-2.5465228775187014e-05j),(-0.00018072317448839637+0.0026351672245095437j),(0.0006450680998541836-0.012583348235454655j),(4.68521782525491e-05+5.1770051896099235e-05j),(-3.4588205725508516e-07-1.2501584460648498e-06j)
