t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B00_z_0008_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
0.0,0j,(0.139509592509446+0.5883981079166315j),(-0.4051965387312308+0.2811724553213301j),(-1.2803876712160045+0.5038692314178698j),(-0.6410680393842632-0.17242070888087355j),(-1.0768217294180837-0.8540811413051079j),(1.26662448727078+0.07688475530221195j),(0.7308934362143489-0.8429237894535003j),(0.567691830773237-0.9559029409428261j),0j,(1.3824933382735576-0.4766977953217947j),(-0.5016838576737193-0.7460371918612301j),(0.674473261596358-0.532994857889395j),(0.9277589731099516+0.34020487947195666j),0j
0.01,(-0.0002692441292055169-0.014983388914309214j),(0.14821336628985132+0.5818437583788152j),(-0.41155974471678913+0.2662284447621189j),(-1.2875399203595987+0.48308274438429805j),(-0.6362603912087899-0.19320914259348224j),(-1.0668051842864006-0.8687220081540313j),(1.2680288023302877+0.04551474475025545j),(0.7159408918399192-0.8581434601751984j),(0.5538543815000881-0.9664840349023192j),(-0.0002692441292055169-0.014983388914309214j),(1.3729123022535399-0.5056735057865721j),(-0.49336186951794314-0.754537695526003j),(0.6607420103560814-0.5529828965568572j),(0.936487408657018+0.3125208632872337j),(-0.0002692441292055169-0.014983388914309214j)
0.02,(-0.0010740229538181048-0.02986820712411193j),(0.15721107093223075+0.5750269192128346j),(-0.41773753550622716+0.25084364591380565j),(-1.294432052968977+0.46207987952912066j),(-0.6309858966656015-0.21361985664862382j),(-1.0567795388847672-0.8830491264319982j),(1.2687129467015117+0.014133166254759078j),(0.7010418848590593-0.8728352861222574j),(0.5401925906511932-0.9766772086862671j),(-0.0010740229538181048-0.02986820712411193j),(1.3628510826815812-0.5342413072816306j),(-0.48519274432820847-0.7627771260660753j),(0.6468337161102939-0.5722401250854522j),(0.9445352237476021+0.28440748707473396j),(-0.0010740229538181048-0.02986820712411193j)
0.03,(-0.0023857097973749852-0.044560285221618756j),(0.16649948887470534+0.567933342681282j),(-0.4236848872346728+0.23504981460865856j),(-1.3010449285391499+0.44090209694747334j),(-0.6252850374643408-0.23359690884431605j),(-1.0467696467812673-0.8970445008730658j),(1.2686779673569168-0.01719055629416416j),(0.6862287643927929-0.8869981811236795j),(0.5267259948530035-0.9864869758228445j),(-0.0023857097973749852-0.044560285221618756j),(1.3523417966953188-0.56235566258446j),(-0.4771926270809025-0.7707536473270393j),(0.6328048762418127-0.5907561771668477j),(0.9518653368211338+0.2559334507995092j),(-0.0023857097973749852-0.044560285221618756j)
0.04,(-0.004153370501707018-0.0589761040893225j),(0.17607284504130225+0.5605483184270044j),(-0.42935801125894574+0.21888499144516824j),(-1.3073616222221016+0.41959217751599814j),(-0.6192019162200758-0.2530903497312857j),(-1.0367999299371353-0.9106921827341147j),(1.267930138446701-0.04838779511486402j),(0.6715318833046167-0.9006335865136331j),(0.5134722070631758-0.9959190654281932j),(-0.004153370501707018-0.0589761040893225j),(1.3414185981721032-0.5899745459737732j),(-0.46937628490478694-0.7784665211809866j),(0.6187096903400731-0.608526372432513j),(0.9584464992069125+0.22717137933430445j),(-0.004153370501707018-0.0589761040893225j)
0.05,(-0.006325168133735542-0.07304507695809363j),(0.18592530484980643+0.5528591054144116j),(-0.43470946161600926+0.20237185154153686j),(-1.3133674248267906+0.39819422289284323j),(-0.6127787666409121-0.27204689038281105j),(-1.0268943787067546-0.9239782697948487j),(1.2664734126329467-0.07939020415020508j),(0.6569803805874083-0.9137446602447881j),(0.5004471001475486-1.0049803564313742j),(-0.006325168133735542-0.07304507695809363j),(1.3301168683410438-0.6170583090683532j),(-0.46175711004443776-0.7859161064909754j),(0.6046029759243347-0.6255450084317535j),(0.9642381014143754+0.19818484446855011j),(-0.006325168133735542-0.07304507695809363j)
0.06,(-0.008848509074948538-0.0867095575612131j),(0.19605173171309673+0.5448554409673799j),(-0.43969801710280815+0.18555671141256008j),(-1.3190398641823355+0.37674572060827505j),(-0.6060630452736384-0.29042505939463653j),(-1.0170768644586377-0.9368882275076129j),(1.2642945695314605-0.1101288547623159j),(0.6426072806496017-0.9263309667122434j),(0.4876716475958699-1.0136764776441483j),(-0.008848509074948538-0.0867095575612131j),(1.3184625262006002-0.6435546931203341j),(-0.4543515053808577-0.7931023830921883j),(0.590535095571372-0.6418147565533114j),(0.9692072539798358+0.16904170626596587j),(-0.008848509074948538-0.0867095575612131j)
0.07,(-0.011670043021400664-0.09992484013437235j),(0.20643205746875867+0.5365159185401733j),(-0.4442944451641644+0.16851726581159587j),(-1.3243512013632965+0.3552793456213553j),(-0.5991107618286188-0.30820555654382004j),(-1.0073713622149436-0.9494042323701904j),(1.261430135296975-0.14054088460944136j),(0.6284342084877349-0.9384033625931791j),(0.4751575830212328-1.0220166681001397j),(-0.011670043021400664-0.09992484013437235j),(1.3064970182325928-0.6694356685066205j),(-0.4471715080504202-0.8000274318168714j),(0.5765471615233826-0.6573535180319972j),(0.9733614435065349+0.1398378052690556j),(-0.011670043021400664-0.09992484013437235j)
0.08,(-0.014735662983713205-0.11265915941567324j),(0.2170432896265902+0.5278211236152579j),(-0.4484747159342029+0.15132811767650542j),(-1.3293056097373965+0.33385075743345477j),(-0.5919750206632144-0.3253722189489707j),(-0.9977993354528408-0.9615225398578228j),(1.2579225914534158-0.17056799793114416j),(0.6144786056710686-0.9499755691212197j),(0.46291042764236034-1.0300120412888845j),(-0.014735662983713205-0.11265915941567324j),(1.2942663042261169-0.694684247366557j),(-0.44022313853701744-0.8066954134313474j),(0.5626771170129962-0.67217981595564j),(0.9767115194519251+0.11066411971749184j),(-0.014735662983713205-0.11265915941567324j)
0.09,(-0.017990505287074108-0.12489369064562815j),(0.22786059217588606+0.5187547310718478j),(-0.4522200015134875+0.13406077480402517j),(-1.333909161925975+0.31251386573501166j),(-0.5847059700753718-0.34191193389246843j),(-0.9883808399211117-0.9732413368222766j),(1.253813682640325-0.20015606401449854j),(0.6007564086240385-0.961061335534819j),(0.4509348963394785-1.03767356634247j),(-0.017990505287074108-0.12489369064562815j),(1.2818143224512313-0.719285514824932j),(-0.4335117588976789-0.8131105857118464j),(0.5489597764662586-0.6863127031171602j),(0.9792710785221292+0.08160623513851914j),(-0.017990505287074108-0.12489369064562815j)
0.1,(-0.021378949571237982-0.1366225495671599j),(0.23885728558543773+0.5093035051859045j),(-0.4555166759690208+0.1167836498497671j),(-1.338168483089324+0.29131974802722077j),(-0.5773508023036241-0.35781463882046327j),(-0.9791346639842121-0.9845594745005403j),(1.2491444166128611-0.22925511719409025j),(0.5872820486262543-0.9716744390772608j),(0.43923489765431556-1.0450120680355357j),(-0.021378949571237982-0.1366225495671599j),(1.269182989658957-0.7432266289919773j),(-0.42704207276257156-0.8192773034445054j),(0.5354268255026318-0.6997717620145679j),(0.9810564646719395+0.05274434434695438j),(-0.021378949571237982-0.1366225495671599j)
0.11,(-0.024849956800713367-0.147847213361753j),(0.25000484680353335+0.49945729963013763j),(-0.45835631533424415+0.09956206032821872j),(-1.3420907509266868+0.2703166496220334j),(-0.5699537535270903-0.37307332134287563j),(-0.9700783286222702-0.9954764685148231j),(1.2439550642417996-0.2578193568520165j),(0.5740684518125013-0.981828684996659j),(0.4278135337901026-1.0520382267852724j),(-0.024849956800713367-0.147847213361753j),(1.2564122010812788-0.7664968209633689j),(-0.4208181253349996-0.8252000184253693j),(0.5221068209349938-0.7125771048509641j),(0.9820867691048185+0.02415324744518693j),(-0.024849956800713367-0.147847213361753j)
