t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.0,(0.9999999999999987+1.7321213907628419e-15j),(7.144892316679474e-17-2.605337820482667e-16j),(7.095019016745141e-16-1.5998487257196103e-15j),(1.2441219929271163e-17+5.0889739471038364e-18j),(6.795779217139142e-16+1.0451708942760263e-16j),(-2.7376104855258987e-18+9.784924606681678e-18j),(7.047314121155779e-19+5.200782296141404e-19j),(-2.168404344971009e-18+0j),(1.734723475976807e-18+1.2880750763993113e-18j),(1-1.734723475976807e-18j),(-6.098637220230962e-20-5.421010862427522e-20j),(1.3552527156068805e-20-7.115076756936123e-20j),(-3.686287386450715e-18+1.5178830414797062e-18j),(-6.505213034913027e-19+3.6262466419211654e-19j),(1+0j)
0.01,(0.9987133301977998-0.044550616309841584j),(-0.00011183898904740132-9.931606169429186e-05j),(-0.0006000449406837626-0.00011706226686736042j),(-6.365521069964279e-07-3.279819544249678e-06j),(-0.00015961201078541017-0.00018618224720165272j),(2.542462446626033e-06-1.997106766907908e-06j),(2.740669479588349e-06-5.253932926641596e-07j),(-1.424311741281387e-05+3.021154412810657e-05j),(3.3003641036976155e-05-3.921524277554062e-06j),(0.9978326156109047-0.04490576189973119j),(5.266561463880788e-07+1.3686816294712481e-06j),(-6.0701305296616376e-06+7.311450718266914e-06j),(3.05635648193811e-05+1.1095207228431812e-05j),(1.1688247922607884e-05-3.46937851647431e-06j),(0.9978588670352779-0.04491791881438775j)
0.02,(0.9942315085260817-0.0884806238349502j),(-0.0003477649416145318-0.00029389875886608104j),(-0.0018977146646624561-0.00020887580113179778j),(-2.6804583998010877e-06-1.023102518249504e-05j),(-0.0005762917947378101-0.0005629158003565291j),(8.206484811241163e-06-7.226480455492835e-06j),(8.96549821082493e-06-1.7694374718654841e-06j),(-4.772027663541397e-05+0.00010499634054754921j),(0.00011444425460253608-1.6621200087200947e-05j),(0.9913976824555433-0.08920513228482352j),(2.8369423078628815e-06+4.849453596339405e-06j),(-2.3784943901058458e-05+3.0821825336205834e-05j),(0.00012244904195691882+2.7814208678319113e-05j),(4.2379429016509033e-05-1.83690889837695e-05j),(0.9915602477088001-0.08911313246357368j)
0.03,(0.9867338737251892-0.13172602519225318j),(-0.0007087641113978614-0.000552336349695144j),(-0.0038802147873308788-3.528688395000739e-05j),(-7.2038963808105315e-06-2.0472100748601444e-05j),(-0.0013535569908165416-0.001067441725688712j),(1.677119436853897e-05-1.7152412382646522e-05j),(1.9004319061327207e-05-4.097854855629799e-06j),(-0.0001007913399630747+0.00023829851085426472j),(0.0002570235326260562-4.7468201342105904e-05j),(0.9808828378724812-0.1322891979189923j),(8.185981259205134e-06+9.827236830153947e-06j),(-5.3199240109859855e-05+7.851664114652594e-05j),(0.0002874188913830623+2.7007280278301647e-05j),(8.966814388086754e-05-5.2954278226918346e-05j),(0.9812710786109786-0.13203205053216682j)
0.04,(0.976499692285604-0.17437261048556196j),(-0.0012079610347721693-0.0008402274669579698j),(-0.0065311229327902325+0.0007150752246828784j),(-1.568430411049584e-05-3.341419256135977e-05j),(-0.002628144926315316-0.001592013708407009j),(2.7438443053015534e-05-3.388089803255691e-05j),(3.33233165777341e-05-8.218871674800914e-06j),(-0.0001694806507233265+0.0004504229438032651j),(0.0004761112397286619-0.00011382253483422337j),(0.9665745958647242-0.17365332841897863j),(1.7229269928128474e-05+1.5232460758997953e-05j),(-9.103489789754849e-05+0.00015713660354970847j),(0.0005248390816239845-1.3099305735317024e-05j),(0.0001481621202807296-0.0001116560601794945j),(0.9673347701666212-0.1731989828924067j)
0.05,(0.963453970689025-0.21644997937868948j),(-0.0018104335263066404-0.0011267531571098601j),(-0.009609728539415503+0.0022034028492372982j),(-2.8414138040563768e-05-4.7514252974398156e-05j),(-0.0044209493638177125-0.0019930047302760025j),(3.8701386729739033e-05-5.810970507581277e-05j),(5.159808152332908e-05-1.3816564739244805e-05j),(-0.0002530828290229485+0.000746820070889986j),(0.0007762179815654552-0.00022271310240858628j),(0.9488148199295805-0.21293234074157794j),(2.960145932051549e-05+1.9807145454475086e-05j),(-0.00013064077743372851+0.0002681094323944349j),(0.0008168862209139325-0.00010416518091462688j),(0.00021017069326861033-0.00019231204016858768j),(0.95015979168017-0.21208553242497108j)
0.06,(0.9475906744900722-0.2580513705388806j),(-0.002494219775616685-0.001381217585922808j),(-0.012876542480729133+0.004611625646794785j),(-4.57785869582839e-05-6.116274971829882e-05j),(-0.006750703619527169-0.0020948724828478934j),(4.8489923415981676e-05-9.06248740559913e-05j),(7.356851990578886e-05-2.0967763093462467e-05j),(-0.0003452538227478911+0.0011366414746809858j),(0.0011612187210293782-0.0003882772332191786j),(0.9282133079366675-0.24963502831352635j),(4.753940420083156e-05+2.1548903995374665e-05j),(-0.00015469120149090254+0.000437131659768036j),(0.0011840644836878188-0.0003138568655205759j),(0.00026997863441878485-0.0003166463553802859j),(0.9301040191130544-0.24839161240465507j)
0.07,(0.928825485588379-0.29919001703195397j),(-0.003232538113432018-0.0015864008803027148j),(-0.016059200601286357+0.008013607537408476j),(-6.754048140461606e-05-7.278561720817417e-05j),(-0.009578174173861762-0.0017281498772779111j),(5.463970622391976e-05-0.00013147986796446941j),(9.889992824483526e-05-2.9401514338048794e-05j),(-0.0004417109575192603+0.001625344088458699j),(0.0016326555806736864-0.0006210574670773343j),(0.9049671084175711-0.2837599520926318j),(6.826549140348936e-05+2.0521719307070578e-05j),(-0.00015901059009856415+0.0006465115290428687j),(0.0015878628883019517-0.0006026797985358562j),(0.00032494489889100853-0.0004631323169081943j),(0.9076532990743108-0.2819079349142118j)
0.08,(0.9069446746879969-0.3395968384351256j),(-0.003975303473541879-0.0017442348734376214j),(-0.01885186522441947+0.012250466300100077j),(-9.21951547887092e-05-8.108084108851804e-05j),(-0.012756869598616037-0.0007911411089455905j),(5.5635397334222095e-05-0.00017916079385951354j),(0.0001268225524427252-3.7761954205176706e-05j),(-0.0005499215744530589+0.002203595225699916j),(0.002186917567009174-0.000913093715759478j),(0.8796140521133754-0.31514747917011876j),(9.168697107166611e-05+1.5173427713931528e-05j),(-0.00012281441226832937+0.0009005148331638654j),(0.0020152890043492852-0.0010036251099325602j),(0.00036766567888115483-0.0006375987666584521j),(0.8834214488205823-0.31251601084435177j)
0.09,(0.8820177712317108-0.3794350973953503j),(-0.00473186204875843-0.00183558829810934j),(-0.021042099021388386+0.01745454174070677j),(-0.00011987925400987152-8.473268253602774e-05j),(-0.01624187948535349+0.0009164079005202969j),(4.861606869170277e-05-0.00023374516880657456j),(0.0001572865908146038-4.6953939549407075e-05j),(-0.000650323617964648+0.0028869880466932322j),(0.0028235397285093014-0.0012932943655305192j),(0.8523701550833795-0.34383313744647764j),(0.00011619617881117779+6.124349378391922e-06j),(-4.122555818522076e-05+0.0011857298555924245j),(0.0024519500308749767-0.001489489930148911j),(0.0004004115166398281-0.0008278804364372254j),(0.8581502562561184-0.3401881498937436j)
