t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.0,0.5j,(-0.6657281104577742+1.337961860722105j),(1.684479663855847+2.077485514693802j),(0.7178155521268448+0.2849603961250674j),(0.18188801635544272+0.14951402532559688j),(-0.46913357410561013-0.4260813789832004j),(0.17780725375364284-0.6666362086488138j),(-1.3139767295955054-1.0600397193195674j),(0.4961696052821341+0.9757346953802717j),(-0.6861707133536421-0.13516880640160367j),(0.8834810782575991+0.4608333550193138j)
0.01,(-0.0044649281343564+0.49234163404800746j),(-0.6657194683172906+1.3379443748253514j),(1.6844741061050277+2.0774891213617805j),(0.7178712675484346+0.2850161089713486j),(0.18182210850686575+0.1493151153303414j),(-0.46917281311359704-0.4260560422034465j),(0.1777823962140178-0.6666714643235023j),(-1.3139834541935915-1.0600322105737594j),(0.49611084817694756+0.9757324177689357j),(-0.6861790528047849-0.13511850521887533j),(0.8835025230189663+0.4609122944715087j)
0.02,(-0.008895905981592747+0.4841074101503047j),(-0.66569401679397+1.3378908407309378j),(1.6844572018885868+2.0775003856351244j),(0.7180454660767527+0.2851967451298218j),(0.18162927004167675+0.1486726170913315j),(-0.46929208615273704-0.42597308070888407j),(0.17770214773036447-0.6667801520795651j),(-1.3140036154473655-1.0600085129063281j),(0.4959311863513325+0.9757276941619875j),(-0.6861991075822729-0.1349622881452179j),(0.8835668170061777+0.4611504816239462j)
0.03,(-0.013302169979335431+0.47538008831914663j),(-0.6656543353249039+1.3378006117391081j),(1.6844291934752953+2.0775199963830517j),(0.7183464132419362+0.28551543801337415j),(0.1813229370872268+0.14752706017376296j),(-0.4694898630416679-0.4258200170072339j),(0.1775570539573531-0.6669636160014573j),(-1.3140362651886033-1.059966858465195j),(0.4956303587298647+0.9757261541634282j),(-0.686218563781517-0.1346942061954271j),(0.8836755663129953+0.4615447109097318j)
0.04,(-0.01768803257599696+0.4662529659395446j),(-0.6656047461008411+1.3376742628230223j),(1.6843909187471138+2.077548603585414j),(0.7187795459937695+0.28597719967696233j),(0.18092227639335803+0.14583272384917176j),(-0.4697601102492028-0.42558310370429825j),(0.1773371168864387-0.6672197373153262j),(-1.3140795056515757-1.0599056261657114j),(0.49521288737440805+0.9757355292581557j),(-0.6862207787398911-0.1343114239952801j),(0.883832270724962+0.4620869104490181j)
0.05,(-0.022054241605850917+0.4568189274391915j),(-0.6655494534957541+1.33751297278668j),(1.6843434223786995+2.0775867073309353j),(0.7193469192502058+0.286582165357482j),(0.18044559715879066+0.14355610182177486j),(-0.47009351787514536-0.4252506985681586j),(0.1770334778295068-0.667543936037719j),(-1.3141310989863524-1.0598237191348914j),(0.4946851802383316+0.9757632755734462j),(-0.6861892108250536-0.13381540756508023j),(0.884040912849647+0.4627668952665868j)
0.06,(-0.026398001192292728+0.44717033549098184j),(-0.6654925246098942+1.3373185173164615j),(1.6842879518941771+2.0776346567345816j),(0.7200471984433371+0.2873256260061456j),(0.17991028161017888+0.14067588132191233j),(-0.4704775115999238-0.4248132994569418j),(0.1766384349031753-0.6679291805687086j),(-1.3141884734327114-1.059720568654841j),(0.49405550234816853+0.9758165497682145j),(-0.6861074642203399-0.13321193728804048j),(0.884305942964052+0.46357239281669704j)
0.07,(-0.030712971747839646+0.43739903101301175j),(-0.665437889269791+1.3370932689811281j),(1.6842259576671392+2.077692649937556j),(0.7208756595193941+0.28819802828848257j),(0.17933278500211086+0.13718294310604748j),(-0.47089625268459057-0.42426354431882024j),(0.17614544302879426-0.6683659876918948j),(-1.31424872332014-1.0595961341627602j),(0.49333397580361615+0.9759022090330132j),(-0.6859592889247618-0.1325111079102834j),(0.8846322790146097+0.4644890429830855j)
0.08,(-0.034989269974130745+0.42759633316857915j),(-0.6653893400282529+1.336840197231821j),(1.6841590929206465+2.0777607341073034j),(0.7218241889387467+0.28918497458433934j),(0.17872863561710878+0.1330803614567668j),(-0.47133063797082275-0.42359621119201174j),(0.17554911393244613-0.6688424225744037j),(-1.3143086090678338-1.0594509032509412j),(0.492532579777536+0.9760268110900328j),(-0.6857285807530074-0.13172732854084115j),(0.8850253066171851+0.46550039807896637j)
0.09,(-0.03921355993507277+0.41785260633485005j),(-0.6653505879944595+1.3365627625301477j),(1.6840891700849445+2.077838835970593j),(0.722881460687817+0.2902680345929286j),(0.1781132747210836+0.1283823650130117j),(-0.4717588671914903-0.4228078746146334j),(0.1748449992961685-0.6693443543814608j),(-1.3143646053371432-1.0592857847699308j),(0.49166484634413726+0.9761965222188979j),(-0.6853991349085228-0.13087855140264743j),(0.8854904088163207+0.46658832802397504j)
0.1,(-0.04336773293282346+0.4082489730546501j),(-0.6653253489597111+1.336264347803777j),(1.6840177023852865+2.077926880910606j),(0.7240358617404145+0.291432267384629j),(0.17750429228700765+0.12310758566890366j),(-0.47216098190952666-0.4218959589826633j),(0.1740285321641238-0.6698580276923117j),(-1.314413540162607-1.0591014766037201j),(0.4907423251571693+0.9764154958442818j),(-0.6849557469314086-0.12998086416813825j),(0.8860291652949843+0.4677374208715513j)
0.11,(-0.04742689472092467+0.39885667471282077j),(-0.6653157859056466+1.3359499352991175j),(1.6839463703385538+2.078024177349633j),(0.7252751759439985+0.2926564779000976j),(0.17690212321262633+0.11729343299469627j),(-0.4725117282051046-0.4208667084215409j),(0.1730996134615309-0.6703676538835112j),(-1.3144523806926791-1.0589003474774894j),(0.4897775100065151+0.9766861872842401j),(-0.6843928770332603-0.12905990241411686j),(0.8866464625360259+0.46893051387328105j)
0.12,(-0.0513652098108985+0.38973919276603747j),(-0.665323243763091+1.3356244925367384j),(1.6838767447560925+2.0781298677051114j),(0.7265863969144023+0.29392004060606564j),(0.17630285158133974+0.11098131531475491j),(-0.47278699107933136-0.41973011688571293j),(0.17206023177543464-0.6708576944071j),(-1.314478484511702-1.0586851702133007j),(0.48878251578804455+0.9770098941510788j),(-0.6837091624236159-0.12814178124772477j),(0.8873465346756293+0.4701507142809342j)
0.13,(-0.055156706518055876+0.38095173050822706j),(-0.6653484731154438+1.3352925709661654j),(1.6838101674970007+2.07824304731978j),(0.7279560271993764+0.2952053195485234j),(0.175701604580527+0.10421287825541785j),(-0.4729656618172058-0.41849855384124457j),(0.17091369239679738-0.6713136131406098j),(-1.314489715340729-1.0584587457237977j),(0.4877683187269623+0.9773866393916j),(-0.682906145743997-0.12725046518858094j),(0.8881315095498765+0.47138245688779573j)
0.14,(-0.058775276961496495+0.372541213070568j),(-0.6653916301986778+1.33495830596588j),(1.6837477514681294+2.0783627644616782j),(0.7293700782785878+0.2964976683527195j),(0.17509255250154646+0.09703000474499635j),(-0.4730296379876184-0.4171867642658195j),(0.1696646173204993-0.6717218763870632j),(-1.3144844430375249-1.058223903012206j),(0.4867447563778075+0.9778151712871013j),(-0.6819882750679092-0.1264077681687817j),(0.8890014086947473+0.4726115040286657j)
