t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.0,(0.3276799999999879+4.583853296935357e-14j),(-5.45696821063733e-17+6.934897101018273e-17j),(-9.947598300640965e-19+6.039613253960586e-19j),(-1.6880221664904807e-14+3.492459654807891e-15j),(3.690365701913671e-13-3.154855221509795e-13j),(-2.9103830456732424e-16-1.3096723705529592e-15j),(7.275957614183106e-17-2.546585164964087e-16j),(-2.1316282072802068e-18+1.7053025658241656e-18j),(-5.820766091346485e-16-2.9103830456732424e-16j),(-5.093170329928174e-16+7.275957614183106e-17j),(-2.9103830456732424e-16-1.4551915228366212e-15j)
0.01,(0.338034997803753-0.004192001915253937j),(-1.887691309735566e-05+6.434009894144973e-06j),(1.2384994561084845e-07-8.94888791274134e-08j),(0.0039371321331842955+0.00026106620136194156j),(0.01103487582956716-0.012290011086239663j),(-8.460899860113322e-07-0.0008152630135211717j),(-0.00015446128709105533-0.00014995978386110457j),(-1.5896028234590598e-06-9.216712928538496e-08j),(0.0007528484965638467+0.0003644474207280724j),(-0.0006875554390911762-0.00024257844927991505j),(-0.0005487937965856486+0.001309327168740592j)
0.02,(0.34844366016894-0.009220746199848522j),(-3.696062207728816e-05+1.0319480410693937e-05j),(2.4495454214140394e-07-1.6643661035822697e-07j),(0.0077012656764286445+0.0004871066903034965j),(0.022193198779076384-0.02554430829712675j),(7.033996974619206e-05-0.0016411396016257451j),(-0.0003010898197078383-0.0003084531979419716j),(-3.1432352705912007e-06-3.167410609818603e-07j),(0.0014191748698022867+0.0007085901611308871j),(-0.0013544489866746416-0.0005645863678105257j),(-0.0010746586955319765+0.0025408421350004247j)
0.03,(0.3588087765347948-0.015110848023679428j),(-5.406932565491879e-05+1.190591239232873e-05j),(3.626592389450683e-07-2.31587489891397e-07j),(0.011277921259987223+0.0006484896738295637j),(0.0333199867787363-0.03973501537554796j),(0.0002181281484170203-0.002473232784352687j),(-0.00043934334593493117-0.0004751186587122501j),(-4.651738083219989e-06-6.689857705265584e-07j),(0.002006555831301683+0.0010301105197285973j),(-0.0019922380112344196-0.0009680506583888629j),(-0.0015682668819638796+0.003696514802872739j)
0.04,(0.36901639590359536-0.02187547860131482j),(-7.009069106101458e-05+1.1493978253341847e-05j),(4.7656519560604654e-07-2.860674710714839e-07j),(0.014663484902213777+0.0007116436628750514j),(0.04425260857658276-0.054822708302977585j),(0.0004462017331670075-0.0033085629481190773j),(-0.000569237454416561-0.0006497729663532557j),(-6.1099220851439695e-06-1.1419679105296132e-06j),(0.0025244429800392564+0.0013271522438139034j),(-0.002593793534735198-0.0014541033358234335j),(-0.0020210153560222856+0.00478243011115172j)
0.05,(0.37894989655504724-0.02951255777569399j),(-8.496622483477427e-05+9.385021910270587e-06j),(5.8643282402914e-07-3.3118020242343936e-07j),(0.017856723402911865+0.0006454692255226273j),(0.05483242947104554-0.07075743157544953j),(0.0007574931677740747-0.004145820114265402j),(-0.0006912369226191602-0.0008324084469901194j),(-7.516146972889676e-06-1.7271618452968414e-06j),(0.0029822134667375306+0.0015980528558580472j),(-0.0031537405319577317-0.0020231959079186155j),(-0.002425075412143238+0.00580537078675681j)
0.06,(0.3884901292528287-0.038004717829212734j),(-9.86911417205765e-05+5.880554535781631e-06j),(6.921809364361033e-07-3.6840513697811573e-07j),(0.02085870249071619+0.0004214104141024164j),(0.06490492025256442-0.08747870873741001j),(0.0011541851672129248-0.004985366461667882j),(-0.0008062545925859208-0.0010231930018316227j),(-8.8723185162423e-06-2.4144540709219682e-06j),(0.0033891510530228513+0.001841341569795823j),(-0.003668462130430156-0.002675100791240252j),(-0.0027733958540982345+0.006772784060230408j)
0.07,(0.39751541724459005-0.04731930348372335j),(-0.00011131436466797995+1.2822545586710459e-06j),(7.938867453656436e-07-3.993975322722657e-07j),(0.023672786823092637+1.3454765192000187e-05j),(0.07431965720358921-0.10491554238171752j),(0.0016377107176550405-0.005829236326738466j),(-0.0009156513709367934-0.0012224701071701977j),(-1.0183888558245693e-05-3.1921432152866267e-06j),(0.0037544461114253887+0.0020557392910255778j),(-0.004136099610427991-0.0034089113111156555j),(-0.003059702994994237+0.007692781665737874j)
0.08,(0.40590155626195384-0.057408371900534605j),(-0.00012293852483172306-4.10803233613568e-06j),(8.917858636734208e-07-4.259884503485425e-07j),(0.026304639986338228-0.0006018667003835816j),(0.08293032209857971-0.12298641414964293j),(0.0022087530764686846-0.006681136203424838j),(-0.001021236228868488-0.001430758814381926j),(-1.1459855015202363e-05-4.04694003806036e-06j),(0.004087195625379134+0.002240158616409209j),(-0.0045565524049741325-0.004223041701633603j),(-0.0032785006572736606+0.008574139841067523j)
0.09,(0.413522954584527-0.06821053536740525j),(-0.0001337134619697325-9.990006325718951e-06j),(9.86246162194157e-07-4.5015398475471974e-07j),(0.028762554056539397-0.0014448139941577484j),(0.09059546231103989-0.14160088891463846j),(0.002866795814616754-0.007546497941553645j),(-0.0011252867935369639-0.001648736866242309j),(-1.2712501327168124e-05-4.964161789833256e-06j),(0.004396343174533232+0.0023937388666249292j),(-0.004931576084348744-0.00511483639160962j),(-0.003425161731754219+0.009426259317939065j)
0.1,(0.4202687309573335-0.07965909711518192j),(-0.0001437606296727444-1.6099261954305777e-05j),(1.0774324831561777e-06-4.7363017457407074e-07j),(0.031051087553944222-0.002528699286450034j),(0.09719432487560246-0.16066768962811198j),(0.0036081845156344015-0.00843311541313754j),(-0.001230570866464986-0.0018770973833421277j),(-1.395457329685135e-05-5.930086856310412e-06j),(0.004689189677583805+0.0025154450170380314j),(-0.005265878225252439-0.006079154291466724j),(-0.003494784518362653+0.010256106387451122j)
0.11,(0.42603840225983286-0.09165050617674565j),(-0.0001532301394199911-2.220424725946498e-05j),(1.1654953422698869e-06-4.981641156268229e-07j),(0.033154836969760106-0.003870874896367205j),(0.10262950944285382-0.18006755274376537j),(0.004434587527136581-0.009350215888582782j),(-0.0013397691095893565-0.002116611470877844j),(-1.5200897347989895e-05-6.929563041052827e-06j),(0.0049709668342612055+0.00260282002963064j),(-0.00556567855957597-0.007116311733318068j),(-0.0034791730926608767+0.011065171076201976j)
0.12,(0.43074593903224095-0.10407486868860141j),(-0.00016226680858071933-2.8087588272116686e-05j),(1.2504785254381384e-06-5.254091061156198e-07j),(0.03505453045420391-0.005483524735487968j),(0.10682126661336304-0.1996773521753131j),(0.005346214230747475-0.010308197981886496j),(-0.0014557716526268593-0.0023678008394079266j),(-1.646573079211344e-05-7.946031976973176e-06j),(0.005245725767633913+0.0026534321807520455j),(-0.005838728096517683-0.00822607810722906j),(-0.0033711428338490342+0.011852914050903851j)
0.13,(0.4343222911815807-0.11682325458420323j),(-0.00017099355662080363-3.35473189083894e-05j),(1.332258089636501e-06-5.568522153825337e-07j),(0.036729754895851834-0.0073712183801985035j),(0.10970815878364532-0.21937620847727562j),(0.006340070351802139-0.01131873040103263j),(-0.0015817632287008865-0.0026308740567289584j),(-1.7761992402973257e-05-8.961951814698292e-06j),(0.00551633572214138+0.0026651222464140877j),(-0.006094531078042316-0.009406128626046674j),(-0.0031652096326541044+0.012617143974605713j)
0.14,(0.4367153879816819-0.1297876975939543j),(-0.00017951140510274625-3.839688096961997e-05j),(1.4105423629132555e-06-5.938142839090664e-07j),(0.038158955921639384-0.009530911071692457j),(0.1112470601461619-0.2390454888449793j),(0.00740995795934649-0.01239475194799198j),(-0.001721223174341438-0.0029057265478756346j),(-1.9101262416542193e-05-9.958797222569147e-06j),(0.005784484063594041+0.002636003502291156j),(-0.0063443449788809945-0.010652044325399426j),(-0.0028575898913299055+0.01335401750669326j)
0.15,(0.43789013807318133-0.14286119524520682j),(-0.0001878994776856772-4.246512414235363e-05j),(1.4848719443893978e-06-6.374499233161489e-07j),(0.03931943789686139-0.01195194371597094j),(0.11141315668932014-0.25856880711455654j),(0.008546475466137318-0.01355047151872217j),(-0.001877925429485121-0.0031919405951207655j),(-2.04937825310147e-05-1.0917059386640868e-05j),(0.006050676279173306+0.0025644617237201937j),(-0.006601180506531233-0.0119573120636974j),(-0.002446200523657094+0.014058039302888913j)
0.16,(0.4378284294635225-0.15593770886226233j),(-0.00019621500012535433-4.5596305998344e-05j),(1.5546197042586373e-06-6.887475163641414e-07j),(0.040187363925172026-0.01461604288384256j),(0.1101999461974735-0.2778320237629458j),(0.009737017628642285-0.014801368103167678j),(-0.0020559385374751523-0.0034887853379752766j),(-2.194845590680682e-05-1.1816246010682732e-05j),(0.006314235977431566+0.00244915518570069j),(-0.006879801601256938-0.01331332452213224j),(-0.0019306589549431597+0.01472206201525185j)
