t,z_0000_00,z_0001_00,z_0002_00,z_0003_00,z_0004_00,z_0005_00,z_0006_00,z_0007_00,z_0008_00,z_0009_00,z_0010_00
0.0,0j,(-0.28837255470631284+0.6688682410634075j),(-1.0895247753218447-0.20722969933270044j),(0.7791434557691416+1.6400178529080707j),(0.10049152290790132+0.4930856360885578j),(0.5268130634442254+0.8343481810977934j),(-0.8330902673500404+0.0023730449988182455j),(1.3439010833959255-0.06731230967086249j),(1.1219627018317133-2.4291089996340327j),(-1.399197565858858+0.4439040420497435j),(1.4813674056381114+0.6768847085091895j)
0.01,(-0.0038532687785918056-0.015258408880459096j),(-0.2887042011552616+0.668816362731529j),(-1.0894818200590268-0.2072475528388848j),(0.7791683229398931+1.6400390324083687j),(0.1007139035214547+0.4929241594755178j),(0.5269719931438862+0.834375322009776j),(-0.8330043369966991+0.0023313241400161637j),(1.3438817689771534-0.06734364894916016j),(1.1219569908437184-2.4291046737602007j),(-1.399192811987989+0.4438690353652953j),(1.4813848569785777+0.6768569384070579j)
0.02,(-0.007559841030063684-0.030472381432081055j),(-0.28973903685358443+0.6687302193559159j),(-1.0893503433956409-0.20731765876664368j),(0.779250163350603+1.6401013285505845j),(0.10136871964800825+0.4923919033597921j),(0.5274702520646793+0.8344368314329522j),(-0.8327435037872002+0.002175823770144196j),(1.3438156332971403-0.0674412151040475j),(1.1219394959536697-2.4290896405007243j),(-1.3991864934993419+0.44375787742181927j),(1.4814359730545867+0.676766285986173j)
0.03,(-0.011146569428584815-0.04562774359880192j),(-0.29149855671572916+0.6687181189099084j),(-1.0891306790891564-0.2074678663744149j),(0.7793992816396845+1.640200917111145j),(0.10241528893197202+0.49142398949392446j),(0.5283352067560206+0.8344977300535926j),(-0.8323125469452609+0.0018573911471959012j),(1.3436896798247875-0.06760812393693046j),(1.1219101655938355-2.4290607530791397j),(-1.3991930422870646+0.44356381498680075j),(1.4815169895938158+0.6766021692637195j)
0.04,(-0.01464050180095942-0.06070906253165908j),(-0.29397484314816535+0.6688738075390708j),(-1.0888284370161736-0.20772552476946624j),(0.7796242835732151+1.640333311877211j),(0.10380128413556344+0.48997149702974824j),(0.5295864417659462+0.8345253334752408j),(-0.8317238849008243+0.0013310841564732208j),(1.3434916196702245-0.06784626916036977j),(1.1218693158552713-2.42901504260029j),(-1.399226878196625+0.4432834190648389j),(1.481623582271687+0.6763553579149731j)
0.05,(-0.018068489141903326-0.07569927597276657j),(-0.29713484714029426+0.6692728888334754j),(-1.0884543739813535-0.20811666217205577j),(0.7799319077099481+1.6404937567599962j),(0.10546607711375451+0.4880027151041922j),(0.5312355176111357+0.8344910621042391j),(-0.8309966045299465+0.0005578007493776658j),(1.3432101774373877-0.06815670272476247j),(1.1218175677716027-2.4289497600383565j),(-1.399301781297679+0.4429165549402212j),(1.4817512730038438+0.6760181012293924j)
0.06,(-0.02145718561404395-0.09057969225531518j),(-0.3009203882644487+0.6699728238277031j),(-1.0880243937174165-0.20866598591543165j),(0.7803270254013132+1.6406772257947666j),(0.10734073881427174+0.48550314283928014j),(0.5332859707769131+0.8343704411497288j),(-0.8301564611547977-0.0004957210565896828j),(1.3428350912240217-0.06853963481834177j),(1.1217558473190266-2.4288623762368546j),(-1.3994308918840692+0.4424663821769227j),(1.4818954299461518+0.6755841281106186j)
0.07,(-0.024833039958966945-0.10532995283542042j),(-0.3052481847998409+0.6710129550137183j),(-1.0875594476442507-0.20939683072801274j),(0.7808126208534348+1.6408784536648295j),(0.10934801533978156+0.4824754804759754j),(0.5357332792023056+0.8341432027416352j),(-0.829235757957348-0.0018569132400792928j),(1.3423571662616631-0.06899449216293714j),(1.1216853730269962-2.4287505857872094j),(-1.3996266751949142+0.44193932022312377j),(1.482051324793544+0.6750486682642144j)
0.08,(-0.028218961320259313-0.1199263395804065j),(-0.3100192838528423+0.672412761890522j),(-1.0870768513551785-0.21032587713525214j),(0.7813879770630178+1.6410948156191647j),(0.11140742453215041+0.4789371880351492j),(0.5385618603977459+0.8338020406048049j),(-0.8282612368632842-0.003546880797643947j),(1.341773114407195-0.0695252170719501j),(1.121606508994742-2.428612700838139j),(-1.3998972027492498+0.44134188968732657j),(1.4822193650459925+0.6744103568124911j)
0.09,(-0.03162977939987227-0.1343534490543285j),(-0.3151401222145951+0.6741640470298044j),(-1.0866070523080402-0.21146992204353157j),(0.7820526513269337+1.6413211326334884j),(0.113461546153546+0.4749131283502445j),(0.5417535613442489+0.8333321017790991j),(-0.827270246863798-0.005575245371134746j),(1.341075834267247-0.07012958666220574j),(1.1215209050561226-2.4284471029870054j),(-1.4002509534907461+0.4406858334702242j),(1.482394729868755+0.6736672379652655j)
