t,A_0000,A_0001,A_0002,A_0003,A_0004,A_0005,A_0006,A_0007,A_0008,A_0009,A_0010
0.0,(0.9999999999997329-2.6357388493991695e-14j),(5.2565590769049385e-14+1.0533240946131207e-14j),(1.4350499955018184e-15+8.144526719711137e-16j),(2.894819800536307e-17-1.647309675820169e-17j),(2.2112867092971629e-13+2.4321256814063912e-14j),(-3.587408148320049e-15-3.1216348950202746e-15j),(-4.477321291496154e-15-5.368969158148236e-15j),(5.6378512969246415e-18-4.770489558936236e-18j),(3.8513529320469095e-20-2.6469779601696973e-20j),(8.456776945386962e-18-1.8539857149502187e-17j),(1.8431436932253637e-18+7.519367619482364e-18j)
0.01,(0.9999442364554871-0.027407809462081503j),(0.0060996645036612875-0.001178890981790952j),(-0.00031889009662034644+0.0002988181470709508j),(-1.8690694079221884e-05-2.4273605407413365e-05j),(-0.009990073056703155-0.017787869354109496j),(0.00014956902366428625+0.0024176942588244113j),(0.0020456768896117937-0.0013420157004893993j),(-1.728994932487066e-05+8.314133144337621e-05j),(5.2659272371047106e-08-5.748296164937436e-08j),(-5.472788673637846e-05-5.3284788533092324e-05j),(2.5133807218112128e-05+5.900109650021003e-05j)
0.02,(0.9971300829945888-0.05505542971800269j),(0.012322689039226675-0.0029455029314991374j),(-0.0006622315716258528+0.0006615368845399196j),(-4.221058727306141e-05-4.812861715734541e-05j),(-0.02213824548059374-0.03429526108038862j),(0.0006591057196560303+0.004951531422323709j),(0.004296997736557836-0.002961927859579772j),(-2.247062086529137e-05+0.00017877124506214762j),(1.048692068515684e-07-1.30339830558966e-07j),(-0.00012002003994568758-0.00010818842209380964j),(6.18646380503212e-05+0.00011993143239358512j)
0.03,(0.991573480986773-0.08262644848534595j),(0.018498169501167356-0.005365418258270929j),(-0.0010282457335051808+0.0010950230086791638j),(-7.074629288510838e-05-7.090797743484743e-05j),(-0.03622792525402646-0.04931621662750453j),(0.001547452592169858+0.007547664145543221j),(0.006752231822043535-0.004895620803049839j),(-1.3012790937768588e-05+0.00028629564911110964j),(1.54954458289479e-07-2.2004857614955037e-07j),(-0.0001967060450331591-0.00016382389737067574j),(0.00011116070823639619+0.00018148130818897005j)
0.04,(0.983338925229798-0.10982104104594488j),(0.02445638175421863-0.008462552957048735j),(-0.0014140842102826204+0.0016062336702797708j),(-0.00010438107733461505-9.193510675293117e-05j),(-0.052027821813101435-0.06268823988578369j),(0.0028223502458904646+0.01015257878182115j),(0.009402012349509709-0.007180987969376365j),(1.3607165073678075e-05+0.0004048014600918122j),(2.0094589706279267e-07-3.279803370999478e-07j),(-0.00028549178910450805-0.00021917232089416279j),(0.00017383529281687568+0.00024221492832682474j)
0.05,(0.9725357946268062-0.13636317669137238j),(0.030038156496609982-0.012219262630393322j),(-0.0018155891634085762+0.0022020852951567045j),(-0.00014308300537343584-0.00011052057969953582j),(-0.06929769942173267-0.07429183628645351j),(0.004480119903031006+0.012714171934985731j),(0.012227709454341517-0.0098572950086517j),(5.98882985430342e-05+0.0005330115290589994j),(2.405440668902902e-07-4.55356872105095e-07j),(-0.0003869281027658148-0.00027308033406995067j),(0.0002505174818910949+0.00030056116285206725j)
0.06,(0.9593183521863246-0.1620006187229407j),(0.03509487926006506-0.016576342488483817j),(-0.0022272932877595675+0.002889453584148809j),(-0.0001867049400860275-0.00012596212493752807j),(-0.087788377171648-0.08405051280164234j),(0.0065056634033330936+0.015181750459355223j),(0.015201430203868459-0.012965179782583786j),(0.0001283050876022905+0.0006692846416206086j),(2.7111918483152e-07-6.032505598760463e-07j),(-0.0005014107601235249-0.00032426011317892705j),(0.0003416521806171856+0.00035481354741407354j)
0.07,(0.9438856155420546-0.18650479814252424j),(0.03948818921307386-0.021433214742239706j),(-0.002642431520942985+0.0036751800318245726j),(-0.00023498528867797492-0.00013754587030200804j),(-0.10724182733481599-0.09193070530355399j),(0.008872463481952142+0.01750608280907629j),(0.018286100948808205-0.016546700312573062j),(0.0002213036746313296+0.0008116165147906225j),(2.897140741523379e-07-7.725813445602493e-07j),(-0.0006291843144540702-0.000371287024592743j),(0.0004474977514084672+0.00040313235061219385j)
0.08,(0.9264593993649047-0.20967308559329254j),(0.04308498601204665-0.026668956802737568j),(-0.003053579749465793+0.004565593730943452j),(-0.00028757164595679367-0.00014467996155531184j),(-0.12741188189887107-0.09793128108435604j),(0.011542791487987614+0.0196468206461233j),(0.02143984663649887-0.020643360652872197j),(0.00034084117078428215+0.0009576110218643372j),(2.932883658450751e-07-9.636885601730416e-07j),(-0.0007704882693884241-0.00041244380508884316j),(0.000567807864999816+0.0004437324073095257j)
0.09,(0.9072674659323973-0.231383031597522j),(0.045865663054007445-0.032136949282953915j),(-0.0034502292415737545+0.005562125651122993j),(-0.00034381825388578796-0.00014676263342952844j),(-0.14808090258531026-0.10207794823307458j),(0.014472527710037649+0.021571386126741615j),(0.024597942753021653-0.025268250683486808j),(0.0004886687015129348+0.0011041524996052588j),(2.782885767589664e-07-1.1764446924927788e-06j),(-0.0009244162316579217-0.0004464115649991709j),(0.0007020324814682726+0.0004746216822645846j)
0.1,(0.8865401573535058-0.25155299463568964j),(0.04786132496268039-0.03768969947897078j),(-0.0038212486375177267+0.006663109361581369j),(-0.0004029730102429719-0.00014323664258829769j),(-0.169043724466499-0.10441618564126776j),(0.01761752097938342+0.023252202515698085j),(0.027689301731305356-0.03041662663609082j),(0.0006663366264456536+0.0012479363902297537j),(2.410236497338233e-07-1.410411909081657e-06j),(-0.0010895760221340263-0.00047226150006453847j),(0.000849536787319913+0.0004938340742819226j)
0.11,(0.8645021324775914-0.2701214449413024j),(0.04911180072824662-0.043196958864329824j),(-0.004156362166257869+0.007864948776737452j),(-0.0004642812107186949-0.00013369865434335277j),(-0.1901103005499148-0.10500534981286005j),(0.020934305192506213+0.02466993611419809j),(0.030646810386449744-0.03607364001641679j),(0.0008749042149837848+0.001385662548281568j),(1.7797687150981157e-07-1.6646435456242739e-06j),(-0.001264578704554304-0.0004892263502331587j),(0.0010094552790443287+0.0004996399603423535j)
0.12,(0.8413723668944021-0.2870469645008973j),(0.04966564370734425-0.04854572309003237j),(-0.004446149645463641+0.009162118156210824j),(-0.0005269855489156425-0.00011789924265452002j),(-0.21110570177814697-0.10391867486414227j),(0.024380099311087457+0.02581349625988556j),(0.0334073299157256-0.04221433760425593j),(0.001114939646301656+0.0015140352406318278j),(8.580587272745056e-08-1.9376841059276323e-06j),(-0.0014480385855224248-0.0004967003996606451j),(0.0011806917631146307+0.0004905461956029536j)
0.13,(0.8173641529340729-0.3023082470540412j),(0.0495801316230684-0.05364023198453938j),(-0.0046820464815138085+0.010547162104821765j),(-0.0005903261163488357-9.574289012971899e-05j),(-0.23187011702889698-0.10124327252377154j),(0.027912807362008706+0.026680035326842974j),(0.03591169589857469-0.048803661453458116j),(0.001386520009346576+0.0016297631464790392j),(-3.8657372072386535e-08-2.227569261921138e-06j),(-0.0016385732145081631-0.0004942394767100115j),(0.0013619193559874457+0.00046529611339706135j)
0.14,(0.7926850996671264-0.315904098093331j),(0.04892126656497116-0.058401969553771436j),(-0.004856343669496436+0.012010695572591263j),(-0.0006535404024456306-6.728798802496261e-05j),(-0.25225885311497825-0.09708013213277131j),(0.03149101843735162+0.02727494872559135j),(0.038104718296609774-0.05579644889193183j),(0.0016892313028388337+0.0017295593573490873j),(-1.9840654444847218e-07-2.531825853656599e-06j),(-0.0018348033838473958-0.0004815609539516725j),(0.001551580484102918+0.0004228695252342777j)
0.15,(0.7675371329044719-0.3278534348643935j),(0.04776377498906161-0.06276966398110881j),(-0.004962187793208891+0.013541403854741006j),(-0.00071586329454572-3.274683624435683e-05j),(-0.27214233478431626-0.09154412064453138j),(0.035074006694397995+0.02761187490309026j),(0.039935181453614604-0.06313743252164424j),(0.0020221684352716984+0.0018101413770952386j),(-3.962609820592247e-07-2.847471889308228e-06j),(-0.002035353128742103-0.0004585437481634433j),(0.0017478868838847088+0.00036248272080046566j)
0.16,(0.742116495197406-0.3381952863658855j),(0.04619110771780583-0.06669928762739134j),(-0.0049935810251578415+0.015126042591693393j),(-0.0007765270779011315+7.514356659899175e-06j),(-0.2914061047199483-0.08476398262480783j),(0.038621731355629775+0.027712695342737813j),(0.04135584409554392-0.07076124021862112j),(0.0023839352249114226+0.0018682311218981384j),(-6.3486567866271e-07-3.1710165451726414e-06j),(-0.0022388497272603706-0.0004252283203305393j),(0.0019488196017399977+0.0002835884679577501j)
0.17,(0.7166137458376123-0.34698879334949384j),(0.044295439940126864-0.07016405703091863j),(-0.0049453811265592635+0.016749437769071524j),(-0.0008347614356762287+5.29754734875129e-05j),(-0.30995082354002396-0.07688234025172311j),(0.04209483670872899+0.027607534564370664j),(0.0423234393305235-0.07859239513294697j),(0.0027726443997972386+0.001900554920265812j),(-9.166912841166389e-07-3.4984601656688577e-06j),(-0.0024439237003363867-0.00038181667564557686j),(0.0021521289940594802+0.00018587601274451865j)
0.18,(0.6912069325875252-0.3543133486596378j),(0.042177127114214875-0.07315434081187028j),(-0.00481401381718384+0.01839408770807033j),(-0.000889811722424651+0.00010299640076724802j),(-0.32769571139893927-0.06804655738196125j),(0.04545865282937205+0.027331064159136532j),(0.042802415048937816-0.08654342266127026j),(0.0031858724339951113+0.0019038512459086823j),(-1.2438074392975627e-06-3.825329828297256e-06j),(-0.002649065880287542-0.00032881129730379013j),(0.002355371978982051+6.92930027365493e-05j)
0.19,(0.6660012988290865-0.36026039121416686j),(0.039923563771733894-0.0756846334167093j),(-0.0046049095846270975+0.020040706230792987j),(-0.0009412045012145209+0.00015710017251924013j),(-0.34460596633379487-0.058339957206862664j),(0.04871431249718253+0.026892025734271564j),(0.04280683238552587-0.09451558582497951j),(0.0036203764997321123+0.0018755502154418407j),(-1.6160079148113673e-06-4.1470619181979836e-06j),(-0.002852106708276287-0.00026789241020895355j),(0.0025564890740168043-6.564873758676954e-05j)
0.2,(0.6410932819267049-0.3649152277035161j),(0.03759505182869646-0.07779065822932293j),(-0.004325867718718603+0.021676567733976537j),(-0.0009886730478635354+0.0002147199687647728j),(-0.3606534004924458-0.04786842040163373j),(0.051857436672183455+0.026306050610565918j),(0.042368722556549505-0.10243796224855319j),(0.0040728997265628945+0.0018142524954120325j),(-2.032981945628147e-06-4.4590542246232275e-06j),(-0.003052155165903385-0.00020020970464707996j),(0.0027538019892961165-0.00021809758872446246j)
0.21,(0.6165753827717095-0.3683620374210524j),(0.035243427176232925-0.0795084987098774j),(-0.003984028506744583+0.02329110802579015j),(-0.0010320035099096736+0.00027527270188777773j),(-0.37581388334884597-0.03674129839023156j),(0.054881057276497905+0.02559175657449973j),(0.04151885944117629-0.11025006238374838j),(0.0045403068750149685+0.0017188822141220384j),(-2.4942379038896096e-06-4.756852648163151e-06j),(-0.0032486141231841915-0.00012667848141692338j),(0.002945761844522563-0.00038714599551056486j)
0.22,(0.5925293474789526-0.3706848516944583j),(0.032913465939790915-0.08087292943228007j),(-0.0035863821301993252+0.02487503458635306j),(-0.0010710394242749405+0.00033819903526083285j),(-0.3900709518696171-0.025060219699963623j),(0.05778017134615418+0.024766581258079443j),(0.04028908366841038-0.11789789647186863j),(0.005019537739012269+0.0015886133190324346j),(-2.9988567453972905e-06-5.036193805369126e-06j),(-0.0034409354439351777-4.8160357583011324e-05j),(0.0031309594978671308-0.0005718295298321294j)
0.23,(0.5690261673868107-0.37196755388573194j),(0.030642884479135366-0.08191741608417936j),(-0.0031397686647851794+0.02642032656773452j),(-0.0011056817172653648+0.0004029633832451614j),(-0.4034158105140487-0.012919089961487842j),(0.06055174103108575+0.023846782138837827j),(0.038712302617092596-0.12533397454376366j),(0.0055076071458751395+0.0014228695767615936j),(-3.5454920096125428e-06-5.293005028753732e-06j),(-0.003628619985773932+3.453673352435459e-05j),(0.0033081255459692207-0.0007711268906292232j)
0.24,(0.5461260790571836-0.3722938793911873j),(0.028462339388348547-0.08267411546696488j),(-0.0026508780804125626+0.027920234793953832j),(-0.0011358887045710012+0.00046905391119063237j),(-0.4158473312340979-0.00040409190881265933j),(0.0631946935951313+0.022847436539833975j),(0.03682249041590038-0.1325173064198296j),(0.006001604956320339+0.0012213245730856854j),(-4.1323698196565415e-06-5.5234043667907555e-06j),(-0.003811217600119159+0.00012065854230909801j),(0.003476130323936645-0.0009839599038949285j)
0.25,(0.5238785642754948-0.3717474156414539j),(0.026395427495829994-0.08317387549576727j),(-0.0021262502411999477+0.029369281760980345j),(-0.0011616760912659288+0.0005359825354357611j),(-0.42737205347439+0.012406314620703268j),(0.06570992141603473+0.0217824416296533j),(0.03465468794334777-0.1394134017100089j),(0.006498696064461051+0.0009839017129386735j),(-4.757288882310291e-06-5.723700583915191e-06j),(-0.00398832713219068+0.00020950450290936975j),(0.0036339839053456287-0.0012091935226753456j)
0.26,(0.5023223500506917-0.37041160210147706j),(0.024458685864296552-0.08344623519945836j),(-0.0015722749054738767+0.030763261636733426j),(-0.0011831169718082523+0.0006032849233077081j),(-0.4380041841722179+0.02544139268635065j),(0.0681002819854451+0.020664514422407534j),(0.03224500282778546-0.14599426981379038j),(0.006996120397806869+0.0007107742204123194j),(-5.417620488014614e-06-5.8903931605232395e-06j),(-0.004159596421009432+0.0003004277331975459j),(0.0037808361022408114-0.0014456358270695897j)
0.27,(0.4814854086152448-0.3683697302705178j),(0.022661591790782396-0.08351942472065108j),(-0.000995191725768953+0.03209924026108251j),(-0.0012003418300401008+0.0006705204931222795j),(-0.4477655977575424+0.038638128244069855j),(0.0703705979089167+0.019505191777734746j),(0.029630609447400775-0.1522384199202091j),(0.007491192917263799+0.0004023651387561817j),(-6.110308510870152e-06-6.0201722929723085e-06j),(-0.004324722299397468+0.0003928350347802284j),(0.003915976465135241-0.001692038024229789j)
0.28,(0.46138495742514857-0.3657049436821526j),(0.02100656280663896-0.08342036531569942j),(-0.0004010902488278383+0.03337555514584707j),(-0.0012135385391876287+0.000737272414183928j),(-0.4566858361529919+0.051941230146450884j),(0.07252765690590904+0.018314830400799294j),(0.02684974893021762-0.15813086100784648j),(0.007981303617134271+5.9347330377611945e-05j),(-6.831869408637378e-06-6.1099188935810176e-06j),(-0.0044834505939779605+0.00048618689299824544j),(0.004038834283010382-0.001947094448361092j)
0.29,(0.44202745915992137-0.36250023790427405j),(0.01948895667753501-0.08317466935469858j),(0.0002040900843987307+0.03459181547479659j),(-0.0012229523618610158+0.0008031476067857509j),(-0.46480210877386285+0.06530313014273316j),(0.07458021180978676+0.017102606842291902j),(0.0239417291540966-0.16366310184483032j),(0.008463917525117126-0.0003173565231582363j),(-7.578392222736577e-06-6.156704590629187e-06j),(-0.004635576125175194+0.0005799974769266507j),(0.004148978583316112-0.0022094425607216586j)
0.3,(0.42340862172260463-0.35883846053909j),(0.01809707140345661-0.08280664032148478j),(0.0008145599387519731+0.03574890210365063j),(-0.001228885950054466+0.0008677767422094925j),(-0.4721592925281196+0.07868398287880586j),(0.0765389805678198+0.015876517498429568j),(0.020946924746734853-0.16883315098883472j),(0.00893657470230763-0.0007265739211284221j),(-8.345538578247869e-06-6.1577917283578505e-06j),(-0.004780942707214573+0.0006738346393747258j),(0.004246118131970716-0.0024776629496226694j)
0.31,(0.4055170906916177-0.35478962454790486j),(0.016822080821012633-0.08233900471612426j),(0.0014254045691626045+0.036849379996323095j),(-0.0012316278281893807+0.0009309023789822725j),(-0.47879301586427236+0.09204832708068608j),(0.07841185137669938+0.014642503427199501j),(0.017901615265817794-0.1736479959465141j),(0.009396591027017263-0.0011671695130729093j),(-9.128869372954895e-06-6.111159939115457e-06j),(-0.0049196673961933515+0.0007673001162105045j),(0.004330069055340639-0.002750463216794683j)
0.32,(0.388338829919183-0.3503853190825958j),(0.015672616278815086-0.08178928667709946j),(0.0020350642597921492+0.037896990722979806j),(-0.001231327609111638+0.0009925160641409913j),(-0.4847103465490933+0.10536475734972811j),(0.0801978577928065+0.013403051958045559j),(0.01482500874890377-0.17812475375227788j),(0.0098416583184689-0.0016379288384328265j),(-9.924791419086273e-06-6.016687505714923e-06j),(-0.005052272210603191+0.0008601356371055982j),(0.004400861391124939-0.0030269916523556336j)
0.33,(0.3718508905135874-0.3456638258535507j),(0.014643339317855306-0.08117119745409658j),(0.00264257325463705+0.038894415602855975j),(-0.0012282122727975318+0.0010525329404372662j),(-0.48994406146820546+0.11861407446534122j),(0.08190306071117401+0.01216083873501729j),(0.011736728247267025-0.18227774392186805j),(0.010270795429231722-0.0021368778006420237j),(-1.0729674233719838e-05-5.874110357125973e-06j),(-0.005178871516552605+0.0009522500184970498j),(0.004458745385624543-0.00330626222390751j)
0.34,(0.356030276263324-0.3406616732460287j),(0.013728275214440939-0.08049726335195857j),(0.0032470921380625896+0.03984423221463795j),(-0.0012225011021737646+0.0011108775172627655j),(-0.49452579151250275+0.13177965829575056j),(0.08353367293492107+0.01091813658322794j),(0.008655019751931467-0.1861210380739774j),(0.010683085936166542-0.0026622413065861142j),(-1.1539984316685152e-05-5.683179356220726e-06j),(-0.005299579174721676+0.0010435604220599907j),(0.0045039662910276515-0.0035873686788844656j)
0.35000000000000003,(0.34085427420392056-0.33541284171257185j),(0.012921553102996048-0.07977886306597474j),(0.0038479350428242765+0.04074895698369624j),(-0.0012144006139528478+0.0011674897800089002j),(-0.49848467556706255+0.1448471264494621j),(0.085095690272738+0.009676758345753333j),(0.005596465233217381-0.18966865002766245j),(0.011077638680778943-0.0032124751373211126j),(-1.2352302808727037e-05-5.443690122196999e-06j),(-0.005414527786048267+0.0011339883922772888j),(0.004536758727198508-0.003869497564284473j)
0.36,(0.32630045461793944-0.3299487637730057j),(0.012217405976061094-0.0790262276818807j),(0.004444569650067839+0.041611045182085596j),(-0.0012041045586331017+0.0012223251900668247j),(-0.5018473605111461+0.1578043342752625j),(0.08659489153888623+0.008438056883631872j),(0.0025759826407414227-0.1929345358023432j),(0.01145358776921929-0.003786265948073435j),(-1.3163325491505577e-05-5.1554830305783165e-06j),(-0.005523868691728016+0.0012234598564395474j),(0.004557346681677404-0.004151928226669323j)
0.37,(0.3123466710349774-0.3242983240144389j),(0.011610170684292934-0.07824844067585834j),(0.005036617189329247+0.04243289092854494j),(-0.0011917939204986547+0.0012753546848274378j),(-0.5046380012181982+0.17064137486221945j),(0.08803683855319842+0.0072029250758645115j),(-0.00039317409658341795-0.19593259361780344j),(0.011810092572282735-0.0043825312682399115j),(-1.396986278759613e-05-4.8184432132138956e-06j),(-0.005627771973214343+0.0013119051246451077j),(0.004565943509680674-0.0044340328121646325j)
