t,B00_z_0000_00,B00_z_0001_00,B00_z_0002_00,B00_z_0003_00,B00_z_0004_00,B00_z_0005_00,B00_z_0006_00,B00_z_0007_00,B01_z_0000_00,B01_z_0001_00,B01_z_0002_00,B01_z_0003_00,B01_z_0004_00,B02_z_0000_00
0.0,0j,(-0.5784192929357265-0.7407579831122704j),(-0.5593919132670359-0.7052854340202321j),(0.1873361315873011+0.21803993827653492j),(-0.09546216903862939+0.31178758477589996j),(0.8534771248658118+0.46375027395498847j),(0.4441723168170449+0.44218937121227214j),(-0.4940636494929224-0.13970411056008242j),0j,(1.3223424290384258-0.3523060202781155j),(0.10850113763775382-0.4787979296499269j),(0.8021891592142764+0.6119242290331479j),(1.2357168535695937+0.009074585795778117j),0j
0.01,(5.568529993393858e-05-0.014996095627024105j),(-0.5784189636462002-0.74075728184303j),(-0.5593915627421591-0.7052846920034531j),(0.18733029187565423+0.21803565258635302j),(-0.09545951839373207+0.31178180081773954j),(0.8534758972627164+0.4637498971517988j),(0.4441703246470906+0.44218788628524225j),(-0.4940619361022294-0.1397029061416924j),(6.766729746930897e-05-0.014997737927105166j),(1.322342406492971-0.352306010819861j),(0.1085011252687343-0.47879772793684666j),(0.8021891433817385+0.6119241912513388j),(1.2357168254294577+0.009074583187670784j),(6.748720118151878e-05-0.014997632375050909j)
0.02,(0.0002447173886336711-0.029978283718964518j),(-0.5784181153371731-0.7407555379059569j),(-0.5593906621129418-0.7052828405761143j),(0.1873138964937636+0.21802435474302362j),(-0.09545274478098768+0.3117653432420649j),(0.8534725107560118+0.4637487748677757j),(0.4441647731915005+0.44218380222552534j),(-0.4940573098650455-0.13969969876225868j),(0.0002713583353228545-0.029981958654096218j),(1.3223396631594733-0.3523056084846689j),(0.10849845903277963-0.4787722617520634j),(0.8021885243097391+0.6119199631344362j),(1.2357138582818505+0.009073489067861063j),(0.0002697954239878621-0.029981068528541065j)
0.03,(0.000562682594871394-0.04493178312838436j),(-0.5784160975769135-0.7407527142428596j),(-0.5593885140952786-0.705279840665638j),(0.18728519568373259+0.21800595324334937j),(-0.09544248773189677+0.31173553013243355j),(0.8534663491314083+0.4637463258723149j),(0.4441548783319596+0.4421763846323004j),(-0.4940485935941832-0.13969565106030904j),(0.0006121622790372511-0.044939183347906184j),(1.3223203984383423-0.3522994304446975j),(0.10849141290152657-0.47861703700283575j),(0.802178625396305+0.6118883881534779j),(1.2356908795052255+0.009069263936674923j),(0.0006064547116099331-0.044936098445339176j)
0.04,(0.001005839491914943-0.05984120563733692j),(-0.5784144329111789-0.74075020468889j),(-0.5593867748436357-0.70527714327809j),(0.1872409731242956+0.2179836239806704j),(-0.09542863959600409+0.3116914829720381j),(0.8534584755440936+0.46374321526842666j),(0.4441410751723998+0.442167193101232j),(-0.4940396185571368-0.13968887912353997j),(0.0010912945897448613-0.05985600051794336j),(1.3222325190573543-0.35226665634719445j),(0.10846903555122887-0.47794089006290513j),(0.802127655472781+0.6117435499921966j),(1.2355834905188618+0.00905466625989931j),(0.0010766930598183626-0.059848539710913806j)
0.05,(0.0015707239422534317-0.07469083782101577j),(-0.5784141880704824-0.7407487377743127j),(-0.5593866187893414-0.7052754962666806j),(0.18717575273716885+0.21795712308949525j),(-0.0954108146840741+0.31162897545272433j),(0.8534490865182704+0.4637394651232859j),(0.4441226000570822+0.4421563745141773j),(-0.4940320463427347-0.13967658903478875j),(0.0017105949161079243-0.07471927773975062j),(1.3219522250072522-0.3521728174450962j),(0.1083540284409672-0.47571813831281634j),(0.8019860484740822+0.6112905526896956j),(1.2352484091003648+0.008996938761521396j),(0.0016794395074417922-0.07470424546615907j)
0.06,(0.0022539856005801117-0.08946474598130941j),(-0.5784144799383495-0.7407473105706368j),(-0.5593871261094211-0.7052738317330417j),(0.18708096297854604+0.21791943707284847j),(-0.09538838131692924+0.31153740386405643j),(0.8534360998292667+0.463733468949786j),(0.4440961153224808+0.4421407283748515j),(-0.49402167277486864-0.13965657172913534j),(0.0024727506285054978-0.08951623767753195j),(1.321288482486272-0.3519733927514096j),(0.10801268120898212-0.47033513314641234j),(0.8016913618209082+0.6102324855257714j),(1.2344698780625822+0.008836676226688388j),(0.0024133241363668728-0.0894891044073946j)
0.07,(0.003052387913792368-0.10414677614680118j),(-0.5784124755513185-0.7407431886906155j),(-0.5593852827265987-0.7052692660272276j),(0.18694493683909852+0.21785678280227036j),(-0.0953604618254499+0.31139978709331684j),(0.8534151545035351+0.4637219917065391j),(0.44405570929728194+0.44211370680882767j),(-0.4939984279124941-0.1396272029939025j),(0.0033822798973113487-0.10423491272665833j),(1.32001136468462-0.351639491325571j),(0.10711094858831438-0.4595522544564105j),(0.8012068972277986+0.6082143567493444j),(1.2330016492786076+0.008476867461446946j),(0.00327667807153827-0.10418904078636562j)
0.08,(0.00396280812099172-0.11872055407276938j),(-0.5784033920989406-0.7407319062882465j),(-0.5593759803092951-0.7052570997477147j),(0.18675291184397522+0.21774860751781724j),(-0.09532593255057446+0.3111927666255061j),(0.8533796108186532+0.4637001697978757j),(0.44399289630238487+0.44206541456353654j),(-0.4939463760496299-0.13958744346865562j),(0.00444790947036874-0.11886519893377481j),(1.3179919110717975-0.3511976049275457j),(0.10491893916696209-0.4412342167012555j),(0.8005794592291702+0.6050298420767195j),(1.2307265320919305+0.007817446132074923j),(0.004267566572533776-0.11879011424598737j)
0.09,(0.004982236194182905-0.13316948609632007j),(-0.5783805011717379-0.7407072854718693j),(-0.5593520206918042-0.7052308383210567j),(0.1864870682944086+0.2175676307729066j),(-0.09528342964919549+0.31088664370457764j),(0.8533205625152106+0.46366151043672577j),(0.44389663946838726+0.4419826211238398j),(-0.49384376371656813-0.13953685450655123j),(0.005687512044472977-0.13340041798193925j),(1.315443366202137-0.3507947347852816j),(0.10081788490284445-0.41595701301441734j),(0.8000170931602549+0.6009738530725949j),(1.22792938397679+0.0068228600064332776j),(0.005383773929898998-0.13327845300718666j)
0.1,(0.006107423128248741-0.14747711097283672j),(-0.5783337439469635-0.7406637794081404j),(-0.5593025804413191-0.7051847060752381j),(0.18613301748535732+0.21728406642716552j),(-0.0952322335295258+0.3104486408411929j),(0.8532277878047126+0.4635958904643988j),(0.4437568317874118+0.4418483173211587j),(-0.4936678823706277-0.13948118909116947j),(0.007129658367948958-0.14783778227303687j),(1.312860572973753-0.35062616817579384j),(0.09442959724625367-0.38687267468587044j),(0.799791472142027+0.5967704405248735j),(1.2252027199256945+0.005563157481200072j),(0.006622731703038568-0.14764002947625796j)
0.11,(0.007335035504190967-0.1616270721850718j),(-0.5782391109167843-0.74057922059321j),(-0.5592018040383318-0.7050954584837398j),(0.18565042179712224+0.21682491926732356j),(-0.0951684674068597+0.3098059994948841j),(0.8530766253333733+0.46348454192469585j),(0.44354507460089976+0.4416250531462601j),(-0.4933495082052425-0.139431812140873j),(0.008820344190152015-0.16218052697862143j),(1.3107583596183296-0.3507494198599296j),(0.08592404725071869-0.35839176785575705j),(0.7999806557349712+0.5932174845272062j),(1.2230950128084386+0.004262662673304727j),(0.007981656154310983-0.16186108948990435j)
0.12,(0.00866142205142243-0.17560299186134148j),(-0.57806276666378-0.7404241982184675j),(-0.559013174432664-0.7049322767772734j),(0.18498592622172294+0.21609452110159907j),(-0.0950888311008492+0.3088661385119267j),(0.8528338182238849+0.4633040579958111j),(0.44322235876164656+0.4412644629502783j),(-0.4927978450375114-0.13940975700666153j),(0.010826848717651504-0.1764345269094386j),(1.3093342120308311-0.3510810973002836j),(0.07622370106803239-0.3344355386205512j),(0.8004561794175752+0.590684956950778j),(1.221773142783241+0.0031218405977939453j),(0.009457553417875297-0.17592816829535293j)
0.13,(0.010082270711151305-0.18938867740221227j),(-0.5777640548941222-0.7401707891133174j),(-0.5586926912171316-0.704666004420835j),(0.18408882580292063+0.21499379704685664j),(-0.09499325218328143+0.30753418558965984j),(0.8524632270945619+0.4630275020353199j),(0.4427485784464875+0.4407140190942562j),(-0.4919227450592949-0.13945079141992514j),(0.013249298002644114-0.19060511663519983j),(1.3085603797966006-0.3514882412322513j),(0.06630292837886617-0.3167410015335068j),(0.8010136319837926+0.5891789345009278j),(1.2211464569549955+0.0022665815653369337j),(0.011047219499691126-0.18982809055035477j)
0.14,(0.011592608636381077-0.20296812148050103j),(-0.5772954984375747-0.7397925577451799j),(-0.558188870627545-0.7042691471137057j),(0.18291106563621803+0.21342026552860704j),(-0.09488488597807875+0.30571297727648605j),(0.8519258300593403+0.4626244075801787j),(0.442082531156298+0.43991703194914505j),(-0.490634708837215-0.1396054174924445j),(0.01623356728697033-0.20467949101755575j),(1.3082412135549062-0.35185944184742785j),(0.05681112292382407-0.3053782468458898j),(0.801483066968874+0.5884276984583937j),(1.2209636246501168+0.0017068188871223503j),(0.012747240277518643-0.20354797032318478j)
0.15,(0.013186802191910551-0.216325502041275j),(-0.576602799247493-0.7392645562194906j),(-0.5574427455427085-0.7037158727894506j),(0.1814072408688595+0.21126803828100713j),(-0.09477011556129868+0.3033030589718714j),(0.8511797227277781+0.4620607783467251j),(0.4411819177159931+0.4388126498958045j),(-0.4888448853126553-0.1399388717163907j),(0.019944496443881084-0.21858895603206996j),(1.3079388076789114-0.3521469306379872j),(0.04847525788996692-0.3001455193117016j),(0.8017933151648388+0.5877878178220611j),(1.2207656512310314+0.0012556746266648073j),(0.014553991500918562-0.21707521109264188j)
0.16,(0.014858556954333866-0.22944518230185174j),(-0.5756248384008248-0.7385633242797004j),(-0.5563878654844208-0.7029820116159198j),(0.1795345966998309+0.20842782034685997j),(-0.09465855176113393+0.30020268492634533j),(0.8501801182050547+0.4612990882306778j),(0.44000334227452814+0.4373358593250025j),(-0.4864650718017611-0.14053112496432524j),(0.024355598644431944-0.23219642728816145j),(1.3067250114437654-0.35244382878116454j),(0.04264828701185461-0.30130240693242105j),(0.8020761651627393+0.5859325533944804j),(1.2196938502989865+0.0003260573037522186j),(0.01646363879125219-0.23039750574804893j)
0.17,(0.01660098247023515-0.24231178433602665j),(-0.5742951879502576-0.737667455107438j),(-0.5549519523471015-0.7020457013980512j),(0.17725479156290327+0.20478840089868802j),(-0.09456300180547687+0.29630926960887727j),(0.8488816999480866+0.46029738099583467j),(0.43850532296178346+0.4354179883961847j),(-0.48341100021912664-0.14147516119802583j),(0.029164288207136534-0.2454325149514179j),(1.3037326045816988-0.35292245369304565j),(0.03985773109523439-0.30783938545307826j),(0.8025570416608517+0.5816911358938113j),(1.2170046687799292-0.0017057127871850757j),(0.01847213764168137-0.24350283658925287j)
0.18,(0.018406827067254838-0.2549103543120662j),(-0.5725771624381483-0.7365764735269426j),(-0.5530945837831681-0.7009067761287677j),(0.17455623222532915+0.20030167054831613j),(-0.09450276952103852+0.2915846155546242j),(0.8472726867860428+0.4590289093392752j),(0.4366800962803855+0.4330280074622752j),(-0.4796659488379791-0.14283888548056106j),(0.03420722626730013-0.25830531417360186j),(1.2987528045350978-0.3536807632909411j),(0.03904415542664174-0.3174057160436135j),(0.8033260447771218+0.5748849589931714j),(1.2125641825015425-0.005026280808902247j),(0.02057528261417659-0.25637964023126253j)
0.19,(0.020267769863793954-0.2672255231984114j),(-0.5704723300334178-0.7353162663503602j),(-0.5508158413228952-0.6995909346095246j),(0.1714444417818051+0.19501380647899055j),(-0.09450258970227628+0.286086925060383j),(0.8453621263243346+0.4575167696628265j),(0.43452765397523907+0.43020007018900536j),(-0.47527655009979947-0.14465196348751833j),(0.03947862531986381-0.2708055219294243j),(1.291593223732106-0.35480357641626864j),(0.03922395789826358-0.32848019454365923j),(0.8044306455493336+0.565396866983677j),(1.206250942485478-0.009790055906065827j),(0.022768880322497066-0.2690173966750401j)
0.2,(0.022175440401528537-0.279242883605828j),(-0.5679957107228314-0.7339176952307425j),(-0.5481302282001302-0.6981286622789605j),(0.1679397560500043+0.1889877567293814j),(-0.09458221784455648+0.279892177939593j),(0.8431663525505638+0.4557874815094332j),(0.43205806103158584+0.4269761797355919j),(-0.47030749839720687-0.14692606125562077j),(0.04499752758504964-0.28287733051554664j),(1.2821480476688252-0.3563383471459582j),(0.039834580809089026-0.34027566205480153j),(0.8058480331780863+0.5532422689426768j),(1.1980057211658273-0.016062306103142587j),(0.025048433082952487-0.28140557852471404j)
0.21,(0.024121606244998733-0.29094922339206397j),(-0.5651750876608269-0.7324151959789365j),(-0.5450660312618026-0.6965539889019573j),(0.1640794710339349+0.18229716420948286j),(-0.09475550008436388+0.27308788629686426j),(0.8407109167301474+0.4538647725797539j),(0.42929596255766167+0.4234008597413886j),(-0.4648414974516263-0.14965502215968318j),(0.05077096912416916-0.29442740056177386j),(1.270445651257593-0.35832787335839167j),(0.040562169859632624-0.35243112235676627j),(0.8075339036225566+0.538616698412123j),(1.1878925818888186-0.023827912725987527j),(0.027409399833688508-0.29353451737793607j)
0.22,(0.02609817298160881-0.30233252566184954j),(-0.5620510071695154-0.7308467785635848j),(-0.5416653209679235-0.6949044885696402j),(0.15991784292393993+0.17502636670061286j),(-0.09503037319930172+0.26577309452797776j),(0.8380305874063174+0.4517695787321609j),(0.42628058378469674+0.41952115432588627j),(-0.4589792603132886-0.15281486691261204j),(0.056771621660876105-0.3053271462188089j),(1.2566465279614265-0.36082974317848937j),(0.041129183207231856-0.3647954026256717j),(0.8094715186771476+0.5218558349958844j),(1.1761035363755405-0.03302053360460577j),(0.029847236728269604-0.3053955392140828j)
0.23,(0.028097184221627138-0.31338196876689717j),(-0.5586767787386803-0.7292540271111261j),(-0.5379839513915851-0.6932212796993773j),(0.15552608809669755+0.16727039685541345j),(-0.09540886460809164+0.25805837931988534j),(0.8351693504001209+0.44952004398274065j),(0.4230657300669154+0.41538662808871296j),(-0.4528395093612308-0.1563637935654054j),(0.06292010706332295-0.31539451467474616j),(1.241408380946889-0.36380143154104266j),(0.041276351440371735-0.37729977707307044j),(0.8115462507661443+0.5038697663986064j),(1.1632417255480378-0.043233032079697815j),(0.03235739713567899-0.31698096439425566j)
0.24,(0.030110821598186198-0.32408792630590133j),(-0.5551184750257779-0.7276820999057938j),(-0.5340915602189613-0.6915490250347802j),(0.15099238311522087+0.1591349821978505j),(-0.09588709237057379+0.2500658496507097j),(0.83218040881042+0.4471315205052935j),(0.4197197868815362+0.4110493661096337j),(-0.44655897630329583-0.16024217750715297j),(0.06902462703698274-0.32441026078783414j),(1.2260534370646463-0.3670556602392424j),(0.04074512390406954-0.38993134040659433j),(0.8135384377747503+0.48624633709570747j),(1.1504446306917446-0.053614284260279504j),(0.0349353316403187-0.328284107661281j)
0.25,(0.032131734580274976-0.3344420239067783j),(-0.5514386028604789-0.7261701429375844j),(-0.5300535308260833-0.6899258513089451j),(0.14639111822087078+0.15072080552071604j),(-0.09645878236216437+0.24190932220319378j),(0.8291156601147752+0.444633120316429j),(0.41630147205975043+0.4065715591333804j),(-0.4402528317363676-0.16439279724830774j),(0.07479474689420607-0.3322586005895377j),(1.2122607128123006-0.37026133208766715j),(0.03940178539559884-0.4026650282061993j),(0.8151454213474624+0.4708170545316678j),(1.1390910946371953-0.06304232371148667j),(0.037576488042009554-0.33929927813971017j)
0.26,(0.03415275657081851-0.34443751502831926j),(-0.5476756241166125-0.72473306761873j),(-0.5259088487300227-0.6883625998524371j),(0.14173780673893033+0.14209795916490328j),(-0.09712134732282611+0.23366786350427704j),(0.8259959461884399+0.4420680327582636j),(0.41281865131956064+0.40200824451791245j),(-0.4339614495050209-0.16876332472894776j),(0.08000602951513332-0.33909436526808356j),(1.2010374910099801-0.3730863960712216j),(0.037385951268841-0.41542296330441375j),(0.8161087438974268+0.458576778783077j),(1.1299333387451471-0.07074892261132262j),(0.04027631135599117-0.35002177933581924j)
0.27,(0.03616664292895009-0.3540694824879857j),(-0.5438726892361389-0.7233842329451721j),(-0.5217019102387467-0.6868681668174706j),(0.13705971539937833+0.13333171014332718j),(-0.09786890580467592+0.22541927002000284j),(0.8228377736610736+0.4394580952895619j),(0.4092858584001368+0.3973927672517693j),(-0.42773488671176324-0.17328419009167756j),(0.08455718327246835-0.3453069094993251j),(1.1925348439366772-0.375282166482245j),(0.035070758725666784-0.428083043720444j),(0.8162495002677349+0.4495149447225416j),(1.1229671225934905-0.0764733026823123j),(0.04303024381292191-0.36044790913760927j)
0.28,(0.03816676986591627-0.363334844081325j),(-0.5400677466032913-0.7221353562704731j),(-0.5174713771431055-0.6854508742297325j),(0.13238773114870875+0.12447515329342321j),(-0.0986932058642186+0.21722828549872522j),(0.8196590628149221+0.43682173109427835j),(0.40572158401756353+0.39275477122369973j),(-0.4216171675491939-0.17789849599826435j),(0.08859709309912432-0.35123510305711153j),(1.185962488526066-0.37689857947930266j),(0.03278477880835448-0.4405688813940785j),(0.8155777857782298+0.44266277985241026j),(1.1174670516724476-0.08065752299951036j),(0.04583374503794914-0.3705750020290355j)
0.29,(0.04014713965889446-0.37223235270359506j),(-0.5362933936652381-0.7209964493581759j),(-0.5132500111106942-0.6841184087561052j),(0.12775611893021482+0.11556908023630805j),(-0.09958365181377775+0.20914642251843013j),(0.8164791048441483+0.43417414451563907j),(0.40214810167105625+0.38812033579764765j),(-0.4156459509423859-0.18256227829219704j),(0.09230471683011811-0.35707585588458873j),(1.1805352258483355-0.37804916850914966j),(0.030717225360367553-0.4528494846558713j),(0.8141775061481736+0.43711046143721555j),(1.1127545416751001-0.08379136920859107j),(0.048682573486486504-0.38040214053153615j)
0.3,(0.04210238065099294-0.380762596349765j),(-0.5325768769320828-0.7199758183818032j),(-0.5090646736858526-0.6828778217046663j),(0.12320252168398896+0.10664197937677931j),(-0.1005273042214956+0.20121196248673534j),(0.8133185618548326+0.43152732105614183j),(0.39859146764296094+0.3835119758127517j),(-0.4098525305488854-0.18724450599868658j),(0.09582817630398004-0.3628972882489343j),(1.175664065124768-0.3788639844353778j),(0.02892044446692358-0.4649130874294901j),(0.8121532201484891+0.43219494080587j),(1.1083453077562633-0.08627951604014267j),(0.05157249451200223-0.38992968451814586j)
0.31,(0.04402774725125082-0.3889279981145144j),(-0.5289400919768641-0.7190800639248587j),(-0.5049363262896657-0.681735529024689j),(0.11876796034692289+0.09771003590331594j),(-0.10150887991133309+0.19344995564089063j),(0.8101994668649729+0.42889002737755616j),(0.39508152099875465+0.3789486415833457j),(-0.40426183475871247-0.1919270813246656j),(0.0992721853159761-0.36869363454296905j),(1.1709651497350948-0.3794525730792814j),(0.027387237685769495-0.4767760830963894j),(0.8095887000457496+0.42749007585679094j),(1.1039350745507923-0.08840529234688028j),(0.05449941874610767-0.39915932335196397j)
0.32,(0.04591893473310587-0.39673282751055333j),(-0.5253996628632884-0.7183123732510202j),(-0.5008800872497815-0.6806947931142998j),(0.11448698852163136+0.08878178336389039j),(-0.10251427347696282+0.18587764333173046j),(0.8071387529653734+0.4262697255361999j),(0.39164197644092774+0.3744451712567674j),(-0.3988882172920407-0.19659538876834476j),(0.10269826182982426-0.3744472485305738j),(1.1662070904774329-0.3798932123004642j),(0.02609768251753932-0.48844898913504214j),(0.8065415181656624+0.42273205457161966j),(1.0993435976453292-0.0903506597419329j),(0.05745948861891216-0.40809422444454674j)
0.33,(0.04777145187218867-0.40418355762130803j),(-0.521968492101327-0.7176678280108055j),(-0.4969082705310852-0.6797491557730038j),(0.11035929814980626+0.07987254864852798j),(-0.10354112823610687+0.1785203164363767j),(0.8041299275905726+0.4236745259757947j),(0.3882625012189766+0.370007032494539j),(-0.3937298479418283-0.201208112316871j),(0.10614665794959648-0.3801351216051203j),(1.1612234132743506-0.38025400398733933j),(0.025023187148050047-0.4999459685769274j),(0.8030633960135078+0.4177287208375256j),(1.0944459068562271-0.09225725409952215j),(0.06044907835902298-0.41673903325590733j)
0.34,(0.04958143926958149-0.411288696001908j),(-0.5186574723956722-0.7171423709396412j),(-0.4930324440518258-0.6788950036085497j),(0.10639355880093072+0.07098890787333516j),(-0.10458407107113249+0.1713921980495685j),(0.8011724531761862+0.4211062012900077j),(0.3849428570288001+0.3656351242058361j),(-0.3887908937494108-0.2057368541942162j),(0.1096385511688758-0.38573282753590427j),(1.1559038356713398-0.3805920479877558j),(0.024133720374309896-0.5112884925150651j),(0.7991983451082002+0.41234942611904646j),(1.0891636819970445-0.09422971143676374j),(0.06346479399354536-0.4250998732945156j)
0.35000000000000003,(0.05134563016404975-0.41805837016177805j),(-0.5154754602299798-0.7167321903219521j),(-0.4892618867381155-0.6781298626202226j),(0.10260025841730089+0.06213428828320892j),(-0.10563741812151+0.16450337925933756j),(0.798267046787323+0.4185663752510252j),(0.3816850198025477+0.36133082430493396j),(-0.3840736916106858-0.21016080461288705j),(0.11318557469308034-0.39122616461163495j),(1.1501737673136727-0.3809553560220215j),(0.023402708446594443-0.5224859660558416j),(0.7949851823709914+0.4064993012533827j),(1.0834465439581462-0.09634828929913727j),(0.06650347334808246-0.4331843461172984j)
