t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B02_A_0000
0.0,(0.9999999999999925+1.1546319456101694e-14j),(5.8841820305133636e-15+1.076916333886408e-14j),(-6.356026815979058e-15-1.1768364061026727e-14j),(7.438494264988591e-15-7.105427357601043e-15j),(8.881784197001304e-16-9.325873406851369e-15j),(1.7347234759768172e-16+1.734723475976817e-17j),(-1.061650767297812e-15+1.4432899320127118e-15j),(5.551115123125814e-16+2.8581588387115067e-16j),(1+7.101524229780054e-18j),(8.131516293641283e-20+0j),(-6.5052130349130266e-18-7.15573433840433e-18j),(1.0842021724855044e-18-2.710505431213761e-19j),(4.336808689942018e-19+5.421010862427522e-20j),(1+0j)
0.01,(0.9978720682555906-0.044880976874494834j),(1.1508861036821349e-06+1.91796258224593e-06j),(-1.4926755738887937e-06-2.5824051286943294e-06j),(-1.7434749013540572e-05-3.953787042723721e-05j),(1.2317835960944411e-05-1.8369815871808965e-05j),(1.6696971070242838e-07-8.980858577191426e-08j),(1.6340640193241118e-06+3.0946080053420363e-06j),(-3.659836922459086e-06-1.0341832568669545e-06j),(0.9978649857796889-0.044937334015167925j),(3.843737699090572e-09+4.209072687647061e-09j),(-2.356236062821835e-07-2.720264347861258e-07j),(4.7325213537562955e-09+1.5909874498087105e-08j),(-7.190776163767782e-09+1.178813902400263e-08j),(0.9978641865544141-0.04493830060552024j)
0.02,(0.9915022451339022-0.08939145393868521j),(2.323761137470886e-06+3.38422796070907e-06j),(-3.0318920683552128e-06-4.5624914153970965e-06j),(-3.579889886733126e-05-7.696790527892468e-05j),(2.334271546520751e-05-3.712896645690888e-05j),(3.163296700201569e-07-1.895409133474263e-07j),(3.3956379690068518e-06+5.926935141630267e-06j),(-7.104367395461728e-06-1.4721203125478974e-06j),(0.9914878232508011-0.0895007056761591j),(3.4007397349930704e-08+2.9711908993575952e-08j),(-2.1919956151471565e-06-2.131087637946611e-06j),(4.9745045947726534e-08+1.196011288497211e-07j),(-4.587205566930576e-08+9.893688451525494e-08j),(0.9914812923393808-0.08950778291100556j)
0.03,(0.9809623074656678-0.13315564205660033j),(3.6567706812333357e-06+4.029811378365613e-06j),(-4.82556638790283e-06-5.433190884446924e-06j),(-5.46991776263619e-05-0.0001239409476766083j),(3.5242450768467846e-05-6.07033451642486e-05j),(4.681227037930099e-07-2.896086076857434e-07j),(5.186470815472508e-06+9.027936453176005e-06j),(-1.0690037634803442e-05-4.352348680752169e-07j),(0.9809508370420371-0.13332251807204187j),(1.2244551515970896e-07+8.58404520558133e-08j),(-8.107043336132521e-06-7.1047503153511735e-06j),(2.0162232851392403e-07+3.6765701582436743e-07j),(-1.1434431953625129e-07+3.4053014077243065e-07j),(0.9809376971938604-0.1333343970696683j)
0.04,(0.9663981774301612-0.17580455191936284j),(5.342082991608039e-06+3.3900642849016822e-06j),(-7.157224943597933e-06-4.556674919710432e-06j),(-8.13610015812597e-05-0.0001893569382067285j),(4.940757112998094e-05-9.251721690893794e-05j),(6.542953831641471e-07-3.8460449749093267e-07j),(7.135281038178786e-06+1.3085523170355336e-05j),(-1.5090731332618838e-05+3.253197411112808e-06j),(0.9663886231776819-0.1760484947158087j),(3.029670678682285e-07+1.684946209926847e-07j),(-2.089725695683945e-05-1.6605345698928882e-05j),(5.422645069998097e-07+7.800840988197553e-07j),(-1.7767709565402695e-07+8.090171547761598e-07j),(0.9663661546614466-0.17606461341435403j)
0.05,(0.94800389596439-0.21699705176717504j),(7.612380099970908e-06+8.539394501847613e-07j),(-1.0381290080785174e-05-1.0919506699013154e-06j),(-0.00012534201606898777-0.0002783633713442647j),(6.649017875924796e-05-0.00013550477411385605j),(9.085619577086049e-07-4.794144969162297e-07j),(9.577264582554687e-06+1.8718995377218e-05j),(-2.1261298708489318e-05+1.081092952660122e-05j),(0.947983935712596-0.21734667084524972j),(6.018129971096888e-07+2.638228300156163e-07j),(-4.586591324376574e-05-3.236144127014975e-05j),(1.141476103311781e-06+1.3478285548245231e-06j),(-1.8446403810547697e-07+1.5525561200141662e-06j),(0.9479422748602666-0.21737023982414108j)
0.06,(0.9260091019835108-0.25642830855428767j),(1.0733718957173652e-05-4.3581824426695614e-06j),(-1.4919449564097258e-05+6.0367867943695864e-06j),(-0.00019651175392152166-0.00039228281396443403j),(8.643327827019231e-05-0.00019231590311453197j),(1.2620865360025039e-06-5.914905076645572e-07j),(1.3041270527861518e-05+2.6389048599059108e-05j),(-3.040934338625026e-05+2.3390692395786686e-05j),(0.9259678462030243-0.25690833493646315j),(1.0358562020354895e-06+3.4903001586931584e-07j),(-9.182384677637457e-05-5.657684069196154e-05j),(2.0522366026850964e-06+2.0335519441320694e-06j),(-7.014845019102507e-08+2.591663173329251e-06j),(0.9258845244829808-0.25694842172433985j)
0.07,(0.9006790323808284-0.2938297879489999j),(1.5005531433543775e-05-1.3194492797297607e-05j),(-2.1260656577454938e-05+1.8140154480594304e-05j),(-0.00030505163546584946-0.0005286129053426914j),(0.00010847077668115968-0.0002653161841591451j),(1.7434830856230464e-06-7.508504189885252e-07j),(1.824980108719289e-05+3.639777380241913e-05j),(-4.399522239399103e-05+4.208019485187752e-05j),(0.9006160640064884-0.2944538588621949j),(1.5992633157271878e-06+4.0292756272701914e-07j),(-0.0001735028424150086-9.300490599104411e-05j),(3.2743138349800206e-06+2.794855344079144e-06j),(2.082079414009354e-07+3.9010108602194455e-06j),(0.900454226796783-0.2945216420864937j)
0.08,(0.8723145220277962-0.32896925433365953j),(2.076062431888456e-05-2.6771755104087556e-05j),(-2.996112972406699e-05+3.6763581474367666e-05j),(-0.0004614549685239712-0.0006810263571547286j),(0.00013112748341491786-0.00035658689140852446j),(2.3788154331485175e-06-1.0000781076904295e-06j),(2.61190116074747e-05+4.888865739508391e-05j),(-6.373204616405491e-05+6.790212364389359e-05j),(0.872257140621399-0.3297353597317945j),(2.254742196931393e-06+4.168479701103502e-07j),(-0.0003268715960091718-0.00014935807855701817j),(4.729275691868704e-06+3.599618689906281e-06j),(6.415941464455613e-07+5.399007245042294e-06j),(0.8719368450182264-0.32983771469753137j)
0.09,(0.8412519317392728-0.361650763010651j),(2.8365208642954944e-05-4.637496088356535e-05j),(-4.16444005697012e-05+6.368693973430415e-05j),(-0.0006765204601797239-0.0008393747635963337j),(0.0001522188918994042-0.00046792419942819335j),(3.191563568324414e-06-1.394278462349716e-06j),(3.7757788551530576e-05+6.38463307629912e-05j),(-9.158519984773935e-05+0.00010181469148439863j),(0.8413000321495452-0.36253561490337016j),(2.924577623884482e-06+3.953362329937203e-07j),(-0.0006441135157179846-0.0002404593072850738j),(6.242492227641456e-06+4.3935924025030375e-06j),(1.16217573466583e-06+6.921130393091403e-06j),(0.840641626463153-0.36269002912219134j)
