t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
0.0,(0.5+0.5j),(0.5-0.5j),(-0.02652611561329532-1.2132544407432533j),(0.7936072441364148-0.15434496131042763j),(1.5240537320372183-0.4317594041750259j),(1.0205374667855742+0.21465776938219805j),(-0.6445248349600439+1.0704338125652908j),(0.8096822383073408+1.7118777950182182j),(-0.13276952435739164+0.11114947255463609j),(-1.0411757428267074-1.7283857885781324j),(-0.34669570880406486+0.5685337065502121j),(-0.1999365875235305-1.1989114910780492j),(1.0868258710098813-0.4573904004292899j),(-0.19193618651737931+0.41484423566605777j),(0.22551755592897815-0.4090721787270535j),(0.49098460785852566-1.2532816795978796j),(1.6569145459111798-1.2441549885952614j),(0.04629277110184238-0.5686418310909738j),(0.34914531255693204+0.633950643094725j),(1.439341854192465-0.16605231557706462j),(0.5+0.5j),(0.5-0.5j)
0.01,(0.4899325398574495+0.5023313860670119j),(0.5176122386256513-0.5201332742651185j),(-0.01815716808069367-1.2281077418488546j),(0.7793270367087453-0.15839500389404276j),(1.526315431447697-0.4320223599482556j),(1.0079450497244302+0.19130237072381714j),(-0.6142443503733012+1.0252411912587316j),(0.798054331882393+1.6668528875620994j),(-0.16120295765092738+0.1323588897383182j),(-1.1159367301185232-1.756769680132665j),(-0.3716907857481289+0.581868247057387j),(-0.20262954554429452-1.2293587430176576j),(1.0836732084695788-0.4580011202051276j),(-0.19881935271272977+0.380617299626719j),(0.21569424482168645-0.4217225890533373j),(0.49683377693659964-1.294902464673453j),(1.649423191110499-1.2733184145668575j),(0.02937398015652452-0.613565403312385j),(0.3322772404350341+0.6220671943678667j),(1.4549500434930418-0.16364926844503183j),(0.4899325398574495+0.5023313860670119j),(0.5176122386256513-0.5201332742651185j)
0.02,(0.47947937972638394+0.5045667150323627j),(0.5356888894630121-0.5402690956206904j),(-0.010235748834785995-1.2427620977371847j),(0.7649042517399101-0.16285574683678425j),(1.5286443350711056-0.43262583672970867j),(0.9961077985100315+0.16785038503261965j),(-0.585514795799874+0.9822646680652402j),(0.7868357057025461+1.6235729963477208j),(-0.19034194964182705+0.15595101902566202j),(-1.1961571846766-1.7822172906350184j),(-0.39753506202782884+0.5958850691027412j),(-0.20595893191898437-1.260416236163409j),(1.0805380761192862-0.45882043413677087j),(-0.2057175913095954+0.34682052279480713j),(0.2052924952653265-0.43511330309754287j),(0.5024658511635198-1.3381519787751295j),(1.6416927583075542-1.3036317401930602j),(0.011714936772818412-0.6592052655703311j),(0.3154901062257629+0.6096215305936328j),(1.4702965862053905-0.16070597493526062j),(0.47947937972638394+0.5045667150323627j),(0.5356888894630121-0.5402690956206904j)
0.03,(0.46864078618517374+0.5066920126662038j),(0.554212269969011-0.5603858800548225j),(-0.0027968892905555764-1.2572165512536602j),(0.7503682459368802-0.1677159997796021j),(1.531043799070398-0.4335727442238518j),(0.9850230780279773+0.14432951321163737j),(-0.5582665898382133+0.9414020546722346j),(0.7760065868337646+1.5819783807861927j),(-0.22001268535590468+0.18214978223234785j),(-1.2819416079267179-1.804046466385866j),(-0.424227750375914+0.6106271723196096j),(-0.20995946794120796-1.2920712114387274j),(1.0774184369923487-0.4598448000419966j),(-0.21261768915120152+0.31345840319141244j),(0.19428958562657736-0.4492671661299745j),(0.5078375604698988-1.38308714920342j),(1.6336718344842358-1.3351350078445412j),(-0.006764445496293417-0.70555537283221j),(0.298836962434083+0.5966212204848571j),(1.4853304476063778-0.15724466809030477j),(0.46864078618517374+0.5066920126662038j),(0.554212269969011-0.5603858800548225j)
0.04,(0.4574188428739135+0.5086929181710701j),(0.5731622831709912-0.580462374468678j),(0.004126593495707918-1.2714709861319071j),(0.7357481603396203-0.17296173521195923j),(1.533516351760515-0.4348651654321799j),(0.9746853934742644+0.12076731527374396j),(-0.532432789480096+0.9025549469482791j),(0.7655484288597001+1.5420113704495768j),(-0.24999740060780137+0.2111773475997239j),(-1.3733182826761907-1.8215024935538604j),(-0.4517640181479731+0.6261389945043481j),(-0.21466633290813597-1.324308178197914j),(1.074312368787197-0.4610701316650666j),(-0.21950795143364+0.28053554313635504j),(0.1826618298415449-0.4642066476424881j),(0.5129012758905619-1.4297664903813883j),(1.6253040584399434-1.3678660910178404j),(-0.026149054967768356-0.7526060674339501j),(0.28237086967076497+0.5830788932543582j),(1.500002649339179-0.15329322172484455j),(0.4574188428739135+0.5086929181710701j),(0.5731622831709912-0.580462374468678j)
0.05,(0.4458175566574926+0.5105548191420353j),(0.5925163558645766-0.6004777871973591j),(0.01050430396779595-1.2855258924748758j),(0.7210727236554545-0.1785762519084267j),(1.5360636385107085-0.43650441635709947j),(0.9650865465809502+0.09719112505902798j),(-0.5079490676104377+0.865628742350821j),(0.7554438672235139+1.5036163626358j),(-0.28002989807849105+0.24324667384458115j),(-1.470219071879299-1.8337626833411576j),(-0.48013458028916634+0.6424662126402334j),(-0.22011504815812918-1.3571086986584031j),(1.0712180759015324-0.4624918251871751j),(-0.2263781151812763+0.2480567495296877j),(0.17038453047387994-0.479953673369109j),(0.517604630304144-1.478249914466394j),(1.6165279265731534-1.4018601722675554j),(-0.04652838465131324-0.8003433728871667j),(0.26614424634757766+0.5690123047505543j),(1.5142669511485476-0.14888494059214152j),(0.4458175566574926+0.5105548191420353j),(0.5925163558645766-0.6004777871973591j)
0.06,(0.4338429501890006+0.5122630020458377j),(0.6122493919424095-0.6204119296726937j),(0.01630844184956256-1.2993821337167524j),(0.7063700789099517-0.18454036696639503j),(1.5386863762464418-0.4384911041187667j),(0.9562157935757816+0.07362797774254826j),(-0.4847536768641652+0.8305326256444877j),(0.7456766682168477+1.4667398001667484j),(-0.3097920337004419+0.27855218230434525j),(-1.5724576057276658-1.8399457026151993j),(-0.5093252869595812+0.6596554995936194j),(-0.22634134202164832-1.3904511714094525j),(1.0681339009709883-0.464104784752331j),(-0.23321925383278572+0.21602711581981132j),(0.15743193352882168-0.4965294355911935j),(0.521890108949357-1.5285984917660735j),(1.6072766307911446-1.4371491538424275j),(-0.06799626222897281-0.8487482357554454j),(0.25020820467020194+0.5544443043387572j),(1.5280805007181775-0.14405824516124965j),(0.4338429501890006+0.5122630020458377j),(0.6122493919424095-0.6204119296726937j)
0.07,(0.4215031377564566+0.513802816915771j),(0.6323337438358732-0.6402453684146261j),(0.021513942621774994-1.3130407211776371j),(0.6916676344346334-0.19083263242490467j),(1.5413843175758926-0.4408251825272488j),(0.9480600037296725+0.050104547738004934j),(-0.46278740183973754+0.7971795279179441j),(0.7362316728408421+1.4313301324406902j),(-0.3389117822728617+0.3172585359550306j),(-1.6797068204137668-1.8391267319364266j),(-0.5393167121104963+0.6777542335956845j),(-0.23338099339961532-1.4243106176597011j),(1.0650583358713437-0.4659034472389665j),(-0.2400236740476606+0.18445208546157135j),(0.14377718611920787-0.5139541802923564j),(0.5256946105496874-1.5808741549846894j),(1.5974779395804086-1.473760999135834j),(-0.090650496346306-0.8977957209432688j),(0.23461189016045542+0.5394026990521952j),(1.5414044330934416-0.1388562552887905j),(0.4215031377564566+0.513802816915771j),(0.6323337438358732-0.6402453684146261j)
0.08,(0.40880838127888514+0.5151598544235927j),(0.6527392051539844-0.6599595859584119j),(0.02609858538310443-1.3265026018013573j),(0.6769919393293766-0.19742957234548994j),(1.5441562245606546-0.44350600433007475j),(0.9406038177604681+0.02664709455151732j),(-0.4419935015031523+0.7654860633789781j),(0.7270947366415252+1.3973377624740824j),(-0.3669635920287061+0.35948768317960783j),(-1.791477285160373-1.8303594121436266j),(-0.5700837505438986+0.696810158206167j),(-0.24126965176688464-1.4586584745641644j),(1.0619900321143316-0.4678818065735121j),(-0.24678480601930902+0.1533374968138131j),(0.12939229825149903-0.532246969905849j),(0.5289489808922688-1.6351393410557082j),(1.5870541347358633-1.5117190047277205j),(-0.1145924277413061-0.947454168128544j),(0.21940184260402712+0.523920015022037j),(1.5542044021213017-0.13332628067083563j),(0.40880838127888514+0.5151598544235927j),(0.6527392051539844-0.6599595859584119j)
0.09,(0.39577112339737575+0.5163201329311885j),(0.673433027616708-0.6795371487141791j),(0.030043069285392517-1.339768464020655j),(0.662368582723596-0.20430593624819482j),(1.5469998521624446-0.44653236952588093j),(0.933829805724895+0.0032814141664518487j),(-0.42231764344991285+0.7353724479193761j),(0.718252666511808+1.3647149823894815j),(-0.39347179260192594+0.40530456799155623j),(-1.9070982630541178-1.8127052344020145j),(-0.6015952322621794+0.7168709912549629j),(-0.25004263160893825-1.4934624006846724j),(1.0589278105362274-0.4700334379357004j),(-0.25349708876446914+0.12268960955166708j),(0.1142481101808712-0.5514254206632362j),(0.5315775219115935-1.691456564175159j),(1.5759220176248867-1.5510410049119285j),(-0.13992637343414693-0.9976843198743918j),(0.2046213961927619+0.5080331598190929j),(1.5664510281189596-0.12751922935380955j),(0.39577112339737575+0.5163201329311885j),(0.673433027616708-0.6795371487141791j)
