z_0,z_1
(0.5+0.5j),(0.5-0.5j)
(-0.02652611561329532-1.2132544407432533j),(0.7936072441364148-0.15434496131042763j)
(1.5240537320372183-0.4317594041750259j),(1.0205374667855742+0.21465776938219805j)
(-0.6445248349600439+1.0704338125652908j),(0.8096822383073408+1.7118777950182182j)
(-0.13276952435739164+0.11114947255463609j),(-1.0411757428267074-1.7283857885781324j)
(-0.34669570880406486+0.5685337065502121j),(-0.1999365875235305-1.1989114910780492j)
(1.0868258710098813-0.4573904004292899j),(-0.19193618651737931+0.41484423566605777j)
(0.22551755592897815-0.4090721787270535j),(0.49098460785852566-1.2532816795978796j)
(1.6569145459111798-1.2441549885952614j),(0.04629277110184238-0.5686418310909738j)
(0.34914531255693204+0.633950643094725j),(1.439341854192465-0.16605231557706462j)
(0.5+0.5j),(0.5-0.5j)
