t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B01_A_0000
0.0,(0.0009765625-5.898831743268777e-21j),(6.415496508687641e-24+8.304117868208128e-25j),(2.8676671626594215e-26+9.69352280335579e-27j),(1.2924697071141055e-26+0j),(4.03896783473158e-27-2.8272774843121056e-27j),(2.0679515313825687e-25-2.584939414228211e-25j),(-9.215955246577129e-23+3.382223586868555e-22j),(6.61744490042422e-24+3.30872245021211e-24j),(-1.8490899618380513e-27-8.582806648804607e-28j),(-5.293955920339376e-23+0j),(0.0009765625+0j)
0.01,(0.0008077890572884448-0.00022378460265243087j),(-1.7304261117527927e-12-2.1972709486575215e-12j),(-9.441982831132e-13-3.4590428430241316e-12j),(9.555051335789424e-13-2.0475348088969913e-12j),(-1.965572656439174e-13-1.7386215706165031e-13j),(-2.4505360207552686e-10-1.2798245014478927e-10j),(3.494174146188662e-12-5.7665015799211223e-11j),(8.728333301258086e-12-1.2301475817676394e-09j),(-2.232940818158233e-14-8.141136608200888e-13j),(-3.053411291574137e-09+2.952551106493853e-09j),(0.0008076159277173482-0.00022372815004072187j)
0.02,(0.0006122844913507479-0.0003698085493858736j),(-4.432123827965121e-12-2.9965510737945406e-12j),(-4.053953263226114e-12-6.123031910775925e-12j),(1.4851700749666404e-12-7.511650590916807e-12j),(-1.1638588980150108e-13-2.781891286209328e-13j),(-3.336557296225847e-10-1.813388048583532e-10j),(7.638343622121258e-12-1.204780584091944e-10j),(-2.2417982862037633e-10-1.6296868063600844e-09j),(3.001662820904223e-14-1.2749022668984855e-12j),(-2.6903316247220895e-09+7.835391682877415e-09j),(0.0006120160832979736-0.00036962465801603785j)
0.03,(0.00041456680109498457-0.00044339455251731326j),(-7.313881619634012e-12-2.200062085564746e-12j),(-8.745983916971868e-12-6.964107628260987e-12j),(-8.914574444604046e-13-1.91347588726289e-11j),(2.1687904101311114e-14-2.5774225335173615e-13j),(-3.365470283417845e-10-1.9252323299040315e-10j),(1.2629744586745935e-11-1.8685611345401063e-10j),(-4.424214974611107e-10-1.5674694418027274e-09j),(1.1670512907079793e-13-1.4741955226348392e-12j),(1.715293259860155e-09+1.199910461360703e-08j),(0.00041429397725526487-0.0004430581070104353j)
0.04,(0.00023383815101323893-0.00045592223278323956j),(-9.644434479511238e-12+2.9859096300327195e-14j),(-1.401240635421284e-11-5.337768476263944e-12j),(-1.1925232808027732e-11-4.019981005313347e-11j),(1.1015651288053397e-13-1.6292310472012355e-13j),(-2.9801732963296685e-10-1.81386074423998e-10j),(1.862274599624582e-11-2.5503257685193196e-10j),(-5.611665733803741e-10-1.299223983370728e-09j),(2.0879485582326203e-13-1.4909514844617584e-12j),(9.102814626213472e-09+1.2878439137813403e-08j),(0.00023364461395294057-0.0004554510644424082j)
0.05,(8.29928557140937e-05-0.00042227581021336987j),(-1.088574103000486e-11+3.2620546228544628e-12j),(-1.865416540805938e-11-1.1326039275476471e-12j),(-4.28270376164966e-11-7.306829753626599e-11j),(1.2707229213223151e-13-5.90340741057251e-14j),(-2.4430137141632504e-10-1.5982028779270563e-10j),(2.5697402050317525e-11-3.231369797285089e-10j),(-5.797055170527307e-10-9.79797764123213e-10j),(2.8785731446399487e-13-1.389999917263752e-12j),(1.7051447488294333e-08+8.928196007597246e-09j),(8.293957325831872e-05-0.00042172026393486403j)
0.06,(-3.139412373978907e-05-0.0003583817144714347j),(-1.0764381449897364e-11+6.9240270739656965e-12j),(-2.1552204523487194e-11+5.213909685561878e-12j),(-1.1269574556709962e-10-1.1577741113880279e-10j),(9.510236296255312e-14+1.3145849167753609e-14j),(-1.8978642162872713e-10-1.347476458200166e-10j),(3.383362109459658e-11-3.8926292848945956e-10j),(-5.285446703756565e-10-6.888445231538564e-10j),(3.4424353443753865e-13-1.2220369462354812e-12j),(2.2563555512458592e-08+2.2675150336579246e-10j),(-3.1277678318281155e-05-0.00035780994638598006j)
0.07,(-0.00010829124855814206-0.0002791566768482503j),(-9.271875013663254e-12+1.043360998946523e-11j),(-2.189201223268804e-11+1.2824345063593456e-11j),(-2.5020104933464957e-10-1.5591820593787072e-10j),(4.741892119172714e-14+4.3341062058891306e-14j),(-1.4142520577491e-10-1.1000185673414066e-10j),(4.290718228825509e-11-4.516030942268191e-10j),(-4.4182869867373843e-10-4.574241784363336e-10j),(3.747591524713621e-13-1.0248692317245517e-12j),(2.3054314949163234e-08-1.1441615490242831e-08j),(-0.00010800881514765403-0.0002786390061374931j)
0.08,(-0.00015092352899649517-0.0001970612165219836j),(-6.617610589467464e-12+1.3299308810744624e-11j),(-1.931263321761975e-11+2.0569428843810386e-11j),(-4.9278951512978e-10-1.6113466841922586e-10j),(8.28270252915208e-15+4.1602084219363927e-14j),(-1.017771912376987e-10-8.753902539746782e-11j),(5.269050095619846e-11-5.085439187517585e-10j),(-3.460017161747155e-10-2.8913652398773036e-10j),(3.807484029025066e-13-8.249328858428431e-13j),(1.7227558679985098e-08-2.30558828917068e-08j),(-0.00015050722621065115-0.00019665650415700577j)
0.09,(-0.00016526962666888072-0.00012131932869724009j),(-3.1548846176461138e-12+1.5182298721347346e-11j),(-1.3952023196205025e-11+2.7291726520292432e-11j),(-8.807756349571702e-10-6.645767424455769e-11j),(-1.2550654000624453e-14+2.487096728732483e-14j),(-7.100009877460892e-11-6.819216256746454e-11j),(6.28657515788622e-11-5.587411414696206e-10j),(-2.573306762558234e-10-1.7481468232500892e-10j),(3.6631797131497064e-13-6.39175205546209e-13j),(5.5636043079232296e-09-3.122067754491573e-08j),(-0.00016477057523355413-0.00012106570977244902j)
