t,B00_z_0000_00,B00_z_0000_01,B00_z_0001_00,B00_z_0001_01,B00_z_0002_00,B00_z_0002_01,B00_z_0003_00,B00_z_0003_01,B00_z_0004_00,B00_z_0004_01,B00_z_0005_00,B00_z_0005_01,B00_z_0006_00,B00_z_0006_01,B00_z_0007_00,B00_z_0007_01,B00_z_0008_00,B00_z_0008_01,B00_z_0009_00,B00_z_0009_01,B01_z_0000_00,B01_z_0000_01
0.0,(0.5+0.5j),(0.5-0.5j),(0.6710207093632369-0.4347091945796959j),(-0.03893531975864317-0.768873332375212j),(0.9829918551777055-1.0340222336554308j),(1.3562775089941055-0.6621135629133352j),(-1.2351915390039054+0.7460430126985744j),(0.35866072744276745+0.8141566350926532j),(1.1676480555168445+0.7490249718941626j),(0.6546282985788072-1.2780107309009487j),(0.9859420721729206-1.1614787615244642j),(1.0847896933047223+0.11326191296659482j),(1.038629168631516+0.9933474926867571j),(-1.3913732270768875-0.6225133517299318j),(-0.4059566436519766-1.008774026167071j),(1.363830162627994+0.9625593517463216j),(2.4227060135586695-0.4970384219445805j),(-0.10653192004713563+0.12912332817820404j),(0.010259412435459858-0.5574205739143709j),(-0.9018212263361169-1.1610440837591356j),(0.5+0.5j),(0.5-0.5j)
0.01,(0.4899325398574495+0.5023313860670119j),(0.5176122386256513-0.5201332742651185j),(0.6681814599914125-0.43760887936970516j),(-0.04393738314918684-0.8032848835566212j),(1.0002161684077968-1.0483946971461702j),(1.3649067085360225-0.6772024542234766j),(-1.2083106835063127+0.7313702448543452j),(0.3601329777789024+0.8099073482302298j),(1.1659463775008327+0.7614151998647565j),(0.6865744489311294-1.3321884218067086j),(0.9981328207365135-1.165346947118013j),(1.063983296993022+0.09977621366382912j),(1.0637925057777984+0.997548723675148j),(-1.4054900047249566-0.6232030157745246j),(-0.36630673833900906-1.021739779425399j),(1.3164130722588658+0.9575275646368959j),(2.412661067304592-0.5314868866978284j),(-0.11417162207819136+0.07760352448974306j),(-0.012946504044698715-0.553261926327305j),(-0.9503272859896222-1.1775746306716601j),(0.4899325398574495+0.5023313860670119j),(0.5176122386256513-0.5201332742651185j)
0.02,(0.47947937972638394+0.5045667150323627j),(0.5356888894630121-0.5402690956206904j),(0.6650847760641203-0.44078854295624514j),(-0.0494787636145108-0.8384285096781396j),(1.017811024279287-1.0630009756945817j),(1.3739931770114515-0.6926147633685534j),(-1.1821613542094467+0.7165441883695469j),(0.3613543794023196+0.8054096040975222j),(1.1638247597446523+0.7748333435039791j),(0.7201603376472868-1.3883035951164293j),(1.0097792700428554-1.1694860111757723j),(1.0436168900747833+0.08573353270209258j),(1.0896149726330224+1.0009824861713355j),(-1.419857254144116-0.6235338310837294j),(-0.32788017892455-1.032900750563975j),(1.2700923305290495+0.9509799273918074j),(2.4031216839788425-0.5663283714595315j),(-0.12234522574855221+0.02642094246753101j),(-0.037195616443185565-0.5481469433372492j),(-1.0015506226847732-1.192076534571885j),(0.47947937972638394+0.5045667150323627j),(0.5356888894630121-0.5402690956206904j)
0.03,(0.46864078618517374+0.5066920126662038j),(0.554212269969011-0.5603858800548225j),(0.6617227478447006-0.44424971063838986j),(-0.05562265030940067-0.8742994212577707j),(1.0357696707043342-1.0778338700649146j),(1.383541333548318-0.7083410934511276j),(-1.1567556219811843+0.7016158909329172j),(0.36232701018498675+0.8006859570417676j),(1.1612399922627201+0.7893188739653534j),(0.7554929532154372-1.4464227768627067j),(1.0208736556164448-1.1739226654773494j),(1.0237157085446245+0.0711692280604565j),(1.116055133642457+1.0035959771823868j),(-1.4344575868061242-0.62348286085364j),(-0.29075936546205033-1.0423975725719399j),(1.2249497671435547+0.9430614832431586j),(2.3940490202650047-0.6016092266375318j),(-0.13106727010857958-0.024440367585579617j),(-0.06244636612093685-0.5419535328147608j),(-1.0554695218173473-1.2042308371593362j),(0.46864078618517374+0.5066920126662038j),(0.554212269969011-0.5603858800548225j)
0.04,(0.4574188428739135+0.5086929181710701j),(0.5731622831709912-0.580462374468678j),(0.6580873788888475-0.44799283437547155j),(-0.062435637907960286-0.9108902707762925j),(1.0540838292615777-1.0928857217732009j),(1.3935538021502132-0.7243708889051546j),(-1.1321025612578857+0.6866334521413091j),(0.3630541572007293+0.7957593145316326j),(1.1581444112925205+0.8049111857534618j),(0.7926870547039153-1.5066126290706123j),(1.031410003814671-1.1786815063945932j),(1.0043012210119184+0.05612071062466625j),(1.1430662056160288+1.0053387197930312j),(-1.4492716167391058-0.623027761108529j),(-0.2550078049668852-1.050370552414893j),(1.1810499382504467+0.9339165801558126j),(2.3854011184497037-0.6373736816010029j),(-0.1403551840029759-0.07499410668306045j),(-0.08864022655796894-0.5345559365805961j),(-1.1120251734477127-1.2137016603185697j),(0.4574188428739135+0.5086929181710701j),(0.5731622831709912-0.580462374468678j)
0.05,(0.4458175566574926+0.5105548191420353j),(0.5925163558645766-0.6004777871973591j),(0.6541706172101006-0.45201719986916816j),(-0.06998762615514843-0.9481906940170604j),(1.0727435643034964-1.1081484277342089j),(1.4040312432379447-0.740692493437081j),(-1.1082084112456494+0.6716418956074769j),(0.36354019233785195+0.7906527634065004j),(1.1544855831739107+0.8216492989231636j),(0.831865490786757-1.568939311105737j),(1.0413838991167483-1.183784819011428j),(0.9853912019699056+0.04062707059462235j),(1.1705961742826698+1.0061631773740536j),(-1.4642779508006674-0.6221469950453722j),(-0.22067154076597462-1.0569575903764075j),(1.1384415008168973+0.9236869120488405j),(2.3771329366649985-0.6736636052236542j),(-0.15022904553793404-0.1252513498136214j),(-0.11569987634362354-0.5258269102736319j),(-1.1711162582042387-1.220140239774794j),(0.4458175566574926+0.5105548191420353j),(0.5925163558645766-0.6004777871973591j)
0.06,(0.4338429501890006+0.5122630020458377j),(0.6122493919424095-0.6204119296726937j),(0.6499643956626732-0.45632083153769193j),(-0.07835167884139595-0.9861868153079458j),(1.0917371522858603-1.1236134645968998j),(1.4149721901221184-0.7572932220975437j),(-1.0850767455313164+0.656683082406151j),(0.3637904462204247+0.7853894059098796j),(1.1502059912817948+0.8395715030123256j),(0.8731594656149512-1.6334677385546308j),(1.0507922536892798-1.189252418498157j),(0.9669998470777+0.024728725349010307j),(1.1985879924835943+1.0060253695095713j),(-1.4794532051450342-0.6208200593327913j),(-0.18778072483692104-1.0622924766259447j),(1.0971587040244788+0.9125099187850865j),(2.369196380387425-0.7105182431711905j),(-0.16071130591496316-0.17522018461924582j),(-0.14352759973052978-0.5156404315996418j),(-1.2325937768670467-1.223190289620496j),(0.4338429501890006+0.5122630020458377j),(0.6122493919424095-0.6204119296726937j)
0.07,(0.4215031377564566+0.513802816915771j),(0.6323337438358732-0.6402453684146261j),(0.6454606825333898-0.46090039646533976j),(-0.08760383618234584-1.0248607200332798j),(1.1110509543211329-1.1392719236308675j),(1.426372893289443-0.7741594476183127j),(-1.0627086468266946+0.6417956627365642j),(0.3638110826545113+0.7799922063387706j),(1.145242732624447+0.8587149364276564j),(0.9167087347509119-1.7002607331046184j),(1.0596330847784596-1.195101527330806j),(0.9491379240862768+0.008467090819724726j),(1.2269798633598277+1.0048854778991698j),(-1.4947720511985-0.6190277191688334j),(-0.15635126216179498-1.0665035458414702j),(1.0572229317986908+0.9005175241502135j),(2.3615403410413225-0.7479739312658042j),(-0.1718264768139701-0.22490536860787252j),(-0.17200405264202984-0.5038749404023499j),(-1.2962564376121255-1.2224947800616899j),(0.4215031377564566+0.513802816915771j),(0.6323337438358732-0.6402453684146261j)
0.08,(0.40880838127888514+0.5151598544235927j),(0.6527392051539844-0.6599595859584119j),(0.640651543271364-0.46575110871620196j),(-0.09782287411323631-1.0641898991466705j),(1.1306692953547763-1.155114556756433j),(1.4382271756511003-0.7912767009015629j),(-1.0411028839271457+0.6270150623269551j),(0.3636089755105627+0.774483848867639j),(1.1395272322348957+0.8791150952149231j),(0.9626617120944845-1.7693780580394038j),(1.067905304691003-1.2013466864970614j),(0.9318129530717951-0.008115722769118112j),(1.2557056100625061+1.0027084295027258j),(-1.5102072940420785-0.6167522481243322j),(-0.12638646818114027-1.0697126613752508j),(1.0186442423553828+0.8878351826480889j),(2.354110748038965-0.7860637852916424j),(-0.18360078091534254-0.2743080082181023j),(-0.2009875480546504-0.49041707909249616j),(-1.3618469700292974-1.217704139516094j),(0.40880838127888514+0.5151598544235927j),(0.6527392051539844-0.6599595859584119j)
0.09,(0.39577112339737575+0.5163201329311885j),(0.673433027616708-0.6795371487141791j),(0.6355292141728405-0.47086663573614446j),(-0.10909000368197247-1.1041466719868918j),(1.150574353721448-1.1711318339871397j),(1.4505263021414578-0.8086297852618121j),(-1.0202560883305696+0.6123734998873178j),(0.363191589643676+0.7688866068627709j),(1.132984985150752+0.9008052656490878j),(1.0111754664566808-1.8408753357013916j),(1.0756085273103744-1.2079996985479255j),(0.9150294098356726-0.02497719097877942j),(1.2846951314226662+0.9994644435057974j),(-1.5257299855032953-0.6139776680659702j),(-0.09787869243626621-1.0720344945957971j),(0.9814228622232882+0.8745812008600621j),(2.3468506409485985-0.8248173687774546j),(-0.19606176571342204-0.32342526391507953j),(-0.2303140222440375-0.47516585831724784j),(-1.4290497754984053-1.2084857964593898j),(0.39577112339737575+0.5163201329311885j),(0.673433027616708-0.6795371487141791j)
