N,E [H]
1,-15.385063331480339
2,-15.386498847062889
3,-15.389744786734514
4,-15.39061264633202
5,-15.391823267865378
6,-15.392694961454199
7,-15.39390845683859
8,-15.394548659473797
9,-15.395056688260182
10,-15.396271174967195
11,-15.396499403510747
12,-15.397319940989032
13,-15.397644507722674
14,-15.398241946162104
15,-15.398676786465215
16,-15.398812493856493
17,-15.39958965951176
18,-15.399760393493176
19,-15.400253968532883
20,-15.400417503555218
21,-15.400857106720613
22,-15.401369986830293
23,-15.40138617244765
24,-15.40159772852012
25,-15.401626952978196
26,-15.402355405858293
27,-15.402703145123297
28,-15.402814087200817
29,-15.402944767167622
30,-15.403393849503278
31,-15.403661002244048
32,-15.403705550535847
33,-15.403894328688228
34,-15.404025528930768
35,-15.404105015941592
36,-15.404157973434232
37,-15.40421624131847
38,-15.404380293940735
39,-15.404572080214573
40,-15.404692540359964
41,-15.404765258401008
42,-15.404806794011018
43,-15.404894306714263
44,-15.404981154909827
45,-15.405163601868075
46,-15.405225097193822
47,-15.405386656444202
48,-15.405511950066991
49,-15.405597006294643
50,-15.405751220665646
51,-15.405865253279895
