N,E [H]
1,-15.531624199703103
2,-15.536524419148128
3,-15.537532712458916
4,-15.5379075010976
5,-15.539777403480164
6,-15.541591693440807
7,-15.54206762217973
8,-15.54207460800334
9,-15.54263862416409
10,-15.544752344403898
11,-15.546078344646805
12,-15.546295495241807
13,-15.546838510271662
14,-15.54692851472415
15,-15.547529588376506
16,-15.547909431078637
17,-15.547925034111875
18,-15.547998843706011
19,-15.548248073385226
20,-15.548409846507182
21,-15.548778825104238
22,-15.548888126049382
23,-15.548888484145733
24,-15.549328435741488
25,-15.549409815589009
26,-15.549601069920708
27,-15.552410717277882
28,-15.552710079431593
29,-15.552837994010227
30,-15.553391621369755
31,-15.55427509460086
32,-15.55437691499466
33,-15.554930486150264
34,-15.555011656810244
35,-15.55503045475816
36,-15.555039480767586
37,-15.555077682046669
38,-15.555124931791019
39,-15.556570721052811
40,-15.557412541656767
41,-15.557523639808984
42,-15.55768109786045
43,-15.558872402815682
44,-15.558908860066069
45,-15.55893353963742
46,-15.559002100173945
47,-15.559262311940955
48,-15.559385480430965
49,-15.559427513326547
50,-15.559433048681178
51,-15.559443020636426
52,-15.559709980800369
53,-15.560118738383329
54,-15.5601237868306
55,-15.561650083338453
56,-15.561944710628598
57,-15.561949646798057
58,-15.56207039371984
59,-15.562253643906747
60,-15.563106546076195
61,-15.563131275597383
62,-15.563404097754038
63,-15.563456136899365
64,-15.563769131254281
65,-15.563967090169275
66,-15.564058409275473
67,-15.564123491506633
68,-15.564314948674992
69,-15.564634672697824
70,-15.56467437221278
71,-15.565013815639537
72,-15.565027032359682
73,-15.565053728658311
74,-15.565171471535818
75,-15.565201959828853
76,-15.565408012141267
77,-15.56540810869006
78,-15.565453073881395
79,-15.565553538922913
80,-15.566223273705845
81,-15.566226136789933
82,-15.566255561663823
83,-15.566281680085156
84,-15.566308154600419
85,-15.56632900104578
86,-15.566668860067454
87,-15.566696611133448
88,-15.56673126799069
89,-15.566941525824225
90,-15.566983646905008
91,-15.566989772955816
92,-15.566991490757916
93,-15.567353261749176
94,-15.567443021552782
95,-15.568008502935134
96,-15.568020967345365
97,-15.568037281381955
98,-15.568087003423328
99,-15.568104487928268
100,-15.568138853195139
101,-15.568201442837353
