N,E [H]
1,-15.407362332576076
2,-15.413529336430026
3,-15.420231637470707
4,-15.420935714638766
5,-15.421945153046147
6,-15.423653175534218
7,-15.424812656312605
8,-15.428635567841368
9,-15.429972443768989
10,-15.4312825484522
11,-15.43465271300792
12,-15.434866620230206
13,-15.438098677555676
14,-15.441032391739846
15,-15.441039938776523
16,-15.441807369081054
17,-15.443027309966276
18,-15.44396730397811
19,-15.444651282112382
20,-15.445024725897053
21,-15.447605887692017
22,-15.448425305953343
23,-15.449391156105623
24,-15.45009463780517
25,-15.451744940237365
26,-15.4518285557932
27,-15.451830809722868
28,-15.45275197901045
29,-15.453962098686931
30,-15.454657409622369
31,-15.45486317418342
32,-15.45640602580081
33,-15.457302928127039
34,-15.457583167181301
35,-15.457599238524228
36,-15.4579641809201
37,-15.458681255985827
38,-15.459295975120874
39,-15.459500863653146
40,-15.45977081071932
41,-15.459886974046734
42,-15.46011751730587
43,-15.460272491390873
44,-15.46048445601712
45,-15.460565511799212
46,-15.461082784495494
47,-15.461490068962405
48,-15.461583397042272
49,-15.461651535124398
50,-15.462272024788543
51,-15.46232374708251
52,-15.462357560358193
53,-15.462774357444113
54,-15.462908954797664
55,-15.463033668311834
56,-15.463076467374322
57,-15.463285534777306
58,-15.46338214628618
59,-15.463497333378426
60,-15.46350836986545
61,-15.463523326124882
62,-15.463608446412728
63,-15.463651968689279
64,-15.46373847667433
65,-15.46379636995417
66,-15.463825247219795
67,-15.46404303711413
68,-15.46418046918079
69,-15.46431768252297
70,-15.464371941249626
71,-15.46447013478327
72,-15.464748673036441
73,-15.464864355813367
74,-15.464901566454028
75,-15.464914032101081
76,-15.46495686201118
77,-15.464983643733122
78,-15.465004972998331
79,-15.465068404194668
80,-15.465078263639915
81,-15.465122499519918
82,-15.465134727571513
83,-15.465199458374792
84,-15.465207273293142
85,-15.465266411800837
86,-15.46539256536998
87,-15.465400369090894
88,-15.46540921140688
89,-15.465453211399767
90,-15.465496451712172
91,-15.465506834795017
92,-15.465527906674387
93,-15.465542236285904
94,-15.465558397402075
95,-15.465577211880786
96,-15.46557862364222
97,-15.465579432038215
98,-15.465626389353496
99,-15.46566187771779
100,-15.465674432696385
101,-15.465678436158198
