N,E [H]
1,-195.96526042569872
2,-196.0413981614518
3,-196.04261039731995
4,-196.04412573827906
5,-196.04515659987433
6,-196.0459255957355
7,-196.04674834771194
8,-196.04679287904145
9,-196.0470225663
10,-196.04727694304876
11,-196.04792553852138
12,-196.0482101956068
13,-196.04839463038167
14,-196.04849864801943
15,-196.04853285385113
16,-196.048682003638
17,-196.04880126194533
18,-196.0488932805755
19,-196.0489426008918
20,-196.04896335584127
21,-196.0490317774544
22,-196.04904238458656
23,-196.04905752087026
24,-196.0490722188858
25,-196.04909527884047
26,-196.04912040768684
27,-196.04913472378612
28,-196.0491460441335
29,-196.0491605973905
30,-196.04916953931118
31,-196.04918438854665
32,-196.0491993323917
33,-196.04921302851332
34,-196.0492151701893
35,-196.0492168884491
36,-196.04922118989657
37,-196.04922875970937
38,-196.04923243244906
39,-196.04923580757895
40,-196.04923948778188
41,-196.04924217224715
42,-196.0492456899917
43,-196.04924769651396
44,-196.04924843752516
45,-196.04925045110198
46,-196.04925132648324
47,-196.04925205679857
48,-196.0492537423708
49,-196.04925440409434
50,-196.04925625540156
51,-196.04925651887245
