N,E [H]
1,-74.79270140239528
2,-74.8000889125693
3,-74.8047956413571
4,-74.80530424367508
5,-74.80695908851699
6,-74.80841466780292
7,-74.8090532751687
8,-74.80995119237299
9,-74.81028251849327
10,-74.81028944211275
11,-74.81043758327905
12,-74.8108765936047
13,-74.81115134367506
14,-74.81142369451966
15,-74.81177681256771
16,-74.81204054390102
17,-74.81231062272167
18,-74.81270129105236
19,-74.81286661512422
20,-74.81327357508289
21,-74.81331180895678
22,-74.81356727788979
23,-74.81375770809473
24,-74.81392814739625
25,-74.81404235908663
26,-74.8144432615335
27,-74.81482895788936
28,-74.8149848176735
29,-74.81510812604911
30,-74.81530053947927
31,-74.81534211991558
32,-74.81551593061947
33,-74.81584947609647
34,-74.81590149801237
35,-74.81597139386555
36,-74.81602003142626
37,-74.81605292271693
38,-74.81609441820483
39,-74.81623715449234
40,-74.81631288306808
41,-74.81637673872407
42,-74.81648716278526
43,-74.81651379487089
44,-74.81653823093548
45,-74.81655497860793
46,-74.81662642595835
47,-74.81662802446334
48,-74.81665411226834
49,-74.81668739536875
50,-74.81672916426079
51,-74.8167405684862
