N,E [H]
1,-74.96424880251298
2,-74.97735945674435
3,-74.97885332035717
4,-74.98368679965537
5,-74.98645106045713
6,-74.99046566844841
7,-74.9959435673926
8,-74.99713814506465
9,-74.99789834318986
10,-74.99811442147833
11,-75.0001673194088
12,-75.0014920496661
13,-75.00238594168451
14,-75.00240693086705
15,-75.00407934102523
16,-75.00482851697518
17,-75.00605516766446
18,-75.00622770851054
19,-75.00649927902376
20,-75.0068965237976
21,-75.00696773865695
22,-75.00716877345063
23,-75.00808638098731
24,-75.0086584990227
25,-75.00887308254705
26,-75.00934301338805
27,-75.00960548198947
28,-75.00996103509594
29,-75.01007212306533
30,-75.01044844600868
31,-75.01053659405838
32,-75.01084090248635
33,-75.01121005163786
34,-75.01166170108108
35,-75.01177999706525
36,-75.01199689143891
37,-75.01211873713012
38,-75.01212927417195
39,-75.0122477902258
40,-75.01228715234079
41,-75.01236776757456
42,-75.01253483125316
43,-75.01254505568978
44,-75.01272708996731
45,-75.01277393370395
46,-75.01285436250126
47,-75.01294018400023
48,-75.01300606691336
49,-75.01309411695944
50,-75.01316762278105
51,-75.0133024189157
52,-75.01332926311656
53,-75.01334394775952
54,-75.01334852064906
55,-75.01337419439162
56,-75.01339053014989
57,-75.01345114879756
58,-75.01347820114266
59,-75.01351002834464
60,-75.01353413897712
61,-75.01353765835242
62,-75.01354684179098
63,-75.013568026057
64,-75.0135787960225
65,-75.01358243521294
66,-75.01359862830942
67,-75.0136182377878
68,-75.0136214375043
69,-75.01363012725936
70,-75.0136337684426
71,-75.01364452397488
72,-75.01365060662555
73,-75.01366041090216
74,-75.01366162620195
75,-75.01367843995287
76,-75.01368143600402
77,-75.01368824835158
78,-75.01369219941253
79,-75.01369876172693
80,-75.01370156647272
81,-75.01370506991081
82,-75.01371541550284
83,-75.01371867940905
84,-75.01371945743078
85,-75.01372375018792
86,-75.01373035120052
87,-75.01373328201453
88,-75.0137357511355
89,-75.01373737655385
90,-75.01373939926302
91,-75.01374285717073
92,-75.01374464367804
93,-75.01374700294832
94,-75.01374956490363
95,-75.0137530430745
96,-75.01375421423317
97,-75.01375609268032
98,-75.01375818882377
99,-75.01376041362052
100,-75.01376193485335
101,-75.01376500022234
